childid	rcfid	cocdmove	agemove	whymove
PE031051	3	8888	32	5
PE031051	4	1	 	 
PE031053	1	1	18	8
PE031053	2	1	 	 
PE031054	1	9999	3	1
PE031054	2	8888	5	15
PE031054	3	1	 	 
PE031061	1	9999	1	12
PE031061	2	8888	13	9
PE031061	3	1	 	 
PE031062	1	62	25	1
PE031062	2	1	 	 
PE031069	1	49	13	1
PE031069	2	8888	19	13
PE031069	3	46	 	 
PE031070	1	46	23	5
PE031070	2	45	 	 
PE031075	1	45	14	4
PE031075	2	8888	23	5
PE031075	3	47	 	 
PE031081	1	9999	5	8
PE031081	2	8888	18	1
PE031081	3	8888	22	6
PE031081	4	8888	24	4
PE031081	5	8888	26	15
PE031081	6	8888	29	13
PE031081	7	51	 	 
PE031082	1	1	21	13
PE031082	2	8888	29	8
PE031082	3	1	 	 
PE031085	1	29	2	2
PE031085	2	42	 	 
PE031088	1	1	17	18
PE031088	2	42	 	 
PE031094	1	41	8	2
PE031094	2	8888	18	4
PE031094	3	8888	21	15
PE031094	4	23	 	 
PE031096	1	22	15	1
PE031096	2	8888	15	1
PE031096	3	8888	17	3
PE031096	4	8888	21	1
PE031096	5	1	 	 
PE031097	1	21	10	3
PE031097	2	8888	10	2
PE031097	3	8888	17	12
PE031097	4	8888	17	2
PE031097	5	8888	18	13
PE031097	6	22	 	 
PE031099	1	22	18	1
PE031099	2	8888	19	3
PE031099	3	8888	23	1
PE031099	4	8888	24	3
PE031099	5	8888	28	7
PE031099	6	8888	29	1
PE031099	7	8888	30	1
PE031099	8	21	 	 
PE031100	1	8	22	13
PE031100	2	1	 	 
PE031101	1	41	12	13
PE031101	2	1	 	 
PE041004	1	15	23	13
PE041004	2	8888	27	15
PE041004	3	8888	31	10
PE041004	4	2	 	 
PE041006	1	1	11	2
PE041006	2	0	17	1
PE041006	3	14	 	 
PE041009	1	1	24	13
PE041009	2	1	 	 
PE041010	1	15	22	13
PE041010	2	1	 	 
PE041011	1	62	23	8
PE041011	2	66	 	 
PE041012	1	58	1	5
PE041012	2	66	 	 
PE041013	1	10	8	2
PE041013	2	8888	24	1
PE041013	3	8888	25	2
PE041013	4	66	 	 
PE041014	1	1	16	2
PE041014	2	8888	19	15
PE041014	3	8888	25	13
PE041014	4	66	 	 
PE041016	1	1	7	1
PE041016	2	66	 	 
PE041024	1	62	18	13
PE041024	2	38	 	 
PE041028	1	53	30	1
PE041028	2	1	 	 
PE041034	1	1	22	1
PE041034	2	8888	25	19
PE041034	3	8888	35	2
PE041034	4	8888	42	1
PE041034	5	58	 	 
PE041035	1	1	18	1
PE041035	2	8888	20	1
PE041035	3	8888	35	5
PE041035	4	51	 	 
PE041038	1	38	20	13
PE041038	2	1	 	 
PE041041	1	1	38	1
PE041041	2	1	 	 
PE041051	1	1	28	7
PE041051	2	1	 	 
PE041055	1	12	6	2
PE041055	2	1	 	 
PE041058	1	1	1	1
PE041058	2	8888	17	2
PE041058	3	8888	23	15
PE041058	4	8888	27	1
PE041058	5	8888	31	5
PE041058	6	1	 	 
PE041060	1	9999	27	2
PE041060	2	1	 	 
PE041062	1	49	14	2
PE041062	2	1	 	 
PE041063	1	1	17	13
PE041063	2	20	 	 
PE041064	1	58	15	13
PE041064	2	8888	 	 
PE041064	3	1	 	 
PE041067	1	1	17	2
PE041067	2	8888	23	1
PE041067	3	58	 	 
PE041071	1	22	14	15
PE041071	2	58	 	 
PE041072	1	62	25	13
PE041072	2	58	 	 
PE041079	1	62	21	13
PE041079	2	20	 	 
PE041084	1	1	22	4
PE041084	2	1	 	 
PE041085	1	58	16	13
PE041085	2	1	 	 
PE041087	1	11	22	2
PE041087	2	1	 	 
PE041088	1	62	10	5
PE041088	2	8888	17	1
PE041088	3	8888	22	15
PE041088	4	8888	 	 
PE041088	5	1	 	 
PE041089	1	11	21	14
PE041089	2	8888	24	2
PE041089	3	1	 	 
PE041090	1	10	17	13
PE041090	2	8888	23	12
PE041090	3	8888	25	2
PE041090	4	1	 	 
PE041092	1	12	24	5
PE041092	2	40	 	 
PE041093	1	1	18	13
PE041093	2	12	 	 
PE041094	1	13	11	2
PE041094	2	8888	16	15
PE041094	3	8888	18	15
PE041094	4	24	 	 
PE041097	1	1	19	5
PE041097	2	26	 	 
PE041098	1	14	36	2
PE041098	2	26	 	 
PE051001	1	33	5	1
PE051001	2	8888	6	1
PE051001	3	8888	7	1
PE051001	4	8888	15	13
PE051001	5	8888	16	1
PE051001	6	8888	17	1
PE051001	7	8888	19	1
PE051001	8	8888	20	1
PE051001	9	4	 	 
PE051002	1	9999	6	8
PE051002	2	8888	10	8
PE051002	3	8888	12	8
PE051002	4	8888	16	13
PE051002	5	8888	20	8
PE051002	6	1	 	 
PE051003	1	25	10	8
PE051003	2	2	 	 
PE051004	1	2	16	13
PE051004	2	8888	19	7
PE051004	3	8888	20	5
PE051004	4	1	 	 
PE051005	1	1	4	1
PE051005	2	8888	7	1
PE051005	3	8888	25	1
PE051005	4	8888	27	1
PE051005	5	8888	27	1
PE051005	6	8888	27	1
PE051005	7	1	 	 
PE051007	1	30	3	1
PE051007	2	8888	6	5
PE051007	3	4	 	 
PE051008	1	31	3	3
PE051008	2	8888	4	1
PE051008	3	8888	10	1
PE051008	4	8888	10	1
PE051008	5	8888	16	1
PE051008	6	8888	16	13
PE051008	7	4	 	 
PE051009	1	1	23	15
PE051009	2	6	 	 
PE051010	1	1	8	12
PE051010	2	8888	13	1
PE051010	3	8888	14	1
PE051010	4	6	 	 
PE051011	1	44	16	8
PE051011	2	3	 	 
PE051013	1	19	4	10
PE051013	2	8888	13	13
PE051013	3	3	 	 
PE051014	1	14	25	1
PE051014	2	8888	36	1
PE051014	3	8888	38	1
PE051014	4	1	 	 
PE051015	1	17	8	8
PE051015	2	8888	13	8
PE051015	3	8888	17	5
PE051015	4	5	 	 
PE051016	1	17	9	21
PE051016	2	5	 	 
PE051017	1	1	18	1
PE051017	2	8888	26	1
PE051017	3	1	 	 
PE051018	1	9999	15	1
PE051018	2	8888	16	1
PE051018	3	8888	20	5
PE051018	4	6	 	 
PE051019	1	1	18	15
PE051019	2	8888	19	13
PE051019	3	8888	31	8
PE051019	4	1	 	 
PE051020	1	21	12	1
PE051020	2	8888	17	13
PE051020	3	8888	22	9
PE051020	4	1	 	 
PE051021	1	9999	10	4
PE051021	2	8888	19	13
PE051021	3	8888	22	3
PE051021	4	8888	31	5
PE051021	5	6	 	 
PE051022	1	18	20	13
PE051022	2	8888	24	5
PE051022	3	8888	28	5
PE051022	4	30	 	 
PE051023	1	6	23	2
PE051023	2	8888	24	1
PE051023	3	8888	25	1
PE051023	4	1	 	 
PE051024	1	1	18	5
PE051024	2	8888	25	5
PE051024	3	8888	27	1
PE051024	4	8888	48	1
PE051024	5	4	 	 
PE051025	1	22	20	1
PE051025	2	1	 	 
PE051026	1	24	4	5
PE051026	2	22	 	 
PE051027	1	23	6	1
PE051027	2	8888	11	12
PE051027	3	8888	17	1
PE051027	4	8888	18	13
PE051027	5	22	 	 
PE051028	1	23	6	14
PE051028	2	8888	18	13
PE051028	3	22	 	 
PE051029	1	10	19	8
PE051029	2	22	 	 
PE051030	1	11	14	1
PE051030	2	8888	21	1
PE051030	3	8888	21	15
PE051030	4	22	 	 
PE051031	1	9999	1	14
PE051031	2	8888	20	1
PE051031	3	8888	22	1
PE051031	4	8888	24	1
PE051031	5	9	 	 
PE051032	1	8	5	10
PE051032	2	8888	17	1
PE051032	3	22	 	 
PE051033	1	25	7	1
PE051033	2	8888	18	1
PE051033	3	1	 	 
PE051034	1	26	13	1
PE051034	2	22	 	 
PE051035	1	9999	11	4
PE051035	2	8888	20	1
PE051035	3	8888	28	1
PE051035	4	8888	31	5
PE051035	5	22	 	 
PE051036	1	21	1	8
PE051036	2	8888	19	8
PE051036	3	22	 	 
PE051037	1	8	19	1
PE051037	2	8888	26	1
PE051037	3	1	 	 
PE051038	1	1	32	13
PE051038	2	22	 	 
PE051039	1	19	1	8
PE051039	2	22	 	 
PE051040	1	26	20	1
PE051040	2	8888	21	1
PE051040	3	22	 	 
PE051041	1	1	10	15
PE051041	2	22	 	 
PE051042	1	1	2	15
PE051042	2	8888	26	12
PE051042	3	22	 	 
PE051043	1	24	17	5
PE051043	2	8888	29	8
PE051043	3	8	 	 
PE051045	1	9999	15	5
PE051045	2	22	 	 
PE051046	1	9999	20	1
PE051046	2	8888	25	1
PE051046	3	8888	30	5
PE051046	4	22	 	 
PE051047	1	17	17	5
PE051047	2	8888	19	8
PE051047	3	8888	27	1
PE051047	4	8888	29	4
PE051047	5	8888	30	8
PE051047	6	22	 	 
PE051048	1	24	21	1
PE051048	2	8888	26	1
PE051048	3	8888	36	1
PE051048	4	20	 	 
PE051049	1	21	3	14
PE051049	2	8888	6	1
PE051049	3	8888	14	1
PE051049	4	23	 	 
PE051051	1	1	3	1
PE051051	2	8888	6	1
PE051051	3	8888	12	8
PE051051	4	23	 	 
PE051052	1	1	5	5
PE051052	2	8888	30	3
PE051052	3	1	 	 
PE051056	1	23	1	7
PE051056	2	8888	16	15
PE051056	3	8888	17	13
PE051056	4	23	 	 
PE051057	1	1	-77	14
PE051057	2	23	 	 
PE051058	1	16	15	13
PE051058	2	23	 	 
PE051059	1	22	32	1
PE051059	2	23	 	 
PE051060	1	9999	8	1
PE051060	2	8888	14	1
PE051060	3	8888	28	11
PE051060	4	22	 	 
PE051061	1	31	21	13
PE051061	2	8888	24	5
PE051061	3	40	 	 
PE051062	1	11	14	5
PE051062	2	8888	18	13
PE051062	3	23	 	 
PE051063	1	1	21	1
PE051063	2	8888	22	2
PE051063	3	8888	25	2
PE051063	4	8888	30	1
PE051063	5	8888	33	1
PE051063	6	23	 	 
PE051064	1	70	14	1
PE051064	2	17	 	 
PE051065	1	37	5	1
PE051065	2	8888	20	13
PE051065	3	1	 	 
PE051067	1	17	22	1
PE051067	2	1	 	 
PE051068	1	1	15	1
PE051068	2	8888	18	15
PE051068	3	8888	19	8
PE051068	4	17	 	 
PE051069	1	9999	2	1
PE051069	2	8888	3	8
PE051069	3	17	 	 
PE051070	1	9	1	1
PE051070	2	8888	8	1
PE051070	3	8888	20	1
PE051070	4	8888	24	1
PE051070	5	1	 	 
PE051071	1	54	9	8
PE051071	2	17	 	 
PE051072	1	1	1	15
PE051072	2	8888	34	1
PE051072	3	8888	40	1
PE051072	4	1	 	 
PE051073	1	16	5	8
PE051073	2	17	 	 
PE051074	1	12	20	1
PE051074	2	17	 	 
PE051075	1	34	1	5
PE051075	2	8888	5	2
PE051075	3	8888	11	5
PE051075	4	17	 	 
PE051076	1	9999	24	1
PE051076	2	17	 	 
PE051077	1	1	3	12
PE051077	2	8888	18	13
PE051077	3	8888	29	5
PE051077	4	13	 	 
PE051078	1	1	9	15
PE051078	2	16	 	 
PE051079	1	7	15	8
PE051079	2	8888	17	13
PE051079	3	8888	21	1
PE051079	4	8888	23	4
PE051079	5	16	 	 
PE051080	1	49	21	13
PE051080	2	8888	23	1
PE051080	3	16	 	 
PE051081	1	1	15	8
PE051081	2	8888	22	13
PE051081	3	8888	28	5
PE051081	4	16	 	 
PE051082	1	45	16	1
PE051082	2	8888	17	1
PE051082	3	16	 	 
PE051083	1	1	3	1
PE051083	2	8888	12	1
PE051083	3	8888	14	13
PE051083	4	16	 	 
PE051084	1	1	4	8
PE051084	2	8888	24	5
PE051084	3	8888	34	3
PE051084	4	38	 	 
PE051085	1	1	12	1
PE051085	2	8888	19	1
PE051085	3	8888	23	3
PE051085	4	13	 	 
PE051086	1	1	14	1
PE051086	2	8888	19	1
PE051086	3	8888	21	1
PE051086	4	13	 	 
PE051087	1	1	20	13
PE051087	2	8888	22	2
PE051087	3	8888	24	1
PE051087	4	37	 	 
PE051088	1	23	38	1
PE051088	2	41	 	 
PE051089	1	1	2	5
PE051089	2	8888	20	5
PE051089	3	16	 	 
PE051090	1	1	16	1
PE051090	2	16	 	 
PE051091	1	1	17	2
PE051091	2	8888	26	5
PE051091	3	8888	28	5
PE051091	4	13	 	 
PE051092	1	5	1	15
PE051092	2	13	 	 
PE051093	1	26	2	13
PE051093	2	8888	28	1
PE051093	3	8888	29	2
PE051093	4	1	 	 
PE051094	1	119	18	15
PE051094	2	13	 	 
PE051095	1	12	13	12
PE051095	2	8888	40	1
PE051095	3	1	 	 
PE051099	1	22	3	8
PE051099	2	8888	15	5
PE051099	3	15	 	 
PE051101	1	9999	19	1
PE051101	2	8888	23	5
PE051101	3	57	 	 
PE051102	1	1	23	15
PE051102	2	13	 	 
PE051103	1	14	2	1
PE051103	2	8888	8	1
PE051103	3	8888	10	1
PE051103	4	8888	14	1
PE051103	5	13	 	 
PE051104	1	27	18	1
PE051104	2	8888	37	2
PE051104	3	17	 	 
PE051105	1	15	16	1
PE051105	2	8888	19	5
PE051105	3	8888	24	1
PE051105	4	8888	31	8
PE051105	5	8888	43	9
PE051105	6	1	 	 
PE061002	1	1	15	13
PE061002	2	8888	37	2
PE061002	3	8888	38	7
PE061002	4	1	 	 
PE061003	1	1	18	13
PE061003	2	1	 	 
PE061004	1	1	5	5
PE061004	2	1	 	 
PE061005	1	1	1	7
PE061005	2	1	 	 
PE061006	1	1	21	5
PE061006	2	8888	21	3
PE061006	3	8888	23	5
PE061006	4	8888	24	6
PE061006	5	1	 	 
PE061008	1	1	10	5
PE061008	2	8888	15	13
PE061008	3	8888	21	4
PE061008	4	8888	22	1
PE061008	5	1	 	 
PE061009	1	1	2	7
PE061009	2	8888	7	8
PE061009	3	8888	17	13
PE061009	4	8888	21	12
PE061009	5	1	 	 
PE061010	1	1	13	4
PE061010	2	8888	14	4
PE061010	3	8888	15	8
PE061010	4	8888	18	13
PE061010	5	8888	18	5
PE061010	6	8888	19	5
PE061010	7	1	 	 
PE061011	1	1	2	3
PE061011	2	8888	20	17
PE061011	3	1	 	 
PE061013	1	16	8	1
PE061013	2	8888	18	13
PE061013	3	8888	21	4
PE061013	4	8888	24	1
PE061013	5	8888	29	5
PE061013	6	1	 	 
PE061014	1	1	35	5
PE061014	2	1	 	 
PE061015	1	1	17	13
PE061015	2	8888	24	1
PE061015	3	1	 	 
PE061017	1	1	8	6
PE061017	2	1	 	 
PE061018	1	1	9	10
PE061018	2	8888	14	2
PE061018	3	8888	15	1
PE061018	4	1	 	 
PE061019	1	1	3	8
PE061019	2	8888	19	13
PE061019	3	8888	20	1
PE061019	4	8888	28	1
PE061019	5	22	 	 
PE061020	1	1	16	2
PE061020	2	8888	18	15
PE061020	3	8888	18	1
PE061020	4	8888	23	1
PE061020	5	8888	26	1
PE061020	6	8888	26	1
PE061020	7	1	 	 
PE061021	1	1	28	15
PE061021	2	1	 	 
PE061022	1	14	9	2
PE061022	2	1	 	 
PE061023	1	84	8	14
PE061023	2	8888	26	1
PE061023	3	8888	27	1
PE061023	4	8888	28	1
PE061023	5	1	 	 
PE061024	1	1	6	15
PE061024	2	1	 	 
PE061025	1	1	5	15
PE061025	2	1	 	 
PE061026	1	1	1	15
PE061026	2	8888	3	15
PE061026	3	8888	9	2
PE061026	4	8888	13	6
PE061026	5	8888	21	5
PE061026	6	8888	28	5
PE061026	7	1	 	 
PE061027	1	1	14	1
PE061027	2	8888	15	15
PE061027	3	8888	23	13
PE061027	4	1	 	 
PE061031	1	1	5	15
PE061031	2	8888	23	13
PE061031	3	1	 	 
PE061032	1	1	4	21
PE061032	2	8888	29	3
PE061032	3	1	 	 
PE061033	1	1	1	8
PE061033	2	8888	21	1
PE061033	3	8888	22	1
PE061033	4	1	 	 
PE061034	1	44	6	12
PE061034	2	8888	19	1
PE061034	3	1	 	 
PE061037	1	1	5	7
PE061037	2	8888	15	15
PE061037	3	8888	15	15
PE061037	4	8888	22	15
PE061037	5	8888	23	1
PE061037	6	1	 	 
PE061038	1	1	9	20
PE061038	2	8888	18	1
PE061038	3	8888	21	15
PE061038	4	8888	22	13
PE061038	5	1	 	 
PE061039	1	1	1	1
PE061039	2	8888	5	3
PE061039	3	8888	9	20
PE061039	4	8888	13	1
PE061039	5	8888	19	5
PE061039	6	8888	20	1
PE061039	7	1	 	 
PE061040	1	3	5	3
PE061040	2	8888	10	2
PE061040	3	1	 	 
PE061041	1	1	17	2
PE061041	2	8888	23	19
PE061041	3	1	 	 
PE061046	1	1	17	2
PE061046	2	8888	23	3
PE061046	3	8888	23	1
PE061046	4	8888	26	1
PE061046	5	8888	33	8
PE061046	6	1	 	 
PE061047	1	1	4	1
PE061047	2	8888	6	1
PE061047	3	8888	25	1
PE061047	4	8888	35	1
PE061047	5	8888	42	7
PE061047	6	1	 	 
PE061048	1	18	16	1
PE061048	2	8888	19	1
PE061048	3	1	 	 
PE061050	1	1	4	5
PE061050	2	1	 	 
PE061052	1	1	1	1
PE061052	2	8888	22	1
PE061052	3	1	 	 
PE061053	1	1	17	2
PE061053	2	8888	17	13
PE061053	3	8888	23	7
PE061053	4	8888	25	5
PE061053	5	1	 	 
PE061056	1	9999	13	1
PE061056	2	8888	19	13
PE061056	3	8888	20	1
PE061056	4	8888	23	13
PE061056	5	1	 	 
PE061059	1	1	12	1
PE061059	2	8888	16	1
PE061059	3	8888	18	5
PE061059	4	1	 	 
PE061062	1	8	13	1
PE061062	2	8888	17	1
PE061062	3	8888	20	1
PE061062	4	8888	22	8
PE061062	5	1	 	 
PE061063	1	1	29	1
PE061063	2	1	 	 
PE061064	1	1	7	17
PE061064	2	8888	26	7
PE061064	3	8888	33	4
PE061064	4	1	 	 
PE061065	1	1	25	1
PE061065	2	8888	35	15
PE061065	3	1	 	 
PE061066	1	44	15	2
PE061066	2	8888	18	15
PE061066	3	8888	22	19
PE061066	4	8888	30	5
PE061066	5	1	 	 
PE061067	1	1	14	3
PE061067	2	8888	31	1
PE061067	3	1	 	 
PE061069	1	1	6	7
PE061069	2	1	 	 
PE061070	1	1	14	1
PE061070	2	8888	18	1
PE061070	3	8888	20	5
PE061070	4	8888	25	1
PE061070	5	8888	26	1
PE061070	6	1	 	 
PE061071	1	1	13	15
PE061071	2	1	 	 
PE061072	1	1	19	1
PE061072	2	1	 	 
PE061073	1	1	11	4
PE061073	2	8888	19	1
PE061073	3	8888	21	4
PE061073	4	8888	24	5
PE061073	5	8888	39	12
PE061073	6	1	 	 
PE061074	1	1	17	1
PE061074	2	56	 	 
PE061075	1	1	14	1
PE061075	2	8888	16	1
PE061075	3	8888	17	5
PE061075	4	8888	19	8
