formno	childid	outid	remrel	remest	remgood
R2INDX	PE081067	3	13	2400	150
R2INDX	PE081068	1	5	120	0
R2INDX	PE081077	1	1	1800	100
R2INDX	PE081083	1	6	250	 
R2INDX	PE081084	1	17	400	 
R2INDX	PE081091	1	13	300	 
R2INDX	PE081093	1	6	200	 
R2INDX	PE081099	1	5	200	50
R2INDX	PE091010	1	13	150	 
R2INDX	PE091015	1	14	65	 
R2INDX	PE091017	1	5	1200	 
R2INDX	PE091019	1	7	1000	300
R2INDX	PE091022	1	13	 	50
R2INDX	PE091027	1	19	2500	200
R2INDX	PE091030	1	5	0	200
R2INDX	PE091032	1	5	60	 
R2INDX	PE091035	1	6	1200	 
R2INDX	PE091037	1	13	300	0
R2INDX	PE091047	1	7	3500	 
R2INDX	PE091047	2	7	500	 
R2INDX	PE091056	1	5	 	500
R2INDX	PE091056	2	13	1500	 
R2INDX	PE091066	1	7	600	 
R2INDX	PE091068	1	19	0	200
R2INDX	PE091101	1	6	60	60
R2INDX	PE101006	1	6	100	50
R2INDX	PE101009	1	5	250	 
R2INDX	PE101011	1	5	300	 
R2INDX	PE101023	1	13	100	100
R2INDX	PE101024	1	5	600	 
R2INDX	PE101025	1	6	350	 
R2INDX	PE101026	1	5	200	 
R2INDX	PE101027	1	13	100	 
R2INDX	PE101034	1	5	200	 
R2INDX	PE101045	1	13	0	50
R2INDX	PE101061	1	5	50	100
R2INDX	PE101062	1	6	 	300
R2INDX	PE101063	1	13	 	48
R2INDX	PE101064	1	6	2400	 
R2INDX	PE101069	1	17	 	200
R2INDX	PE101076	1	21	300	 
R2INDX	PE101082	1	8	6480	 
R2INDX	PE111005	1	13	0	100
R2INDX	PE111019	1	13	 	300
R2INDX	PE111022	1	5	50	 
R2INDX	PE111032	1	13	100	300
R2INDX	PE111044	1	6	800	700
R2INDX	PE111044	2	5	500	300
R2INDX	PE111062	1	5	150	 
R2INDX	PE111077	1	8	150	 
R2INDX	PE111087	1	14	200	100
R2INDX	PE111092	1	13	 	70
R2INDX	PE111102	1	13	0	10
R2INDX	PE121013	1	5	 	100
R2INDX	PE121014	1	19	300	 
R2INDX	PE121016	1	5	400	 
R2INDX	PE121022	1	5	 	200
R2INDX	PE121026	1	17	80	40
R2INDX	PE121027	1	6	500	 
R2INDX	PE121032	1	13	200	 
R2INDX	PE121032	2	13	300	 
R2INDX	PE121043	1	6	50	 
R2INDX	PE121044	1	6	100	 
R2INDX	PE121044	2	5	100	 
R2INDX	PE121047	1	5	 	40
R2INDX	PE121052	1	14	600	 
R2INDX	PE121053	1	5	40	 
R2INDX	PE121058	1	5	300	380
R2INDX	PE121058	2	6	200	 
R2INDX	PE121059	1	13	1800	 
R2INDX	PE121064	1	6	 	120
R2INDX	PE121066	1	13	 	15
R2INDX	PE121067	1	1	10	 
R2INDX	PE121069	1	5	1000	 
R2INDX	PE121071	1	6	 	900
R2INDX	PE121073	1	18	 	150
R2INDX	PE121075	1	6	100	 
R2INDX	PE121075	2	5	200	 
R2INDX	PE121079	1	6	2400	800
R2INDX	PE121079	2	13	1400	 
R2INDX	PE121079	3	5	100	 
R2INDX	PE121084	1	18	600	 
R2INDX	PE121085	1	5	500	 
R2INDX	PE121094	1	5	300	 
R2INDX	PE121094	2	6	500	 
R2INDX	PE131001	1	5	 	500
R2INDX	PE131012	1	6	300	 
R2INDX	PE131017	1	13	 	100
R2INDX	PE131017	2	18	 	100
R2INDX	PE131018	1	5	200	30
R2INDX	PE131019	1	5	200	 
R2INDX	PE131025	1	6	300	80
R2INDX	PE131029	1	5	 	100
R2INDX	PE131030	1	17	200	50
R2INDX	PE131038	1	13	50	70
R2INDX	PE131039	1	17	60	 
R2INDX	PE131048	1	5	100	 
R2INDX	PE131049	1	13	500	 
R2INDX	PE131050	1	13	2000	 
R2INDX	PE131050	2	13	 	2000
R2INDX	PE131051	1	6	300	 
R2INDX	PE131052	1	5	150	50
R2INDX	PE131055	1	8	 	 
R2INDX	PE131056	1	13	50	 
R2INDX	PE131060	1	6	300	 
R2INDX	PE131071	1	5	300	300
R2INDX	PE131072	1	6	500	 
R2INDX	PE131081	1	1	100	 
R2INDX	PE131084	1	14	190	450
R2INDX	PE131092	1	13	100	 
R2INDX	PE131095	1	13	 	150
R2INDX	PE131098	1	21	80	 
R2INDX	PE131102	1	13	0	50
R2INDX	PE141003	1	5	 	30
R2INDX	PE141005	1	5	1440	500
R2INDX	PE141007	1	13	200	300
R2INDX	PE141008	1	13	0	30
R2INDX	PE141011	1	6	200	100
R2INDX	PE141015	1	21	0	120
R2INDX	PE141016	1	21	 	50
R2INDX	PE141026	1	13	100	0
R2INDX	PE141028	1	6	100	 
R2INDX	PE141030	1	21	 	120
R2INDX	PE141035	1	6	700	350
R2INDX	PE141040	1	8	1200	 
R2INDX	PE141041	1	17	600	0
R2INDX	PE141044	1	5	 	100
R2INDX	PE141046	1	6	216	0
R2INDX	PE141047	1	13	 	60
R2INDX	PE141055	1	5	60	 
R2INDX	PE141055	2	8	50	 
R2INDX	PE141056	1	8	1440	0
R2INDX	PE141060	1	1	 	50
R2INDX	PE141069	1	14	0	300
R2INDX	PE141071	1	21	 	100
R2INDX	PE141077	1	14	330	0
R2INDX	PE141079	1	21	 	100
R2INDX	PE141088	1	6	0	60
R2INDX	PE141095	1	21	 	200
R2INDX	PE141096	1	6	0	50
R2INDX	PE141096	2	5	0	50
R2INDX	PE141098	1	6	50	50
R2INDX	PE141101	1	5	0	300
R2INDX	PE141103	1	6	150	150
R2INDX	PE141104	1	5	50	0
R2INDX	PE151010	1	5	30	 
R2INDX	PE151015	1	7	2000	 
R2INDX	PE151015	2	7	2000	 
R2INDX	PE151021	1	13	350	 
R2INDX	PE151024	1	5	 	100
R2INDX	PE151030	1	14	40	 
R2INDX	PE151040	1	5	 	150
R2INDX	PE151043	1	21	70	 
R2INDX	PE151044	1	5	60	 
R2INDX	PE151047	1	13	100	10
R2INDX	PE151049	1	5	200	 
R2INDX	PE151050	1	13	100	 
R2INDX	PE151051	1	6	1000	 
R2INDX	PE151063	1	13	500	 
R2INDX	PE151067	1	6	 	182
R2INDX	PE151076	1	6	300	0
R2INDX	PE151076	2	5	200	0
R2INDX	PE151079	1	5	70	 
R2INDX	PE151083	1	8	1440	 
R2INDX	PE151086	1	5	25	 
R2INDX	PE151090	1	5	100	20
R2INDX	PE151091	1	13	10	 
R2INDX	PE151095	1	13	600	 
R2INDX	PE151099	1	17	 	50
R2INDX	PE151100	1	6	80	 
R2INDX	PE151100	2	5	100	 
R2INDX	PE151103	1	13	1500	 
R2INDX	PE151111	1	6	1200	 
R2INDX	PE151111	2	5	 	180
R2INDX	PE161001	1	6	20	10
R2INDX	PE161008	1	5	 	0
R2INDX	PE161008	2	6	 	50
R2INDX	PE161010	1	13	0	10
R2INDX	PE161010	2	7	0	8
R2INDX	PE161012	1	19	0	8
R2INDX	PE161013	1	13	0	10
R2INDX	PE161018	1	5	0	20
R2INDX	PE161024	1	5	150	0
R2INDX	PE161024	2	13	0	30
R2INDX	PE161029	1	13	0	150
R2INDX	PE161032	1	5	0	10
R2INDX	PE161032	2	6	0	10
R2INDX	PE161034	1	13	100	 
R2INDX	PE161057	1	13	0	20
R2INDX	PE161059	1	7	600	200
R2INDX	PE161062	1	5	0	30
R2INDX	PE161064	1	7	0	450
R2INDX	PE161065	1	5	360	0
R2INDX	PE161065	2	6	180	0
R2INDX	PE161066	1	6	360	0
R2INDX	PE161068	1	5	0	20
R2INDX	PE161068	2	6	0	20
R2INDX	PE161071	1	6	0	50
R2INDX	PE161073	1	7	1000	400
R2INDX	PE161087	1	13	0	7
R2INDX	PE161090	1	5	30	0
R2INDX	PE161090	2	6	25	0
R2INDX	PE161108	1	6	0	50
R2INDX	PE171002	1	7	900	200
R2INDX	PE171005	1	9	1500	600
R2INDX	PE171007	1	13	3000	 
R2INDX	PE171013	1	13	 	70
R2INDX	PE171019	1	13	0	20
R2INDX	PE171022	1	13	100	 
R2INDX	PE171026	1	7	300	50
R2INDX	PE171030	1	13	0	8
R2INDX	PE171038	1	6	0	40
R2INDX	PE171039	1	8	400	 
R2INDX	PE171044	1	9	30	10
R2INDX	PE171052	1	13	200	50
R2INDX	PE171057	1	6	50	 
R2INDX	PE171061	1	13	 	20
R2INDX	PE171064	1	7	0	80
R2INDX	PE171065	1	1	 	10
R2INDX	PE171067	1	5	0	40
R2INDX	PE171075	1	14	0	10
R2INDX	PE171081	1	13	0	45
R2INDX	PE171087	1	13	 	8
R2INDX	PE171089	1	13	0	10
R2INDX	PE171090	1	13	 	30
R2INDX	PE171091	1	13	0	10
R2INDX	PE171093	1	5	 	50
R2INDX	PE171095	1	13	0	50
R2INDX	PE171106	1	7	1000	200
R2INDX	PE181002	1	13	0	8
R2INDX	PE181011	1	21	0	12
R2INDX	PE181016	1	6	0	20
R2INDX	PE181016	2	5	0	30
R2INDX	PE181026	1	13	0	50
R2INDX	PE181032	1	7	400	0
R2INDX	PE181040	1	7	500	200
R2INDX	PE181056	1	6	0	10
R2INDX	PE181066	1	13	0	15
R2INDX	PE181069	1	6	0	75
R2INDX	PE181070	1	5	 	20
R2INDX	PE181074	1	13	 	15
R2INDX	PE181076	1	7	1500	600
R2INDX	PE181077	1	5	0	40
R2INDX	PE181077	2	21	0	21
R2INDX	PE181079	1	7	40	0
R2INDX	PE181083	1	21	10	 
R2INDX	PE181090	1	7	0	30
R2INDX	PE181095	1	7	0	45
R2INDX	PE181098	1	13	 	50
R2INDX	PE181100	1	21	 	.800000011920929
R2INDX	PE181102	1	13	50	35
R2INDX	PE181103	1	7	200	40
R2INDX	PE191002	1	5	1920	0
R2INDX	PE191002	2	9	2400	0
R2INDX	PE191010	1	13	1500	0
R2INDX	PE191017	1	8	250	50
R2INDX	PE191018	1	21	 	300
R2INDX	PE191023	1	5	100	100
R2INDX	PE191025	1	6	1200	 
R2INDX	PE191027	1	6	0	80
R2INDX	PE191038	1	21	 	60
R2INDX	PE191038	2	21	 	600
R2INDX	PE191041	1	6	 	58
R2INDX	PE191041	2	5	 	58
R2INDX	PE191045	1	14	200	0
R2INDX	PE191050	1	5	650	0
R2INDX	PE191060	1	5	100	 
R2INDX	PE191064	1	6	100	0
R2INDX	PE191081	1	13	1000	 
R2INDX	PE191086	1	5	1000	 
R2INDX	PE191088	1	21	100	100
R2INDX	PE191090	1	5	 	100
R2INDX	PE191090	2	6	 	100
R2INDX	PE191094	1	8	1200	156
R2INDX	PE191096	1	14	0	80
R2INDX	PE191104	1	5	0	50
R2INDX	PE201002	1	5	200	 
R2INDX	PE201006	1	6	100	 
R2INDX	PE201007	1	8	1800	 
R2INDX	PE201012	1	5	 	30
R2INDX	PE201014	1	6	 	90
R2INDX	PE201014	2	5	50	10
R2INDX	PE201030	1	13	0	20
R2INDX	PE201033	1	5	0	20
R2INDX	PE201042	1	7	1200	300
R2INDX	PE201045	1	6	1500	30
R2INDX	PE201048	1	6	0	240
R2INDX	PE201060	1	6	900	600
R2INDX	PE201075	1	13	2300	 
R2INDX	PE201078	1	6	300	50
R2INDX	PE201079	1	9	80	0
R2INDX	PE201081	1	13	70	 
R2INDX	PE201081	2	21	 	30
R2INDX	PE201086	1	6	300	0
R2INDX	PE201092	1	6	0	60
R2INDX	PE201094	1	13	300	50
R2INDX	PE201094	2	13	200	0
R2INDX	PE201100	1	13	500	0
