formno	childid	preid	agepresc	prescdur	presctyp	paypresc	presccre	dayspres	hrspresc	prescvis
R2INDX	PE021067	1	36	2	4	0	1	5	4	1
R2INDX	PE021068	1	48	3	4	1	3	5	4	1
R2INDX	PE021069	1	36	2	4	1	2	5	4	1
R2INDX	PE021070	1	53	1	4	1	3	5	4	1
R2INDX	PE021071	1	36	3	4	1	2	5	4	1
R2INDX	PE021072	1	36	3	4	1	2	5	4	1
R2INDX	PE021072	2	48	2	4	1	2	5	4	1
R2INDX	PE021073	1	48	2	4	1	2	5	5	1
R2INDX	PE021074	1	48	3	4	1	2	5	4	1
R2INDX	PE021076	1	36	3	4	1	2	5	4	1
R2INDX	PE021077	1	43	3	4	1	3	5	4	1
R2INDX	PE021078	1	42	3	4	1	2	5	4	1
R2INDX	PE021079	1	44	3	4	1	2	5	4	1
R2INDX	PE021080	1	48	3	4	1	2	5	4	1
R2INDX	PE021081	1	48	3	4	1	2	5	4	1
R2INDX	PE021082	1	48	3	4	1	2	5	5	1
R2INDX	PE021083	1	36	3	4	1	5	5	4	1
R2INDX	PE021084	1	36	3	4	1	2	5	4	1
R2INDX	PE021087	1	36	2	4	1	2	5	4	0
R2INDX	PE021088	1	40	3	4	1	1	5	4	0
R2INDX	PE021088	2	51	3	4	1	1	5	4	0
R2INDX	PE021089	1	58	3	3	1	2	5	4	1
R2INDX	PE021090	1	42	3	4	1	2	5	4	1
R2INDX	PE021091	1	48	2	4	1	2	5	4	1
R2INDX	PE021092	1	48	2	4	1	2	5	4	1
R2INDX	PE021093	1	36	3	4	1	2	5	4	1
R2INDX	PE021094	1	34	3	4	1	3	5	4	0
R2INDX	PE021095	1	48	3	4	1	2	5	4	1
R2INDX	PE021096	1	52	3	4	1	2	5	4	1
R2INDX	PE021097	1	48	3	4	1	2	5	4	1
R2INDX	PE021098	1	50	3	4	1	2	5	4	1
R2INDX	PE021099	1	51	3	4	1	3	5	4	1
R2INDX	PE021100	1	36	3	4	0	3	5	5	1
R2INDX	PE031002	1	59	1	4	0	2	5	5	1
R2INDX	PE031004	1	84	2	3	0	2	5	4	1
R2INDX	PE031006	1	48	3	4	1	2	5	5	1
R2INDX	PE031008	1	36	3	4	0	2	3	4	1
R2INDX	PE031010	1	53	3	4	1	2	4	4	1
R2INDX	PE031011	1	44	3	3	0	2	4	4	1
R2INDX	PE031012	1	49	3	4	0	2	4	3	1
R2INDX	PE031015	1	48	2	4	0	2	5	4	1
R2INDX	PE031016	1	48	1	4	0	1	5	4	1
R2INDX	PE031017	1	36	3	4	0	3	5	4	1
R2INDX	PE031018	1	36	3	4	1	2	5	5	1
R2INDX	PE031020	1	47	1	4	0	2	4	4	1
R2INDX	PE031021	1	53	1	4	0	3	4	4	1
R2INDX	PE031023	1	36	3	4	0	2	5	5	1
R2INDX	PE031024	1	37	3	4	1	3	5	4	1
R2INDX	PE031025	1	36	3	4	0	3	5	5	1
R2INDX	PE031026	1	36	3	4	1	2	5	4	1
R2INDX	PE031027	1	41	3	4	1	3	5	5	1
R2INDX	PE031028	1	36	3	4	1	2	5	4	1
R2INDX	PE031029	1	36	3	4	1	1	5	5	1
R2INDX	PE031030	1	59	2	4	1	2	5	4	1
R2INDX	PE031031	1	38	2	4	1	3	5	3	1
R2INDX	PE031032	1	37	1	4	1	3	5	4	1
R2INDX	PE031033	1	37	3	4	1	3	5	4	1
R2INDX	PE031034	1	40	3	4	1	3	5	4	1
R2INDX	PE031035	1	36	3	4	0	2	5	5	1
R2INDX	PE031036	1	48	2	4	1	2	5	5	1
R2INDX	PE031037	1	36	3	4	1	3	4	3	1
R2INDX	PE031038	1	36	2	4	1	3	5	3	1
R2INDX	PE031039	1	48	3	4	0	2	5	4	1
R2INDX	PE031040	1	36	3	4	1	2	5	4	1
R2INDX	PE031041	1	60	3	4	1	2	5	4	1
R2INDX	PE031042	1	52	3	4	1	2	5	4	1
R2INDX	PE031043	1	36	3	4	1	3	5	4	1
R2INDX	PE031044	1	60	1	4	0	2	5	5	1
R2INDX	PE031045	1	41	3	4	0	2	4	4	1
R2INDX	PE031046	1	42	3	4	1	3	5	4	1
R2INDX	PE031047	1	51	3	4	0	2	5	4	1
R2INDX	PE031048	1	45	2	4	0	3	5	4	1
R2INDX	PE031049	1	36	3	4	1	2	5	5	1
R2INDX	PE031050	1	47	3	4	0	2	5	4	1
R2INDX	PE031051	1	48	2	4	0	3	5	4	1
R2INDX	PE031052	1	36	3	4	1	2	5	12	1
R2INDX	PE031053	1	36	3	4	1	3	5	4	1
R2INDX	PE031054	1	36	3	4	1	3	5	4	1
R2INDX	PE031055	1	48	3	4	0	2	5	4	1
R2INDX	PE031056	1	36	3	4	0	4	5	4	1
R2INDX	PE031057	1	36	2	4	0	2	5	4	1
R2INDX	PE031059	1	43	3	4	1	2	5	5	1
R2INDX	PE031060	1	43	3	4	1	3	5	4	1
R2INDX	PE031061	1	48	3	4	1	3	5	4	1
R2INDX	PE031062	1	36	3	4	1	2	5	6	1
R2INDX	PE031063	1	42	3	4	0	3	5	4	1
R2INDX	PE031064	1	48	2	4	1	3	5	5	1
R2INDX	PE031067	1	36	3	4	1	3	4	4	1
R2INDX	PE031068	1	42	3	4	1	3	5	4	1
R2INDX	PE031070	1	48	2	4	0	2	3	3	1
R2INDX	PE031071	1	42	3	4	1	3	5	4	1
R2INDX	PE031072	1	36	3	4	1	2	5	4	1
R2INDX	PE031074	1	36	3	4	1	3	2	4	1
R2INDX	PE031075	1	36	3	4	1	2	5	4	1
R2INDX	PE031076	1	48	2	4	1	2	5	5	1
R2INDX	PE031077	1	48	3	4	1	3	5	4	1
R2INDX	PE031078	1	48	2	4	1	2	5	5	1
R2INDX	PE031079	1	36	2	4	1	2	5	5	1
R2INDX	PE031080	1	38	3	4	1	2	5	4	1
R2INDX	PE031081	1	43	3	4	0	2	5	4	1
R2INDX	PE031082	1	36	3	3	1	2	5	4	1
R2INDX	PE031083	1	36	3	4	1	3	5	5	1
R2INDX	PE031084	1	44	3	4	1	2	4	3	1
R2INDX	PE031085	1	48	2	4	1	3	4	5	1
R2INDX	PE031086	1	36	3	4	0	3	4	4	1
R2INDX	PE031087	1	48	3	4	1	3	5	4	1
R2INDX	PE031088	1	48	3	4	1	2	3	3	1
R2INDX	PE031089	1	48	3	4	1	3	5	4	1
R2INDX	PE031090	1	52	1	4	0	3	4	4	1
R2INDX	PE031091	1	36	3	4	1	3	4	4	1
R2INDX	PE031092	1	36	3	4	1	2	5	4	1
R2INDX	PE031093	1	36	3	4	0	3	5	3	1
R2INDX	PE031094	1	36	3	4	0	3	5	5	1
R2INDX	PE031095	1	36	3	4	1	2	5	4	1
R2INDX	PE031096	1	36	1	4	1	4	5	3	1
R2INDX	PE031097	1	46	1	4	0	4	5	2	1
R2INDX	PE031098	1	31	3	4	1	2	5	4	1
R2INDX	PE031100	1	36	3	4	1	2	5	5	1
R2INDX	PE031101	1	48	3	4	1	3	5	4	1
R2INDX	PE041001	1	36	3	4	1	2	5	4	1
R2INDX	PE041002	1	36	3	4	0	2	5	5	1
R2INDX	PE041003	1	37	3	4	0	2	5	5	1
R2INDX	PE041004	1	36	3	4	0	2	5	5	1
R2INDX	PE041005	1	36	3	4	1	3	5	6	1
R2INDX	PE041006	1	48	2	4	0	2	5	4	1
R2INDX	PE041008	1	36	2	4	0	2	5	4	1
R2INDX	PE041009	1	36	3	4	0	3	5	4	1
R2INDX	PE041010	1	36	3	4	0	3	5	5	1
R2INDX	PE041011	1	48	2	4	0	2	5	5	1
R2INDX	PE041012	1	48	2	4	1	3	5	4	1
R2INDX	PE041013	1	48	3	4	0	2	5	5	1
R2INDX	PE041014	1	36	3	4	1	2	5	4	1
R2INDX	PE041015	1	36	1	4	1	3	5	5	1
R2INDX	PE041016	1	36	3	4	0	2	5	5	1
R2INDX	PE041017	1	48	3	4	1	3	5	5	1
R2INDX	PE041018	1	48	2	4	1	2	5	3	1
R2INDX	PE041019	1	48	1	4	1	2	5	5	1
R2INDX	PE041020	1	56	2	4	1	2	5	4	1
R2INDX	PE041021	1	38	2	4	0	3	3	2	1
R2INDX	PE041022	1	48	3	4	0	2	5	4	1
R2INDX	PE041023	1	48	2	1	1	2	5	3	1
R2INDX	PE041024	1	51	2	4	1	3	5	5	1
R2INDX	PE041025	1	36	2	4	0	2	5	3	1
R2INDX	PE041026	1	48	1	4	1	3	5	4	1
R2INDX	PE041027	1	48	3	4	1	3	5	3	1
R2INDX	PE041028	1	36	3	4	1	3	5	5	1
R2INDX	PE041030	1	60	1	4	1	2	5	5	1
R2INDX	PE041031	1	48	2	4	1	2	5	5	1
R2INDX	PE041032	1	60	2	4	1	2	5	4	1
R2INDX	PE041033	1	48	2	4	1	3	5	5	1
R2INDX	PE041034	1	60	2	4	1	2	5	5	1
R2INDX	PE041035	1	48	3	4	0	2	5	3	1
R2INDX	PE041036	1	55	2	4	0	2	5	3	1
R2INDX	PE041037	1	36	3	2	0	3	5	3	1
R2INDX	PE041039	1	48	2	4	1	3	5	3	0
R2INDX	PE041040	1	60	2	4	0	2	5	3	1
R2INDX	PE041042	1	48	2	4	1	3	5	5	1
R2INDX	PE041043	1	42	1	4	0	2	3	3	1
R2INDX	PE041045	1	36	3	4	0	2	5	4	1
R2INDX	PE041046	1	48	2	4	0	3	5	3	1
R2INDX	PE041047	1	48	2	2	0	2	5	3	1
R2INDX	PE041048	1	48	2	4	1	2	5	4	1
R2INDX	PE041049	1	48	2	4	1	2	5	4	1
R2INDX	PE041051	1	33	3	4	1	2	5	4	0
R2INDX	PE041052	1	48	3	4	0	3	5	5	1
R2INDX	PE041053	1	48	2	4	0	2	5	3	1
R2INDX	PE041053	2	48	2	4	1	2	5	3	1
R2INDX	PE041054	1	48	2	4	0	1	5	5	1
R2INDX	PE041055	1	48	3	4	1	2	5	3	0
R2INDX	PE041056	1	36	3	4	1	3	5	3	0
R2INDX	PE041058	1	52	2	4	1	4	5	5	1
R2INDX	PE041059	1	48	3	4	1	2	5	4	1
R2INDX	PE041060	1	50	2	4	0	3	5	4	1
R2INDX	PE041061	1	36	2	4	1	1	5	5	1
R2INDX	PE041063	1	36	3	4	1	2	5	5	1
R2INDX	PE041064	1	36	1	4	1	3	5	5	1
R2INDX	PE041065	1	60	1	4	0	3	3	3	1
R2INDX	PE041066	1	36	2	4	1	2	5	4	0
R2INDX	PE041067	1	36	2	4	1	2	5	4	1
R2INDX	PE041069	1	36	3	4	1	3	5	4	1
R2INDX	PE041070	1	48	2	4	1	2	5	4	1
R2INDX	PE041071	1	36	3	4	0	2	5	4	1
R2INDX	PE041072	1	60	2	4	1	2	5	4	1
R2INDX	PE041073	1	40	3	4	0	2	5	4	1
R2INDX	PE041074	1	36	2	4	0	2	5	5	1
R2INDX	PE041075	1	40	3	4	1	2	5	4	1
R2INDX	PE041076	1	48	3	4	1	2	5	4	1
R2INDX	PE041077	1	48	3	4	1	3	5	4	1
R2INDX	PE041078	1	48	3	4	1	2	5	5	1
R2INDX	PE041080	1	36	3	4	1	2	5	5	1
R2INDX	PE041081	1	48	2	4	1	2	5	5	1
R2INDX	PE041083	1	48	3	4	0	3	5	4	1
R2INDX	PE041084	1	54	2	4	1	3	5	5	0
R2INDX	PE041085	1	36	2	4	0	2	3	3	1
R2INDX	PE041086	1	48	2	4	0	3	5	4	1
R2INDX	PE041087	1	52	1	4	1	2	5	4	1
R2INDX	PE041088	1	48	2	4	1	2	5	4	1
R2INDX	PE041089	1	36	1	4	0	2	3	4	1
R2INDX	PE041090	1	41	3	4	1	2	5	3	1
R2INDX	PE041091	1	48	2	4	0	2	5	3	1
R2INDX	PE041093	1	37	2	4	0	2	5	3	1
R2INDX	PE041093	2	55	2	4	0	3	5	4	1
R2INDX	PE041094	1	40	2	4	0	2	5	3	1
R2INDX	PE041096	1	36	3	4	1	2	5	4	1
R2INDX	PE041097	1	36	3	4	0	2	5	3	1
R2INDX	PE041098	1	48	1	4	0	1	5	4	0
R2INDX	PE041099	1	36	3	4	1	3	5	5	1
R2INDX	PE041100	1	48	2	4	1	3	5	3	1
R2INDX	PE051004	1	48	2	4	1	2	5	4	1
R2INDX	PE051009	1	36	3	4	0	2	5	4	1
R2INDX	PE051010	1	36	3	4	0	3	5	3	1
R2INDX	PE051016	1	46	2	4	1	2	5	4	1
R2INDX	PE051018	1	36	3	4	0	2	5	4	1
R2INDX	PE051020	1	36	3	4	1	2	5	3	0
R2INDX	PE051021	1	44	2	4	0	2	5	5	1
R2INDX	PE051023	1	39	3	4	1	2	5	7	1
R2INDX	PE051024	1	48	2	4	1	3	5	5	1
R2INDX	PE051025	1	36	3	4	1	3	5	4	1
R2INDX	PE051026	1	48	1	4	1	3	5	4	1
R2INDX	PE051028	1	36	2	4	1	3	5	4	1
R2INDX	PE051029	1	54	2	4	1	3	5	4	1
R2INDX	PE051030	1	44	3	4	1	2	5	4	1
R2INDX	PE051031	1	36	2	4	1	2	0	5	1
R2INDX	PE051032	1	48	2	4	1	3	5	3	1
R2INDX	PE051033	1	43	3	4	1	2	5	5	1
R2INDX	PE051034	1	45	3	4	1	3	5	4	1
R2INDX	PE051035	1	55	2	4	1	3	5	4	1
R2INDX	PE051038	1	48	2	4	1	3	3	4	1
R2INDX	PE051039	1	55	2	4	1	2	5	5	1
R2INDX	PE051040	1	48	2	4	1	2	5	5	1
R2INDX	PE051041	1	56	2	4	0	2	5	3	1
R2INDX	PE051042	1	48	2	4	1	3	5	4	1
R2INDX	PE051046	1	58	2	4	1	2	5	5	1
R2INDX	PE051047	1	36	3	4	1	2	5	4	1
R2INDX	PE051048	1	48	2	4	1	2	5	5	1
R2INDX	PE051049	1	48	2	4	1	2	5	4	1
R2INDX	PE051058	1	42	3	4	1	3	5	3	1
R2INDX	PE051061	1	46	3	4	1	3	5	3	1
R2INDX	PE051062	1	38	3	4	1	2	5	3	1
R2INDX	PE051063	1	48	3	4	1	3	5	5	1
R2INDX	PE051065	1	51	3	4	1	2	5	5	1
R2INDX	PE051067	1	36	3	4	0	2	5	4	1
R2INDX	PE051067	2	56	2	1	1	2	5	5	0
R2INDX	PE051070	1	48	3	4	1	3	5	5	0
R2INDX	PE051071	1	48	2	4	1	2	5	4	1
R2INDX	PE051073	1	48	3	4	1	3	5	2	1
R2INDX	PE051078	1	54	1	4	1	3	5	3	1
R2INDX	PE051080	1	54	1	4	1	3	5	2	1
R2INDX	PE051081	1	48	2	4	1	3	5	4	1
R2INDX	PE051084	1	48	1	6	1	3	5	4	1
R2INDX	PE051085	1	44	3	4	1	3	5	4	1
R2INDX	PE051088	1	48	2	3	 	 	6	4	 
R2INDX	PE051090	1	48	3	4	0	2	5	4	1
R2INDX	PE051091	1	36	2	4	0	1	5	4	1
R2INDX	PE051092	1	54	1	4	0	2	5	5	0
R2INDX	PE051095	1	48	2	4	1	3	5	5	1
R2INDX	PE051099	1	48	2	4	1	3	5	4	1
R2INDX	PE051100	1	36	3	4	1	2	5	3	1
R2INDX	PE061001	1	36	3	4	1	2	5	4	1
R2INDX	PE061002	1	58	3	4	1	2	5	4	0
R2INDX	PE061003	1	36	2	4	1	2	5	5	1
R2INDX	PE061004	1	36	3	4	1	4	5	4	1
R2INDX	PE061011	1	45	1	4	1	3	4	4	1
R2INDX	PE061012	1	48	2	4	1	2	5	4	1
R2INDX	PE061013	1	48	1	4	1	3	5	5	1
R2INDX	PE061014	1	36	3	4	1	2	5	5	1
R2INDX	PE061015	1	36	2	4	1	2	5	5	1
R2INDX	PE061016	1	47	3	4	1	2	5	4	1
R2INDX	PE061017	1	48	2	4	1	3	5	4	1
R2INDX	PE061021	1	40	3	4	1	2	5	4	1
R2INDX	PE061022	1	48	2	4	1	2	5	4	1
R2INDX	PE061023	1	48	2	4	1	2	5	5	1
R2INDX	PE061024	1	44	3	4	1	2	5	4	1
R2INDX	PE061025	1	42	3	4	1	2	5	4	1
R2INDX	PE061026	1	42	3	4	1	2	5	4	1
R2INDX	PE061031	1	38	3	4	1	3	5	5	1
R2INDX	PE061032	1	44	3	4	1	4	5	4	1
R2INDX	PE061033	1	42	3	1	1	2	5	6	1
R2INDX	PE061034	1	36	2	4	1	2	5	4	1
R2INDX	PE061035	1	44	2	4	1	2	5	5	0
R2INDX	PE061036	1	41	3	4	0	2	5	5	1
R2INDX	PE061037	1	48	3	4	1	2	5	4	1
R2INDX	PE061038	1	48	3	4	1	3	5	4	1
R2INDX	PE061039	1	48	3	4	1	3	5	5	1
R2INDX	PE061040	1	38	3	1	1	2	5	5	1
R2INDX	PE061041	1	48	3	4	1	2	5	4	1
R2INDX	PE061043	1	48	2	4	1	2	5	4	1
R2INDX	PE061044	1	35	3	4	1	2	5	4	0
R2INDX	PE061045	1	36	3	4	1	2	5	4	1
R2INDX	PE061046	1	36	3	4	1	3	5	4	1
R2INDX	PE061047	1	36	3	1	1	2	5	0	1
R2INDX	PE061049	1	41	3	4	1	3	5	5	1
R2INDX	PE061050	1	48	2	4	1	2	5	5	1
R2INDX	PE061051	1	48	2	4	1	3	5	4	1
R2INDX	PE061052	1	50	2	4	1	2	5	5	1
R2INDX	PE061053	1	48	2	1	1	4	5	5	0
R2INDX	PE061056	1	48	2	4	1	2	5	4	1
R2INDX	PE061056	2	60	1	4	1	2	5	4	1
R2INDX	PE061057	1	36	3	4	1	3	5	4	1
R2INDX	PE061058	1	48	2	4	1	3	2	1	1
R2INDX	PE061059	1	36	3	4	1	3	5	4	1
R2INDX	PE061060	1	53	3	4	1	2	5	4	1
R2INDX	PE061061	1	48	2	4	1	1	5	4	1
R2INDX	PE061063	1	48	3	4	0	3	4	5	1
R2INDX	PE061064	1	45	3	4	1	2	5	5	1
R2INDX	PE061065	1	48	2	4	1	3	5	4	1
R2INDX	PE061066	1	42	3	4	1	3	5	4	1
R2INDX	PE061067	1	38	3	4	1	2	5	4	1
R2INDX	PE061068	1	40	3	4	1	2	5	4	1
R2INDX	PE061069	1	45	2	4	1	2	5	4	1
R2INDX	PE061070	1	53	1	4	1	2	5	4	1
R2INDX	PE061071	1	48	1	4	1	2	5	4	1
R2INDX	PE061072	1	48	3	4	1	3	5	4	1
R2INDX	PE061075	1	51	2	4	1	2	5	3	1
R2INDX	PE061078	1	39	2	4	1	2	5	4	1
R2INDX	PE061080	1	55	2	4	1	1	5	3	1
R2INDX	PE061081	1	48	2	4	1	2	5	4	1
R2INDX	PE061083	1	48	3	4	1	2	5	4	1
R2INDX	PE061085	1	36	3	3	1	2	5	4	1
