childid	passid	passet	numpass	valpass	decpass
PE021027	1	18	2	17.5	2
PE021027	2	20	1	20	2
PE021027	3	19	1	10	2
PE021027	4	21	1	20	2
PE021027	5	21	1	10	2
PE021028	1	18	2	20	1
PE021028	2	19	2	15	1
PE021029	1	19	0	 	90
PE021029	2	18	0	 	90
PE021029	3	33	5	2	2
PE021029	4	33	5	1	2
PE021030	1	39	1	20	2
PE021030	2	36	1	100	2
PE021030	3	18	1	5	4
PE021030	4	19	1	5	4
PE021032	1	18	2	25	1
PE021032	2	40	1	5	1
PE021032	3	20	1	20	1
PE021033	1	8	1	30	1
PE021033	2	18	1	20	1
PE021033	3	19	1	5	1
PE021033	4	19	1	10	1
PE021033	5	16	0	 	 
PE021034	1	18	1	20	1
PE021034	2	19	1	11	1
PE021034	3	33	1	30	2
PE021034	4	33	1	50	2
PE021035	1	19	2	20	1
PE021035	2	18	1	10	1
PE021035	3	8	1	100	1
PE021036	1	19	2	12	80
PE021036	2	18	2	35	80
PE021037	1	19	2	9	1
PE021037	2	18	1	28	1
PE021038	1	18	1	20	1
PE021038	2	20	1	20	1
PE021038	3	33	1	20	2
PE021039	1	18	1	15	1
PE021039	2	19	1	10	1
PE021039	3	5	1	400	1
PE021039	4	21	1	300	1
PE021040	1	19	1	8	4
PE021040	2	18	1	30	4
PE021041	1	33	1	900	1
PE021042	1	38	0	 	90
PE021042	2	18	1	20	1
PE021042	3	20	1	10	1
PE021042	4	19	1	5	1
PE021043	1	18	1	10	2
PE021043	2	21	1	10	2
PE021043	3	19	1	10	2
PE021043	4	19	1	10	2
PE021045	1	18	1	40	1
PE021045	2	19	2	12	1
PE021046	1	33	1	4	3
PE021046	2	33	2	6	3
PE021046	3	33	2	15	3
PE021046	4	33	1	8	3
PE021046	5	18	2	20	3
PE021046	6	20	1	15	3
PE021046	7	40	1	25	3
PE021046	8	33	3	8	3
PE021046	9	40	2	12	3
PE021046	10	18	1	10	1
PE021046	11	21	0	 	 
PE021046	12	21	0	 	 
PE021046	13	19	1	18	1
PE021046	14	3	1	120	3
PE021047	1	18	1	20	1
PE021047	2	19	4	9.5	1
PE021047	3	20	2	15	1
PE021047	4	33	1	200	1
PE021047	5	5	1	80	1
PE021048	1	39	1	15	2
PE021049	1	18	1	20	1
PE021049	2	19	2	10	1
PE021049	3	19	1	15	1
PE021050	1	18	1	10	1
PE021050	2	19	1	3	1
PE021050	3	19	1	2	1
PE021051	1	19	1	5	1
PE021051	2	18	1	10	1
PE021052	1	18	3	10	1
PE021052	2	19	6	10	1
PE021053	1	19	1	8	1
PE021054	1	18	1	14	1
PE021054	2	19	2	9	1
PE021054	3	20	1	22	1
PE021055	1	18	6	10	1
PE021055	2	19	2	13	1
PE021055	3	20	2	10	1
PE021055	4	8	1	100	1
PE021055	5	36	1	500	2
PE021056	1	18	1	8	1
PE021056	2	19	2	8	1
PE021057	1	18	3	5	1
PE021057	2	19	2	5	1
PE021057	3	20	0	 	 
PE021057	4	33	1	2	1
PE021057	5	33	1	5	1
PE021057	6	33	1	3	1
PE021058	1	18	2	20	1
PE021058	2	20	1	20	1
PE021058	3	19	2	8	1
PE021060	1	40	1	10	1
PE021060	2	33	1	20	1
PE021061	1	19	2	14	1
PE021061	2	18	1	15	1
PE021062	1	18	1	25	1
PE021062	2	19	2	10	1
PE021063	1	19	1	10	1
PE021063	2	18	1	10	1
PE021064	1	18	2	5	1
PE021064	2	19	4	5	1
PE021065	1	19	6	25	2
PE021066	1	19	2	15	1
PE021066	2	18	1	10	1
PE021067	1	18	1	10	9
PE021067	2	19	2	5	9
PE021068	1	18	1	5	1
PE021068	2	19	1	3	1
PE021068	3	33	0	 	 
PE021069	1	18	1	20	1
PE021069	2	19	2	5	1
PE021070	1	19	1	5	1
PE021070	2	18	0	 	 
PE021071	1	19	2	12	1
PE021071	2	18	1	15	1
PE021072	1	18	3	10	80
PE021072	2	8	1	40	8
PE021072	3	19	3	10	80
PE021072	4	20	1	20	80
PE021073	1	18	1	20	1
PE021073	2	19	1	10	1
PE021073	3	34	0	 	90
PE021074	1	18	1	30	1
PE021075	1	18	3	20	80
PE021075	2	19	6	20	80
PE021076	1	19	1	15	1
PE021077	1	18	1	50	1
PE021077	2	19	1	15	1
PE021077	3	8	1	450	1
PE021078	1	19	5	9	5
PE021078	2	18	4	30	5
PE021078	3	20	3	40	5
PE021079	1	19	1	9	1
PE021079	2	18	1	30	1
PE021080	1	19	1	9	1
PE021080	2	37	1	4500	1
PE021081	1	1	0	 	 
PE021081	2	18	36	70	2
PE021081	3	19	1	30	2
PE021081	4	20	1	10	2
PE021083	1	18	7	10	1
PE021083	2	19	8	7	1
PE021083	3	20	4	50	1
PE021083	4	8	1	200	1
PE021083	5	37	1	3000	1
PE021083	6	3	1	50	1
PE021084	1	19	2	8	1
PE021084	2	21	1	20	1
PE021084	3	18	1	20	1
PE021086	1	8	1	150	1
PE021086	2	18	1	60	1
PE021086	3	19	1	20	1
PE021087	1	33	0	 	 
PE021087	2	39	0	 	 
PE021087	3	33	0	 	 
PE021087	4	33	0	 	 
PE021088	1	19	0	 	 
PE021088	2	18	0	 	 
PE021088	3	33	0	 	 
PE021090	1	18	2	60	1
PE021090	2	18	2	10	1
PE021090	3	33	2	50	1
PE021091	1	18	3	32	3
PE021091	2	19	3	12	3
PE021091	3	33	1	5	3
PE021091	4	40	2	5	3
PE021092	1	19	1	18	1
PE021094	1	18	1	25	1
PE021094	2	19	1	18	1
PE021095	1	21	0	 	 
PE021096	1	33	1	80	1
PE021096	2	33	1	25	1
PE021096	3	40	1	20	1
PE021096	4	33	1	30	1
PE021097	1	19	3	10	1
PE021097	2	18	1	40	1
PE021098	1	19	1	9	1
PE021098	2	18	1	25	1
PE021098	3	18	1	10	1
PE021099	1	18	1	20	1
PE021099	2	19	1	5	1
PE021099	3	26	0	 	1
PE021099	4	33	0	 	1
PE021099	5	26	1	300	1
PE031002	1	18	3	18	1
PE031002	2	20	3	50	1
PE031002	3	8	1	200	1
PE031002	4	19	2	15	1
PE031003	1	33	2	3	1
PE031004	1	18	1	20	1
PE031004	2	20	2	27.5	1
PE031004	3	19	1	30	1
PE031005	1	20	4	35	90
PE031005	2	18	2	10	90
PE031005	3	5	2	50	90
PE031006	1	18	3	15	1
PE031006	2	20	3	25	1
PE031006	3	19	2	10	1
PE031007	1	18	2	10	1
PE031007	2	20	1	10	1
PE031007	3	5	1	50	1
PE031007	4	20	1	15	1
PE031008	1	18	3	18	80
PE031008	2	19	3	15	80
PE031008	3	20	3	30	80
PE031010	1	18	3	5	1
PE031010	2	20	4	9	1
PE031010	3	19	2	5	1
PE031011	1	19	 	15	1
PE031011	2	20	 	40	1
PE031011	3	18	 	18	1
PE031011	4	21	 	20	1
PE031011	5	5	 	20	1
PE031012	1	18	2	5	1
PE031012	2	20	1	5	1
PE031012	3	19	1	5	1
PE031013	1	18	2	15	5
PE031013	2	20	4	47.5	5
PE031013	3	5	2	50	5
PE031013	4	19	2	10	5
PE031014	1	20	2	20	80
PE031014	2	19	2	9	80
PE031014	3	18	3	18	80
PE031014	4	21	1	10	80
PE031015	1	2	2	5	1
PE031015	2	20	2	17.5	1
PE031015	3	19	1	10	1
PE031015	4	19	2	5	1
PE031015	5	21	2	10	2
PE031016	1	18	1	20	1
PE031016	2	20	1	30	1
PE031016	3	21	1	20	1
PE031016	4	40	3	20	1
PE031016	5	3	1	125	1
PE031020	1	18	2	15	1
PE031020	2	20	3	20	1
PE031020	3	21	1	10	1
PE031020	4	19	1	10	1
PE031021	1	5	2	50	4
PE031021	2	18	2	20	4
PE031021	3	20	2	20	4
PE031021	4	19	1	10	4
PE031022	1	19	2	5	1
PE031022	2	5	2	10	1
PE031022	3	20	2	15	1
PE031022	4	19	2	10	1
PE031026	1	33	3	260	4
PE031026	2	39	1	50	4
PE031026	3	33	4	60	4
PE031026	4	33	14	20	4
PE031027	1	18	2	15	1
PE031027	2	20	1	15	1
PE031028	1	33	1	30	1
PE031029	1	33	1	250	2
PE031029	2	33	1	500	2
PE031029	3	33	1	170	2
PE031029	4	33	36	20	2
PE031029	5	33	3	18	2
PE031030	1	19	1	6	4
PE031030	2	18	1	10	4
PE031030	3	20	1	20	4
PE031030	4	13	1	2000	4
PE031031	1	18	2	10	80
PE031031	2	19	2	10	80
PE031031	3	20	1	30	80
PE031032	1	19	1	10	80
PE031032	2	18	2	15	80
PE031033	1	18	4	10	1
PE031033	2	9	1	30	1
PE031033	3	33	1	500	80
PE031033	4	39	1	40	2
PE031033	5	33	4	20	2
PE031034	1	20	1	20	4
PE031034	2	18	2	10	4
PE031034	3	19	2	8	4
PE031035	1	18	2	15	1
PE031035	2	20	1	15	1
PE031035	3	19	1	12	1
PE031037	1	18	3	10	1
PE031037	2	20	1	10	1
PE031038	1	21	1	10	1
PE031039	1	39	1	800	1
PE031040	1	26	1	2000	80
PE031040	2	33	2	500	80
PE031040	3	30	1	200	80
PE031040	4	33	3	100	80
PE031040	5	3	2	150	80
PE031041	1	20	2	25	1
PE031041	2	19	1	6	1
PE031041	3	18	1	20	1
PE031042	1	18	1	5	1
PE031042	2	19	1	10	1
PE031042	3	20	1	10	1
PE031045	1	5	1	10	1
PE031045	2	18	4	20	1
PE031045	3	20	1	20	1
PE031045	4	19	2	10	1
PE031046	1	18	1	18	3
PE031046	2	20	3	22.5	3
PE031046	3	19	2	8	3
PE031046	4	5	1	20	3
PE031046	5	21	2	15	3
PE031047	1	18	4	20	16
PE031047	2	20	8	30	16
PE031047	3	18	2	20	16
PE031048	1	18	1	18	1
PE031048	2	20	3	37	1
PE031048	3	18	1	18	1
PE031049	1	18	5	10.8	1
PE031049	2	20	2	60	1
PE031049	3	19	4	13.5	1
PE031049	4	8	1	250	1
PE031049	5	5	2	20	1
PE031050	1	5	1	20	2
PE031050	2	18	3	15	2
PE031050	3	20	1	40	2
PE031050	4	19	1	10	2
PE031051	1	39	1	80	2
PE031052	1	18	3	12	1
PE031052	2	20	2	30	1
PE031052	3	19	1	12	1
PE031052	4	27	1	5	2
PE031052	5	33	1	30	5
PE031054	1	33	1	500	80
PE031054	2	33	1	1500	80
PE031054	3	33	3	100	80
PE031055	1	18	4	14	1
PE031055	2	20	3	35	1
PE031055	3	19	2	20	1
PE031055	4	19	2	12	1
PE031056	1	18	3	15	1
PE031056	2	20	3	31	1
PE031056	3	19	3	15	1
PE031056	4	3	1	100	1
PE031057	1	18	4	8	1
PE031057	2	20	1	10	1
PE031057	3	19	2	5	1
PE031058	1	18	3	15	1
PE031058	2	20	2	15	1
PE031058	3	19	3	12	1
PE031059	1	18	6	5	1
PE031059	2	20	2	12	1
PE031059	3	19	3	8	1
PE031059	4	21	4	2	1
PE031060	1	18	2	10	1
PE031060	2	20	2	14	1
PE031060	3	19	1	8	1
PE031061	1	19	1	10	1
PE031061	2	20	1	30	1
PE031061	3	18	1	8	1
PE031062	1	18	1	20	1
PE031062	2	20	1	40	1
PE031062	3	19	1	25	1
PE031062	4	21	1	20	1
PE031063	1	19	1	15	1
PE031063	2	20	1	40	1
PE031063	3	18	1	20	1
PE031064	1	18	12	10	3
PE031064	2	19	12	15	3
PE031064	3	20	5	30	3
PE031064	4	21	2	50	3
PE031064	5	32	1	40	3
PE031064	6	33	4	50	3
PE031065	1	18	4	15	2
PE031065	2	20	3	40	2
PE031065	3	9	1	 	2
PE031065	4	5	1	40	2
PE031065	5	39	1	80	1
PE031066	1	19	2	15	3
PE031066	2	5	1	20	3
PE031066	3	20	3	18	3
PE031066	4	21	2	6	3
PE031066	5	19	2	4	3
PE031067	1	19	2	10	3
PE031067	2	18	2	15	3
PE031067	3	20	2	27.5	3
PE031067	4	21	2	9	3
PE031068	1	20	2	30	1
PE031068	2	18	2	15	1
PE031068	3	19	2	12	1
PE031068	4	18	2	15	1
PE031069	1	18	2	5	1
PE031069	2	19	2	5	1
PE031069	3	21	1	15	1
PE031069	4	20	1	40	1
PE031070	1	18	2	40	3
PE031070	2	19	1	10	3
PE031070	3	20	1	15	3
PE031070	4	21	1	20	3
PE031070	5	19	3	12	3
PE031070	6	39	1	30	5
PE031071	1	19	1	10	1
PE031071	2	20	1	30	1
PE031071	3	18	1	20	1
PE031072	1	18	1	10	1
PE031072	2	20	1	10	1
PE031072	3	12	1	10	1
PE031072	4	21	2	5	1
PE031073	1	18	2	12	1
PE031073	2	19	1	10	1
PE031074	1	18	2	10	80
PE031074	2	21	2	15	80
PE031074	3	20	2	25	80
PE031075	1	20	1	20	1
PE031075	2	18	2	20	1
PE031076	1	18	2	10	1
PE031076	2	19	4	5	1
PE031076	3	20	3	5	1
PE031076	4	17	2	5	1
PE031077	1	20	3	30	1
PE031077	2	19	6	12	1
PE031077	3	5	1	80	1
PE031077	4	21	1	90	1
PE031077	5	21	1	40	1
PE031077	6	18	5	20	1
PE031078	1	18	2	8	3
PE031078	2	20	1	20	3
PE031078	3	21	1	10	3
PE031079	1	21	1	15	1
PE031079	2	20	2	50	1
PE031079	3	19	2	10	1
PE031079	4	18	3	18	1
PE031080	1	18	2	25	1
PE031080	2	20	2	19	1
PE031081	1	18	2	20	1
PE031081	2	19	2	10	1
PE031081	3	20	3	30	1
PE031082	1	3	3	50	1
PE031082	2	33	60	10	1
PE031082	3	33	5	1	1
PE031082	4	33	20	1	1
PE031083	1	18	3	10	1
PE031083	2	19	1	7	1
PE031083	3	20	2	10	1
PE031083	4	33	1	10	2
PE031084	1	18	1	3	80
PE031084	2	19	1	5	80
PE031085	1	18	2	10	1
PE031085	2	19	3	7	1
PE031085	3	20	4	45	1
PE031086	1	19	2	11	1
PE031086	2	18	2	18	1
PE031086	3	20	1	40	1
PE031086	4	21	1	25	1
PE031087	1	19	4	15	2
PE031087	2	20	5	23	80
PE031087	3	18	4	12	2
PE031087	4	21	2	15	2
PE031087	5	5	1	18	2
PE031087	6	21	2	20	2
PE031088	1	20	1	20	1
PE031088	2	18	2	15	1
PE031088	3	19	1	10	1
PE031088	4	33	1	2	1
PE031089	1	19	2	10	1
PE031089	2	20	2	40	1
PE031089	3	18	3	20	1
PE031089	4	21	1	10	1
PE031089	5	19	1	10	1
PE031090	1	18	1	5	1
PE031090	2	19	1	10	1
PE031090	3	20	1	10	1
PE031091	1	20	2	50	1
PE031091	2	18	2	20	1
PE031091	3	21	1	20	1
PE031091	4	19	1	30	1
PE031092	1	20	1	40	1
PE031092	2	18	2	15	1
PE031092	3	19	1	12	1
PE031093	1	19	1	12	17
PE031093	2	20	1	40	17
PE031093	3	21	1	25	17
PE031095	1	18	2	10	1
PE031095	2	20	1	10	1
PE031095	3	19	2	10	1
PE031096	1	18	2	25	1
PE031096	2	19	1	10	1
PE031097	1	18	2	10	1
PE031097	2	20	2	5	1
PE031097	3	19	1	8	1
PE031098	1	21	1	300	2
PE031098	2	18	2	30	2
PE031098	3	20	2	70	2
PE031098	4	19	2	10	2
PE031098	5	21	1	20	2
PE031099	1	19	2	5	16
PE031099	2	13	0	 	 
PE031099	3	20	0	 	 
PE031099	4	21	0	 	 
PE031100	1	18	2	15	1
PE031100	2	19	2	10	1
PE031100	3	20	5	70	1
PE031100	4	3	1	150	1
PE031100	5	40	1	30	1
PE031101	1	18	2	18	1
PE031101	2	20	2	40	1
PE031101	3	7	1	40	1
PE031101	4	19	1	15	1
PE041001	1	18	3	10	80
PE041001	2	20	1	10	80
PE041001	3	19	3	5	80
PE041001	4	5	1	10	80
PE041001	5	20	1	15	80
PE041002	1	18	3	20	1
PE041002	2	19	3	15	1
PE041002	3	18	2	20	1
PE041002	4	18	2	18	1
PE041002	5	7	1	25	1
PE041002	6	21	1	15	1
PE041003	1	5	2	30	1
PE041003	2	18	2	25	1
PE041003	3	21	2	15	1
PE041003	4	21	1	15	1
PE041003	5	19	2	15	1
PE041003	6	20	2	15	1
PE041004	1	18	4	6	1
PE041004	2	19	1	4	1
PE041004	3	20	1	15	1
PE041004	4	5	1	10	1
PE041004	5	8	1	150	1
PE041005	1	18	1	30	1
PE041005	2	18	1	40	1
PE041005	3	19	2	15	1
PE041005	4	20	1	50	1
PE041006	1	5	1	50	1
PE041006	2	18	1	20	1
PE041006	3	20	1	40	1
PE041006	4	21	1	10	1
PE041006	5	21	1	15	1
PE041006	6	19	2	16	1
PE041008	1	18	1	8	1
PE041008	2	18	1	8	1
PE041008	3	5	1	5	1
PE041008	4	21	1	5	1
PE041008	5	21	1	5	1
PE041008	6	19	1	10	1
PE041009	1	18	1	15	1
PE041009	2	21	2	10	1
PE041009	3	20	2	10	1
PE041009	4	21	1	10	1
PE041009	5	21	1	10	1
PE041010	1	5	1	40	1
PE041010	2	18	2	40	1
PE041010	3	19	2	20	1
PE041010	4	20	2	40	1
PE041010	5	21	1	15	1
PE041010	6	7	4	120	1
PE041012	1	18	4	5	1
PE041012	2	7	1	20	1
PE041012	3	20	1	10	1
PE041013	1	18	6	25	80
PE041013	2	19	3	15	80
PE041013	3	5	1	30	80
PE041014	1	34	1	16250	1
PE041015	1	18	8	18	1
PE041015	2	19	1	10	1
PE041015	3	20	1	40	1
PE041016	1	19	1	18	1
PE041016	2	20	1	30	1
PE041016	3	21	1	25	1
PE041016	4	18	2	30	1
PE041016	5	8	1	150	1
PE041016	6	21	1	15	1
PE041016	7	34	1	 	1
PE041017	1	20	2	45	80
PE041017	2	33	1	10	80
PE041017	3	39	1	40	80
PE041017	4	33	2	50	80
PE041017	5	34	1	30000	2
PE041018	1	18	4	20	80
PE041018	2	19	1	10	80
PE041019	1	18	2	10	80
PE041019	2	19	1	6	80
PE041019	3	20	1	12	80
PE041020	1	18	10	10	1
PE041020	2	5	3	50	1
PE041020	3	20	2	60	1
PE041020	4	19	3	20	1
PE041021	1	19	1	10	2
PE041022	1	5	2	50	80
PE041022	2	21	3	15	80
PE041022	3	18	4	20	80
PE041022	4	19	3	10	80
PE041022	5	20	2	40	80
PE041022	6	18	1	40	80
PE041023	1	18	19	30	3
PE041023	2	19	6	10	3
PE041023	3	20	2	45	3
PE041023	4	5	3	25	3
PE041023	5	7	4	25	3
PE041024	1	18	13	25	1
PE041024	2	5	2	50	1
PE041024	3	19	3	20	1
PE041024	4	20	2	30	1
PE041025	1	18	3	30	1
PE041025	2	20	1	45	1
PE041025	3	19	2	10	1
PE041025	4	18	1	10	1
PE041026	1	33	1	400	1
PE041026	2	33	2	100	1
PE041026	3	33	3	100	1
PE041026	4	40	3	10	1
PE041026	5	33	1	600	1
PE041029	1	5	1	20	1
PE041029	2	8	1	200	1
PE041029	3	18	5	40	1
PE041029	4	19	5	10	1
PE041029	5	20	1	30	1
PE041030	1	18	10	16	1
PE041030	2	19	1	5	1
PE041031	1	31	2	10	3
PE041031	2	18	11	15	2
PE041031	3	19	3	10	2
PE041031	4	20	2	10	2
PE041031	5	8	1	20	2
PE041031	6	5	1	30	2
PE041032	1	18	2	20	80
PE041032	2	5	1	30	80
PE041032	3	20	1	35	1
PE041033	1	18	8	25	2
PE041033	2	5	1	20	2
PE041033	3	20	1	40	2
PE041034	1	18	7	25	1
PE041034	2	19	4	12	1
PE041034	3	20	2	50	1
PE041034	4	5	3	100	1
PE041035	1	18	4	20	80
PE041035	2	5	1	50	80
PE041035	3	19	2	10	80
PE041036	1	3	1	50	80
PE041036	2	5	3	20	80
PE041036	3	7	5	20	80
PE041036	4	8	1	300	80
PE041036	5	9	1	80	80
PE041036	6	10	1	50	80
PE041036	7	18	5	10	80
PE041036	8	19	2	10	80
PE041036	9	20	2	25	80
PE041037	1	18	1	10	1
PE041037	2	18	3	20	1
PE041037	3	18	1	20	1
PE041037	4	19	1	10	1
PE041037	5	20	1	20	1
PE041037	6	20	1	10	1
PE041038	1	18	2	20	80
PE041038	2	5	1	25	80
PE041038	3	19	1	10	80
PE041039	1	18	3	20	1
PE041039	2	18	2	40	1
PE041039	3	5	2	50	1
PE041039	4	7	1	30	1
PE041040	1	18	6	25	80
PE041040	2	20	2	30	80
PE041040	3	19	2	15	80
PE041040	4	8	1	250	80
PE041040	5	5	2	25	80
PE041041	1	18	4	20	1
PE041041	2	20	2	10	1
PE041041	3	19	4	5	1
PE041042	1	33	1	2000	80
PE041042	2	33	1	2000	1
PE041042	3	32	1	1200	1
PE041042	4	33	1	200	1
PE041042	5	33	1	2000	1
PE041042	6	33	1	200	1
PE041043	1	18	2	10	1
PE041043	2	19	2	10	1
PE041043	3	18	1	20	1
PE041043	4	20	1	20	1
PE041044	1	20	1	45	1
PE041044	2	18	5	100	1
PE041044	3	8	1	250	1
PE041044	4	5	1	 	1
PE041044	5	19	2	10	1
PE041044	6	21	1	10	1
PE041045	1	22	1	350	1
PE041045	2	18	1	20	1
PE041045	3	19	2	10	1
PE041045	4	20	3	30	1
PE041046	1	18	1	10	1
PE041046	2	18	1	10	1
PE041046	3	20	1	10	1
PE041046	4	26	1	800	1
PE041046	5	14	1	300	1
PE041046	6	21	1	10	1
PE041047	1	18	4	25	2
