childid	foodid	foodcode	foodnum	foodamt	foodcost
PE011041	2	8	13	1	2
PE011041	3	8	2	2	1.5
PE011041	4	6	2	.5	.800000011920929
PE011041	5	5	2	.25	1
PE011041	6	2	2	.5	1
PE011042	1	10	264	1	1
PE011042	2	10	198	1	1
PE011043	1	10	80	3	.5
PE011043	2	1	1	2	1.79999995231628
PE011044	1	10	210	1	.5
PE011045	1	1	12	2	2.20000004768372
PE011045	2	3	12	2	2
PE011046	1	10	1	3	.5
PE011048	1	10	20	1	3
PE011048	2	10	60	1	1
PE011049	1	10	240	1	.5
PE011049	2	10	200	1	2
PE011049	3	10	200	1	.5
PE011049	4	9	200	1	.300000011920929
PE011050	1	10	240	2	.5
PE011050	2	9	20	1	.300000011920929
PE011051	1	1	12	1	2.20000004768372
PE011051	2	10	310	1	1.5
PE011053	1	10	198	2	1
PE011055	1	1	4	1	2.20000004768372
PE011055	2	8	14	2	3
PE011055	3	10	210	1	1
PE011059	1	10	240	1	.5
PE011060	1	1	12	1	2.20000004768372
PE011062	1	1	80	3	3
PE011064	1	10	210	1	1
PE011065	1	10	360	1	1
PE011066	1	9	20	1	.200000002980232
PE011067	1	9	20	1	.100000001490116
PE011070	1	10	240	1	1
PE011071	1	1	310	1	.5
PE011072	1	1	210	1	.5
PE011072	2	10	210	1	1
PE011073	1	10	180	1	3.5
PE011076	1	9	24	1	.5
PE011076	2	10	209	1	1
PE011077	1	10	198	1	1
PE011077	2	10	176	1	2
PE011078	1	1	12	1	2.20000004768372
PE011078	2	3	12	1	2.5
PE011078	3	10	200	1	3
PE011079	1	1	310	1	.5
PE011079	2	9	310	1	.100000001490116
PE011081	1	1	240	3	.5
PE011081	2	10	200	1	1
PE011081	3	2	200	2	.300000011920929
PE011081	4	9	200	2	.100000001490116
PE011082	1	1	12	1	2.20000004768372
PE011082	2	3	12	1	2
PE011082	3	10	160	1	1
PE011083	1	1	4	2	2.20000004768372
PE011085	1	10	198	1	1
PE011085	2	10	198	1	2
PE011088	1	10	288	2	.5
PE011088	2	10	200	1	1
PE011088	3	10	200	1	.5
PE011089	1	1	220	1	1
PE011089	2	9	220	1	.5
PE011090	1	10	310	1	1
PE011091	1	1	1	1	2
PE011092	1	1	180	3	2.20000004768372
PE011092	2	8	4	4	2
PE011094	1	10	240	1	1
PE011094	2	10	200	1	3
PE011095	1	10	320	2	2
PE011099	1	1	160	1	1.5
PE011099	2	9	180	1	.5
PE011100	1	1	12	2	2
PE011100	2	3	12	2	1.5
PE011100	3	2	12	2	2
PE011100	4	2	160	1	.5
PE011100	5	10	160	1	1.5
PE021001	1	1	4	5	2
PE021002	1	10	114	2	.400000005960464
PE021003	1	1	4	15	1
PE021004	1	1	1	11	2.5
PE021004	2	3	1	3	2
PE021004	3	10	160	2	.5
PE021005	1	1	3	3	2.20000004768372
PE021006	1	1	1	16	2.20000004768372
PE021006	2	8	1	3	2
PE021006	3	10	440	1.5	1.5
PE021006	4	1	1	1	1.10000002384186
PE021007	1	1	12	11	2
PE021007	2	8	6	2	1.5
PE021007	3	11	6	2	2.20000004768372
PE021007	4	5	6	1	3.5
PE021007	5	6	6	2	1.5
PE021009	1	1	313	500	1
PE021010	1	1	330	1	.5
PE021011	1	10	336	2	.5
PE021011	2	8	1	2	1.5
PE021011	3	6	1	500	1
PE021011	4	11	1	500	.5
PE021011	5	8	1	500	1
PE021011	6	5	1	1	3.5
PE021012	1	1	4	3	2.20000004768372
PE021013	1	10	330	1	1
PE021014	1	1	6	10	2.5
PE021014	2	10	6	1	2
PE021014	3	10	240	2	.5
PE021015	1	3	12	1	2
PE021015	2	1	12	48	2.29999995231628
PE021016	1	1	300	1	.5
PE021017	1	1	4	5	2.09999990463257
PE021017	2	3	4	1	2
PE021018	1	10	312	1	1
PE021019	1	1	6	5	2
PE021019	2	3	6	2	1
PE021020	1	1	1	5	2.20000004768372
PE021020	2	3	1	1	2.29999995231628
PE021020	3	10	308	2	.5
PE021021	1	10	120	2	.5
PE021022	1	10	120	2	.5
PE021023	1	1	20	5	2
PE021024	1	1	6	4	2.40000009536743
PE021024	2	8	6	1	2
PE021024	3	10	220	1	.5
PE021025	1	10	220	1	.5
PE021026	1	1	4	8	2.20000004768372
PE021026	2	6	1	1	1
PE021026	3	8	1	1	3
PE021026	4	11	1	.5	1.10000002384186
PE021026	5	8	1	.5	1.5
PE021026	6	5	1	.5	1
PE021027	1	10	200	1	1.20000004768372
PE021028	1	1	4	5	2.20000004768372
PE021029	1	1	3	3	2.40000009536743
PE021030	1	1	9	3	2.29999995231628
PE021030	2	8	9	1	1.20000004768372
PE021031	1	10	308	1	.5
PE021031	2	1	1	5	2.20000004768372
PE021031	3	8	1	1	3
PE021032	1	1	4	4	2
PE021032	2	8	4	1	1
PE021033	1	1	36	3	2.29999995231628
PE021033	2	2	36	1	1.79999995231628
PE021034	1	10	200	1	.5
PE021035	1	1	60	5	2
PE021035	2	8	12	1	1.5
PE021036	1	1	312	2	1
PE021037	1	1	312	1	1
PE021038	1	1	4	5	2.20000004768372
PE021039	1	1	4	5	2
PE021039	2	3	1	2	2
PE021040	1	1	360	2	1
PE021041	1	9	80	1	1
PE021042	1	1	80	6	2.40000009536743
PE021042	2	8	80	1	1.5
PE021044	1	1	1	2	2.20000004768372
PE021045	1	10	200	1	.5
PE021046	1	1	6	10	2.09999990463257
PE021046	2	8	6	2	1
PE021046	3	10	330	2	.200000002980232
PE021049	1	1	300	1	.5
PE021050	1	1	160	1	.5
PE021051	1	10	288	2	.5
PE021052	1	1	200	1	.5
PE021053	1	10	180	1	.5
PE021054	1	10	330	2	1
PE021054	2	1	1	4	2.40000009536743
PE021054	3	8	1	1	2.79999995231628
PE021055	1	1	6	6	2.20000004768372
PE021055	2	8	6	1	2
PE021055	3	10	6	4	1
PE021057	1	1	1	11	2.40000009536743
PE021057	2	10	360	2	.5
PE021057	3	8	1	3	2
PE021057	4	8	6	5	1.79999995231628
PE021057	5	15	6	1	1.5
PE021057	6	6	6	1	2
PE021057	7	7	6	10	2
PE021057	8	5	6	2	3.59999990463257
PE021058	1	1	6	5	2.20000004768372
PE021058	2	3	6	2	1
PE021059	1	1	6	9	2
PE021059	2	2	6	2	1
PE021060	1	1	48	4	2.20000004768372
PE021060	2	8	12	1	2
PE021061	1	3	4	1	1
PE021061	2	1	4	5	2.5
PE021062	1	10	2	2	1
PE021062	2	8	6	3	1.79999995231628
PE021062	3	8	6	1	1
PE021062	4	6	6	1	1.5
PE021062	5	7	6	5	1.5
PE021062	6	5	6	1	3.5
PE021062	7	11	6	500	1.89999997615814
PE021063	1	1	200	1	.5
PE021064	1	1	12	5	2.20000004768372
PE021064	2	8	12	2	2
PE021065	1	8	2	2	2.5
PE021065	2	3	2	2	1
PE021065	3	1	2	5	2.29999995231628
PE021066	1	1	6	9	2.20000004768372
PE021066	2	3	6	3	1
PE021067	1	1	60	5	2.20000004768372
PE021067	2	3	12	1	1.5
PE021068	1	1	4	5	2
PE021068	2	8	4	1	2
PE021068	3	10	360	1	.5
PE021069	1	1	12	5	2.20000004768372
PE021069	2	3	12	2	1
PE021070	1	1	80	1	1
PE021071	1	10	198	1	1
PE021072	1	10	220	1	1
PE021073	1	10	120	1	.5
PE021074	1	1	4	3	2.20000004768372
PE021074	2	3	4	1	1
PE021075	1	10	4	2	.5
PE021075	2	8	6	2	1.5
PE021075	3	6	6	2	1
PE021075	4	5	6	1	4
PE021075	5	11	6	500	1.10000002384186
PE021075	6	8	6	1	.5
PE021076	1	1	4	3	2.20000004768372
PE021076	2	3	4	1	1
PE021077	1	10	240	1	.5
PE021077	2	1	1	5	2.20000004768372
PE021077	3	8	1	2	1
PE021078	1	1	4	5	2.09999990463257
PE021079	1	1	4	5	2.20000004768372
PE021080	1	1	4	5	2.09999990463257
PE021081	1	1	1	5	2.20000004768372
PE021081	2	8	1	1	2
PE021081	3	10	120	1	.5
PE021082	1	1	1	5	2.20000004768372
PE021082	2	8	1	1	3.5
PE021082	3	10	120	1	1
PE021084	1	10	168	1	.5
PE021084	2	1	1	2	2.29999995231628
PE021084	3	2	1	1	1
PE021086	1	1	168	5	2.20000004768372
PE021086	2	3	168	1	1.5
PE021088	1	10	120	2	.5
PE021089	1	1	1	5	2.20000004768372
PE021089	2	3	1	2	2
PE021089	3	10	180	2	1
PE021091	1	1	12	12	2.20000004768372
PE021091	2	3	12	4	2
PE021092	1	1	4	6	2
PE021093	1	1	4	10	2.20000004768372
PE021093	2	8	4	2	2
PE021094	1	10	140	1	.800000011920929
PE021095	1	1	4	12	2.20000004768372
PE021096	1	1	4	6	2.20000004768372
PE021097	1	1	32	8	2.20000004768372
PE021098	1	1	4	5	2.20000004768372
PE021100	1	10	90	4	.5
PE021100	2	1	3	3	2.20000004768372
PE021100	3	8	3	1	1.5
PE031002	1	1	12	10	2.20000004768372
PE031002	2	10	140	1	1
PE031002	3	9	70	6	.200000002980232
PE031003	1	1	6	10	1.5
PE031003	2	3	6	2	.5
PE031003	3	9	144	1	.200000002980232
PE031004	1	1	3	12	26
PE031004	2	3	3	3	2
PE031004	3	10	96	1	3
PE031005	1	1	6	20	2
PE031005	2	3	6	4	.5
PE031006	1	1	6	30	2
PE031006	2	3	6	6	1
PE031006	3	9	5	6	.300000011920929
PE031006	4	1	2	3	1
PE031007	1	1	6	12	2
PE031007	2	9	100	2	1
PE031007	3	10	100	100	.5
PE031007	4	3	6	2	1.5
PE031008	1	1	4	15	2
PE031008	2	9	182	2	.5
PE031008	3	10	140	1	1
PE031010	1	1	4	8	1
PE031010	2	10	160	1	1
PE031011	1	1	180	15	2.09999990463257
PE031011	2	3	36	3	1.5
PE031011	3	10	200	1	1
PE031012	1	1	1	8	1
PE031012	2	10	140	1	1.5
PE031012	3	1	140	1	.5
PE031013	1	1	6	10	2
PE031013	2	3	6	2	1
PE031014	1	1	60	5	2.09999990463257
PE031014	2	3	12	1	1.5
PE031015	1	1	12	10	2.20000004768372
PE031015	2	3	12	2	1
PE031015	3	10	200	1	1
PE031016	1	1	9	5	11
PE031016	2	3	9	2	2
PE031016	3	10	160	1	3
PE031017	1	1	6	20	2
PE031017	2	3	12	12	1.5
PE031017	3	10	120	1	2
PE031019	1	1	170	30	2.40000009536743
PE031019	2	10	120	1	2
PE031020	1	1	12	5	2.20000004768372
PE031020	2	3	12	4	1
PE031020	3	10	140	1	2
PE031021	1	1	12	5	2.20000004768372
PE031021	2	3	1	1	3
PE031021	3	10	280	2	2.5
PE031022	1	1	8	10	2.20000004768372
PE031022	2	3	8	4	1
PE031023	1	1	12	15	2
PE031023	2	3	12	6	1.5
PE031023	3	10	9	1	2
PE031024	1	1	12	10	1.5
PE031024	2	3	12	2	.800000011920929
PE031024	3	10	200	1	2
PE031025	1	1	4	20	2.01999998092651
PE031025	2	3	4	3	1
PE031025	3	10	160	1	2.5
PE031026	1	1	6	20	2.20000004768372
PE031026	2	3	6	4	1.5
PE031027	1	1	4	10	2.20000004768372
PE031027	2	3	4	2	1
PE031027	3	10	160	1	2
PE031028	1	1	6	10	2.20000004768372
PE031028	2	3	6	2	2.5
PE031028	3	10	180	1	2
PE031030	1	1	30	1	.5
PE031030	2	10	160	1	1
PE031031	1	1	60	5	2
PE031031	2	3	12	1	1
PE031031	3	10	200	1	1
PE031032	1	1	60	5	2
PE031032	2	10	200	1	1.5
PE031032	3	3	12	1	1.5
PE031033	1	10	220	1	2
PE031033	2	1	12	5	2.20000004768372
PE031034	1	1	60	5	2.20000004768372
PE031034	2	3	12	1	1
PE031034	3	10	200	1	1.5
PE031035	1	1	12	5	2
PE031035	2	10	280	1	1
PE031036	1	1	60	10	2
PE031036	2	10	120	1	2
PE031037	1	1	12	20	2.20000004768372
PE031037	2	10	180	2	2
PE031038	1	1	4	12	2.09999990463257
PE031038	2	10	210	1	2
PE031039	1	1	10	4	2
PE031039	2	3	10	1	2.20000004768372
PE031039	3	10	160	1	3.5
PE031040	1	1	6	20	2.20000004768372
PE031040	2	3	6	4	2
PE031040	3	10	204	3	5
PE031040	4	10	240	3	5
PE031041	1	1	60	5	2.20000004768372
PE031041	2	3	12	1	1.5
PE031041	3	10	200	1	1.5
PE031042	1	1	6	10	2.20000004768372
PE031042	2	3	6	4	1
PE031043	1	1	12	5	2.20000004768372
PE031043	2	3	12	1	1.20000004768372
PE031043	3	10	140	1	1.5
PE031044	1	1	11	5	11
PE031044	2	3	11	2	2
PE031044	3	10	160	1	3
PE031045	1	1	12	5	2
PE031045	2	3	6	2	.5
PE031045	3	10	140	1	1
PE031046	1	1	60	5	2.09999990463257
PE031046	2	3	12	1	1.5
PE031046	3	10	200	1	1
PE031047	1	1	1	10	2
PE031047	2	15	1	2	1.20000004768372
PE031048	1	1	4	36	2.20000004768372
PE031048	2	3	4	8	1
PE031048	3	10	160	1	2
PE031049	1	1	6	10	2.20000004768372
PE031049	2	3	6	2	1.5
PE031049	3	10	320	2	2
PE031050	1	1	4	12	2
PE031050	2	10	140	1	1
PE031050	3	3	4	8	1
PE031051	1	10	10	1	2
PE031052	1	1	6	10	2
PE031052	2	3	6	2	1.5
PE031052	3	10	140	3	2
PE031053	1	1	10	8	2
PE031053	2	10	140	1	1.5
PE031053	3	3	10	2	1.5
PE031054	1	1	6	5	2
PE031054	3	3	6	1	3
PE031054	10	10	120	1	1
PE031055	1	1	180	30	2
PE031055	2	3	72	12	2
PE031055	3	10	320	2	2
PE031055	4	10	160	1	.5
PE031055	5	9	160	1	.200000002980232
PE031056	1	1	5	10	20
PE031056	2	3	5	2	2
PE031056	3	1	110	1	1
PE031056	4	9	110	1	1
PE031056	5	10	110	1	2
PE031057	1	1	6	6	2
PE031057	2	3	6	2	1
PE031057	3	2	120	1	.5
PE031057	4	9	120	1	.400000005960464
PE031057	5	10	135	1	2
PE031058	1	1	6	10	2
PE031058	2	3	6	2	1
PE031058	3	10	140	3	.5
PE031058	4	9	140	3	.5
PE031059	1	1	6	25	2
PE031059	2	2	140	3	.5
PE031059	3	9	140	3	.200000002980232
PE031060	1	1	6	10	2
PE031060	2	10	130	1	1
PE031061	1	1	60	5	2.20000004768372
PE031061	2	3	12	1	1
PE031061	3	10	200	1	1.5
PE031062	1	1	12	15	2
PE031062	2	10	180	3	1
PE031063	1	1	120	10	2.20000004768372
PE031063	2	3	24	2	1.5
PE031063	3	10	200	2	3
PE031064	1	1	6	10	2
PE031064	2	3	6	2	1
PE031064	3	10	160	1	1
PE031064	4	10	160	1	.5
PE031065	1	1	12	5	2.20000004768372
PE031065	2	3	12	2	 
PE031066	1	1	12	5	2
PE031067	1	1	5	5	11
PE031067	2	3	5	2	2
PE031067	3	10	101	1	3
PE031068	1	10	220	3	1.5
PE031069	1	1	12	12	2.5
PE031069	2	3	12	6	1
PE031069	3	9	100	2	.300000011920929
PE031069	4	10	100	1	.5
PE031070	1	1	48	8	2
PE031070	2	3	16	2	1
PE031070	3	10	64	1	1
PE031071	1	1	120	10	2.09999990463257
PE031071	2	3	24	2	1.60000002384186
PE031071	3	10	203	1	1
PE031072	1	1	6	0	15
PE031072	2	3	6	1	2
PE031072	3	10	132	1	2
PE031073	1	1	144	24	2
PE031073	2	3	36	6	1.5
PE031073	3	10	140	1	1
PE031074	1	1	6	40	2
PE031074	2	3	6	48	1.5
PE031074	3	10	110	1	2.5
PE031075	1	1	3	20	2
PE031075	2	3	3	4	1.5
PE031075	3	10	80	1	1
PE031076	1	1	6	20	2.20000004768372
PE031076	2	3	6	4	1
PE031076	3	10	320	2	2
PE031076	4	10	320	2	.200000002980232
PE031077	1	1	60	5	2.09999990463257
PE031077	2	3	12	1	1.5
PE031077	3	10	200	1	1
PE031078	1	1	4	15	2.20000004768372
PE031078	2	10	160	1	1
PE031078	3	2	160	1	3
PE031079	1	1	6	10	2.5
PE031079	2	10	160	1	1
PE031080	1	1	12	10	2
PE031080	2	3	12	2	1.5
PE031080	3	10	200	1	1.5
PE031080	4	9	140	1	.200000002980232
PE031080	5	2	140	1	.5
PE031081	1	1	12	30	2
PE031081	2	3	12	4	1
PE031081	3	10	200	1	1
PE031081	4	2	180	1	.5
PE031081	5	9	180	2	.200000002980232
PE031082	1	10	200	2	.5
PE031083	1	1	6	12	2.29999995231628
PE031083	2	3	6	6	.5
PE031083	3	10	320	2	.5
PE031083	4	10	320	2	.5
PE031084	1	1	6	10	20
PE031084	2	10	140	1	1
PE031085	1	1	6	15	2
PE031085	2	3	6	6	1.5
PE031085	3	10	320	2	2
PE031085	4	2	320	2	.5
PE031086	1	1	5	24	48
PE031086	2	3	5	6	5
PE031086	3	1	186	2	1
PE031086	4	9	186	6	1
PE031086	5	10	186	1	2
PE031087	1	1	60	10	1.79999995231628
PE031087	2	3	24	4	1.5
PE031087	3	10	160	1	1
PE031087	4	9	160	1	.5
PE031087	5	10	160	1	2
PE031088	1	1	144	24	2
PE031088	2	3	72	12	1.5
PE031088	3	10	10	1	1
PE031088	4	9	160	1	.200000002980232
PE031088	5	10	128	1	1
PE031089	1	1	60	5	2.20000004768372
PE031089	2	3	12	1	1.5
PE031089	3	10	200	1	1
PE031090	1	1	2	30	2.20000004768372
PE031090	2	3	2	12	1.5
PE031090	3	10	100	1	1
PE031090	4	9	100	1	1
PE031090	5	10	140	1	1
PE031091	1	1	5	8	18
PE031091	2	3	5	4	4
PE031091	3	1	186	1	1
PE031091	4	9	186	3	1
PE031091	5	10	186	1	2
PE031092	1	1	6	10	2
PE031092	2	2	320	2	1
PE031092	3	9	320	2	.200000002980232
PE031092	4	10	160	1	1.5
PE031092	5	8	5	10	1.20000004768372
PE031092	6	5	5	1	4.5
PE031092	7	6	5	2	1
PE031093	1	1	120	20	2
PE031093	2	3	24	4	1.5
PE031093	3	10	80	1	2.5
PE031094	1	1	6	30	2.20000004768372
PE031094	2	3	6	6	.5
PE031094	3	10	200	3	2
PE031095	1	1	120	20	2
PE031095	2	3	24	4	1.5
PE031095	3	1	280	1	1
PE031097	1	1	6	20	2.20000004768372
PE031097	20	3	6	4	1
PE031098	1	1	6	60	2.20000004768372
PE031098	2	3	6	2	1.5
PE031098	3	10	320	2	2
PE031100	1	1	3	20	2
PE031100	2	3	3	4	1
PE031100	3	10	180	1	2
PE031101	1	1	11	5	11
PE031101	2	3	11	2	2
PE031101	3	10	208	1	3
PE041001	1	1	6	9	1.79999995231628
PE041001	2	10	140	1	2
PE041001	3	10	140	1	.5
PE041002	1	1	5	27	2
PE041003	1	1	6	9	2
PE041004	1	1	4	18	1.70000004768372
PE041004	2	10	180	1	2.5
PE041004	3	10	180	1	.5
PE041005	1	1	5	9	2
PE041006	1	1	108	9	2
PE041008	1	1	6	9	2
PE041008	2	10	240	1	2
PE041009	1	1	4	9	2.5
PE041010	1	1	5	9	2
PE041011	1	1	4	12	2
PE041011	2	10	200	1	1
PE041012	1	1	4	24	2
PE041012	2	10	140	1	3
PE041013	1	1	12	10	2.20000004768372
PE041014	1	1	4	24	2
PE041014	2	10	140	1	3
PE041015	1	1	2	12	1.5
PE041015	2	10	180	1	3
PE041016	1	1	2	12	2
PE041017	1	1	4	12	2
PE041017	2	10	180	1	1
PE041018	1	1	1	12	3
PE041019	1	1	3	12	2
PE041019	2	10	80	1	2.5
PE041020	1	10	180	3	1
PE041020	2	9	180	3	.300000011920929
PE041020	3	1	12	24	2.5
PE041021	1	1	4	24	2
PE041022	1	1	4	12	2.09999990463257
PE041023	1	1	2	24	2
PE041024	1	1	4	12	2.5
PE041025	1	1	4	24	2
PE041025	2	10	40	1	1
PE041026	1	1	4	12	2.09999990463257
PE041027	1	1	4	24	2
PE041027	2	10	160	1	1
PE041028	1	1	2	8	1.5
PE041028	2	10	180	1	3
PE041030	1	1	4	12	1
PE041030	2	10	100	1	2
PE041030	3	10	100	1	1
PE041031	1	1	6	12	2
PE041031	2	10	180	1	.5
PE041031	3	9	180	1	.100000001490116
PE041032	1	1	4	12	2.09999990463257
PE041033	1	1	4	12	2.09999990463257
PE041034	1	1	1	28	2.5
PE041034	2	1	7	1	1
PE041034	3	9	180	1	.300000011920929
PE041034	4	10	140	1	2.5
PE041035	1	1	96	8	2.09999990463257
PE041036	1	1	1	2	20
PE041037	1	10	120	1	1.5
PE041037	2	1	4	12	2
PE041038	1	1	4	6	2
PE041039	1	1	4	.239999994635582	2
PE041039	2	10	120	1	1
PE041040	1	1	4	12	2.09999990463257
PE041041	1	1	2	12	2
PE041042	1	1	4	12	2
PE041043	1	1	4	3	2
PE041044	1	1	72	24	2
PE041045	1	1	4	24	2
PE041046	1	1	48	12	2
PE041047	1	1	4	12	2
PE041047	2	10	160	1	2.5
PE041048	1	10	100	1	2.5
PE041048	2	1	12	24	2
PE041049	1	1	48	12	2
PE041049	2	10	120	1	3
PE041049	3	10	120	1	1
PE041050	1	1	4	24	2
PE041051	1	10	240	2	3
PE041052	1	1	96	24	2
PE041053	1	1	4	24	2
PE041053	2	10	180	1	1
PE041054	1	1	3	12	2.20000004768372
PE041055	1	1	4	24	2
PE041055	2	10	200	1	1
PE041056	1	1	4	12	2
PE041058	1	1	160	1	.5
PE041058	2	9	160	1	.300000011920929
PE041059	1	1	4	24	2
PE041059	2	9	184	1	.300000011920929
PE041059	3	10	184	1	1
PE041059	4	10	184	1	3
PE041060	1	1	6	6	2
PE041060	2	10	180	3	.5
PE041060	3	9	180	3	.200000002980232
PE041061	1	1	3	12	2
PE041063	1	1	4	6	2.5
PE041064	1	1	2	20	27
PE041065	1	1	48	12	2
PE041066	1	1	2	12	2
PE041066	2	10	140	1	2.5
PE041067	1	1	360	1	1
PE041067	2	10	160	1	1
PE041068	1	1	6	24	2
PE041069	1	1	4	12	2
PE041069	2	10	160	1	1
PE041070	1	1	4	12	2.09999990463257
PE041070	2	10	160	1	1
PE041071	1	1	4	43	2
PE041071	2	5	6	2	4.5
PE041071	3	7	6	3	2
PE041071	4	8	6	9	1.5
PE041071	5	15	6	1	1
PE041071	6	10	160	4	1
PE041072	1	1	2	12	1.5
PE041072	2	10	200	2	2.5
PE041073	1	1	4	12	2
PE041074	1	1	2	10	1
PE041075	1	1	4	24	1.5
PE041076	1	1	2	7	2.5
PE041077	1	1	4	12	1.20000004768372
PE041077	2	10	160	1	1
PE041078	1	1	2	12	1.5
PE041078	2	10	40	1	2.5
PE041079	1	1	3	12	2
PE041079	2	8	2	12	1.5
PE041079	3	1	2	12	.5
PE041079	4	5	1	3	4
PE041079	5	6	2	6	 
PE041079	6	15	2	6	 
PE041079	7	7	2	9	 
PE041080	1	1	3	24	2
PE041080	2	10	180	1	2.5
PE041081	1	1	3	12	2
PE041082	1	1	2	12	2
PE041083	1	1	2	9	2
PE041085	1	1	288	24	2
PE041085	2	10	240	2	2
PE041085	3	10	240	2	3
PE041086	1	1	4	21	2
PE041087	1	1	4	24	2
PE041087	2	10	120	1	3
PE041088	1	1	1	12	2
PE041089	1	1	9	24	2
PE041089	2	10	270	4	.5
PE041090	1	1	4	24	1.79999995231628
PE041091	1	1	4	12	2.5
PE041091	2	1	120	1	1
PE041091	3	9	120	1	.200000002980232
PE041092	1	1	3	1	1
PE041093	1	1	4	12	2.5
PE041093	2	10	180	1	1
PE041093	3	9	180	1	.300000011920929
PE041094	1	1	3	12	2
PE041094	2	10	140	1	1
PE041094	3	9	140	1	.300000011920929
PE041096	1	1	4	24	2
PE041096	2	10	180	2	.5
PE041096	3	10	180	1	1
PE041097	1	1	160	16	2
PE041097	2	10	100	1	1.5
PE041097	3	1	120	1	.5
PE041097	4	9	120	1	.200000002980232
PE041098	1	1	2	8	16
PE041099	1	1	36	9	2
PE041100	1	1	4	12	1
PE041101	1	10	160	2	1
PE041101	2	9	160	2	.300000011920929
PE051001	1	10	40	1	1.5
PE051002	1	10	192	1	1
PE051003	1	1	96	3	1
PE051004	1	1	96	2	1
PE051005	1	1	48	4	1
PE051005	2	10	140	1	1
PE051005	3	10	140	1	.5
PE051007	1	1	192	2	1
PE051007	2	10	180	1	.600000023841858
PE051007	3	9	180	1	.100000001490116
PE051008	1	1	240	3	1
PE051008	2	10	288	2	1
PE051009	1	10	180	1	2
PE051010	1	1	96	2	2
PE051010	2	10	120	2	2
PE051012	1	9	240	3	.5
PE051012	2	10	240	3	1
PE051013	1	10	200	2	2
PE051013	2	9	200	2	.5
PE051014	1	1	12	1	.5
PE051015	1	1	96	2	1
PE051016	1	1	90	2	1
PE051016	2	10	140	1	.5
PE051016	3	9	140	1	.5
PE051018	1	10	140	1	2
PE051020	1	1	96	1	1.5
PE051020	2	15	24	1	.5
PE051020	3	10	160	1	1.5
PE051021	1	1	96	1	1
PE051021	2	10	140	1	1
PE051021	3	10	140	1	.5
PE051021	4	8	1	10	1
PE051021	5	6	1	8	3
PE051021	6	5	1	2	4
PE051022	1	1	198	1	1
PE051022	2	9	198	1	1
PE051024	1	1	28	1	1
PE051024	2	10	198	1	2
PE051025	1	1	48	1	1
PE051025	2	10	176	1	2
PE051025	3	1	176	1	1
PE051026	1	1	198	1	1
PE051026	2	9	198	1	1
PE051026	3	10	198	1	1
PE051027	1	1	48	1	1
PE051027	2	10	180	1	.5
PE051027	3	9	180	1	.100000001490116
PE051028	1	1	48	1.5	1.5
PE051028	2	10	180	1	.5
PE051029	1	1	40	3	1
PE051029	2	10	180	1	1
PE051030	1	1	36	1	1
PE051032	1	10	200	1	1
PE051032	2	1	48	1	1
PE051033	1	1	270	1	.5
PE051033	2	10	180	1	2
PE051034	1	1	48	4	1
PE051034	2	10	200	1	1
PE051035	1	10	180	1	.300000011920929
PE051035	2	9	180	1	.300000011920929
PE051035	3	10	180	1	1
PE051036	1	1	48	1	1
PE051037	1	10	160	2	.5
PE051037	2	9	160	2	.100000001490116
PE051038	1	1	37	1	1
PE051038	2	10	84	1	.5
