CHILDCODE	DNFDIDR4	DONTYPR5	DONRCVR5	DONAMTR5	DONMSRR5	DONPRCR5	PRCMSRR5
21075	3	9	80	1	7	.5	7
21077	1	10	72	1	8	1	8
21077	2	9	72	1	7	.5	7
21077	3	10	48	1	5	3	5
21079	1	10	40	1	8	1.20000004768372	8
21079	2	9	40	1	7	.5	7
21079	3	10	20	1	9	3	9
21079	4	10	20	1	8	1	8
21080	1	1	50	1	6	2.5	6
21083	1	10	120	1	5	1	5
21083	2	10	40	1	5	3	5
21083	3	10	40	1	5	3	5
21084	1	10	100	1	8	2	8
21084	2	9	100	1	7	.5	7
21084	3	10	100	1	9	5	9
21086	1	10	80	1	9	1	9
21086	2	10	80	1	8	1.5	8
21086	3	10	40	1	8	1.5	8
21086	4	9	103	1	7	.5	7
21087	1	1	2	3	6	3	6
21087	2	3	6	1	2	9	2
21091	1	9	320	4	7	.25	7
21091	2	10	320	4	8	1	8
21091	3	10	320	4	5	1	5
21091	4	10	320	4	5	1	5
21092	1	3	6	1.5	2	3	2
21092	2	1	6	2.5	6	3	6
21092	3	9	120	1	7	.5	7
21092	4	10	120	1	8	.5	8
21092	5	10	192	1	9	2	9
21093	1	10	120	2	5	1.5	5
21093	2	10	32	2	5	2	5
21093	3	1	12	2	6	3	6
21093	4	3	12	1	2	4	2
21093	5	8	4	50	2	120	10
21093	6	15	1	3	2	3	2
21094	1	10	200	1.5	8	1	8
21094	2	10	80	1	8	1	8
21094	3	9	40	1	7	.5	7
21094	4	10	40	1	5	1	5
21095	1	1	40	1	8	1	8
21095	2	3	40	1	8	1	8
21095	3	9	40	1	10	.5	10
21095	4	7	40	1	6	1	9
21095	5	10	40	1	9	1	9
21096	1	10	40	1	5	2	5
21096	2	10	40	1	8	1	8
21096	3	10	40	1	5	2	5
21096	4	9	40	1	7	.699999988079071	7
21096	5	10	40	1	8	1	8
21097	1	10	50	1	9	4	9
21097	2	10	50	1	8	2	8
21097	3	10	50	1	8	2	8
21097	4	9	50	1	7	.5	7
31002	1	10	200	1	8	1	8
31002	2	9	200	1	7	1	7
31002	3	10	240	1	5	5	5
31002	4	10	80	1	5	5	5
31002	5	10	80	1	5	5	5
31003	1	1	40	1	7	1	7
31003	2	3	40	1	8	1	8
31003	3	10	40	1	9	2	9
31003	4	10	40	1	9	2	9
31003	5	10	40	1	9	1.5	9
31004	1	1	7	3	6	2.79999995231628	6
31004	2	10	120	2	8	1.5	8
31004	3	10	120	2	7	.5	7
31004	4	10	120	2	9	5	9
31004	5	10	80	2	9	4	9
31005	1	10	200	1	9	2	9
31005	2	10	200	1	8	-77	88
31005	3	9	200	1	7	1	7
31006	1	1	6	3	6	2.40000009536743	6
31006	2	3	6	1	2	3	2
31007	1	10	80	1	8	1	8
31007	2	10	80	1	9	3	9
31009	1	10	280	3	8	1	8
31009	2	9	280	3	7	.5	7
31009	3	10	280	3	5	2	5
31011	1	10	80	2	9	5	9
31011	2	10	200	2	8	1.5	8
31011	3	10	40	2	9	5	9
31011	4	10	40	2	9	3	9
31012	1	10	75	1	9	5	9
31012	2	10	75	1	9	5	9
31012	3	10	75	1	8	1	8
31012	4	9	75	1	7	.5	7
31013	1	1	6	30	6	81	6
31013	2	3	6	30	4	60	4
31013	3	10	40	1	5	1	5
31013	4	10	40	1	5	1.5	5
31013	5	10	80	1	8	1	8
31013	6	1	40	1	8	1	8
31013	7	9	120	1	10	.5	10
31014	1	10	300	2	8	1	8
31014	2	9	300	2	7	.5	7
31014	3	10	300	2	5	5	5
31014	4	1	18	3	7	3.5	7
31014	5	3	6	1	3	2	4
31015	1	10	200	1	9	3	9
31015	2	10	200	1	9	3	9
31015	3	10	200	1	8	1	8
31015	4	9	200	1	7	.5	7
31017	1	10	40	1	5	3	5
31017	2	10	40	1	5	3	5
31017	3	10	40	1	8	1	8
31017	4	9	40	1	7	.300000011920929	7
31017	5	10	40	1	8	1	8
31017	6	3	40	1	8	.5	8
31018	1	10	200	2	9	5	9
31018	2	10	200	1	5	1.5	5
31019	1	9	200	1	7	.5	7
31019	2	10	200	1	8	1	8
31019	3	10	100	1	5	4	5
31019	4	10	100	1	5	4	5
31020	1	10	200	1	8	1	8
31020	2	10	200	1	5	3	9
31023	1	10	200	1	5	3	5
31023	2	1	12	3	6	2.5	6
31023	3	3	12	1	2	2.5	2
31023	4	10	200	1	5	3	5
31024	1	1	108	1	6	2.5	6
31024	2	6	72	1	5	.5	5
31024	3	3	108	1	3	1	3
31024	4	15	48	1	10	1	10
31024	5	10	96	1	8	.5	8
31024	6	9	240	1	7	.5	7
31025	1	10	16	2	8	3	8
31026	1	3	12	1	2	8	2
31026	2	1	12	6	6	3.29999995231628	6
31026	3	10	50	1	9	5	9
31026	4	10	50	1	9	5	9
31026	5	10	50	1	9	5	9
31026	6	10	50	1	9	5	9
31027	1	1	12	5	7	3	7
31027	2	3	12	2	2	2	2
31027	3	10	120	1	5	3	5
31027	4	10	80	1	5	3	5
31027	5	10	200	1	8	1	8
31027	6	9	200	1	7	.5	7
31028	1	10	40	1	5	2	5
31028	2	10	40	1	5	2	5
31028	3	10	40	1	8	1	8
31028	4	1	40	1	7	1	7
31028	5	9	40	1	7	.5	7
31028	6	3	40	1	5	1	5
31030	1	9	120	1	9	2	9
31030	2	10	80	1	8	1	8
31030	3	9	80	1	7	.300000011920929	7
31031	1	10	100	1	8	2	8
31031	2	9	100	1	7	.5	7
31031	3	10	100	1	5	4	5
31032	1	10	40	1	8	2	8
31032	2	10	40	1	8	1	8
31032	3	10	40	1	9	4	9
31032	4	9	200	1	7	.5	7
31032	5	10	40	1	9	4	9
31034	1	10	40	1	8	1	8
