CHILDCODE	SRMNIDR5	SRCRECR5	RCVLSTR5	OFTRCVR5	RCVAMTR5
21074	1	0	 	 	 
21074	2	0	 	 	 
21074	3	0	 	 	 
21075	1	0	 	 	 
21075	2	0	 	 	 
21075	3	0	 	 	 
21076	1	0	 	 	 
21076	2	0	 	 	 
21076	3	0	 	 	 
21077	1	0	 	 	 
21077	2	0	 	 	 
21077	3	0	 	 	 
21078	1	0	 	 	 
21078	2	1	250	6	1500
21078	3	0	 	 	 
21079	1	0	 	 	 
21079	2	0	 	 	 
21079	3	0	 	 	 
21080	1	0	 	 	 
21080	2	0	 	 	 
21080	3	0	 	 	 
21081	1	0	 	 	 
21081	2	0	 	 	 
21081	3	0	 	 	 
21082	1	0	 	 	 
21082	2	0	 	 	 
21082	3	0	 	 	 
21083	1	0	 	 	 
21083	2	0	 	 	 
21083	3	0	 	 	 
21084	1	0	 	 	 
21084	2	0	 	 	 
21084	3	0	 	 	 
21086	1	0	 	 	 
21086	2	0	 	 	 
21086	3	0	 	 	 
21087	1	0	 	 	 
21087	2	0	 	 	 
21087	3	0	 	 	 
21088	1	0	 	 	 
21088	2	0	 	 	 
21088	3	1	300	12	3600
21089	1	0	 	 	 
21089	2	0	 	 	 
21089	3	0	 	 	 
21090	1	0	 	 	 
21090	2	0	 	 	 
21090	3	0	 	 	 
21091	1	0	 	 	 
21091	2	0	 	 	 
21091	3	0	 	 	 
21092	1	0	 	 	 
21092	2	0	 	 	 
21092	3	0	 	 	 
21093	1	0	 	 	 
21093	2	0	 	 	 
21093	3	0	 	 	 
21094	1	0	 	 	 
21094	2	0	 	 	 
21094	3	0	 	 	 
21095	1	0	 	 	 
21095	2	0	 	 	 
21095	3	0	 	 	 
21096	1	0	 	 	 
21096	2	0	 	 	 
21096	3	0	 	 	 
21097	1	0	 	 	 
21097	2	0	 	 	 
21097	3	0	 	 	 
21098	1	0	 	 	 
21098	2	0	 	 	 
21098	3	0	 	 	 
21099	1	0	 	 	 
21099	2	0	 	 	 
21099	3	0	 	 	 
21100	1	0	 	 	 
21100	2	0	 	 	 
21100	3	0	 	 	 
31002	1	1	200	6	1200
31002	2	0	 	 	 
31002	3	0	 	 	 
31003	1	0	 	 	 
31003	2	0	 	 	 
31003	3	0	 	 	 
31004	1	0	 	 	 
31004	2	0	 	 	 
31004	3	0	 	 	 
31005	1	0	 	 	 
31005	2	1	500	6	3000
31005	3	0	 	 	 
31006	1	1	200	6	1200
31006	2	0	 	 	 
31006	3	0	 	 	 
31007	1	1	200	6	1200
31007	2	0	 	 	 
31007	3	0	 	 	 
31009	1	1	200	5	1000
31009	2	0	 	 	 
31009	3	0	 	 	 
31010	1	 	 	 	 
31010	2	 	 	 	 
31010	3	 	 	 	 
31011	1	1	200	6	1200
31011	2	0	 	 	 
31011	3	0	 	 	 
31012	1	0	 	 	 
31012	2	0	 	 	 
31012	3	0	 	 	 
31013	1	1	200	6	1200
31013	2	0	 	 	 
31013	3	0	 	 	 
31014	1	0	 	 	 
31014	2	1	250	6	1500
31014	3	0	 	 	 
31015	1	0	 	 	 
31015	2	0	 	 	 
31015	3	0	 	 	 
31016	1	1	200	6	1200
31016	2	0	 	 	 
31016	3	0	 	 	 
31017	1	1	200	6	1200
31017	2	0	 	 	 
31017	3	0	 	 	 
31018	1	0	 	 	 
31018	2	0	 	 	 
31018	3	0	 	 	 
31019	1	1	200	6	1200
