CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
21015	1	62	 	 	2	 
21015	2	45	 	 	 	2
21015	3	98	 	 	 	 
21016	1	98	 	 	 	 
21016	2	98	 	 	 	 
21016	3	98	 	 	 	 
21017	1	98	 	 	 	 
21017	2	98	 	 	 	 
21017	3	98	 	 	 	 
21018	1	39	4	4	2	 
21018	2	98	 	 	 	 
21018	3	98	 	 	 	 
21019	1	98	 	 	 	 
21019	2	98	 	 	 	 
21019	3	98	 	 	 	 
21020	1	41	2	2	 	 
21020	2	98	 	 	 	 
21020	3	98	 	 	 	 
21021	1	98	 	 	 	 
21021	2	98	 	 	 	 
21021	3	98	 	 	 	 
21022	1	25	 	 	 	4
21022	2	39	 	 	 	2
21022	3	98	 	 	 	 
21023	1	98	 	 	 	 
21023	2	98	 	 	 	 
21023	3	98	 	 	 	 
21024	1	98	 	 	 	 
21024	2	98	 	 	 	 
21024	3	98	 	 	 	 
21025	1	28	 	 	 	4
21025	2	98	 	 	 	 
21025	3	98	 	 	 	 
21026	1	98	 	 	 	 
21026	2	98	 	 	 	 
21026	3	98	 	 	 	 
21027	1	41	 	4	 	 
21027	2	98	 	 	 	 
21027	3	98	 	 	 	 
21028	1	25	 	 	 	2
21028	2	98	 	 	 	 
21028	3	98	 	 	 	 
21029	1	98	 	 	 	 
21029	2	98	 	 	 	 
21029	3	98	 	 	 	 
21030	1	98	 	 	 	 
21030	2	98	 	 	 	 
21030	3	98	 	 	 	 
21031	1	45	 	 	2	 
21031	2	98	 	 	 	 
21031	3	98	 	 	 	 
21032	1	98	 	 	 	 
21032	2	98	 	 	 	 
21032	3	98	 	 	 	 
21033	1	2	 	 	 	4
21033	2	37	 	 	4	 
21033	3	98	 	 	 	 
21034	1	98	 	 	 	 
21034	2	98	 	 	 	 
21034	3	98	 	 	 	 
21035	1	98	 	 	 	 
21035	2	98	 	 	 	 
21035	3	98	 	 	 	 
21036	1	98	 	 	 	 
21036	2	98	 	 	 	 
21036	3	98	 	 	 	 
21037	1	39	 	 	 	3
21037	2	98	 	 	 	 
21037	3	98	 	 	 	 
21038	1	13	 	 	3	 
21038	2	28	 	 	 	2
21038	3	12	 	 	2	 
21039	1	37	 	 	 	2
21039	2	98	 	 	 	 
21039	3	98	 	 	 	 
21040	1	98	 	 	 	 
21040	2	98	 	 	 	 
21040	3	98	 	 	 	 
21041	1	6	 	 	 	4
21041	2	39	 	 	 	3
21041	3	98	 	 	 	 
21042	1	13	4	4	4	4
21042	2	28	4	4	4	4
21042	3	98	 	 	 	 
21043	1	98	 	 	 	 
21043	2	98	 	 	 	 
21043	3	98	 	 	 	 
21044	1	38	 	 	4	 
21044	2	20	3	3	3	3
21044	3	98	 	 	 	 
21045	1	28	 	 	 	2
21045	2	24	 	 	 	3
21045	3	3	1	1	1	1
21046	1	39	 	 	2	2
21046	2	62	 	 	4	4
21046	3	63	 	 	4	4
21047	1	39	 	 	 	4
21047	2	98	 	 	 	 
21047	3	98	 	 	 	 
21048	1	98	 	 	 	 
21048	2	98	 	 	 	 
21048	3	98	 	 	 	 
21049	1	12	 	 	2	 
21049	2	98	 	 	 	 
21049	3	98	 	 	 	 
21050	1	29	 	3	 	 
21050	2	98	 	 	 	 
21050	3	98	 	 	 	 
21051	1	62	 	 	 	2
21051	2	98	 	 	 	 
21051	3	98	 	 	 	 
21052	1	13	2	2	2	2
21052	2	98	 	 	 	 
21052	3	98	 	 	 	 
21053	1	36	 	 	 	1
21053	2	98	 	 	 	 
21053	3	98	 	 	 	 
21054	1	41	 	1	 	 
21054	2	98	 	 	 	 
21054	3	98	 	 	 	 
21055	1	36	 	 	 	1
21055	2	98	 	 	 	 
21055	3	98	 	 	 	 
21056	1	69	 	 	 	2
21056	2	98	 	 	 	 
21056	3	98	 	 	 	 
21057	1	98	 	 	 	 
21057	2	98	 	 	 	 
21057	3	98	 	 	 	 
21058	1	98	 	 	 	 
21058	2	98	 	 	 	 
21058	3	98	 	 	 	 
21059	1	98	 	 	 	 
21059	2	98	 	 	 	 
21059	3	98	 	 	 	 
21060	1	98	 	 	 	 
21060	2	98	 	 	 	 
21060	3	98	 	 	 	 
21061	1	62	 	 	4	 
21061	2	98	 	 	 	 
21061	3	98	 	 	 	 
21062	1	45	 	 	3	 
21062	2	12	 	 	 	2
21062	3	98	 	 	 	 
21063	1	62	 	 	4	 
21063	2	63	 	 	4	 
21063	3	39	 	4	 	 
21064	1	98	 	 	 	 
21064	2	98	 	 	 	 
21064	3	98	 	 	 	 
21065	1	38	 	 	2	 
21065	2	98	 	 	 	 
21065	3	98	 	 	 	 
21066	1	98	 	 	 	 
21066	2	98	 	 	 	 
21066	3	98	 	 	 	 
21067	1	41	 	 	1	 
21067	2	98	 	 	 	 
21067	3	98	 	 	 	 
21068	1	98	 	 	 	 
21068	2	98	 	 	 	 
21068	3	98	 	 	 	 
21069	1	63	 	 	 	3
21069	2	62	 	 	 	3
21069	3	28	 	 	2	2
21070	1	36	 	 	2	 
21070	2	98	 	 	 	 
21070	3	98	 	 	 	 
21071	1	98	 	 	 	 
21071	2	98	 	 	 	 
21071	3	98	 	 	 	 
21072	1	41	 	 	2	 
21072	2	12	 	 	 	2
21072	3	63	 	 	 	2
21073	1	98	 	 	 	 
21073	2	98	 	 	 	 
21073	3	98	 	 	 	 
21074	1	98	 	 	 	 
21074	2	98	 	 	 	 
21074	3	98	 	 	 	 
21075	1	98	 	 	 	 
21075	2	98	 	 	 	 
21075	3	98	 	 	 	 
21076	1	98	 	 	 	 
21076	2	98	 	 	 	 
21076	3	98	 	 	 	 
21077	1	98	 	 	 	 
21077	2	98	 	 	 	 
21077	3	98	 	 	 	 
21078	1	98	 	 	 	 
21078	2	98	 	 	 	 
21078	3	98	 	 	 	 
21079	1	39	 	 	 	4
21079	2	98	 	 	 	 
21079	3	98	 	 	 	 
21080	1	98	 	 	 	 
21080	2	98	 	 	 	 
21080	3	98	 	 	 	 
21081	1	98	 	 	 	 
21081	2	98	 	 	 	 
21081	3	98	 	 	 	 
21082	1	13	 	4	 	 
21082	2	98	 	 	 	 
21082	3	98	 	 	 	 
21083	1	39	 	 	 	2
21083	2	62	 	 	4	 
21083	3	24	 	4	 	 
21084	1	42	 	2	2	2
21084	2	28	2	2	2	2
21084	3	24	2	2	2	2
21086	1	25	 	 	 	4
21086	2	13	 	 	 	4
21086	3	98	 	 	 	 
21087	1	39	 	 	 	3
21087	2	98	 	 	 	 
21087	3	98	 	 	 	 
21088	1	98	 	 	 	 
21088	2	98	 	 	 	 
21088	3	98	 	 	 	 
21089	1	98	 	 	 	 
21089	2	98	 	 	 	 
21089	3	98	 	 	 	 
21090	1	25	 	 	 	4
21090	2	98	 	 	 	 
21090	3	98	 	 	 	 
21091	1	41	 	 	2	 
21091	2	98	 	 	 	 
21091	3	98	 	 	 	 
21092	1	3	 	 	 	3
21092	2	5	 	 	4	 
21092	3	38	 	 	 	4
21093	1	37	 	 	4	 
21093	2	98	 	 	 	 
21093	3	98	 	 	 	 
21094	1	98	 	 	 	 
21094	2	98	 	 	 	 
21094	3	98	 	 	 	 
21095	1	98	 	 	 	 
21095	2	98	 	 	 	 
21095	3	98	 	 	 	 
21096	1	38	 	 	4	 
21096	2	5	 	2	 	 
21096	3	62	 	 	4	 
21097	1	62	 	 	3	4
21097	2	98	 	 	 	 
21097	3	98	 	 	 	 
21098	1	98	 	 	 	 
21098	2	98	 	 	 	 
21098	3	98	 	 	 	 
21099	1	39	4	4	4	4
21099	2	98	 	 	 	 
21099	3	98	 	 	 	 
21100	1	12	 	 	2	 
21100	2	98	 	 	 	 
21100	3	98	 	 	 	 
31002	1	98	 	 	 	 
31002	2	98	 	 	 	 
31002	3	98	 	 	 	 
31003	1	98	 	 	 	 
31003	2	98	 	 	 	 
31003	3	98	 	 	 	 
31004	1	45	4	4	3	2
31004	2	98	 	 	 	 
31004	3	98	 	 	 	 
31005	1	26	 	 	 	3
31005	2	34	1	 	 	 
31005	3	98	 	 	 	 
31006	1	31	 	 	2	 
31006	2	98	 	 	 	 
31006	3	98	 	 	 	 
31007	1	58	 	 	3	 
31007	2	98	 	 	 	 
31007	3	98	 	 	 	 
31009	1	98	 	 	 	 
31009	2	98	 	 	 	 
31009	3	98	 	 	 	 
31010	1	 	 	 	 	 
31010	2	 	 	 	 	 
31010	3	 	 	 	 	 
31011	1	98	 	 	 	 
31011	2	98	 	 	 	 
31011	3	98	 	 	 	 
31012	1	28	 	 	 	3
31012	2	37	 	3	4	 
31012	3	38	2	2	2	2
31013	1	98	 	 	 	 
31013	2	98	 	 	 	 
31013	3	98	 	 	 	 
31014	1	39	 	3	 	 
31014	2	31	2	2	2	2
31014	3	98	 	 	 	 
31015	1	28	 	2	2	2
31015	2	37	3	2	2	2
31015	3	13	 	2	2	2
31016	1	29	 	 	 	2
31016	2	98	 	 	 	 
31016	3	98	 	 	 	 
31017	1	39	 	 	1	 
31017	2	98	 	 	 	 
31017	3	98	 	 	 	 
31018	1	20	 	 	4	 
31018	2	39	 	 	 	3
31018	3	98	 	 	 	 
31019	1	37	 	 	 	4
31019	2	62	 	 	 	4
31019	3	63	 	 	 	4
31020	1	28	 	 	3	 
31020	2	14	 	 	 	3
31020	3	13	 	 	3	 
31021	1	39	4	 	 	 
31021	2	98	 	 	 	 
31021	3	98	 	 	 	 
31022	1	98	 	 	 	 
31022	2	98	 	 	 	 
31022	3	98	 	 	 	 
31023	1	98	 	 	 	 
31023	2	98	 	 	 	 
31023	3	98	 	 	 	 
31024	1	69	 	 	3	 
31024	2	26	 	 	 	2
31024	3	29	 	 	 	3
31025	1	98	 	 	 	 
31025	2	98	 	 	 	 
31025	3	98	 	 	 	 
31026	1	12	 	 	2	2
31026	2	41	 	 	 	3
31026	3	98	 	 	 	 
31027	1	98	 	 	 	 
31027	2	98	 	 	 	 
31027	3	98	 	 	 	 
31028	1	98	 	 	 	 
31028	2	98	 	 	 	 
31028	3	98	 	 	 	 
31029	1	38	 	 	1	 
31029	2	98	 	 	 	 
31029	3	98	 	 	 	 
31030	1	36	 	 	4	 
31030	2	38	 	 	4	4
31030	3	98	 	 	 	 
31031	1	39	 	3	 	 
31031	2	37	 	 	 	2
31031	3	98	 	 	 	 
31032	1	98	 	 	 	 
31032	2	98	 	 	 	 
31032	3	98	 	 	 	 
31033	1	98	 	 	 	 
31033	2	98	 	 	 	 
31033	3	98	 	 	 	 
31034	1	39	 	 	 	3
31034	2	42	3	 	 	 
31034	3	41	 	1	 	 
31035	1	98	 	 	 	 
31035	2	98	 	 	 	 
31035	3	98	 	 	 	 
31036	1	31	 	 	 	4
31036	2	98	 	 	 	 
31036	3	98	 	 	 	 
31037	1	98	 	 	 	 
31037	2	98	 	 	 	 
31037	3	98	 	 	 	 
31038	1	98	 	 	 	 
31038	2	98	 	 	 	 
31038	3	98	 	 	 	 
31039	1	98	 	 	 	 
31039	2	98	 	 	 	 
31039	3	98	 	 	 	 
31040	1	5	 	 	4	 
31040	2	40	 	 	 	2
31040	3	98	 	 	 	 
31041	1	62	 	 	4	 
31041	2	36	 	 	3	 
31041	3	38	 	 	 	3
31042	1	98	 	 	 	 
31042	2	98	 	 	 	 
31042	3	98	 	 	 	 
31043	1	98	 	 	 	 
31043	2	98	 	 	 	 
31043	3	98	 	 	 	 
31044	1	62	 	4	4	 
31044	2	63	 	4	4	 
31044	3	12	 	4	 	 
31045	1	39	 	 	4	 
31045	2	28	 	 	3	 
31045	3	30	 	 	3	 
31046	1	98	 	 	 	 
31046	2	98	 	 	 	 
31046	3	98	 	 	 	 
31047	1	27	 	 	3	 
31047	2	31	 	 	 	4
31047	3	98	 	 	 	 
31048	1	98	 	 	 	 
31048	2	98	 	 	 	 
31048	3	98	 	 	 	 
31049	1	25	 	 	4	 
31049	2	98	 	 	 	 
31049	3	98	 	 	 	 
31050	1	41	 	1	 	 
31050	2	98	 	 	 	 
31050	3	98	 	 	 	 
31051	1	62	 	 	4	 
31051	2	98	 	 	 	 
31051	3	98	 	 	 	 
31052	1	98	 	 	 	 
31052	2	98	 	 	 	 
31052	3	98	 	 	 	 
31053	1	2	2	 	 	 
31053	2	98	 	 	 	 
31053	3	98	 	 	 	 
31054	1	98	 	 	 	 
31054	2	98	 	 	 	 
31054	3	98	 	 	 	 
31055	1	98	 	 	 	 
31055	2	98	 	 	 	 
31055	3	98	 	 	 	 
31056	1	41	 	4	 	 
31056	2	98	 	 	 	 
31056	3	98	 	 	 	 
31057	1	98	 	 	 	 
31057	2	98	 	 	 	 
31057	3	98	 	 	 	 
31058	1	98	 	 	 	 
31058	2	98	 	 	 	 
31058	3	98	 	 	 	 
31059	1	98	 	 	 	 
31059	2	98	 	 	 	 
31059	3	98	 	 	 	 
31060	1	98	 	 	 	 
31060	2	98	 	 	 	 
31060	3	98	 	 	 	 
31061	1	41	2	 	2	 
31061	2	98	 	 	 	 
31061	3	98	 	 	 	 
31062	1	98	 	 	 	 
31062	2	98	 	 	 	 
31062	3	98	 	 	 	 
31063	1	28	 	 	 	4
31063	2	98	 	 	 	 
31063	3	98	 	 	 	 
31064	1	31	 	 	 	3
31064	2	98	 	 	 	 
31064	3	98	 	 	 	 
31065	1	36	 	 	4	 
31065	2	98	 	 	 	 
31065	3	98	 	 	 	 
31066	1	30	 	 	4	3
31066	2	98	 	 	 	 
31066	3	98	 	 	 	 
31067	1	36	 	4	 	 
31067	2	98	 	 	 	 
31067	3	98	 	 	 	 
31068	1	13	 	 	 	3
31068	2	28	 	 	2	2
31068	3	29	 	 	3	 
31069	1	98	 	 	 	 
31069	2	98	 	 	 	 
31069	3	98	 	 	 	 
31070	1	98	 	 	 	 
31070	2	98	 	 	 	 
31070	3	98	 	 	 	 
31071	1	98	 	 	 	 
31071	2	98	 	 	 	 
31071	3	98	 	 	 	 
31072	1	28	4	4	4	4
31072	2	31	4	4	4	4
31072	3	98	 	 	 	 
31073	1	62	2	2	 	 
31073	2	98	 	 	 	 
31073	3	98	 	 	 	 
31074	1	 	 	 	 	 
31074	2	 	 	 	 	 
31074	3	 	 	 	 	 
31075	1	39	 	 	3	 
31075	2	98	 	 	 	 
31075	3	98	 	 	 	 
31076	1	25	 	 	 	1
31076	2	98	 	 	 	 
31076	3	98	 	 	 	 
31077	1	28	 	3	2	 
31077	2	31	4	 	 	 
31077	3	98	 	 	 	 
31078	1	2	 	2	 	 
31078	2	98	 	 	 	 
31078	3	98	 	 	 	 
31079	1	39	 	 	 	4
31079	2	28	 	 	4	 
31079	3	24	 	4	 	 
31080	1	38	 	3	 	 
31080	2	25	 	 	4	 
31080	3	24	2	2	 	 
31081	1	98	 	 	 	 
31081	2	98	 	 	 	 
31081	3	98	 	 	 	 
31082	1	98	 	 	 	 
31082	2	98	 	 	 	 
31082	3	98	 	 	 	 
31083	1	25	 	2	 	 
31083	2	37	 	2	 	 
31083	3	41	 	 	 	2
31084	1	31	4	 	 	 
31084	2	98	 	 	 	 
31084	3	98	 	 	 	 
31085	1	98	 	 	 	 
31085	2	98	 	 	 	 
31085	3	98	 	 	 	 
31086	1	98	 	 	 	 
31086	2	98	 	 	 	 
31086	3	98	 	 	 	 
31087	1	98	 	 	 	 
31087	2	98	 	 	 	 
31087	3	98	 	 	 	 
31088	1	31	 	 	4	 
31088	2	39	 	 	 	4
31088	3	98	 	 	 	 
31089	1	98	 	 	 	 
31089	2	98	 	 	 	 
31089	3	98	 	 	 	 
31090	1	98	 	 	 	 
31090	2	98	 	 	 	 
31090	3	98	 	 	 	 
31091	1	40	 	 	2	 
31091	2	98	 	 	 	 
31091	3	98	 	 	 	 
31092	1	98	 	 	 	 
31092	2	98	 	 	 	 
31092	3	98	 	 	 	 
31093	1	98	 	 	 	 
31093	2	98	 	 	 	 
31093	3	98	 	 	 	 
31094	1	13	4	4	 	 
31094	2	31	 	2	2	2
31094	3	39	 	 	1	 
31095	1	28	 	 	 	4
31095	2	98	 	 	 	 
31095	3	98	 	 	 	 
31096	1	25	 	4	 	 
31096	2	62	 	 	4	 
31096	3	41	 	 	1	 
31097	1	28	 	4	4	 
31097	2	98	 	 	 	 
31097	3	98	 	 	 	 
31098	1	27	 	 	 	3
31098	2	28	 	 	 	2
31098	3	39	 	 	 	3
31099	1	98	 	 	 	 
31099	2	98	 	 	 	 
31099	3	98	 	 	 	 
31100	1	98	 	 	 	 
31100	2	98	 	 	 	 
31100	3	98	 	 	 	 
41001	1	45	3	 	 	 
41001	2	39	 	 	 	2
41001	3	98	 	 	 	 
41002	1	25	 	 	4	 
41002	2	29	 	4	 	 
41002	3	41	 	 	 	4
41003	1	98	 	 	 	 
41003	2	98	 	 	 	 
41003	3	98	 	 	 	 
41004	1	25	 	 	2	 
41004	2	28	 	2	 	 
41004	3	98	 	 	 	 
41005	1	31	 	 	2	 
41005	2	98	 	 	 	 
41005	3	98	 	 	 	 
41006	1	98	 	 	 	 
41006	2	98	 	 	 	 
41006	3	98	 	 	 	 
41007	1	98	 	 	 	 
41007	2	98	 	 	 	 
41007	3	98	 	 	 	 
41008	1	98	 	 	 	 
41008	2	98	 	 	 	 
41008	3	98	 	 	 	 
41009	1	41	 	3	 	 
41009	2	98	 	 	 	 
41009	3	98	 	 	 	 
41010	1	98	 	 	 	 
41010	2	98	 	 	 	 
41010	3	98	 	 	 	 
41011	1	14	 	 	 	4
41011	2	2	 	 	4	 
41011	3	41	 	 	 	1
41012	1	38	2	 	 	 
41012	2	98	 	 	 	 
41012	3	98	 	 	 	 
41013	1	98	 	 	 	 
41013	2	98	 	 	 	 
