CHILDCODE	MEMIDR5	EXISTHH	ALIVE	PANELSIB	MEMMOVR5	RELATER4	RELATER5	CAREGVR5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEMSEXR5	CHLBRNR5	WHRNOWR5	SEENMER5	EVRLVDR5	LNGLVDR5	GETMOMBIRTH	GETCHILDBIRTH	MTHBRNR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	THSDISR5	BRNDISR5	GRADER5	STILLR5	SCHTYPR5	LSTTYPR5	ATTPRER5	AGESTR5	AGEGRDR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	MEMCNSR5	MEMHLTR5	MEMDISBR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	MEMSMKR5	SMKHSER5	DYSSMKR5	MEMALCR5	DYSALCR5
11005	6	1	1	0	 	13	13	0	4	 	22	26	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	7	1	1	0	 	13	13	0	1	 	20	24	2	 	 	 	 	 	0	0	 	3	6	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11005	8	1	1	0	 	7	7	0	1	 	10	12	1	 	 	 	 	 	0	0	2	3	 	3	1	 	 	8	1	4	 	1	6	 	9	1	1	0	0	7	1	5	N	 	 	 	 	 	 	 	 	 	 	 
11005	9	1	1	0	 	14	14	0	1	 	5	8	2	 	 	 	 	 	0	0	1	5	 	5	98	 	 	 	 	 	 	 	 	 	9	0	1	0	0	6	2	6	N	 	 	 	 	 	 	 	 	 	 	 
11006	0	1	1	0	 	0	0	 	1	 	11	14	2	 	 	 	 	 	0	0	2	3	6	2	1	 	 	9	1	4	 	1	6	 	9	1	1	0	0	5	2	5	N	 	 	 	 	 	 	 	 	 	 	 
11006	1	1	1	0	 	1	1	0	1	 	36	38	1	 	 	 	 	 	0	0	 	1	1	98	98	 	 	4	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	1	4
11006	2	1	1	0	 	1	1	1	1	 	33	36	2	0	 	 	 	 	0	0	 	2	1	98	98	 	 	4	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	0	 
11006	3	1	1	0	 	5	5	0	4	 	-88	74	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	4	1	1	0	 	13	13	0	4	 	-88	31	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	5	1	1	1	 	7	7	0	1	 	8	11	2	 	 	 	 	 	0	0	9	3	 	2	1	 	 	6	1	4	 	1	6	 	12	1	1	0	0	5	2	5	N	3	0	 	0	 	 	 	 	 	 	 
11006	6	1	1	0	 	7	7	0	1	 	0	3	2	 	 	 	 	 	0	0	 	3	 	2	1	 	 	20	1	4	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11007	0	1	1	0	 	0	0	 	1	 	12	15	2	 	 	 	 	 	0	0	7	3	6	98	1	 	 	10	1	4	 	1	6	 	7	0	2	0	0	7	0	6	N	 	 	 	 	 	 	 	 	 	 	 
11007	1	1	1	0	 	1	1	1	1	 	47	50	1	 	 	 	 	 	0	0	 	1	4	98	98	 	 	19	0	 	1	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	1	17	6	0	 	1	1	4
11007	2	1	0	0	 	1	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	3	1	1	0	 	7	7	0	1	 	17	20	1	 	 	 	 	 	0	0	 	3	6	98	1	 	 	15	1	1	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11007	4	1	1	0	 	5	5	0	3	2007	-88	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	5	1	1	0	 	13	13	0	4	 	-88	-77	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	15	1	1	0	 	7	7	0	1	 	15	18	1	 	 	 	 	 	0	0	 	3	6	98	1	 	 	15	1	1	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11008	0	1	1	0	 	0	0	 	1	 	12	15	1	 	 	 	 	 	0	0	7	3	6	2	1	 	 	9	1	4	 	1	7	 	10	1	1	0	0	6	2	5	N	 	 	 	 	 	 	 	 	 	 	 
11008	1	1	1	0	 	1	1	0	1	 	39	43	1	 	 	 	 	 	0	0	 	1	3	98	98	 	 	13	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	1	0	2	1	4
11008	2	1	1	0	 	1	1	1	1	 	42	45	2	0	 	 	 	 	0	0	 	2	3	98	98	 	 	13	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	1	4
11008	15	1	1	0	 	7	7	0	1	 	14	17	2	 	 	 	 	 	0	0	7	3	6	2	1	 	 	11	1	4	 	1	7	 	10	2	1	0	0	6	3	4	N	 	 	 	 	 	 	 	 	 	 	 
11008	16	1	1	1	 	7	7	0	1	 	7	10	2	 	 	 	 	 	0	0	1	3	 	2	1	 	 	5	1	4	 	1	6	 	9	0	1	0	0	6	1	6	N	4	0	 	0	 	 	 	 	 	 	 
11009	0	1	1	0	 	0	0	 	1	 	11	14	1	 	 	 	 	 	0	0	9	3	6	2	1	 	 	9	1	7	 	1	6	 	9	0	0	0	0	8	2	4	N	 	 	 	 	 	 	 	 	 	 	 
11009	1	1	1	0	 	1	1	0	1	 	35	38	1	 	 	 	 	 	0	0	 	1	1	98	98	 	 	11	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	0	 
11009	2	1	1	0	 	1	1	1	1	 	33	36	2	0	 	 	 	 	0	0	 	2	1	4	98	 	 	11	0	 	1	 	 	 	 	 	 	 	 	 	 	 	N	4	0	 	0	 	 	0	 	1	0	 
11009	3	1	1	0	 	7	7	0	1	 	16	19	2	 	 	 	 	 	0	0	 	3	6	2	0	 	 	15	1	1	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11009	4	1	1	0	 	5	5	0	1	 	-88	59	2	 	 	 	 	 	0	0	 	11	2	98	98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11009	5	1	1	0	 	13	13	0	4	 	-88	31	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	6	1	1	1	 	7	7	0	1	 	6	9	1	 	 	 	 	 	0	0	7	3	 	2	1	 	 	3	1	7	 	1	6	 	9	0	0	0	0	6	2	6	N	4	0	 	0	 	 	 	 	 	 	 
11010	0	1	1	0	 	0	0	 	1	 	12	15	1	 	 	 	 	 	0	0	5	5	6	98	98	 	 	9	1	4	 	1	6	 	9	0	1	0	0	6	2	7	N	 	 	 	 	 	 	 	 	 	 	 
11010	1	1	1	0	 	21	21	0	4	 	-88	-77	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	2	1	1	0	 	1	1	0	4	 	-88	-77	2	-77	1	6	1	6	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	3	1	1	0	 	5	5	0	4	 	-88	-77	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	4	1	1	0	 	13	13	0	4	 	-88	-77	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	5	1	1	0	 	13	13	0	4	 	-88	-77	1	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	6	1	1	0	 	13	13	0	4	 	-88	-77	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	15	1	1	0	 	13	13	0	4	 	-88	-77	2	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	16	1	1	1	 	7	7	0	1	 	8	11	2	 	 	 	 	 	0	0	3	5	 	98	98	 	 	6	1	4	 	1	6	 	9	0	1	0	0	6	1	7	N	4	0	 	0	 	 	 	 	 	 	 
11010	17	1	1	0	 	1	1	0	4	 	33	35	1	 	5	4	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	18	1	1	0	 	6	6	1	1	 	63	66	2	 	 	 	 	 	0	0	 	1	4	98	98	 	 	7	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	0	 	 	0	 	1	0	 
11010	19	1	1	0	 	18	18	0	3	2015	97	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	20	1	1	0	 	19	19	0	1	 	64	68	2	 	 	 	 	 	0	0	 	7	6	98	98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
11010	21	1	1	0	 	13	13	0	1	 	27	30	2	 	 	 	 	 	0	0	 	3	6	98	98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	 	 	 	 	 	 
11011	0	1	1	0	 	0	0	 	1	 	11	14	2	 	 	 	 	 	0	0	10	3	6	2	1	 	 	3	0	 	4	1	6	11	8	12	2	0	0	0	0	4	N	 	 	 	 	 	 	 	 	 	 	 
11011	1	1	1	0	 	1	1	0	1	 	38	41	1	 	 	 	 	 	0	0	 	1	3	98	98	 	 	6	0	 	4	 	 	 	 	 	 	 	 	 	 	 	N	3	0	 	1	1	24	1	0	2	1	4
