CHILDCODE	LANDIDR5	LNDTYPR5	ALQTYR5	ALUNTR5	ALMUSER5	ALPRIRR5	NALQTYR5	NALUNTR5	NAMUSER5	BSLQTYR5	BSLUNTR5	BSMUSER5
11028	1	Y	 	 	 	 	150	1	1	10	1	8
11028	2	N	 	 	 	 	 	 	 	 	 	 
11028	3	N	 	 	 	 	 	 	 	 	 	 
11028	4	N	 	 	 	 	 	 	 	 	 	 
11028	5	N	 	 	 	 	 	 	 	 	 	 
11028	6	N	 	 	 	 	 	 	 	 	 	 
11028	7	N	 	 	 	 	 	 	 	 	 	 
11029	1	Y	 	 	 	 	120	1	1	0	 	 
11029	2	N	 	 	 	 	 	 	 	 	 	 
11029	3	N	 	 	 	 	 	 	 	 	 	 
11029	4	N	 	 	 	 	 	 	 	 	 	 
11029	5	N	 	 	 	 	 	 	 	 	 	 
11029	6	N	 	 	 	 	 	 	 	 	 	 
11029	7	N	 	 	 	 	 	 	 	 	 	 
11030	1	N	 	 	 	 	 	 	 	 	 	 
11030	2	Y	 	 	 	 	100	1	1	0	 	 
11030	3	N	 	 	 	 	 	 	 	 	 	 
11030	4	N	 	 	 	 	 	 	 	 	 	 
11030	5	N	 	 	 	 	 	 	 	 	 	 
11030	6	N	 	 	 	 	 	 	 	 	 	 
11030	7	N	 	 	 	 	 	 	 	 	 	 
11031	1	Y	 	 	 	 	140	1	1	80	1	8
11031	2	N	 	 	 	 	 	 	 	 	 	 
11031	3	N	 	 	 	 	 	 	 	 	 	 
11031	4	N	 	 	 	 	 	 	 	 	 	 
11031	5	N	 	 	 	 	 	 	 	 	 	 
11031	6	N	 	 	 	 	 	 	 	 	 	 
11031	7	N	 	 	 	 	 	 	 	 	 	 
11032	1	Y	 	 	 	 	180	1	1	0	 	 
11032	2	N	 	 	 	 	 	 	 	 	 	 
11032	3	N	 	 	 	 	 	 	 	 	 	 
11032	4	N	 	 	 	 	 	 	 	 	 	 
11032	5	N	 	 	 	 	 	 	 	 	 	 
11032	6	N	 	 	 	 	 	 	 	 	 	 
11032	7	N	 	 	 	 	 	 	 	 	 	 
11033	1	Y	2	2	14	0	216	1	1	0	 	 
11033	2	N	 	 	 	 	 	 	 	 	 	 
11033	3	N	 	 	 	 	 	 	 	 	 	 
11033	4	N	 	 	 	 	 	 	 	 	 	 
11033	5	N	 	 	 	 	 	 	 	 	 	 
11033	6	N	 	 	 	 	 	 	 	 	 	 
11033	7	N	 	 	 	 	 	 	 	 	 	 
11034	1	N	 	 	 	 	 	 	 	 	 	 
11034	2	N	 	 	 	 	 	 	 	 	 	 
11034	3	Y	 	 	 	 	125	1	1	0	 	 
11034	4	N	 	 	 	 	 	 	 	 	 	 
11034	5	N	 	 	 	 	 	 	 	 	 	 
11034	6	N	 	 	 	 	 	 	 	 	 	 
11034	7	N	 	 	 	 	 	 	 	 	 	 
11035	1	N	 	 	 	 	 	 	 	 	 	 
11035	2	N	 	 	 	 	 	 	 	 	 	 
11035	3	N	 	 	 	 	 	 	 	 	 	 
11035	4	Y	 	 	 	 	90	1	1	0	 	 
11035	5	N	 	 	 	 	 	 	 	 	 	 
11035	6	N	 	 	 	 	 	 	 	 	 	 
11035	7	N	 	 	 	 	 	 	 	 	 	 
11036	1	Y	 	 	 	 	112.5	1	3	6	1	8
11036	2	N	 	 	 	 	 	 	 	 	 	 
11036	3	N	 	 	 	 	 	 	 	 	 	 
11036	4	N	 	 	 	 	 	 	 	 	 	 
11036	5	N	 	 	 	 	 	 	 	 	 	 
11036	6	N	 	 	 	 	 	 	 	 	 	 
11036	7	N	 	 	 	 	 	 	 	 	 	 
11037	1	Y	 	 	 	 	125	1	3	0	 	 
11037	2	N	 	 	 	 	 	 	 	 	 	 
11037	3	N	 	 	 	 	 	 	 	 	 	 
11037	4	N	 	 	 	 	 	 	 	 	 	 
11037	5	N	 	 	 	 	 	 	 	 	 	 
11037	6	N	 	 	 	 	 	 	 	 	 	 
11037	7	N	 	 	 	 	 	 	 	 	 	 
11038	1	Y	 	 	 	 	160	1	1	32	1	9
11038	2	N	 	 	 	 	 	 	 	 	 	 
11038	3	N	 	 	 	 	 	 	 	 	 	 
11038	4	N	 	 	 	 	 	 	 	 	 	 
11038	5	N	 	 	 	 	 	 	 	 	 	 
11038	6	N	 	 	 	 	 	 	 	 	 	 
11038	7	N	 	 	 	 	 	 	 	 	 	 
11039	1	Y	 	 	 	 	175	1	1	0	 	 
11039	2	N	 	 	 	 	 	 	 	 	 	 
11039	3	N	 	 	 	 	 	 	 	 	 	 
11039	4	N	 	 	 	 	 	 	 	 	 	 
11039	5	N	 	 	 	 	 	 	 	 	 	 
11039	6	N	 	 	 	 	 	 	 	 	 	 
11039	7	N	 	 	 	 	 	 	 	 	 	 
11040	1	Y	 	 	 	 	112.5	1	1	0	 	 
11040	2	N	 	 	 	 	 	 	 	 	 	 
11040	3	N	 	 	 	 	 	 	 	 	 	 
11040	4	N	 	 	 	 	 	 	 	 	 	 
11040	5	N	 	 	 	 	 	 	 	 	 	 
11040	6	N	 	 	 	 	 	 	 	 	 	 
11040	7	N	 	 	 	 	 	 	 	 	 	 
11041	1	Y	 	 	 	 	200	1	1	0	 	 
11041	2	N	 	 	 	 	 	 	 	 	 	 
11041	3	N	 	 	 	 	 	 	 	 	 	 
11041	4	N	 	 	 	 	 	 	 	 	 	 
11041	5	N	 	 	 	 	 	 	 	 	 	 
11041	6	N	 	 	 	 	 	 	 	 	 	 
11041	7	N	 	 	 	 	 	 	 	 	 	 
11042	1	Y	 	 	 	 	135	1	1	0	 	 
11042	2	N	 	 	 	 	 	 	 	 	 	 
11042	3	N	 	 	 	 	 	 	 	 	 	 
11042	4	N	 	 	 	 	 	 	 	 	 	 
11042	5	N	 	 	 	 	 	 	 	 	 	 
11042	6	N	 	 	 	 	 	 	 	 	 	 
11042	7	N	 	 	 	 	 	 	 	 	 	 
11043	1	Y	 	 	 	 	160	1	3	90	1	9
11043	2	N	 	 	 	 	 	 	 	 	 	 
11043	3	N	 	 	 	 	 	 	 	 	 	 
11043	4	N	 	 	 	 	 	 	 	 	 	 
11043	5	N	 	 	 	 	 	 	 	 	 	 
11043	6	N	 	 	 	 	 	 	 	 	 	 
11043	7	N	 	 	 	 	 	 	 	 	 	 
11044	1	Y	 	 	 	 	81.6999969482422	1	1	0	 	 
11044	2	N	 	 	 	 	 	 	 	 	 	 
11044	3	N	 	 	 	 	 	 	 	 	 	 
11044	4	N	 	 	 	 	 	 	 	 	 	 
11044	5	N	 	 	 	 	 	 	 	 	 	 
11044	6	N	 	 	 	 	 	 	 	 	 	 
11044	7	N	 	 	 	 	 	 	 	 	 	 
11045	1	N	 	 	 	 	 	 	 	 	 	 
11045	2	N	 	 	 	 	 	 	 	 	 	 
11045	3	N	 	 	 	 	 	 	 	 	 	 
11045	4	Y	 	 	 	 	180	1	1	0	 	 
11045	5	N	 	 	 	 	 	 	 	 	 	 
11045	6	N	 	 	 	 	 	 	 	 	 	 
11045	7	N	 	 	 	 	 	 	 	 	 	 
11046	1	Y	 	 	 	 	60	1	3	0	 	 
11046	2	N	 	 	 	 	 	 	 	 	 	 
11046	3	N	 	 	 	 	 	 	 	 	 	 
11046	4	N	 	 	 	 	 	 	 	 	 	 
11046	5	N	 	 	 	 	 	 	 	 	 	 
11046	6	N	 	 	 	 	 	 	 	 	 	 
11046	7	Y	 	 	 	 	0	 	 	300	1	11
11047	1	Y	 	 	 	 	111	1	1	0	 	 
11047	2	N	 	 	 	 	 	 	 	 	 	 
11047	3	N	 	 	 	 	 	 	 	 	 	 
11047	4	N	 	 	 	 	 	 	 	 	 	 
11047	5	N	 	 	 	 	 	 	 	 	 	 
11047	6	N	 	 	 	 	 	 	 	 	 	 
11047	7	N	 	 	 	 	 	 	 	 	 	 
11048	1	Y	 	 	 	 	100	1	1	20	1	8
11048	2	N	 	 	 	 	 	 	 	 	 	 
11048	3	N	 	 	 	 	 	 	 	 	 	 
11048	4	N	 	 	 	 	 	 	 	 	 	 
11048	5	N	 	 	 	 	 	 	 	 	 	 
11048	6	N	 	 	 	 	 	 	 	 	 	 
11048	7	N	 	 	 	 	 	 	 	 	 	 
11049	1	Y	 	 	 	 	96	1	1	0	 	 
11049	2	N	 	 	 	 	 	 	 	 	 	 
11049	3	N	 	 	 	 	 	 	 	 	 	 
11049	4	N	 	 	 	 	 	 	 	 	 	 
11049	5	N	 	 	 	 	 	 	 	 	 	 
11049	6	N	 	 	 	 	 	 	 	 	 	 
11049	7	N	 	 	 	 	 	 	 	 	 	 
11050	1	Y	 	 	 	 	144	1	1	0	 	 
11050	2	N	 	 	 	 	 	 	 	 	 	 
11050	3	N	 	 	 	 	 	 	 	 	 	 
11050	4	N	 	 	 	 	 	 	 	 	 	 
11050	5	N	 	 	 	 	 	 	 	 	 	 
11050	6	N	 	 	 	 	 	 	 	 	 	 
11050	7	N	 	 	 	 	 	 	 	 	 	 
11051	1	Y	9	2	16	1	140	1	1	0	 	 
11051	2	N	 	 	 	 	 	 	 	 	 	 
11051	3	N	 	 	 	 	 	 	 	 	 	 
11051	4	N	 	 	 	 	 	 	 	 	 	 
11051	5	N	 	 	 	 	 	 	 	 	 	 
11051	6	N	 	 	 	 	 	 	 	 	 	 
11051	7	N	 	 	 	 	 	 	 	 	 	 
11052	1	Y	 	 	 	 	200	1	1	0	 	 
11052	2	N	 	 	 	 	 	 	 	 	 	 
11052	3	N	 	 	 	 	 	 	 	 	 	 
11052	4	N	 	 	 	 	 	 	 	 	 	 
11052	5	N	 	 	 	 	 	 	 	 	 	 
11052	6	N	 	 	 	 	 	 	 	 	 	 
11052	7	N	 	 	 	 	 	 	 	 	 	 
11053	1	N	 	 	 	 	 	 	 	 	 	 
11053	2	N	 	 	 	 	 	 	 	 	 	 
11053	3	Y	 	 	 	 	64	1	1	0	 	 
11053	4	N	 	 	 	 	 	 	 	 	 	 
11053	5	N	 	 	 	 	 	 	 	 	 	 
11053	6	N	 	 	 	 	 	 	 	 	 	 
11053	7	N	 	 	 	 	 	 	 	 	 	 
11054	1	Y	 	 	 	 	100	1	1	0	 	 
11054	2	N	 	 	 	 	 	 	 	 	 	 
11054	3	N	 	 	 	 	 	 	 	 	 	 
11054	4	N	 	 	 	 	 	 	 	 	 	 
11054	5	N	 	 	 	 	 	 	 	 	 	 
11054	6	N	 	 	 	 	 	 	 	 	 	 
11054	7	N	 	 	 	 	 	 	 	 	 	 
11055	1	N	 	 	 	 	 	 	 	 	 	 
11055	2	N	 	 	 	 	 	 	 	 	 	 
11055	3	N	 	 	 	 	 	 	 	 	 	 
11055	4	N	 	 	 	 	 	 	 	 	 	 
11055	5	N	 	 	 	 	 	 	 	 	 	 
11055	6	N	 	 	 	 	 	 	 	 	 	 
11055	7	Y	 	 	 	 	125	1	1	0	 	 
11056	1	Y	2000	1	5	0	0	 	 	90	1	9
11056	2	N	 	 	 	 	 	 	 	 	 	 
11056	3	N	 	 	 	 	 	 	 	 	 	 
11056	4	Y	0	 	 	 	90	1	1	50	1	8
11056	5	N	 	 	 	 	 	 	 	 	 	 
11056	6	N	 	 	 	 	 	 	 	 	 	 
11056	7	N	 	 	 	 	 	 	 	 	 	 
11057	1	Y	 	 	 	 	88	1	1	0	 	 
11057	2	N	 	 	 	 	 	 	 	 	 	 
11057	3	N	 	 	 	 	 	 	 	 	 	 
11057	4	N	 	 	 	 	 	 	 	 	 	 
11057	5	N	 	 	 	 	 	 	 	 	 	 
11057	6	N	 	 	 	 	 	 	 	 	 	 
