CHILDCODE	NONFODR5	BGHTR5	SPYRR5	SPNMR5
11028	6	1	180	 
11028	7	1	70	4
11028	8	1	70	0
11028	9	1	40	0
11028	10	1	70	4
11028	11	1	60	2
11028	12	0	 	 
11028	13	0	 	 
11028	15	1	180	2
11028	16	0	 	 
11028	17	1	20	4
11028	18	1	48	2
11028	19	1	20	1
11028	20	0	 	 
11028	21	1	40	1
11028	22	1	180	1
11028	23	0	 	 
11028	24	0	 	 
11028	25	0	 	 
11028	26	1	288	0
11028	27	0	 	 
11028	28	0	 	 
11028	29	0	 	 
11028	30	1	200	 
11028	31	1	200	 
11029	1	0	 	 
11029	2	0	 	 
11029	3	1	70	4
11029	4	1	35	0
11029	5	0	 	 
11029	6	0	 	 
11029	7	1	35	4
11029	8	1	35	0
11029	9	0	 	 
11029	10	1	20	4
11029	11	0	 	 
11029	12	1	10	4
11029	13	0	 	 
11029	15	1	100	4
11029	16	0	 	 
11029	17	0	 	 
11029	18	1	80	0
11029	19	1	100	0
11029	20	1	40	3
11029	21	0	 	 
11029	22	0	 	 
11029	23	0	 	 
11029	24	0	 	 
11029	25	0	 	 
11029	26	1	200	0
11029	27	0	 	 
11029	28	0	 	 
11029	29	0	 	 
11029	30	0	 	 
11029	31	0	 	 
11030	1	1	500	 
11030	2	1	750	 
11030	3	1	250	0
11030	4	1	500	4
11030	5	1	450	 
11030	6	0	 	 
11030	7	1	200	0
11030	8	1	200	4
11030	9	1	150	4
11030	10	1	150	0
11030	11	1	400	4
11030	12	1	30	0
11030	13	0	 	 
11030	15	1	350	3
11030	16	0	 	 
11030	17	0	 	 
11030	18	1	20	0
11030	19	1	50	2
11030	20	0	 	 
11030	21	0	 	 
11030	22	0	 	 
11030	23	0	 	 
11030	24	0	 	 
11030	25	1	2000	0
11030	26	0	 	 
11030	27	0	 	 
11030	28	0	 	 
11030	29	0	 	 
11030	30	0	 	 
11030	31	0	 	 
11031	1	1	200	 
11031	2	1	500	 
11031	3	1	1000	4
11031	4	0	 	 
11031	5	0	 	 
11031	6	1	200	 
11031	7	0	 	 
11031	8	0	 	 
11031	9	0	 	 
11031	10	0	 	 
11031	11	1	2500	4
11031	12	0	 	 
11031	13	0	 	 
11031	15	0	 	 
11031	16	0	 	 
11031	17	0	 	 
11031	18	1	150	3
11031	19	1	50	2
11031	20	0	 	 
11031	21	1	200	2
11031	22	0	 	 
11031	23	0	 	 
11031	24	0	 	 
11031	25	0	 	 
11031	26	1	12100	0
11031	27	0	 	 
11031	28	0	 	 
11031	29	0	 	 
11031	30	0	 	 
11031	31	0	 	 
11032	1	1	100	 
11032	2	1	100	 
11032	3	1	300	2
11032	4	1	200	0
11032	5	1	500	 
11032	6	1	200	 
11032	7	1	250	2
11032	8	1	200	0
11032	9	1	100	0
11032	10	1	250	2
11032	11	1	4180	1
11032	12	0	 	 
11032	13	0	 	 
11032	15	1	1000	1
11032	16	0	 	 
11032	17	0	 	 
11032	18	1	50	0
11032	19	1	150	1
11032	20	0	 	 
11032	21	0	 	 
11032	22	1	50	0
11032	23	0	 	 
11032	24	0	 	 
11032	25	0	 	 
11032	26	0	 	 
11032	27	0	 	 
11032	28	0	 	 
11032	29	0	 	 
11032	30	0	 	 
11032	31	0	 	 
11033	1	1	300	 
11033	2	1	300	 
11033	3	1	100	0
11033	4	1	400	1
11033	5	1	200	 
11033	6	1	100	 
11033	7	1	100	0
11033	8	1	100	1
11033	9	1	100	0
11033	10	0	 	 
11033	11	0	 	 
11033	12	1	200	1
11033	13	1	50	4
11033	15	1	1000	3
11033	16	0	 	 
11033	17	0	 	 
11033	18	1	500	0
11033	19	0	 	 
11033	20	0	 	 
11033	21	0	 	 
11033	22	1	300	0
11033	23	0	 	 
11033	24	0	 	 
11033	25	0	 	 
11033	26	1	1860	0
11033	27	0	 	 
11033	28	0	 	 
11033	29	0	 	 
11033	30	1	600	 
11033	31	0	 	 
11034	1	1	200	 
11034	2	1	200	 
11034	3	1	300	0
11034	4	1	300	2
11034	5	1	300	 
11034	6	1	300	 
11034	7	1	300	0
11034	8	1	300	2
11034	9	1	110	3
11034	10	1	40	0
11034	11	1	160	1
11034	12	0	 	 
11034	13	0	 	 
11034	15	1	320	3
11034	16	0	 	 
11034	17	0	 	 
11034	18	1	20	4
11034	19	0	 	 
11034	20	0	 	 
11034	21	1	60	0
11034	22	0	 	 
11034	23	0	 	 
11034	24	0	 	 
11034	25	0	 	 
11034	26	1	6000	0
11034	27	0	 	 
