CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	VLAMR5
11023	15	 	 	 
11023	16	 	 	 
11023	17	 	 	 
11023	51	 	 	 
11023	52	 	 	 
11023	53	 	 	 
11023	54	 	 	 
11023	55	 	 	 
11023	56	 	 	 
11023	57	 	 	 
11023	58	 	 	 
11024	1	 	 	 
11024	2	 	 	 
11024	6	 	 	 
11024	9	 	 	 
11024	13	 	 	 
11024	14	 	 	 
11024	15	 	 	 
11024	16	 	 	 
11024	17	 	 	 
11024	51	 	 	 
11024	52	 	 	 
11024	53	 	 	 
11024	54	 	 	 
11024	55	 	 	 
11024	56	 	 	 
11024	57	 	 	 
11024	58	 	 	 
11025	1	 	 	 
11025	2	 	 	 
11025	6	 	 	 
11025	9	 	 	 
11025	13	 	 	 
11025	14	 	 	 
11025	15	 	 	 
11025	16	 	 	 
11025	17	 	 	 
11025	51	 	 	 
11025	52	 	 	 
11025	53	 	 	 
11025	54	 	 	 
11025	55	 	 	 
11025	56	 	 	 
11025	57	 	 	 
11025	58	 	 	 
11026	1	0	 	 
11026	2	0	 	 
11026	6	0	 	 
11026	9	0	 	 
11026	13	0	 	 
11026	14	0	 	 
11026	15	0	 	 
11026	16	1	15	450
11026	17	0	 	 
11026	51	0	 	 
11026	52	0	 	 
11026	53	0	 	 
11026	54	0	 	 
11026	55	0	 	 
11026	56	0	 	 
11026	57	0	 	 
11026	58	0	 	 
11027	1	 	 	 
11027	2	 	 	 
11027	6	 	 	 
11027	9	 	 	 
11027	13	 	 	 
11027	14	 	 	 
11027	15	 	 	 
11027	16	 	 	 
11027	17	 	 	 
11027	51	 	 	 
11027	52	 	 	 
11027	53	 	 	 
11027	54	 	 	 
11027	55	 	 	 
11027	56	 	 	 
11027	57	 	 	 
11027	58	 	 	 
11028	1	 	 	 
11028	2	 	 	 
11028	6	 	 	 
11028	9	 	 	 
11028	13	 	 	 
11028	14	 	 	 
11028	15	 	 	 
11028	16	 	 	 
11028	17	 	 	 
11028	51	 	 	 
11028	52	 	 	 
11028	53	 	 	 
11028	54	 	 	 
11028	55	 	 	 
11028	56	 	 	 
11028	57	 	 	 
11028	58	 	 	 
11029	1	 	 	 
11029	2	 	 	 
11029	6	 	 	 
11029	9	 	 	 
11029	13	 	 	 
11029	14	 	 	 
11029	15	 	 	 
11029	16	 	 	 
11029	17	 	 	 
11029	51	 	 	 
11029	52	 	 	 
11029	53	 	 	 
11029	54	 	 	 
11029	55	 	 	 
11029	56	 	 	 
11029	57	 	 	 
11029	58	 	 	 
11030	1	0	 	 
11030	2	0	 	 
11030	6	0	 	 
11030	9	0	 	 
11030	13	0	 	 
11030	14	0	 	 
11030	15	1	16	10000
11030	16	0	 	 
11030	17	0	 	 
11030	51	0	 	 
11030	52	0	 	 
11030	53	0	 	 
11030	54	0	 	 
11030	55	0	 	 
11030	56	0	 	 
11030	57	0	 	 
11030	58	0	 	 
11031	1	 	 	 
11031	2	 	 	 
11031	6	 	 	 
11031	9	 	 	 
11031	13	 	 	 
11031	14	 	 	 
11031	15	 	 	 
11031	16	 	 	 
11031	17	 	 	 
11031	51	 	 	 
11031	52	 	 	 
11031	53	 	 	 
11031	54	 	 	 
11031	55	 	 	 
11031	56	 	 	 
11031	57	 	 	 
11031	58	 	 	 
11032	1	 	 	 
11032	2	 	 	 
11032	6	 	 	 
11032	9	 	 	 
11032	13	 	 	 
11032	14	 	 	 
11032	15	 	 	 
11032	16	 	 	 
11032	17	 	 	 
11032	51	 	 	 
11032	52	 	 	 
11032	53	 	 	 
11032	54	 	 	 
11032	55	 	 	 
11032	56	 	 	 
11032	57	 	 	 
11032	58	 	 	 
11033	1	0	 	 
11033	2	0	 	 
11033	6	0	 	 
11033	9	0	 	 
11033	13	0	 	 
11033	14	1	21	2500
11033	15	0	 	 
11033	16	1	40	600
11033	17	0	 	 
11033	51	0	 	 
11033	52	0	 	 
11033	53	0	 	 
11033	54	0	 	 
11033	55	0	 	 
11033	56	1	500	1000
11033	57	0	 	 
11033	58	0	 	 
11034	1	0	 	 
11034	2	0	 	 
11034	6	0	 	 
11034	9	0	 	 
11034	13	0	 	 
11034	14	0	 	 
11034	15	0	 	 
11034	16	1	12	30
11034	17	0	 	 
11034	51	0	 	 
11034	52	0	 	 
11034	53	0	 	 
11034	54	0	 	 
11034	55	0	 	 
11034	56	0	 	 
11034	57	0	 	 
11034	58	0	 	 
11035	1	 	 	 
11035	2	 	 	 
11035	6	 	 	 
11035	9	 	 	 
11035	13	 	 	 
11035	14	 	 	 
11035	15	 	 	 
11035	16	 	 	 
11035	17	 	 	 
11035	51	 	 	 
11035	52	 	 	 
11035	53	 	 	 
11035	54	 	 	 
11035	55	 	 	 
11035	56	 	 	 
11035	57	 	 	 
11035	58	 	 	 
11036	1	 	 	 
11036	2	 	 	 
11036	6	 	 	 
11036	9	 	 	 
11036	13	 	 	 
11036	14	 	 	 
11036	15	 	 	 
11036	16	 	 	 
