CHILDCODE	PAYCIDR4	PAYTUTR4	PAYOTHR4
41001	3	 	 
41001	4	 	 
41001	5	 	 
41001	6	 	 
41002	1	 	 
41002	2	 	 
41002	3	 	 
41002	4	 	 
41002	5	 	 
41002	6	 	 
41003	1	 	 
41003	2	 	 
41003	3	 	 
41003	4	 	 
41003	5	 	 
41003	6	 	 
41004	1	 	 
41004	2	 	 
41004	3	 	 
41004	4	 	 
41004	5	 	 
41004	6	 	 
41005	1	 	 
41005	2	 	 
41005	3	 	 
41005	4	 	 
41005	5	 	 
41005	6	 	 
41006	1	 	 
41006	2	 	 
41006	3	 	 
41006	4	 	 
41006	5	 	 
41006	6	 	 
41007	1	 	 
41007	2	 	 
41007	3	 	 
41007	4	 	 
41007	5	 	 
41007	6	 	 
41009	1	0	0
41009	2	0	0
41009	3	0	0
41009	4	1	1
41009	5	0	0
41009	6	0	0
41010	1	0	0
41010	2	1	1
41010	3	1	1
41010	4	1	1
41010	5	0	0
41010	6	1	1
41011	1	 	 
41011	2	 	 
41011	3	 	 
41011	4	 	 
41011	5	 	 
41011	6	 	 
41012	1	 	 
41012	2	 	 
41012	3	 	 
41012	4	 	 
41012	5	 	 
41012	6	 	 
41013	1	 	 
41013	2	 	 
41013	3	 	 
41013	4	 	 
41013	5	 	 
41013	6	 	 
41014	1	 	 
41014	2	 	 
41014	3	 	 
41014	4	 	 
41014	5	 	 
41014	6	 	 
41015	1	0	0
41015	2	1	1
41015	3	0	0
41015	4	0	0
41015	5	0	0
41015	6	0	0
41016	1	0	1
41016	2	1	1
41016	3	0	0
41016	4	0	0
41016	5	0	0
41016	6	0	0
41017	1	 	 
41017	2	 	 
41017	3	 	 
41017	4	 	 
41017	5	 	 
41017	6	 	 
41019	1	 	 
41019	2	 	 
41019	3	 	 
41019	4	 	 
41019	5	 	 
41019	6	 	 
41021	1	 	 
41021	2	 	 
41021	3	 	 
41021	4	 	 
41021	5	 	 
41021	6	 	 
41022	1	 	 
41022	2	 	 
41022	3	 	 
41022	4	 	 
41022	5	 	 
41022	6	 	 
41023	1	0	1
41023	2	1	1
41023	3	0	0
41023	4	0	0
41023	5	0	0
41023	6	0	0
41024	1	0	1
41024	2	1	1
41024	3	0	0
41024	4	0	1
41024	5	0	0
41024	6	1	0
41025	1	0	0
41025	2	1	1
41025	3	0	0
41025	4	0	0
41025	5	0	0
41025	6	0	0
41026	1	0	0
41026	2	1	1
41026	3	1	0
41026	4	1	0
41026	5	1	0
41026	6	0	1
41027	1	0	0
41027	2	1	1
41027	3	1	1
41027	4	0	0
41027	5	0	0
41027	6	0	0
41028	1	 	 
41028	2	 	 
41028	3	 	 
41028	4	 	 
41028	5	 	 
41028	6	 	 
41030	1	0	0
41030	2	1	1
41030	3	1	1
41030	4	1	0
41030	5	0	0
41030	6	0	0
41031	1	 	 
41031	2	 	 
41031	3	 	 
41031	4	 	 
41031	5	 	 
41031	6	 	 
41032	1	 	 
41032	2	 	 
41032	3	 	 
41032	4	 	 
41032	5	 	 
41032	6	 	 
41036	1	0	0
41036	2	1	1
41036	3	0	0
41036	4	0	0
41036	5	0	0
41036	6	0	0
41038	1	1	1
41038	2	0	0
41038	3	0	0
41038	4	0	0
41038	5	0	0
41038	6	0	0
41039	1	 	 
41039	2	 	 
41039	3	 	 
41039	4	 	 
41039	5	 	 
41039	6	 	 
41041	1	 	 
41041	2	 	 
41041	3	 	 
41041	4	 	 
41041	5	 	 
41041	6	 	 
