CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTWEKR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
21020	3	88	 	 	 	 	 	 	 	 	 	 	 
21022	1	88	 	 	 	 	 	 	 	 	 	 	 
21022	2	88	 	 	 	 	 	 	 	 	 	 	 
21022	3	88	 	 	 	 	 	 	 	 	 	 	 
21023	1	12	3	12	4	2	1	70	 	1	 	1	12
21023	2	88	 	 	 	 	 	 	 	 	 	 	 
21023	3	88	 	 	 	 	 	 	 	 	 	 	 
21024	1	13	1	12	20	5	1	3000	 	4	 	1	-77
21024	2	88	 	 	 	 	 	 	 	 	 	 	 
21024	3	88	 	 	 	 	 	 	 	 	 	 	 
21025	1	12	6	2	15	8	1	3900	 	4	 	0	 
21025	2	88	 	 	 	 	 	 	 	 	 	 	 
21025	3	88	 	 	 	 	 	 	 	 	 	 	 
21026	1	5	3	8	30	12	1	1000	 	4	 	1	7
21026	2	88	 	 	 	 	 	 	 	 	 	 	 
21026	3	88	 	 	 	 	 	 	 	 	 	 	 
21027	1	13	1	12	26	8	1	4000	 	4	 	1	12
21027	2	88	 	 	 	 	 	 	 	 	 	 	 
21027	3	88	 	 	 	 	 	 	 	 	 	 	 
21029	1	88	 	 	 	 	 	 	 	 	 	 	 
21029	2	88	 	 	 	 	 	 	 	 	 	 	 
21029	3	88	 	 	 	 	 	 	 	 	 	 	 
21030	1	1	2	3	7	8	0	 	 	 	 	0	 
21030	2	10	2	8	30	2	0	 	 	 	 	0	 
21030	3	88	 	 	 	 	 	 	 	 	 	 	 
21031	1	12	1	6	30	8	1	3000	 	4	 	0	 
21031	2	8	1	1	26	9	1	1	 	6	600	1	-77
21031	3	88	 	 	 	 	 	 	 	 	 	 	 
21032	1	13	1	9	28	10	1	4000	 	4	 	1	12
21032	2	1	2	3	15	5	0	 	 	 	 	0	 
21032	3	88	 	 	 	 	 	 	 	 	 	 	 
21034	1	1	6	8	15	3	0	 	 	 	 	1	-77
21034	2	88	 	 	 	 	 	 	 	 	 	 	 
21034	3	88	 	 	 	 	 	 	 	 	 	 	 
21036	1	1	2	4	15	5	0	 	 	 	 	0	 
21036	2	12	3	2	4	8	1	100	 	2	 	1	-77
21036	3	88	 	 	 	 	 	 	 	 	 	 	 
21038	1	6	3	12	30	4	1	2000	 	5	 	1	12
21038	2	88	 	 	 	 	 	 	 	 	 	 	 
21038	3	88	 	 	 	 	 	 	 	 	 	 	 
21039	1	88	 	 	 	 	 	 	 	 	 	 	 
21039	2	88	 	 	 	 	 	 	 	 	 	 	 
21039	3	88	 	 	 	 	 	 	 	 	 	 	 
21041	1	13	1	5	25	12	1	5300	 	4	 	1	12
21041	2	88	 	 	 	 	 	 	 	 	 	 	 
21041	3	88	 	 	 	 	 	 	 	 	 	 	 
21044	1	13	1	12	30	8	1	3500	 	4	 	1	12
21044	2	88	 	 	 	 	 	 	 	 	 	 	 
21044	3	88	 	 	 	 	 	 	 	 	 	 	 
21046	1	13	3	12	29	12	1	2500	 	4	 	1	-77
21046	2	88	 	 	 	 	 	 	 	 	 	 	 
21046	3	88	 	 	 	 	 	 	 	 	 	 	 
21047	1	13	1	12	26	10	1	5000	 	4	 	1	12
21047	2	88	 	 	 	 	 	 	 	 	 	 	 
21047	3	88	 	 	 	 	 	 	 	 	 	 	 
21049	1	12	3	12	30	11	1	2000	 	4	 	0	 
21049	2	88	 	 	 	 	 	 	 	 	 	 	 
21049	3	88	 	 	 	 	 	 	 	 	 	 	 
21056	1	13	1	12	26	12	1	5500	 	4	 	1	12
21056	2	88	 	 	 	 	 	 	 	 	 	 	 
21056	3	88	 	 	 	 	 	 	 	 	 	 	 
21069	1	10	3	0	15	4	1	1000	 	2	 	1	-77
21069	2	13	3	2	5	2	1	500	 	4	 	1	-77
21069	3	88	 	 	 	 	 	 	 	 	 	 	 
21072	1	1	2	6	30	7	0	 	 	 	 	0	 
21072	2	88	 	 	 	 	 	 	 	 	 	 	 
21072	3	88	 	 	 	 	 	 	 	 	 	 	 
21083	1	12	3	3	30	4	1	1700	 	4	 	1	1
21083	2	88	 	 	 	 	 	 	 	 	 	 	 
21083	3	88	 	 	 	 	 	 	 	 	 	 	 
21090	1	10	2	3	20	4	0	 	 	 	 	0	 
21090	2	88	 	 	 	 	 	 	 	 	 	 	 
21090	3	88	 	 	 	 	 	 	 	 	 	 	 
21094	1	1	2	3	10	2	0	 	 	 	 	0	 
21094	2	4	2	3	10	1	0	 	 	 	 	0	 
21094	3	88	 	 	 	 	 	 	 	 	 	 	 
31001	1	88	 	 	 	 	 	 	 	 	 	 	 
31001	2	88	 	 	 	 	 	 	 	 	 	 	 
31001	3	88	 	 	 	 	 	 	 	 	 	 	 
31002	1	1	2	2	20	5	0	 	 	 	 	0	 
31002	2	19	2	3	15	2	0	 	 	 	 	0	 
31002	3	88	 	 	 	 	 	 	 	 	 	 	 
31004	1	1	2	12	25	7	0	 	 	 	 	1	12
31004	2	4	2	12	30	2	0	 	 	 	 	1	12
31004	3	6	3	12	10	7	1	120	 	2	 	1	12
31005	1	1	2	9	15	6	0	 	 	 	 	0	 
31005	2	5	3	2	10	8	1	250	 	2	 	0	 
31005	3	88	 	 	 	 	 	 	 	 	 	 	 
31006	1	13	3	12	30	8	1	3000	 	4	 	1	-77
31006	2	88	 	 	 	 	 	 	 	 	 	 	 
31006	3	88	 	 	 	 	 	 	 	 	 	 	 
31007	1	1	2	12	20	8	0	 	 	 	 	1	12
31007	2	88	 	 	 	 	 	 	 	 	 	 	 
31007	3	88	 	 	 	 	 	 	 	 	 	 	 
31008	1	1	2	12	10	8	0	 	 	 	 	1	12
31008	2	5	3	12	15	7	1	100	 	2	 	1	12
31008	3	4	2	12	20	3	0	 	 	 	 	1	12
31010	1	2	2	3	15	6	0	 	 	 	 	1	3
31010	2	5	1	2	15	8	1	3000	 	2	 	1	-77
31010	3	88	 	 	 	 	 	 	 	 	 	 	 
31011	1	88	 	 	 	 	 	 	 	 	 	 	 
31011	2	88	 	 	 	 	 	 	 	 	 	 	 
31011	3	88	 	 	 	 	 	 	 	 	 	 	 
31012	1	5	3	7	15	10	1	120	 	2	 	1	7
31012	2	2	2	5	10	10	0	 	 	 	 	0	 
31012	3	1	2	4	15	9	0	 	 	 	 	1	5
31013	1	5	3	11	15	8	1	100	 	2	 	1	12
31013	2	1	2	10	10	7	0	 	 	 	 	1	12
31013	3	88	 	 	 	 	 	 	 	 	 	 	 
31018	1	4	2	12	30	6	0	 	 	 	 	1	12
31018	2	2	2	9	30	8	0	 	 	 	 	0	 
31018	3	12	3	1	12	9	1	1200	 	2	 	0	 
31020	1	12	3	9	15	8	1	1500	 	4	 	1	10
31020	2	2	2	2	5	8	0	 	 	 	 	0	 
31020	3	88	 	 	 	 	 	 	 	 	 	 	 
31021	1	12	1	10	30	5	1	1500	 	3	 	1	10
31021	2	20	1	2	30	3	0	 	 	 	 	0	 
31021	3	88	 	 	 	 	 	 	 	 	 	 	 
31023	1	1	3	12	20	7	0	 	 	 	 	1	12
31023	2	6	3	3	20	7	1	100	 	2	 	0	 
31023	3	4	2	12	30	1	0	 	 	 	 	1	12
31024	1	2	2	10	20	5	0	 	 	 	 	1	-77
31024	2	1	2	5	20	5	0	 	 	 	 	1	-77
31024	3	88	 	 	 	 	 	 	 	 	 	 	 
31025	1	1	2	12	25	8	0	 	 	 	 	1	12
31025	2	88	 	 	 	 	 	 	 	 	 	 	 
31025	3	88	 	 	 	 	 	 	 	 	 	 	 
31027	1	1	6	10	20	8	2	 	4000	5	 	1	6
31027	2	5	3	3	20	10	1	5000	 	5	 	1	-77
31027	3	88	 	 	 	 	 	 	 	 	 	 	 
31028	1	1	2	12	26	0	0	 	 	 	 	1	0
31028	2	88	 	 	 	 	 	 	 	 	 	 	 
31028	3	88	 	 	 	 	 	 	 	 	 	 	 
31029	1	1	2	12	25	8	0	 	 	 	 	1	12
31029	2	88	 	 	 	 	 	 	 	 	 	 	 
31029	3	88	 	 	 	 	 	 	 	 	 	 	 
31031	1	19	2	7	30	4	0	 	 	 	 	1	6
31031	2	88	 	 	 	 	 	 	 	 	 	 	 
31031	3	88	 	 	 	 	 	 	 	 	 	 	 
31032	1	2	2	3	5	4	0	 	 	 	 	0	 
31032	2	88	 	 	 	 	 	 	 	 	 	 	 
31032	3	88	 	 	 	 	 	 	 	 	 	 	 
31035	1	1	2	11	20	10	0	 	 	 	 	1	12
31035	2	11	7	11	30	2	1	100	 	2	 	1	12
31035	3	88	 	 	 	 	 	 	 	 	 	 	 
31036	1	11	2	2	2	8	0	 	 	 	 	1	-77
31036	2	88	 	 	 	 	 	 	 	 	 	 	 
31036	3	88	 	 	 	 	 	 	 	 	 	 	 
31037	1	88	 	 	 	 	 	 	 	 	 	 	 
31037	2	88	 	 	 	 	 	 	 	 	 	 	 
31037	3	88	 	 	 	 	 	 	 	 	 	 	 
31038	1	13	1	9	27	8	1	3000	 	4	 	0	 
31038	2	2	2	1	5	6	0	 	 	 	 	1	10
31038	3	88	 	 	 	 	 	 	 	 	 	 	 
31039	1	13	2	12	30	10	1	1900	 	4	 	1	1
31039	2	88	 	 	 	 	 	 	 	 	 	 	 
31039	3	88	 	 	 	 	 	 	 	 	 	 	 
31040	1	12	1	1	30	12	1	1700	 	4	 	1	2
31040	2	88	 	 	 	 	 	 	 	 	 	 	 
31040	3	88	 	 	 	 	 	 	 	 	 	 	 
31043	1	13	1	12	26	8	1	4000	 	4	 	1	12
31043	2	88	 	 	 	 	 	 	 	 	 	 	 
31043	3	88	 	 	 	 	 	 	 	 	 	 	 
31044	1	88	 	 	 	 	 	 	 	 	 	 	 
31044	2	88	 	 	 	 	 	 	 	 	 	 	 
31044	3	88	 	 	 	 	 	 	 	 	 	 	 
31045	1	88	 	 	 	 	 	 	 	 	 	 	 
31045	2	88	 	 	 	 	 	 	 	 	 	 	 
31045	3	88	 	 	 	 	 	 	 	 	 	 	 
31046	1	88	 	 	 	 	 	 	 	 	 	 	 
31046	2	88	 	 	 	 	 	 	 	 	 	 	 
31046	3	88	 	 	 	 	 	 	 	 	 	 	 
31048	1	9	2	12	15	8	0	 	 	 	 	1	12
31048	2	10	2	12	15	4	0	 	 	 	 	1	0
