CHILDCODE	MOVEIDR4	YRMOVER4	MTHSTYR4	WHMOVER4	TYPKEBR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
31044	1	2012	14	2	2	5	88	0	 
31045	1	2012	19	3	1	5	88	1	4
31046	1	2012	18	3	2	5	88	1	5
31048	1	 	 	 	 	 	 	 	 
31049	1	2013	5	2	2	5	88	0	 
31058	1	2011	6	3	1	2	88	1	2
31108	1	2013	6	3	4	5	88	1	4
31134	1	2013	3	2	3	5	88	0	 
41002	1	2009	12	3	2	1	88	1	4
41002	2	2011	1	3	4	1	88	1	5
41003	1	2010	2	3	1	21	88	1	2
41004	1	2009	48	3	3	2	1	1	4
41006	1	2012	3	3	2	1	88	1	4
41006	2	2013	12	3	1	1	88	1	2
41009	1	2012	16	3	4	5	88	0	 
41010	1	2012	18	3	1	5	88	0	 
41011	1	2012	24	3	1	1	88	0	 
41012	1	2011	33	1	4	20	88	1	3
41013	1	2010	2	3	2	1	88	1	5
41013	2	2012	27	3	3	1	88	1	5
41014	1	2013	1	3	4	1	88	1	5
41014	2	2013	2	3	1	4	88	1	5
41015	1	2011	30	3	1	5	88	1	2
41016	1	2012	18	3	3	5	88	1	4
41017	1	2013	7	3	5	1	88	1	4
41019	1	2013	3	3	4	1	88	0	 
41019	2	2013	2	3	2	35	88	1	4
41021	1	2012	18	3	1	5	2	1	4
41022	1	2012	6	3	1	1	88	1	2
41023	1	2012	17	3	1	5	88	0	 
41024	1	2012	18	3	2	5	88	1	4
41026	1	2012	18	3	1	5	2	1	5
41027	1	2013	6	3	2	5	88	1	5
41028	1	2009	5	3	2	1	88	1	4
41031	1	2012	12	3	10	1	88	1	2
41038	1	2013	5	3	2	5	88	0	 
41042	1	2012	17	3	1	5	88	1	2
41046	1	2013	8	3	1	1	88	1	5
41047	1	2013	3	3	2	1	88	1	4
41049	1	2010	36	3	1	1	88	1	2
41049	2	2014	6	3	2	1	88	1	5
41050	1	2011	16	1	4	6	88	0	 
41059	1	2013	3	1	2	5	88	1	4
41092	1	2011	18	2	2	1	88	1	4
41106	1	2013	2	1	5	1	88	1	5
41109	1	2010	40	3	4	5	88	1	4
41110	1	2013	7	3	10	1	88	1	5
41114	1	2014	5	3	3	5	88	0	 
51002	1	2012	17	3	2	5	88	0	 
51005	1	2012	18	3	1	5	3	1	4
51008	1	2013	13	3	5	1	9	1	4
51009	1	2012	16	3	1	5	88	1	4
51010	1	2010	4	2	2	2	88	0	 
51011	1	2010	18	2	5	5	88	0	 
51015	1	2013	5	3	1	5	88	1	4
51016	1	2013	6	3	1	5	88	0	 
51017	1	2013	4	3	1	5	88	1	5
51019	1	2012	12	2	2	5	88	0	 
51020	1	2012	15	2	4	1	88	1	4
51022	1	2013	6	3	1	5	88	0	 
51024	1	2012	18	3	2	5	88	0	 
51026	1	2012	24	3	1	5	88	1	4
51030	1	2013	12	3	3	1	88	0	 
51031	1	2013	7	3	2	5	88	0	 
51033	1	2013	5	3	1	5	88	1	5
51034	1	2012	18	3	1	5	88	1	2
51037	1	2013	3	3	2	5	88	0	 
51041	1	2013	6	3	1	5	88	0	 
51043	1	2013	6	3	1	5	88	1	2
51045	1	2012	16	3	2	5	88	0	 
51046	1	2010	48	3	1	1	2	1	5
51047	1	2012	6	1	10	27	88	1	4
51048	1	2013	6	3	1	5	88	1	2
51050	1	2013	5	3	2	1	88	0	 
51070	1	2012	17	3	1	5	88	0	 
61001	1	2012	23	1	4	11	88	1	3
61004	1	2013	8	1	4	11	88	1	3
61004	2	2010	12	2	3	1	88	1	4
61009	1	2013	4	3	4	5	88	0	 
61011	1	2010	40	3	1	1	88	0	 
61014	1	2012	13	1	4	11	88	1	4
61015	1	2012	22	2	4	11	88	0	 
61019	1	2012	23	3	1	5	88	1	4
61020	1	2012	36	3	1	2	1	1	2
61021	1	2012	21	3	1	5	88	0	 
61028	1	2010	48	3	1	1	2	0	 
61029	1	2012	16	3	1	5	88	0	 
61030	1	2012	15	3	1	5	88	1	5
61031	1	2013	6	3	1	5	88	1	1
61032	1	2012	16	2	4	5	88	0	 
61033	1	2014	4	2	4	11	88	0	 
61035	1	2012	16	3	2	5	88	0	 
61036	1	2012	6	3	4	5	88	1	4
61038	1	2013	6	2	4	1	88	0	 
61039	1	2012	12	2	5	5	88	1	4
61040	1	2012	16	3	3	5	88	0	 
61042	1	2013	3	3	1	5	88	0	 
61043	1	2013	9	1	4	1	88	1	4
61044	1	2009	36	1	2	5	88	1	4
61044	2	2012	18	3	2	5	2	0	 
61046	1	2012	15	3	4	11	88	0	 
61047	1	2012	17	3	1	5	88	1	4
61052	1	2013	10	1	10	11	88	0	 
61076	1	2010	4	3	2	2	88	0	 
61079	1	2011	12	3	4	1	88	1	5
61079	2	2013	9	3	4	1	88	1	5
61104	1	2012	2	3	3	11	88	1	5
71001	1	2009	60	3	1	22	2	1	1
71002	1	2013	2	2	4	11	88	1	3
71003	1	2010	15	3	4	2	1	0	 
71004	1	2013	6	3	1	5	88	0	 
71006	1	2013	1	3	2	5	88	0	 
71007	1	2012	18	3	1	5	88	1	4
71008	1	2013	9	2	4	11	88	1	4
71009	1	 	 	 	 	 	 	 	 
71010	1	2012	7	3	1	5	88	0	 
71011	1	2010	24	3	1	1	88	1	4
71015	1	2012	16	3	1	1	88	1	4
71019	1	2012	15	3	1	5	88	0	 
71021	1	2013	2	3	1	5	88	1	4
71024	1	2012	18	3	3	5	88	0	 
71025	1	2012	12	3	2	2	88	1	3
71025	2	2011	35	1	4	11	88	1	4
71026	1	2013	8	3	1	1	88	1	5
71027	1	2013	7	3	1	5	88	1	2
71032	1	2013	2	3	1	1	88	1	4
71034	1	2010	70	3	1	35	2	1	4
71036	1	2012	6	3	1	1	88	1	4
71037	1	 	 	 	 	 	 	 	 
71038	1	2012	14	2	3	5	2	0	 
71039	1	2013	5	4	1	2	1	1	2
71041	1	2012	23	3	1	5	88	1	2
71042	1	2012	18	3	1	5	88	0	 
71046	1	2013	6	3	1	5	88	1	5
71048	1	2013	6	3	1	5	88	1	5
71049	1	2012	15	3	4	1	88	0	 
71073	1	2012	12	3	1	5	88	1	4
71091	1	2012	16	3	2	5	88	1	2
71112	1	2012	15	3	1	5	88	1	4
71120	1	2013	7	3	1	5	88	1	4
81001	1	2009	36	3	1	2	88	1	4
81003	1	2012	15	3	1	5	88	1	4
81007	1	2013	8	3	1	5	88	1	2
81011	1	2013	5	3	1	2	88	0	 
81012	1	2012	13	3	1	5	88	1	5
81025	1	2010	48	1	10	35	88	1	4
81026	1	2012	18	3	1	5	88	1	2
81030	1	2012	24	3	1	5	88	1	4
81031	1	2012	14	3	1	5	88	1	5
81032	1	2012	1	2	1	5	88	0	 
81034	1	2013	12	3	1	5	88	1	4
81035	1	2012	14	3	10	5	88	0	 
81036	1	2013	4	3	2	5	88	1	2
81041	1	2012	14	3	1	5	88	1	4
81043	1	2012	24	3	1	5	88	1	5
81120	1	2012	24	3	2	5	88	1	4
81130	1	2012	9	3	4	4	88	1	4
81139	1	2013	1	3	1	5	88	0	 
81145	1	2009	37	3	1	1	88	1	4
81152	1	2013	3	3	10	1	88	0	 
91001	1	2013	4	2	2	5	2	1	2
91005	1	2013	6	3	4	5	88	0	 
91006	1	2012	20	1	4	20	88	1	5
91010	1	2012	11	2	4	11	88	0	 
91020	1	2010	27	2	2	5	88	1	4
91022	1	2012	7	2	2	1	88	1	6
91024	1	2012	21	1	4	11	88	1	3
91026	1	2012	8	1	4	1	88	0	 
91029	1	2010	34	2	4	11	88	0	 
91030	1	2012	17	1	4	11	88	1	3
91031	1	2012	12	1	4	20	88	1	3
91032	1	2011	28	2	4	20	88	0	 
91039	1	2010	33	2	2	5	88	0	 
91046	1	2009	48	1	5	1	35	1	4
91048	1	2010	20	3	4	5	88	1	5
91048	2	2012	12	1	4	4	88	0	 
91056	1	2012	12	2	10	1	88	1	5
91061	1	2012	21	2	4	11	88	1	4
101001	1	2010	32	2	4	11	88	1	3
101004	1	2012	19	3	5	1	88	1	5
101005	1	2012	19	3	10	5	88	0	 
101010	1	2013	6	3	5	1	88	1	4
101011	1	2012	15	2	2	5	88	1	4
101013	1	2012	17	3	1	5	28	1	2
101014	1	2010	12	3	2	11	88	0	 
101015	1	2012	17	3	1	5	88	1	4
101016	1	2013	8	3	2	5	88	1	2
101017	1	2012	19	3	2	5	88	0	 
101018	1	2012	12	2	2	5	88	0	 
101021	1	2012	15	2	3	5	88	0	 
101022	1	2011	3	3	2	1	88	1	4
101023	1	2012	10	4	77	2	79	0	 
101023	2	2013	11	3	2	1	2	0	 
101024	1	2010	34	1	4	11	88	1	3
101025	1	2012	16	2	2	5	88	1	4
101027	1	2013	4	2	2	5	88	1	5
101030	1	2012	19	3	10	5	88	0	 
101035	1	2013	8	2	2	2	88	1	5
101038	1	2013	5	2	4	1	88	0	 
101039	1	2013	9	3	4	11	88	0	 
101040	1	2012	26	3	4	11	88	1	3
101041	1	2012	18	3	5	1	88	0	 
101042	1	2012	23	2	4	11	88	0	 
101043	1	2012	18	3	1	5	88	0	 
101044	1	2013	4	2	2	5	88	0	 
101045	1	2012	7	3	4	11	88	0	 
101048	1	2013	3	3	1	5	88	0	 
101049	1	2013	3	2	2	5	88	0	 
101050	1	2013	3	2	3	5	88	0	 
101051	1	2012	5	3	3	11	88	0	 
101054	1	2010	52	3	4	2	11	1	4
101075	1	2012	22	3	2	5	88	0	 
101083	1	2012	19	3	10	5	88	0	 
111001	1	2012	5	3	5	5	88	0	 
111001	2	2013	7	2	3	5	88	1	5
111002	1	2012	14	1	4	11	88	0	 
111003	1	2011	14	2	2	5	88	0	 
111004	1	2012	24	3	2	1	88	0	 
111010	1	2012	18	3	4	5	88	0	 
111014	1	2013	4	3	1	5	88	1	4
111015	1	2012	18	3	1	5	88	1	4
111016	1	2013	2	3	1	5	88	1	2
111017	1	2014	3	3	5	1	88	1	5
111018	1	2012	18	3	1	5	88	1	5
111019	1	2013	5	3	1	5	88	1	2
111025	1	2012	14	1	4	11	88	0	 
111027	1	2012	18	3	1	5	88	0	 
111030	1	2012	22	3	1	1	88	0	 
111033	1	2012	16	3	1	5	88	1	4
111034	1	2012	17	3	1	5	88	0	 
111035	1	2012	15	3	3	5	88	0	 
111036	1	2012	14	2	2	5	88	0	 
111038	1	2012	15	3	3	5	88	0	 
111039	1	2013	1	1	5	4	88	1	4
111039	2	2011	24	2	3	1	4	1	5
111040	1	2012	1	3	2	35	88	0	 
111040	2	2012	24	3	1	6	88	0	 
111042	1	2012	12	3	1	2	1	1	5
111042	2	2013	12	2	2	1	88	1	4
111043	1	2012	22	3	4	20	88	0	 
111045	1	2012	2	3	3	2	1	1	4
111045	2	2010	36	2	3	1	2	1	5
111047	1	2013	2	3	2	1	88	1	5
111048	1	2012	17	3	10	5	88	0	 
111050	1	2012	16	3	1	5	88	1	4
111057	1	2012	19	3	10	5	88	0	 
111065	1	2013	2	2	2	2	88	1	2
111069	1	2009	36	3	10	5	88	1	4
111069	2	2012	19	3	10	5	88	0	 
111109	1	2010	34	2	4	11	88	0	 
111119	1	2010	30	2	4	5	88	1	2
111119	2	2012	18	3	1	5	88	1	2
121001	1	2012	19	3	2	5	88	0	 
121002	1	2012	17	3	1	5	88	1	2
121003	1	2012	18	3	1	5	88	1	5
121005	1	2013	3	2	2	5	88	0	 
121009	1	2010	36	1	5	5	88	1	5
121009	2	2012	17	3	1	5	88	1	4
121011	1	2012	15	2	2	5	88	0	 
121012	1	2012	17	3	1	5	88	0	 
121013	1	2012	17	3	1	5	17	0	 
121014	1	2013	6	3	1	5	88	1	2
121019	1	2012	19	3	10	5	88	0	 
121020	1	2011	25	1	5	11	88	1	4
121021	1	2013	10	2	2	1	4	1	4
121022	1	2010	5	2	4	4	88	0	 
121023	1	2013	3	2	2	5	88	0	 
121025	1	2012	18	3	4	5	88	0	 
121030	1	2013	7	1	3	2	1	1	5
121031	1	2012	15	3	5	5	88	0	 
121032	1	2012	16	2	3	5	88	0	 
121033	1	2012	22	2	2	2	1	1	4
121034	1	2013	6	2	2	1	88	0	 
121036	1	2013	6	2	2	2	1	1	4
121037	1	2011	3	2	4	2	1	1	2
121037	2	2013	2	2	2	2	1	1	5
121038	1	2010	33	2	2	5	88	1	2
121039	1	2013	7	2	3	2	1	1	5
121041	1	2012	21	2	5	11	88	0	 
121042	1	2010	11	2	2	1	88	0	 
121044	1	2013	4	2	2	5	88	1	4
121045	1	 	 	 	 	 	 	 	 
121047	1	2013	2	3	1	2	88	0	 
121048	1	2012	2	2	2	35	88	0	 
121049	1	2012	24	3	1	5	88	0	 
121057	1	2013	5	3	1	1	88	1	4
121061	1	2012	19	3	1	5	88	0	 
121063	1	2012	20	2	2	5	88	0	 
121094	1	2012	16	2	2	5	88	0	 
131010	1	2012	1	3	1	35	88	0	 
131024	1	 	 	 	 	 	 	 	 
131025	1	2013	1	3	5	5	88	0	 
131038	1	2013	5	3	1	5	88	0	 
131058	1	2012	2	3	5	1	4	1	4
131058	2	2012	7	3	5	1	4	1	4
141002	1	2012	13	1	4	11	88	1	3
141004	1	 	 	 	 	 	 	 	 
141026	1	2013	8	3	1	5	88	1	1
141036	1	2010	31	3	1	1	9	1	4
141037	1	 	 	 	 	 	 	 	 
141042	1	2013	9	1	10	11	88	0	 
141062	1	 	 	 	 	 	 	 	 
141076	1	2011	20	3	10	13	26	1	7
151001	1	2012	19	3	4	5	88	1	4
151003	1	2012	19	3	2	5	88	0	 
151004	1	2012	17	3	1	5	88	0	 
151005	1	2013	5	3	2	1	88	1	6
151006	1	2012	13	2	2	5	88	0	 
151008	1	2010	36	3	1	1	88	1	4
151010	1	2012	12	2	2	5	88	1	5
151011	1	2012	20	3	4	11	88	1	4
151012	1	2012	12	3	2	2	5	1	4
151014	1	2013	2	2	4	5	88	0	 
151015	1	2012	17	3	4	5	88	1	2
151016	1	2012	20	3	1	5	88	1	4
151017	1	2012	17	3	1	5	88	1	2
151017	2	2012	1	3	1	5	88	1	2
151019	1	2012	17	3	4	5	88	0	 
151021	1	2013	3	2	2	5	88	1	5
151022	1	2010	39	3	2	22	5	1	1
151022	2	2013	5	3	1	5	88	1	2
151023	1	2013	15	3	4	11	88	1	5
151025	1	2012	18	3	2	5	88	0	 
151028	1	2013	5	3	1	5	88	1	4
151029	1	2012	15	2	2	5	88	0	 
151030	1	2012	14	2	5	5	88	0	 
151032	2	2012	15	2	4	5	88	1	5
151034	1	2012	18	3	1	5	88	1	5
151035	1	2012	18	3	10	5	88	1	4
151036	1	2012	19	3	2	5	88	0	 
151038	1	2012	17	3	1	5	88	1	4
151039	1	2012	14	3	3	5	88	0	 
151040	1	2012	18	3	1	6	88	0	 
151041	1	2013	4	3	2	2	88	0	 
151041	2	2012	4	3	2	2	88	0	 
151043	1	2012	18	2	1	5	28	1	4
151044	1	2012	13	1	4	11	88	0	 
151045	1	2012	16	3	1	5	88	1	2
151045	2	2013	1	3	1	5	88	0	 
151046	1	2012	15	3	1	2	9	1	2
151047	1	2012	18	3	4	5	88	1	5
151049	1	2012	17	3	1	5	88	0	 
151051	1	2012	14	3	4	23	88	1	4
151075	1	2013	2	2	5	1	88	0	 
151079	1	2012	17	3	1	5	88	0	 
151081	1	2012	17	3	1	5	88	0	 
151082	1	2014	3	3	1	27	88	1	1
161001	1	2013	18	3	2	2	1	1	4
161002	1	2011	27	3	5	5	88	0	 
161003	1	2012	16	2	4	5	88	0	 
161004	1	2012	4	3	4	5	88	0	 
161004	2	2013	10	3	4	5	2	1	2
161005	1	2012	17	3	1	5	88	1	4
161006	1	2012	17	3	1	5	88	0	 
161007	1	2012	23	1	4	11	88	1	88
161008	1	2012	20	3	1	5	88	0	 
161009	1	2013	6	3	4	5	88	0	 
161011	1	2012	17	3	1	5	88	1	4
161012	1	2012	17	3	1	5	88	1	4
161014	1	2012	17	3	1	5	88	1	4
161015	1	2012	15	2	5	5	88	0	 
161016	1	2012	17	3	1	5	88	1	4
161019	1	2014	3	3	2	35	23	1	4
161019	2	2013	12	3	1	5	88	0	 
161020	1	2012	19	3	3	5	88	1	4
161021	1	2012	15	2	4	5	88	0	 
161022	1	2012	9	3	2	2	88	1	4
161022	2	2014	2	3	5	2	1	0	 
161028	1	2011	24	3	4	5	88	1	1
161028	2	2012	18	3	4	5	88	1	4
161029	1	2012	12	3	2	5	88	0	 
161029	2	2013	7	3	1	5	88	0	 
161030	1	2012	17	3	1	5	88	1	4
161031	1	2011	24	3	10	11	88	1	3
161032	1	2012	13	3	1	5	88	1	4
161032	2	2013	4	3	4	5	88	1	5
161033	1	2009	12	2	2	1	88	1	4
161033	2	2010	12	3	2	1	88	1	5
161033	3	2013	6	2	3	1	88	1	5
161035	1	2012	14	2	3	5	88	0	 
161037	1	2012	14	2	5	5	88	0	 
161038	1	2009	48	3	5	2	88	1	4
161038	2	2014	0	3	2	1	88	1	5
161039	1	2012	24	3	10	22	88	1	4
161040	1	2009	3	1	1	1	88	1	4
161040	2	2013	13	3	1	1	88	1	5
161041	1	2011	32	1	4	11	88	1	3
161042	1	2011	36	4	2	2	88	1	4
161043	1	2013	5	3	4	1	88	0	 
161043	2	2013	1	1	4	11	88	1	3
161044	1	2010	7	3	1	1	88	1	4
161044	2	2011	2	3	5	23	88	1	4
161044	3	2013	13	3	1	1	88	0	 
161045	1	2012	17	3	5	11	2	1	6
161048	1	2012	19	3	1	5	88	1	5
161049	1	2012	18	2	5	1	88	0	 
161050	1	2012	16	1	5	5	88	1	5
171003	1	2011	2	3	1	2	88	1	4
171003	2	2012	21	2	1	33	88	0	 
171013	1	2009	58	2	1	13	28	0	 
171025	1	2013	8	3	5	35	88	1	1
171030	1	2012	18	2	1	13	88	1	2
171031	1	2012	12	2	3	11	88	0	 
171040	1	2012	12	1	2	35	88	1	4
171040	2	2014	4	2	2	35	88	1	2
171045	1	2013	6	3	1	5	88	1	4
171051	1	2012	18	3	3	5	88	0	 
181006	1	2010	40	2	2	33	88	0	 
181014	1	2012	27	2	3	11	88	0	 
181017	1	2012	18	3	2	5	88	0	 
181019	1	2012	18	3	2	5	88	0	 
181020	1	2012	24	3	1	5	88	0	 
181021	1	2010	46	1	1	16	88	0	 
181030	1	2012	20	3	1	5	88	1	4
181036	1	2008	61	2	1	13	88	1	1
181042	1	2011	8	1	1	27	88	1	1
181045	1	2010	38	2	1	13	26	1	5
181056	1	2011	22	1	1	13	88	1	5
181059	1	2014	2	3	1	5	88	1	4
191006	1	2013	2	2	1	5	88	0	 
191009	1	2011	1	2	1	1	88	0	 
191011	1	2012	18	3	2	5	88	1	4
191014	1	2013	5	3	4	5	88	1	5
191018	1	2013	3	3	1	1	88	0	 
191020	1	2013	6	2	3	1	88	1	4
191025	1	2011	2	2	1	1	88	0	 
191036	1	2012	14	3	4	5	88	0	 
191040	1	2013	6	2	1	11	88	0	 
191045	1	2013	2	2	1	11	88	1	5
191046	1	2012	8	3	4	1	88	1	4
201008	1	2013	5	3	5	11	88	1	3
201010	1	2010	32	1	1	35	88	0	 
201016	1	2013	7	2	1	27	28	1	1
201037	1	2013	10	3	2	5	88	0	 
201074	1	2012	10	2	1	21	88	0	 
