CHILDCODE	SCHCSTIDR4	FEESR4	PAYPRDR4	NUMPRDR4
21004	2	 	 	 
21004	3	 	 	 
21004	4	 	 	 
21004	5	 	 	 
21004	6	 	 	 
21004	7	 	 	 
21004	8	 	 	 
21004	9	 	 	 
21004	10	 	 	 
21005	1	 	 	 
21005	2	 	 	 
21005	3	 	 	 
21005	4	 	 	 
21005	5	 	 	 
21005	6	 	 	 
21005	7	 	 	 
21005	8	 	 	 
21005	9	 	 	 
21005	10	 	 	 
21007	1	 	 	 
21007	2	 	 	 
21007	3	 	 	 
21007	4	 	 	 
21007	5	 	 	 
21007	6	 	 	 
21007	7	 	 	 
21007	8	 	 	 
21007	9	 	 	 
21007	10	 	 	 
21008	1	 	 	 
21008	2	 	 	 
21008	3	 	 	 
21008	4	 	 	 
21008	5	 	 	 
21008	6	 	 	 
21008	7	 	 	 
21008	8	 	 	 
21008	9	 	 	 
21008	10	 	 	 
21009	1	500	5	1
21009	2	24000	4	2
21009	3	0	 	 
21009	4	 	 	 
21009	5	0	 	 
21009	6	2500	2	10
21009	7	180	2	10
21009	8	16500	5	1
21009	9	0	 	 
21009	10	 	 	 
21011	1	 	 	 
21011	2	 	 	 
21011	3	 	 	 
21011	4	 	 	 
21011	5	 	 	 
21011	6	 	 	 
21011	7	 	 	 
21011	8	 	 	 
21011	9	 	 	 
21011	10	 	 	 
21012	1	 	 	 
21012	2	 	 	 
21012	3	 	 	 
21012	4	 	 	 
21012	5	 	 	 
21012	6	 	 	 
21012	7	 	 	 
21012	8	 	 	 
21012	9	 	 	 
21012	10	 	 	 
21013	1	 	 	 
21013	2	 	 	 
21013	3	 	 	 
21013	4	 	 	 
21013	5	 	 	 
21013	6	 	 	 
21013	7	 	 	 
21013	8	 	 	 
21013	9	 	 	 
21013	10	 	 	 
21014	1	 	 	 
21014	2	 	 	 
21014	3	 	 	 
21014	4	 	 	 
21014	5	 	 	 
21014	6	 	 	 
21014	7	 	 	 
21014	8	 	 	 
21014	9	 	 	 
21014	10	 	 	 
21015	1	 	 	 
21015	2	 	 	 
21015	3	 	 	 
21015	4	 	 	 
21015	5	 	 	 
21015	6	 	 	 
21015	7	 	 	 
21015	8	 	 	 
21015	9	 	 	 
21015	10	 	 	 
21017	1	 	 	 
21017	2	 	 	 
21017	3	 	 	 
21017	4	 	 	 
21017	5	 	 	 
21017	6	 	 	 
21017	7	 	 	 
21017	8	 	 	 
21017	9	 	 	 
21017	10	 	 	 
21018	1	 	 	 
21018	2	 	 	 
21018	3	 	 	 
21018	4	 	 	 
21018	5	 	 	 
21018	6	 	 	 
21018	7	 	 	 
21018	8	 	 	 
21018	9	 	 	 
21018	10	 	 	 
21020	1	 	 	 
21020	2	 	 	 
21020	3	 	 	 
21020	4	 	 	 
21020	5	 	 	 
21020	6	 	 	 
21020	7	 	 	 
21020	8	 	 	 
21020	9	 	 	 
21020	10	 	 	 
21022	1	200	3	1
21022	2	6000	3	2
21022	3	50	3	1
21022	4	 	 	 
21022	5	0	 	 
21022	6	0	 	 
21022	7	0	 	 
21022	8	0	 	 
21022	9	300	3	2
21022	10	 	 	 
21023	1	1000	5	2
21023	2	0	 	 
21023	3	0	 	 
21023	4	 	 	 
21023	5	0	 	 
21023	6	12000	3	12
21023	7	30	1	2
21023	8	500	3	2
21023	9	500	3	4
21023	10	 	 	 
21024	1	 	 	 
21024	2	 	 	 
21024	3	 	 	 
21024	4	 	 	 
21024	5	 	 	 
21024	6	 	 	 
21024	7	 	 	 
21024	8	 	 	 
21024	9	 	 	 
21024	10	 	 	 
21025	1	250	5	1
21025	2	0	 	 
21025	3	320	3	2
21025	4	 	 	 
21025	5	0	 	 
21025	6	2000	2	1
21025	7	800	3	8
21025	8	2200	3	3
21025	9	3400	3	3
21025	10	 	 	 
21026	1	 	 	 
21026	2	 	 	 
21026	3	 	 	 
21026	4	 	 	 
21026	5	 	 	 
21026	6	 	 	 
21026	7	 	 	 
21026	8	 	 	 
21026	9	 	 	 
21026	10	 	 	 
21027	1	 	 	 
21027	2	 	 	 
21027	3	 	 	 
21027	4	 	 	 
21027	5	 	 	 
21027	6	 	 	 
21027	7	 	 	 
21027	8	 	 	 
21027	9	 	 	 
21027	10	 	 	 
21029	1	160	5	1
21029	2	6600	5	3
21029	3	0	 	 
21029	4	 	 	 
21029	5	0	 	 
21029	6	20000	5	20
21029	7	2000	5	20
21029	8	600	5	6
21029	9	500	5	4
21029	10	 	 	 
21030	1	220	88	1
21030	2	0	 	 
21030	3	1200	3	1
21030	4	 	 	 
21030	5	0	 	 
21030	6	500	2	9
21030	7	0	 	 
21030	8	0	 	 
21030	9	800	5	2
21030	10	 	 	 
21031	1	 	 	 
21031	2	 	 	 
21031	3	 	 	 
21031	4	 	 	 
21031	5	 	 	 
21031	6	 	 	 
21031	7	 	 	 
21031	8	 	 	 
21031	9	 	 	 
21031	10	 	 	 
21032	1	 	 	 
21032	2	 	 	 
21032	3	 	 	 
21032	4	 	 	 
21032	5	 	 	 
21032	6	 	 	 
21032	7	 	 	 
21032	8	 	 	 
21032	9	 	 	 
21032	10	 	 	 
21034	1	 	 	 
21034	2	 	 	 
21034	3	 	 	 
21034	4	 	 	 
21034	5	 	 	 
21034	6	 	 	 
21034	7	 	 	 
21034	8	 	 	 
21034	9	 	 	 
21034	10	 	 	 
21036	1	300	3	1
21036	2	3500	4	2
21036	3	0	 	 
21036	4	 	 	 
21036	5	0	 	 
21036	6	600	2	9
21036	7	0	 	 
21036	8	0	 	 
21036	9	200	4	2
21036	10	 	 	 
21038	1	 	 	 
21038	2	 	 	 
21038	3	 	 	 
21038	4	 	 	 
21038	5	 	 	 
21038	6	 	 	 
21038	7	 	 	 
21038	8	 	 	 
21038	9	 	 	 
21038	10	 	 	 
21039	1	140	3	1
21039	2	0	 	 
21039	3	20	3	1
21039	4	 	 	 
21039	5	600	3	1
21039	6	0	 	 
21039	7	0	 	 
21039	8	13000	3	1
21039	9	1000	3	2
21039	10	 	 	 
21041	1	 	 	 
21041	2	 	 	 
21041	3	 	 	 
21041	4	 	 	 
21041	5	 	 	 
21041	6	 	 	 
21041	7	 	 	 
21041	8	 	 	 
21041	9	 	 	 
21041	10	 	 	 
21044	1	 	 	 
21044	2	 	 	 
21044	3	 	 	 
21044	4	 	 	 
21044	5	 	 	 
21044	6	 	 	 
21044	7	 	 	 
21044	8	 	 	 
21044	9	 	 	 
21044	10	 	 	 
21046	1	 	 	 
21046	2	 	 	 
21046	3	 	 	 
21046	4	 	 	 
21046	5	 	 	 
21046	6	 	 	 
21046	7	 	 	 
21046	8	 	 	 
21046	9	 	 	 
21046	10	 	 	 
21047	1	 	 	 
21047	2	 	 	 
21047	3	 	 	 
21047	4	 	 	 
21047	5	 	 	 
21047	6	 	 	 
21047	7	 	 	 
21047	8	 	 	 
