CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	OUTCRPR4
31016	7	17	1	9
31018	1	44	20	10
31018	2	75	15	10
31019	1	44	1,5	10
31019	2	67	12	3
31020	1	44	6	10
31020	2	89	12	10
31021	1	75	4	5
31021	2	89	6	5
31021	3	44	6	10
31021	4	67	2000	8
31021	5	55	2	10
31021	6	69	3	9
31021	7	50	2	3
31021	8	26	1	3
31021	9	10	20	7
31021	10	84	500	2
31021	11	4	50	7
31022	1	44	7	10
31022	2	75	8	10
31022	3	89	10	10
31032	1	99	2	5
31032	2	75	30	5
31035	1	44	4	10
31035	2	75	4	10
31035	3	89	3	10
31035	4	102	5	2
31035	5	108	2	2
31036	1	44	2	10
31036	2	75	6	10
31036	3	50	1	10
31036	4	10	50	11
31039	1	44	6	10
31039	2	89	6	10
31042	1	44	10	5
31045	1	44	6	5
31045	2	99	1,5	5
31045	3	55	3	5
31046	1	75	50	5
31046	2	99	10	5
31046	3	44	20	5
31046	4	89	6	10
31046	5	55	10	10
31046	6	10	200	7
31046	7	26	1	10
31046	8	69	10	10
31046	9	67	700	8
31046	10	56	30	8
31046	11	101	2	2
31047	1	75	25	5
31047	2	96	2	5
31048	1	44	7	10
31048	2	75	7	10
31048	3	26	1	3
31048	4	12	1	3
31048	5	56	1	3
31049	1	44	1000	2
31049	2	99	60	2
31049	3	75	2000	2
31049	4	89	322	2
31049	5	17	14	2
31052	1	44	3	10
31054	1	75	22	10
31054	2	44	0	88
31054	3	99	3	3
31055	1	44	3	10
31055	2	99	4	2
31055	3	89	4	2
31055	4	108	10	8
31055	5	102	10	8
31055	6	26	10	2
31055	7	50	10	2
31056	1	75	450	2
31056	2	44	8	10
31056	3	89	200	2
31056	4	99	5	2
31056	5	101	50	2
31057	1	44	30	5
31057	2	75	15	5
31057	3	89	6	5
31057	4	99	4	5
31057	5	67	300	8
31057	6	4	500	8
31057	7	108	200	8
31057	8	10	50	7
31057	9	12	30	8
31057	10	56	10	8
31058	1	44	12	10
31058	2	75	15	10
31058	3	89	3	10
31058	4	85	3	3
31058	5	4	150	2
31059	1	89	4	5
31059	2	4	10	11
31059	3	44	5	10
31060	1	44	4	5
31060	2	75	12	5
31060	3	89	3	5
31060	4	4	200	8
31060	5	17	7	2
31061	1	75	10	5
31061	2	99	1	5
31061	3	101	10	2
31061	4	102	50	8
31061	5	89	10	2
31061	6	44	1	10
31062	1	75	20	10
31062	2	55	20	10
31062	3	99	1	10
31062	4	44	3	10
31063	1	75	2	10
31063	2	44	3	10
31063	3	89	2	10
31063	4	99	17	2
31063	5	50	8	2
31063	6	6	8	2
31063	7	12	8	2
31063	8	102	20	7
31063	9	108	2	2
31063	10	108	1	2
31064	1	75	6	5
31064	2	44	4	5
31064	3	99	2	5
31065	1	44	8	5
31065	2	99	4	5
31065	3	17	1	5
31065	4	102	50	8
31065	5	4	700	7
31065	6	51	200	2
31065	7	108	24	8
31065	8	108	4	2
31066	1	75	5	5
31066	2	44	6	5
31066	3	17	2	9
31066	4	4	6000	8
31066	5	89	8	9
31066	6	67	50	2
31066	7	108	50	8
31068	1	67	20000	8
31068	2	4	20000	8
31068	3	17	12	10
31068	4	44	3	10
31068	5	99	4	10
31069	1	99	2	10
31069	2	44	2	10
31069	3	17	1	10
31069	4	102	30	8
31069	5	10	20	8
31069	6	50	1	3
31069	7	72	12	2
31069	8	51	100	8
31070	1	4	120	7
31070	2	17	18	9
31070	3	44	60	10
31070	4	51	500	8
31070	5	108	100	8
31070	6	99	12	5
31070	7	89	12	3
31071	1	17	4	9
31071	2	4	12	7
31072	1	99	3	5
31072	2	44	6	5
31072	3	17	2	10
31072	4	4	16	11
31073	1	4	96	7
31073	2	51	100	8
31074	1	17	1	10
31074	2	4	100	7
31074	3	44	50	10
31074	4	99	2	10
31074	5	75	50	5
31074	6	51	1000	8
31074	7	108	500	8
31074	8	108	100	8
31074	9	93	30	8
31074	10	89	2	10
31074	11	101	2	10
31074	12	50	100	7
31074	13	108	1	5
31075	1	44	5	10
31075	2	67	3000	8
31075	3	17	10	10
31075	4	4	100000	8
31076	1	4	48	7
31076	2	17	40	2
31076	3	44	20	2
31076	4	99	20	2
31077	1	44	2	10
31077	2	89	2	5
31077	3	99	2	3
31077	4	4	2	7
31077	5	17	15	2
31077	6	72	4	2
31077	7	108	2	2
31077	8	108	1	2
31077	9	12	2	2
31077	10	102	3	2
31077	11	50	2	2
31077	12	51	20	2
31078	1	44	4	10
31079	1	4	300	11
31079	2	17	3	9
31079	3	44	7	10
31079	4	89	3	2
31079	5	108	3	2
31079	6	108	2	10
31080	1	17	1	10
31080	2	44	20	10
31080	3	4	4800	8
31080	4	99	150	2
31081	1	17	2	10
31081	2	44	5	10
31081	3	4	8000	8
31081	4	104	7200	8
31081	5	67	200	8
31081	6	51	50000	8
31081	7	45	50000	8
31081	8	50	1	10
31081	9	102	10	7
31081	10	12	8	2
31081	11	56	4	2
31083	1	17	2	3
31083	2	4	10000	8
31083	3	67	100	8
31083	4	44	2	10
31083	5	75	9	10
31084	1	108	10	9
31084	2	4	500	8
31084	3	17	1	5
31085	1	44	60	2
31085	2	89	3	5
31086	1	44	5	2
31086	2	75	10	2
31087	1	44	12	10
31087	2	75	12	10
31087	3	99	6	10
31087	4	67	600	8
31087	5	89	6	10
31087	6	4	116	11
31087	7	26	1,5	3
31087	8	50	2	3
31088	1	75	8	5
31088	2	44	3	5
31088	3	89	2	5
31088	4	4	104	7
31088	5	51	30	2
31088	6	12	-77	2
31088	7	6	-77	2
31089	1	44	4	10
31089	2	75	9	10
31089	3	17	1	10
31089	4	99	1	10
31089	5	51	300	8
31089	6	108	200	8
31089	7	108	20	8
31089	8	89	3	10
31089	9	67	28	9
31089	10	4	3000	8
31090	1	4	3600	8
31090	2	17	3	9
31090	3	83	4	11
31091	1	75	12	5
31091	2	99	2	5
31091	3	44	2	5
31091	4	17	2	9
31091	5	67	40	11
31092	1	44	12	10
31092	2	75	15	10
31092	3	99	5	10
31092	4	89	4	10
31093	1	44	15	10
31093	2	89	18	2
31093	3	10	20	7
31093	4	99	3	5
31093	5	17	2	2
31093	6	67	150	8
31093	7	51	1	10
31093	8	84	0	88
31093	9	4	200	7
31095	1	44	1	5
31095	2	89	25	2
31096	1	132	20	10
31096	2	51	30	10
31096	3	108	10	10
31097	1	75	12	5
31097	2	44	8	5
31098	1	44	2	10
31098	2	67	5	10
31100	1	44	150	2
31100	2	75	150	2
31100	3	99	50	2
41001	1	55	120	10
41001	2	44	4	10
41001	3	89	6	10
41001	4	99	20	10
41001	5	50	2	10
41001	6	102	30	8
41001	7	26	1	10
41001	8	10	3	10
41001	9	12	1	10
41001	10	108	500	8
41001	11	6	1	3
41001	12	92	1	3
41001	13	108	1	10
41001	14	108	5	2
41001	15	108	1	2
41001	16	108	7	2
41001	17	108	1	3
41002	1	89	2	3
41002	2	44	1	10
41002	3	102	100	8
41002	4	12	6	2
41002	5	10	50	8
41003	1	44	8	10
41003	2	55	200	10
41003	3	89	3	10
41003	4	10	10	10
41003	5	51	3	2
41003	6	108	1	2
41004	1	55	50	10
41004	2	44	3	10
41004	3	89	1	10
41004	4	99	10	10
41004	5	108	120	8
41004	6	83	2000	11
41005	1	55	250	10
41005	2	44	10	10
41005	3	89	2	10
41005	4	108	50	2
41005	5	4	200	8
41005	6	99	10	10
41006	1	89	1	10
41006	2	44	5	10
41008	1	44	6	10
41009	1	99	30	10
41009	2	44	20	10
41009	3	3	800	8
41009	4	4	5000	8
41009	5	108	3	10
41010	1	44	60	10
41010	2	99	35	10
41010	3	89	15	10
41010	4	55	400	10
41010	5	102	50	7
41010	6	12	50	2
41010	7	50	10	2
41010	8	6	10	2
41010	9	56	20	8
41010	10	3	300	8
41010	11	108	300	8
41010	12	51	300	8
41010	13	4	6	11
41011	1	44	10	10
41011	2	99	7	10
41011	3	55	5	10
41012	1	44	4	10
41012	2	89	2	3
41012	3	108	10	10
41012	4	108	8	2
41012	5	108	1	3
41012	6	55	1	10
41012	7	4	200	8
41012	8	51	1	10
41012	9	108	2	10
41013	1	44	2	10
41013	2	55	40	10
41014	1	44	60	10
41014	2	89	80	3
41014	3	45	40	10
41014	4	51	50	10
41014	5	16	100	8
41014	6	50	35	10
41014	7	12	150	2
41016	1	44	3	10
41016	2	99	10	10
41016	3	89	1	10
41018	1	44	2	10
41018	2	99	4	10
41018	3	101	4	10
41018	4	55	20	10
41018	5	12	6	10
41018	6	89	1	10
41018	7	10	18	10
41020	1	44	8	10
41020	2	55	80	10
41020	3	10	150	2
41021	1	10	2	10
41021	2	12	12	2
41022	1	44	70	10
41022	2	89	50	3
41022	3	99	50	3
41022	4	55	250	10
41022	5	101	30	3
41023	1	55	100	10
41023	2	44	15	10
41023	3	89	2	10
41023	4	99	20	10
41023	5	101	10	10
41024	1	55	50	10
41024	2	99	8	10
41024	3	101	25	10
41024	4	44	30	10
41024	5	10	3	10
41025	1	55	200	10
41025	2	101	1	2
41029	1	44	10	10
41029	2	75	6	10
41029	3	101	3	10
41029	4	89	2	10
41029	5	55	12	10
41030	1	55	300	10
41030	2	101	18	10
41030	3	44	15	10
41030	4	89	5	10
41030	5	75	8	10
41030	6	99	5	10
41030	7	83	-77	77
41031	1	17	5	10
41031	2	85	3	10
41031	3	44	6	10
41031	4	55	3	10
41031	5	4	2000	8
41031	6	32	1	10
41031	7	10	1	10
41031	8	50	1	10
41031	9	3	4	10
41031	10	51	5	10
41031	11	108	3	3
41031	12	108	50	8
41031	13	108	3	3
41031	14	108	2	3
41032	1	44	150	10
41032	2	85	10	10
41032	3	51	10	10
41032	4	108	5	10
41032	5	89	5	3
41032	6	44	5	10
41032	7	55	10000	10
41032	8	86	6	10
41032	9	50	100	7
41032	10	12	10	2
41032	11	10	10	7
41033	1	44	16	10
41033	2	89	4	10
41033	3	101	2	10
41033	4	55	50	10
41033	5	10	200	10
41034	1	44	10	3
41034	2	101	1	3
41034	3	55	100	10
41035	1	44	10	10
41035	2	55	30	10
41035	3	86	5	10
41035	4	102	4	2
41035	5	10	20	2
41035	6	108	5	2
41035	7	99	20	2
41036	1	44	25	10
41036	2	89	5	10
41036	3	55	48	10
41036	5	12	8	10
41036	6	10	10	10
41036	7	108	23	10
41037	1	44	15	10
41037	2	55	400	10
41037	3	89	3	10
41037	4	12	10	10
41037	5	10	20	10
41037	6	102	50	7
41037	7	108	48	2
41037	8	50	30	2
41037	9	108	1	10
41037	10	83	20	4
41038	1	44	30	10
41038	2	55	200	10
41038	3	101	10	10
41038	4	75	3	10
41038	5	99	800	2
41039	1	44	10	10
41039	2	89	2	10
41039	3	55	25	10
41039	4	75	1	10
41040	1	55	70	10
41040	2	99	300	2
41040	3	12	20	10
41040	4	10	40	10
41041	1	89	7	10
41041	2	44	30	10
41041	3	55	200	10
41041	4	99	2000	2
41041	5	12	40	10
41041	6	75	4	10
41041	7	10	600	11
41042	1	44	25	10
41042	2	55	170	10
41042	3	99	18	10
41042	4	12	45	10
41042	5	10	70	10
41043	1	44	6	10
41043	2	55	4	10
41044	1	55	100	10
41044	2	89	1	10
41044	4	44	6	10
41045	1	44	25	10
41045	2	89	1	10
41045	5	10	1	8
41045	6	102	20	7
41045	7	108	8	7
41045	8	10	5	7
41046	1	44	12	10
41046	2	89	2	10
41046	3	55	10	10
41046	4	99	100	11
41047	1	55	3	10
41047	2	44	5	10
41047	3	10	75	2
41048	1	89	2	10
41048	2	44	5	10
41048	3	75	4	10
41049	1	44	16	10
41049	2	55	100	10
41049	3	12	1	10
41049	4	89	2	10
41049	5	10	50	7
41050	1	55	25	10
41050	2	44	50	10
41050	3	89	5	10
41050	4	102	50	8
41052	1	44	20	10
41052	2	69	3	10
41052	3	108	3	10
41052	4	55	32	10
41052	5	12	9	10
41052	6	101	6	10
41052	7	99	8	10
41053	1	44	50	10
41053	2	55	80	10
41053	3	99	3	10
41053	4	101	5	10
41053	5	89	3	10
41053	6	75	3	10
41053	7	93	350	8
41053	8	108	500	8
41053	9	108	1000	8
41053	10	12	20	10
41053	11	102	50	8
41053	12	108	20	11
41053	13	10	200	8
41054	1	44	7	10
41054	2	55	10	10
41054	3	101	1	10
41054	4	98	12	8
41055	1	10	30	10
41055	2	44	5	10
41055	3	55	15	10
41055	4	50	1	10
41056	1	44	30	10
41059	1	55	100	10
41059	2	101	600	2
41059	3	99	250	2
41059	4	10	300	2
41060	1	44	5	10
41060	2	55	20	10
41060	3	10	25	10
41060	4	12	8	10
41061	1	44	7	10
41061	2	55	4	10
41061	3	101	2	10
41061	4	89	1	10
41063	1	55	150	10
41063	2	12	50	10
41063	3	10	50	10
41064	1	44	10	10
41064	2	108	2	10
41065	1	44	2	10
41065	2	75	3	10
41065	3	55	20	10
41065	4	102	-77	2
41065	5	50	-77	2
41065	6	10	-77	2
41065	7	93	-77	2
41066	1	44	10	10
41066	2	101	15	10
41066	3	55	130	10
41066	4	89	2	10
41067	1	17	15	10
41067	2	4	3600	8
41067	3	93	600	2
41067	4	51	100	10
41067	5	85	200	10
41067	6	108	50	10
41068	1	17	2	10
41068	4	44	3	10
41068	5	89	2	10
41068	6	99	1	10
41068	7	102	100	7
41068	8	85	2	10
41068	9	12	4	10
41068	10	6	2	3
41068	11	10	2	10
41069	1	17	100	2
41069	2	82	20	2
41070	1	44	45	10
41070	2	99	5	10
41070	3	75	5	10
41071	1	17	10	10
41071	2	4	100	11
41071	4	3	10	10
41071	5	44	2	10
41071	6	89	1	10
41071	7	50	15	2
41071	8	54	10	8
41072	1	44	7	10
41072	2	89	2	10
41072	3	108	5	10
41073	1	44	5	10
41073	2	89	5	10
41073	3	55	10	10
41073	4	56	1	10
41073	5	12	1	10
41073	6	102	2	10
41073	7	93	2	10
41073	8	101	3	10
41073	9	99	7	10
41074	1	55	1000	10
41074	2	44	20	10
41074	3	10	50	10
41074	4	12	50	10
41074	5	99	80	10
41075	1	44	12	10
41075	2	55	60	10
41076	1	44	20	10
41076	2	89	13	10
41076	3	55	4	10
41076	4	99	13	10
41076	5	5	1	10
41076	6	75	2	10
41076	7	12	6	10
41076	8	26	3	2
41076	9	50	2	10
41076	10	67	48	2
41076	11	10	1	10
41076	12	108	3	2
41076	13	108	3	2
41076	14	108	120	8
41077	1	44	13	10
41077	2	101	5	10
41077	3	82	1	10
41077	4	75	2	10
41077	5	89	2	3
41078	1	44	10	10
41078	2	55	20	10
41079	1	17	3	10
41079	2	85	4	10
41079	3	4	26	7
41079	4	10	1	10
41079	5	12	2	10
41079	6	50	2	10
41079	7	102	2	10
41080	1	55	28	10
41080	2	44	10	10
41080	3	89	4	10
41081	1	44	12	10
41081	2	55	70	10
41081	3	101	2	10
41081	4	10	3	8
41082	1	17	80	10
41082	2	4	48	11
41082	3	85	48	10
41082	4	89	17	10
41082	9	132	1	10
41082	10	93	4	11
41082	11	50	10	2
41082	12	108	80	2
41083	1	17	5	10
41083	2	4	12	7
41083	3	85	5	2
41083	4	10	5	2
41083	5	102	3	2
41083	6	12	3	2
41084	1	44	4	10
41084	2	89	1	10
41085	1	55	100	10
41085	2	99	425	2
41086	1	44	50	2
41086	2	89	25	2
41086	3	4	36	7
41086	4	17	60	2
41088	1	17	24	10
41088	2	44	4	10
41088	3	4	24	11
41088	4	85	1	10
41088	5	51	3	10
41088	6	3	3	2
41088	7	132	1	10
41088	8	10	5	10
41088	9	12	3	10
41089	1	55	30	10
41089	2	44	20	10
41089	3	89	4	10
41089	4	99	2	3
41090	1	17	20	10
41091	1	44	8	10
41091	2	55	6	10
41091	3	89	1	3
41092	1	17	10	10
41092	2	44	3	10
41092	3	89	3	10
41092	4	132	10	2
41092	5	3	8	2
41092	6	4	10	7
41093	1	17	10	10
41096	1	17	1000	2
41097	1	55	150	10
41098	1	44	10	10
41099	1	55	40	10
41099	2	44	10	10
41100	1	44	20	10
41100	2	89	6	10
41100	3	99	5	10
41101	1	17	200	2
41101	2	85	3	10
41101	3	4	10	11
51002	1	53	120	10
51002	2	44	1	10
51003	1	44	4	10
51004	1	53	680	10
51008	1	4	10	11
51008	2	3	2	10
51009	1	53	140	10
51009	2	85	180	10
51010	1	108	1000	8
51011	1	53	200	10
51011	2	44	2	10
51011	3	89	2	10
51011	4	4	35000	8
51011	5	132	1	10
51011	6	67	500	8
51011	7	51	3	10
51011	8	56	2	10
51011	9	85	6	10
51011	10	108	3	3
51012	1	17	30	10
51012	2	53	80	10
51012	3	85	4	10
51012	4	89	3	10
51012	5	44	2	10
51012	6	4	20000	8
51012	7	108	1	3
51013	1	53	200	10
51013	2	89	20	2
51013	3	44	50	10
51013	4	108	50	2
51013	5	108	1000	8
51013	6	4	150	11
51015	1	53	8000	2
51015	2	44	15	10
51016	1	85	10	10
51016	2	4	50	11
51016	3	93	70	8
51016	4	44	8	10
51016	5	3	100	2
51016	6	53	15	10
51016	7	17	2	10
51017	1	53	5000	2
51018	1	44	26	10
51018	2	53	60	10
51018	3	89	3	10
51018	4	10	10	2
51018	5	102	10	2
51018	6	17	3	10
51018	7	85	15	2
51018	8	4	60	7
51020	1	44	2	10
51021	1	53	3	4
51021	2	44	30	10
51021	3	4	300	7
51021	4	85	50	10
51022	1	17	6	10
51022	2	53	115	10
51022	3	85	5	10
51022	4	132	1	10
51022	5	67	20	8
51022	6	51	2	10
51022	7	3	0,5	10
51022	8	4	100	7
51023	1	85	1	3
51023	2	12	-77	10
51025	1	85	10	10
51025	2	44	4	10
51025	3	89	2	10
51026	1	17	4	10
51027	1	17	10	10
51027	2	4	500	8
51027	3	85	8	10
51027	4	44	10	10
51028	1	17	15	10
51028	2	4	12	11
51029	1	17	3	10
51030	1	44	2	10
51030	2	85	6	10
51030	3	69	5	10
51030	4	102	10	2
51030	5	12	4	2
51030	6	6	2	2
51030	7	10	2	2
51030	8	75	15	10
51031	1	17	3	10
51031	2	90	1	10
51031	3	44	5	10
51031	4	108	2	10
51031	5	85	2	10
51031	6	99	1	10
51031	7	89	1	10
51031	8	108	1	10
51031	9	3	2	10
51031	10	93	10	8
51031	11	51	200	8
51031	12	132	1	10
51031	13	56	15	8
51031	14	108	4	2
51031	15	4	20000	8
51033	1	44	1000	2
51033	2	89	30	2
51033	3	90	200	2
51033	4	4	300	11
51033	5	85	50	2
51033	6	10	15	8
51034	1	17	15	10
51034	2	85	2	10
51034	3	89	2	3
51034	4	4	35	7
51034	5	108	9	6
51035	1	17	20	10
51035	2	4	50	7
51036	1	44	10	10
51036	2	85	10	10
51036	3	4	10	7
51036	4	89	25	2
51037	1	85	35	10
51038	1	17	3	10
51038	2	90	2	10
51039	1	17	15	10
51039	2	4	20	7
51040	1	45	10	2
51040	2	85	2	10
51041	1	17	20	10
51041	2	85	-77	10
51041	3	4	-77	11
51041	4	44	-77	10
51042	1	17	30	10
51042	2	90	30	2
51044	1	4	500	11
51044	2	17	5	10
51045	1	89	3	3
51045	2	44	2	10
51045	3	17	1	10
51046	1	17	5	10
51049	1	17	30	10
51051	1	17	1000	2
51051	2	90	300	2
51051	3	44	500	2
51051	4	4	50	7
51056	1	17	1	10
51058	1	17	7	10
51058	2	4	5	11
51058	3	85	20	10
51058	4	44	1	10
51058	5	89	24	2
51058	6	3	50	8
51059	1	17	60	10
51060	1	44	10	10
51060	2	4	4	7
51060	3	85	1	10
51060	4	93	10	8
51061	1	44	20	10
51061	2	17	1	10
51061	3	50	5	2
51061	4	10	5	2
51061	5	108	4	2
51062	1	17	0	10
51062	2	85	1	10
51062	3	93	44	2
51062	4	4	20	7
51063	1	17	25	10
51063	2	53	160	10
51063	3	85	1	10
51063	4	108	20	11
51063	5	4	10	7
51068	1	17	6	10
51069	1	4	55	7
51071	1	17	3	10
51073	1	17	15	10
51075	1	44	3	10
51075	2	85	2	10
51076	1	44	10	2
51077	1	17	15	10
51077	2	93	360	8
51077	3	44	3	10
51077	4	85	5	10
51077	5	50	1	10
51077	6	89	1	10
51077	7	4	7880	8
51077	8	3	2	10
51077	9	12	1	10
51077	10	108	15	2
51077	11	108	10	2
51077	12	108	20	8
51078	1	85	30	10
51078	2	44	4	10
51078	3	4	50	7
51079	1	89	2	3
51079	2	44	1	10
51079	3	17	3	10
51079	4	69	3	3
51079	5	4	96	7
51080	1	17	15	10
51080	2	85	10	10
51080	3	4	72	7
51080	4	44	2	10
51081	1	17	2	10
51081	2	44	5	10
51081	3	85	10	10
51081	4	4	75	11
51081	5	10	20	2
51081	6	89	1	10
51082	1	17	2	10
51082	2	85	6	10
51082	3	4	10	11
51083	1	44	6	10
51083	2	17	2	2
51083	3	4	15	11
51083	4	85	4	10
51083	5	108	3	10
51083	6	89	20	2
51084	1	55	5	10
51084	2	99	3	10
51084	3	89	3	10
51084	4	50	2	10
51084	5	10	4	10
51084	6	12	2	10
51084	7	108	50	2
51084	8	44	5	10
51085	1	17	5	10
51085	2	4	1200	8
51085	3	85	6	10
51085	4	93	120	8
51086	1	55	19	10
51086	2	101	1	10
51086	3	44	5	10
51087	1	17	80	10
51087	2	44	3	10
51087	3	89	1	10
51087	4	4	100	11
51087	5	85	3	10
51087	6	55	0,5	10
51087	7	6	2	10
51087	8	69	5	10
51087	9	50	2	10
51087	10	10	400	8
51087	11	102	100	8
51087	12	92	5	10
51087	13	51	10	10
51087	14	93	500	8
51087	15	12	10	10
51087	16	108	10	10
51087	17	108	50	6
51088	1	17	5	10
51088	2	69	6	10
51088	3	51	1	2
51088	4	132	2	11
51088	5	83	10	5
51088	6	85	3	10
51088	7	108	3	10
51088	8	44	15	10
51089	1	17	30	10
51089	2	4	5	11
51089	3	85	2	10
51089	4	3	200	8
51090	1	4	50	7
51090	2	102	50	8
51090	3	108	80	8
51090	4	108	10	2
51090	5	108	500	8
51090	6	132	100	8
51090	7	85	50	10
51090	8	44	20	10
51091	1	17	8	10
51092	1	17	3	10
51092	2	102	30	8
51094	1	44	1800	2
51094	2	53	800	2
51094	3	4	15	7
51100	1	54	300	8
51101	1	17	32	10
51101	2	44	3	10
51101	3	89	1	10
51101	4	4	10	11
51102	1	17	30	10
51102	2	4	420	7
51102	3	85	-77	10
51102	4	44	-77	10
51104	1	44	1	10
51104	2	17	5	10
51104	3	102	120	7
51104	4	108	20	2
51104	5	4	100	7
61006	1	4	200	8
61010	1	132	100	10
61019	1	4	2	7
61021	1	3	100	8
61021	2	108	500	8
61021	3	108	10	8
61022	1	45	2000	8
61022	3	108	500	8
61029	1	45	50	2
61029	2	132	20	2
61046	1	16	50	10
61046	2	72	40	10
61046	3	108	40	10
61046	4	44	50	10
61046	5	4	-77	11
61048	1	44	25	10
61048	2	4	52	11
61048	3	17	60	10
61048	4	3	60	2
61048	5	51	60	2
61048	6	85	60	2
61048	7	89	60	2
61048	8	132	60	2
61048	9	45	70	2
61061	1	44	10	4
61061	2	4	100	7
61063	1	109	36	8
61074	1	17	40	10
61074	2	4	20	11
61074	3	89	100	2
61074	4	85	50	2
61075	1	4	600	7
61075	2	89	15	2
61075	3	32	50	2
61075	4	108	4	2
61075	5	85	8	2
61077	1	3	1	10
61077	2	109	1	10
61077	3	85	2	10
61077	4	132	2	3
61077	5	51	2	10
61077	6	45	2	10
61077	7	4	6000	8
61085	1	72	100	2
61085	2	4	3	11
61085	3	85	10	2
61085	4	51	30	2
61091	1	44	5	10
61091	2	93	3	11
61091	3	4	20	7
61103	1	44	0,5	4
61103	2	4	300	7
61103	3	85	1	10
61103	4	67	50	11
71022	1	44	2	10
71032	1	55	3	3
71032	2	75	4	3
71032	3	44	2	3
71032	4	99	15	2
71032	5	108	10	8
71057	1	44	2	3
71057	2	89	1	3
71057	3	99	1	3
71057	4	55	2	3
71057	5	83	800	6
71058	1	44	2	3
71061	1	108	4	3
71061	2	75	4	3
71061	3	5	4	3
71061	4	55	2	3
71061	5	96	2	3
71073	1	44	3	10
71086	1	44	3	3
71086	2	89	1	3
71086	3	108	1	3
71091	1	56	10	10
71098	1	50	25	2
71098	3	6	25	2
71098	4	108	25	2
71109	1	44	1	10
81062	1	44	8	10
81062	2	55	10	10
81062	3	5	5	10
81067	1	55	20	10
81067	2	44	10	10
81077	1	44	0	88
91001	1	75	8	3
91001	2	44	6	3
91001	3	101	6	3
91002	1	44	2	10
91003	1	44	30	2
91003	3	75	80	2
91003	4	99	30	2
91003	5	55	70	2
91004	1	44	72	2
91004	2	75	72	2
91004	3	5	80	2
91006	1	44	3	10
91006	2	75	3	10
91007	1	99	2	10
91007	2	5	3	10
91007	3	75	3	10
91007	4	44	3	10
91008	1	75	4	10
91008	2	44	4	10
91008	3	5	4	10
91008	4	99	4	10
91008	5	101	4	10
91008	6	108	2	6
91008	7	108	2	6
91008	8	102	15	8
91008	9	10	15	7
91008	10	6	10	7
91008	11	108	3	6
