CHILDCODE	ASSTIDR4	ASSETR4	NMOWNR4	VLASTR4	ASACTR4
21017	1	23	4	500	7
21018	1	1	6	200	1
21019	1	1	3	5000	1
21019	2	15	7	100	10
21020	1	1	2	24	1
21021	1	15	15	120	7
21021	2	30	2	10	9
21022	1	25	1	1000	1
21022	2	1	8	100	1
21023	1	30	1	800	12
21023	2	25	1	2000	12
21023	3	1	10	200	1
21024	1	30	3	32	11
21024	2	1	10	50	1
21025	1	1	8	80	1
21025	2	8	1	80	1
21026	1	1	1	50	11
21027	1	4	4	100	2
21028	1	1	10	120	1
21028	2	2	1	40	1
21029	1	1	4	20	1
21030	1	23	1	30	7
21033	1	1	5	60	1
21033	2	6	0	 	1
21034	1	23	4	280	11
21034	2	23	0	 	7
21035	1	1	4	100	1
21036	1	1	4	65	1
21037	1	1	1	10	1
21038	1	1	4	180	1
21039	1	1	3	70	11
21039	2	23	4	250	7
21042	1	15	10	2300	7
21042	2	1	3	65	1
21043	1	1	3	50	1
21045	1	1	5	70	1
21045	2	8	1	120	1
21046	1	1	3	80	1
21046	2	13	15	500	9
21047	1	15	10	200	7
21048	1	15	100	500	7
21048	2	15	2	1000	7
21048	3	14	1	500	7
21048	4	23	10	800	7
21049	1	1	6	100	1
21049	2	8	1	30	1
21050	1	1	5	100	1
21050	2	15	6	200	7
21051	1	1	5	100	11
21051	2	8	1	100	11
21053	1	1	3	10	1
21055	1	1	8	100	1
21056	1	25	1	25000	7
21057	1	15	24	200	7
21057	2	23	1	800	7
21058	1	15	10	200	9
21060	1	1	3	130	1
21061	1	1	2	30	11
21062	1	1	2	60	11
21063	1	1	3	50	11
21064	1	1	7	210	11
21064	2	15	181	5300	7
21065	1	1	2	10	1
21065	2	8	0	 	1
21066	1	1	3	40	11
21066	2	30	1	100	11
21067	1	1	3	45	1
21067	2	23	1	60	7
21068	1	1	3	20	1
21069	1	25	1	4000	6
21070	1	2	1	16	11
21071	1	12	1	2	12
21072	1	1	6	60	1
21072	2	5	6	50	2
21073	1	1	3	80	1
21073	2	23	2	40	7
21074	1	25	0	 	6
21074	2	15	1	500	7
21075	1	1	6	100	11
21076	1	13	4	1000	9
21077	1	1	3	30	1
21078	1	1	20	2000	1
21078	2	7	0	 	1
21078	3	2	6	1000	1
21078	4	6	2	4000	1
21078	5	23	2	6000	7
21079	1	1	0	 	1
21080	1	25	1	2000	6
21082	1	25	1	1500	6
21083	1	1	12	5000	1
21084	1	1	6	100	1
21085	1	1	4	50	11
21086	1	1	5	100	11
21086	2	15	2	50	7
21087	1	30	10	180	7
21088	1	23	1	240	7
21089	1	1	5	100	11
21090	1	15	25	500	9
21090	2	8	2	500	8
21090	3	2	4	600	8
21090	4	5	1	15000	8
21090	5	25	1	9000	8
21090	6	25	1	1500	9
21091	1	13	3	100	12
21092	1	1	6	175	1
21093	1	15	10	350	9
21094	1	1	10	100	11
21095	1	1	10	100	1
21096	1	15	20	100	10
21097	1	1	6	36	1
21097	2	30	1	300	1
21098	1	1	6	48	11
21098	2	23	2	250	7
21099	1	1	4	500	1
31002	1	1	10	200	1
31002	2	8	0	 	1
31002	3	4	1	20	1
31003	1	1	5	60	11
31003	2	26	4	6	8
31005	1	1	10	180	1
31006	1	1	6	50	1
31007	1	1	13	300	1
31009	1	1	6	120	1
31011	1	1	3	50	1
31012	1	1	3	-77	1
31013	1	1	5	140	1
31013	2	26	3	300	7
31014	1	1	10	300	1
31015	1	1	0	 	11
31016	1	1	6	100	1
31017	1	13	10	150	9
31018	1	1	5	100	1
31018	2	13	6	10000	8
31018	3	30	2	8000	9
31019	1	1	10	150	1
31019	2	2	1	50	1
31019	3	12	3	30	12
31019	4	30	1	250	1
31020	1	1	8	300	1
31020	2	30	5	3000	8
31021	1	1	8	300	1
31021	2	4	2	100	1
31021	3	8	1	50	1
31021	4	8	1	800	1
31022	1	1	6	50	1
31023	1	13	20	200	12
31027	1	 	 	 	 
31028	1	12	4	15	9
31029	1	9	10	150	5
31030	1	13	100	8000	9
31030	2	25	1	2000	6
31031	1	15	20	150	7
31032	1	 	 	 	 
31033	1	23	2	1000	7
31034	1	13	10	200	12
31035	1	1	10	250	1
31036	1	1	6	50	1
31038	1	25	2	70000	6
31038	2	11	7	50	9
31038	3	30	1	50	9
31039	1	23	1	600	7
31039	2	1	8	500	1
31040	1	30	3	4500	8
31040	2	11	10	5000	8
31042	1	1	4	100	1
31045	1	1	6	50	1
31046	1	1	15	500	1
31046	2	8	1	100	1
31046	3	4	1	50	1
31046	4	30	1	1500	7
31047	1	1	13	65	1
31047	2	26	4	40	7
31048	1	1	10	250	1
31049	1	1	12	100	1
31049	2	13	5	50	9
31051	1	15	1	100	9
31051	2	23	2	150	7
31052	1	1	5	100	1
31053	1	23	2	150	7
31054	1	23	6	1000	7
31054	2	1	3	60	1
31054	3	30	3	5000	9
31056	1	1	10	300	1
31056	2	2	2	450	1
31057	1	1	10	150	1
31057	2	8	0	 	1
31057	3	30	1	400	8
31058	1	1	6	250	1
31059	1	1	3	30	1
31059	2	26	4	15	1
31060	1	1	5	48	1
31060	2	15	4	50	7
31060	3	30	6	60	2
31061	1	1	4	50	1
31062	1	1	15	300	1
31062	2	4	5	700	1
31062	3	2	1	200	1
31062	4	23	1	60	7
31062	5	30	5	20	2
31063	1	1	9	120	1
31063	2	23	2	30	7
31063	3	30	1	1000	12
31064	1	1	5	100	1
31064	2	13	10	400	10
31065	1	1	4	40	1
31065	2	23	6	1040	7
31066	1	1	6	100	1
31068	1	1	7	150	1
31068	2	30	2	15	7
31068	3	26	3	100	7
31069	1	1	6	50	1
31069	2	23	3	30	7
31070	1	1	13	290	1
31071	1	1	3	20	1
31072	1	1	4	50	1
31072	2	8	1	50	1
31073	1	1	3	15	1
31074	1	1	15	200	1
31074	2	4	0	 	1
31074	3	8	1	100	1
31075	1	1	5	200	1
31075	2	30	0	 	7
31076	1	1	4	50	1
31077	1	1	20	450	1
31078	1	1	5	80	1
31078	2	15	4	10	7
31079	1	1	6	15	1
31080	1	23	1	50	7
31080	2	30	5	2200	7
31080	3	3	1	2500	9
31081	1	1	14	400	1
31082	1	13	20	1500	9
31083	1	1	8	200	1
31084	1	1	6	160	1
31085	1	13	20	500	12
31085	2	1	4	50	1
31086	1	1	5	100	1
31087	1	1	12	200	1
31087	2	30	1	500	1
31087	3	8	0	 	1
31088	1	1	6	-77	1
31088	2	13	3	-77	12
31089	1	30	9	900	7
31089	2	1	6	200	1
31090	1	13	8	180	12
31090	2	1	4	120	1
31090	3	23	4	790	7
31091	1	1	6	130	1
31092	1	1	6	48	1
31093	1	1	6	50	1
31094	1	 	 	 	 
31095	1	1	3	50	11
31096	1	1	2	30	1
31096	2	25	1	6000	6
31097	1	1	6	50	1
31097	2	13	4	48	12
31098	1	1	3	67	1
31099	1	1	3	40	1
31100	1	30	7	1000	10
41001	1	1	10	150	1
41001	2	4	1	100	1
41001	3	8	1	100	1
41002	1	1	5	50	11
41002	2	26	4	20	5
41003	1	4	1	100	1
41003	2	1	10	400	1
41003	3	8	1	250	1
41003	4	15	6	40	7
41003	5	23	0	 	7
41004	1	1	7	50	1
41004	2	4	1	100	1
41005	1	1	18	1000	1
41005	2	4	3	370	1
41005	3	8	1	200	1
41005	4	2	0	 	1
41005	5	15	1	70	7
41006	1	1	6	200	1
41006	2	4	1	100	1
41007	1	13	10	100	12
41008	1	1	10	300	1
41008	2	4	1	100	1
41008	3	8	2	300	1
41009	1	1	12	480	1
41009	2	4	1	100	1
41010	1	4	3	170	1
41010	2	1	15	375	1
41011	1	1	2	50	1
41012	1	1	12	30	1
41012	2	4	1	50	1
41013	1	1	4	15	1
41013	2	4	120	2	1
41014	1	25	1	20000	6
41014	2	1	9	410	1
41014	3	2	2	400	1
41015	1	13	20	-77	8
41016	1	1	3	20	1
41016	2	4	1	50	1
41017	1	23	28	300	7
41018	1	1	9	90	1
41019	1	1	1	9	11
41019	2	23	0	 	7
41020	1	1	5	200	1
41020	2	4	2	100	1
41020	3	8	1	300	1
41021	1	1	3	30	1
41021	2	26	12	30	8
41021	3	12	3	5	12
41022	1	1	20	1000	1
41022	2	2	2	400	1
41022	3	3	1	3000	5
41022	4	4	5	500	1
41022	5	8	3	750	1
41022	6	8	1	800	1
41023	1	1	5	80	1
41024	1	8	2	150	1
41024	2	1	12	400	1
41024	3	25	1	40000	6
41025	1	1	5	50	1
41026	1	13	20	18000	5
41026	2	23	5	3500	7
41027	1	23	4	120	7
41029	1	1	4	65	1
41030	1	1	8	20	1
41030	2	23	24	100	7
41031	1	1	10	80	1
41031	2	2	1	40	1
41032	1	1	30	500	1
41032	2	4	8	100	1
41032	3	8	1	250	1
41033	1	1	20	500	1
41034	1	1	7	70	1
41034	2	30	1	20	1
41035	1	1	6	150	1
41035	2	8	1	250	1
41036	1	1	4	80	1
41036	2	2	3	220	1
41037	1	1	7	200	1
41037	2	2	2	100	1
41037	3	4	1	100	1
41037	4	23	6	1100	7
41037	5	25	1	70000	6
41038	1	1	8	240	1
41038	2	2	1	100	1
41038	3	4	1	50	1
41038	4	8	1	250	1
41039	1	1	10	50	1
41039	2	8	0	 	1
41040	1	1	5	70	1
41040	2	30	4	500	10
41041	1	1	14	100	1
41042	1	1	7	100	1
41042	2	2	1	20	1
41042	3	3	1	1100	8
41042	4	4	3	100	1
41042	5	8	1	100	8
41042	6	13	4	4850	8
41043	1	1	5	100	1
41044	1	1	5	100	1
41045	1	1	5	25	1
41045	2	13	10	40	12
41045	3	30	4	12	12
41045	4	23	2	520	7
41046	1	1	10	50	1
41046	2	4	1	50	1
41046	3	30	1	20	1
41046	4	3	1	800	9
41047	1	1	7	30	1
41048	1	1	7	35	1
41048	2	8	1	50	1
41049	1	1	5	30	1
41050	1	1	10	380	1
41050	2	2	1	120	1
41050	3	3	4	1200	8
41050	4	4	2	100	1
41050	5	30	1	3000	8
41050	6	30	1	3600	8
41050	7	30	1	2000	8
41050	8	30	1	1500	8
41050	9	30	1	150	8
41051	1	15	100	250	7
41051	2	30	3	180	7
41051	3	23	10	400	7
41052	1	1	6	40	1
41053	1	1	20	650	1
41053	2	2	2	400	1
41053	3	4	2	100	1
41054	1	1	5	50	1
41055	1	1	1	10	1
41056	1	13	10	200	5
41056	2	1	4	100	1
41057	1	30	2	300	10
41057	2	3	1	200	10
41057	3	30	1	300	10
41057	4	23	2	250	7
41059	1	1	6	5	1
41059	2	4	1	20	1
41059	3	8	1	100	1
41060	1	1	10	165	1
41060	2	4	1	50	1
41060	3	8	1	200	1
41061	1	1	3	84	1
41063	1	1	5	1000	1
41064	1	1	10	-77	1
41065	1	1	6	50	1
41066	1	4	1	80	1
41066	2	8	0	 	1
41066	3	1	7	200	1
41067	1	25	1	30000	6
41067	2	1	20	500	1
41068	1	1	5	50	1
41068	2	4	2	100	1
41069	1	1	7	120	1
41070	1	1	10	290	1
41070	2	4	1	50	1
41071	1	1	12	50	1
41071	2	8	1	200	1
41071	3	25	1	2000	7
41071	4	23	1	40	7
41072	1	4	1	40	1
41072	2	1	4	30	1
41073	1	1	7	100	1
41074	1	1	30	200	1
41074	2	4	5	250	1
41074	3	8	2	200	1
41075	1	1	4	50	1
41076	1	1	6	150	1
41076	2	8	1	260	1
41076	3	4	1	50	1
41077	1	1	7	100	1
41078	1	1	5	90	1
41078	2	23	4	1000	7
41078	3	25	1	10000	6
41079	1	1	10	450	1
41079	2	13	4	300	8
41080	1	1	10	150	1
41080	2	41	3	150	1
41080	3	8	2	150	1
41081	1	1	10	60	1
41082	1	1	15	30	1
41082	2	8	2	100	1
41082	3	25	1	3000	7
41083	1	1	7	300	1
41084	1	1	0	 	1
41084	2	23	5	120	7
41085	1	1	10	120	1
41086	1	3	4	16000	5
41086	2	25	1	4000	1
41086	3	1	20	200	1
41086	4	8	1	100	1
41087	1	13	4	20	5
41087	2	1	1	10	1
41088	1	1	26	200	1
41089	1	1	14	165	1
41090	1	1	4	40	1
41091	1	13	10	200	7
41092	1	1	6	240	1
41093	1	1	4	40	1
41094	1	1	7	250	1
41096	1	1	6	30	1
41096	2	3	1	1500	1
41096	3	25	1	4000	1
41097	1	13	5	-77	9
41097	2	1	3	65	1
41098	1	1	10	150	1
41098	2	4	2	150	1
41098	3	4	2	100	1
41099	1	2	10	50	1
41100	1	1	6	20	1
41101	1	1	5	60	1
51001	1	1	2	30	11
51002	1	1	3	25	1
51002	2	8	1	800	1
51003	1	1	4	150	11
51004	1	1	3	30	1
51004	2	8	1	200	1
51004	3	30	1	1400	1
51005	1	23	18	8000	5
51005	2	25	1	1500	5
51007	1	1	4	40	11
51007	2	25	1	2000	9
51008	1	1	6	50	1
51008	2	25	1	-77	6
51009	1	1	6	50	1
51009	2	23	7	400	7
51010	1	1	2	20	1
51011	1	1	5	70	1
51011	2	8	1	70	1
51011	3	7	1	20000	1
51012	1	1	10	60	1
51012	2	8	2	150	1
51012	3	3	2	3000	1
51013	1	1	6	50	1
51013	2	7	0	 	1
51013	3	17	20	250	9
51015	1	1	9	45	1
51015	2	3	2	3200	1
51016	1	1	10	50	1
51016	2	30	1	100	1
51017	1	1	6	540	1
51017	2	7	1	100000	1
51017	3	3	7	11200	1
51017	4	30	3	720	1
51018	1	1	10	100	1
51018	2	30	1	200	1
51019	1	13	6	200	12
51020	1	1	8	80	1
51020	2	8	1	100	1
51021	1	1	25	200	1
51021	2	8	1	1000	1
51021	3	8	1	100	1
51021	4	15	1	20	7
51022	1	1	9	10	1
51022	2	30	1	800	1
51023	1	1	4	50	1
51024	1	1	2	30	11
51025	1	1	13	800	1
51025	2	2	2	300	1
51025	3	8	2	360	1
51025	4	23	10	8000	7
51025	5	25	1	6000	7
51026	1	1	3	30	1
51026	2	25	1	800	1
51026	3	17	4	50	1
51027	1	1	10	80	1
51027	2	2	1	100	9
51027	3	8	0	 	1
51027	4	23	8	800	7
51027	5	25	1	2000	7
51027	6	3	0	 	1
51028	1	25	1	20000	12
51028	2	1	5	110	1
51029	1	1	4	80	1
51029	2	8	1	90	1
51030	1	1	12	500	1
51030	2	23	2	-77	7
51031	1	1	7	120	1
51031	2	8	1	60	1
51032	1	26	2	1000	9
51033	1	1	6	30	1
51033	2	8	1	100	1
51034	1	1	12	60	1
51034	2	8	1	220	1
51035	1	1	8	50	1
51035	2	30	1	50	1
51036	1	1	15	120	1
51037	1	1	5	20	1
51037	2	15	10	120	7
51037	3	23	1	20	7
51037	4	25	1	3000	6
51038	1	25	1	1500	6
51038	2	1	3	10	1
51039	1	1	6	20	1
51039	2	17	10	30	6
51039	3	30	1	100	1
51039	4	25	1	18000	6
51040	1	30	1	100	1
51040	2	1	3	15	1
51041	1	1	3	120	1
51042	1	1	6	150	1
51042	2	25	1	3000	6
51043	1	13	5	100	12
51044	1	1	3	50	1
51045	1	1	6	100	1
51046	1	1	3	110	1
51046	2	25	1	1000	6
51047	1	13	50	500	10
51049	1	1	5	50	1
51051	1	1	5	100	1
51051	2	30	1	1500	1
51052	1	1	3	30	1
51056	1	1	2	6	1
51058	1	1	15	100	1
51058	2	8	1	100	1
51058	3	6	6	90	2
51058	4	23	1	20	7
51059	1	1	6	300	1
51059	2	2	1	200	1
51059	3	8	2	400	1
51059	4	3	2	900	1
51060	1	1	5	60	1
51060	3	25	1	2500	1
51060	4	8	1	150	1
51061	1	1	2	40	1
51062	1	1	5	50	11
51062	2	25	1	1500	6
51062	3	8	0	 	1
51063	1	1	7	113	1
51063	2	25	1	2500	12
51063	3	8	0	 	1
51064	1	1	5	200	1
51065	1	1	5	150	1
51065	2	30	1	80	1
51067	1	13	3	100	12
51068	1	1	10	250	1
51068	2	30	1	250	1
51068	3	30	1	1500	1
51069	1	1	4	150	1
51070	1	25	1	3000	6
51070	2	23	2	700	7
51071	1	1	5	45	1
51072	1	1	2	20	11
51072	2	15	10	40	7
51073	1	1	9	50	1
51075	1	1	3	10	1
51076	1	1	4	50	1
51077	1	1	8	100	1
51077	2	8	1	100	1
51078	1	15	30	15000	9
51078	2	23	33	1150	7
51079	1	1	6	90	1
51080	1	1	6	100	1
51080	2	30	1	150	1
51081	1	1	11	50	1
51081	2	8	0	 	1
51082	1	1	4	20	1
51082	2	8	0	 	1
51083	1	1	5	70	1
51084	1	1	8	100	1
51084	2	4	1	90	1
51084	3	8	1	100	1
51085	1	1	7	70	1
51085	2	8	1	80	1
51085	3	23	16	1300	7
51086	1	1	6	150	11
51087	1	1	6	75	1
51087	2	8	2	420	1
51087	3	3	1	1600	1
51087	4	4	4	800	1
51088	1	1	6	30	1
51089	1	1	5	25	1
51089	2	8	1	200	1
51089	3	3	1	300	1
51090	1	1	6	1000	1
51090	2	30	2	40	7
51090	3	8	0	 	1
51091	1	1	4	20	1
51091	2	41	2	1000	7
51091	3	23	5	500	7
51092	1	1	5	50	1
51092	2	25	1	6000	6
51092	3	13	4	40	12
51094	1	1	15	400	1
51094	2	3	2	5000	1
51095	1	22	250	1600	12
51095	2	14	1	700	12
51099	1	1	3	15	11
51100	1	1	4	30	1
51100	2	30	1	80	1
51101	1	1	5	120	1
51101	2	30	1	50	1
51102	1	1	4	100	1
51102	2	8	1	60	1
51103	1	1	2	20	11
51103	2	15	5	50	7
51104	1	1	5	100	1
51105	1	1	2	4	11
61001	1	25	1	500	6
61001	2	23	2	50	7
61002	1	17	150	10000	9
61003	1	23	1	100	7
61004	1	23	45	830	7
61004	2	15	181	4740	7
61004	3	41	1	200	7
61005	1	25	0	 	9
61007	1	23	3	150	7
61008	1	13	3	30	9
61010	1	25	2	5000	6
61010	2	17	7	150	6
61010	3	8	1	100	1
61010	4	1	6	100	1
61011	1	25	2000	1	9
61011	2	30	7	500	10
61012	1	26	10	230	9
61013	1	23	20	3090	7
61014	1	5	1	100	2
61015	1	15	150	2500	7
61017	1	15	5	1500	7
61017	2	23	2	300	7
61018	1	13	35	2000	9
61021	1	23	2	60	7
61021	2	1	-77	-77	1
61022	1	25	1	2500	12
61025	1	25	1	2000	6
61025	2	15	30	500	7
61026	1	15	6	350	9
61031	1	15	120	500	7
61031	2	41	3	1500	8
61033	1	17	55	40500	9
61034	1	17	52	1450	9
61034	2	23	1	25	7
61036	1	23	12	10000	7
61037	1	25	1	1800	6
61039	1	23	18	300	7
61040	2	23	1	100	7
61041	1	23	2	50	7
61043	1	25	1	1500	12
61043	2	17	1	100	12
61044	1	17	11	100	6
61044	2	25	1	1200	6
61045	1	23	1	80	7
61046	1	 	 	 	 
61047	1	25	4	80000	7
61047	2	25	2	3000	7
61048	1	8	1	50	1
61048	2	3	2	1500	1
61048	3	1	10	200	1
61048	4	23	1	250	7
61049	1	13	85	12300	7
61049	4	15	510	6500	7
61049	6	25	3	3500	6
61050	1	15	10	70	7
61050	2	23	2	885	7
61051	1	15	4	70	9
61052	1	23	2	300	7
61056	1	15	2	80	7
61059	1	26	1	-77	9
61060	1	15	12	500	7
61060	2	25	1	1350	6
61061	1	1	8	70	1
61061	2	30	1	200	1
61062	1	15	30	375	7
61063	1	23	6	680	7
61064	1	15	120	300	7
61065	1	30	50	-77	7
61066	1	30	100	10000	8
61066	2	15	0	 	9
61068	1	15	5	950	7
61069	1	23	1	20	7
61071	1	30	100	-77	9
61072	1	15	4	250	7
61073	1	30	1	450	9
61073	2	30	2	240	9
61073	3	25	1	1250	6
61074	1	1	6	30	1
61075	1	1	5	100	1
61077	1	1	4	20	1
61078	1	25	1	1400	6
61080	1	1	10	250	11
61080	2	25	1	1000	11
61081	1	30	-77	-77	8
61082	1	 	 	 	 
61083	1	26	5	400	8
61083	2	25	1	-77	6
61085	1	5	1	5000	8
61085	2	25	1	29000	8
61085	3	19	1	20000	8
61085	4	1	30	500	1
61087	1	25	1	4000	6
61088	1	23	1	60	7
61088	2	15	5	90	7
61089	1	30	1	600	5
61089	2	26	2	120	5
61090	1	15	10	2000	9
61091	1	15	3	10	9
61091	2	23	5	100	9
61091	3	1	3	20	1
61091	4	15	50	300	7
61092	1	41	1	1000	12
61095	1	8	23	40	3
61095	2	2	0	 	3
61095	3	23	1	35	3
61096	1	25	2	3000	6
61097	1	25	0	 	6
61097	2	1	6	300	11
61099	1	23	2	1350	7
61099	2	25	1	7000	6
61100	1	30	5	50	9
61102	1	25	3	6000	6
61102	2	5	3	-77	2
61103	1	1	6	100	1
61103	2	30	1	90	1
61103	3	25	0	 	9
71005	1	13	1	-77	10
71008	1	25	1	50000	8
71010	1	24	1	5000	12
71011	1	41	3	4700	7
71012	1	11	20	10000	12
71012	2	13	20	15000	12
71014	1	2	1	100	7
71015	1	25	0	 	6
71019	1	30	10	15000	10
71026	1	12	4	30	9
71029	2	17	20	15000	8
71030	1	26	1	500	8
71030	2	25	1	6000	6
71031	1	25	2	28000	6
71032	1	1	4	10	1
71035	1	23	5	2000	7
71035	2	30	3	1500	9
71036	1	1	5	100	1
71037	1	15	40	400	9
71039	1	25	0	 	6
71041	1	23	5	2000	7
71041	2	25	1	18000	6
71043	1	23	9	8250	7
71043	2	88	 	 	 
71044	1	25	0	 	6
71045	1	26	2	1300	8
71048	1	15	3	500	9
71048	2	23	6	1500	9
71048	3	30	10	10000	10
71049	1	22	30	10000	9
71050	1	30	5	30	7
71051	1	2	1	400	7
71051	2	13	8	600	12
71053	1	13	50	200	9
71054	1	25	0	 	88
71056	1	13	30	25000	9
71056	2	23	10	1500	7
71056	3	25	0	 	6
71057	1	1	30	200	1
71058	1	13	50	20000	9
71058	2	15	1	200	9
71058	3	23	2	50	7
71059	1	13	15	200	9
71062	1	25	2	5200	9
71064	1	13	30	3000	9
71066	1	26	3	150	8
71070	1	13	10	500	9
71075	1	15	0	 	7
71076	1	3	6	3000	8
71076	2	41	2	3500	8
71076	3	18	12	500	8
71077	1	13	8	1000	10
71080	1	30	4	60	9
71082	1	11	4	1610	8
71083	1	15	1	500	9
71085	1	41	5	1500	9
71086	1	1	6	350	1
71091	1	12	3	45	12
71092	1	25	1	20000	6
71093	1	25	1	6000	6
71096	1	30	7	200	9
71097	1	25	1	40000	6
71098	1	1	6	500	1
71099	1	13	20	500	12
71102	1	23	62	40500	8
71103	1	25	0	 	6
71104	1	26	3	200	9
71104	2	13	30	1000	8
71109	1	13	20	600	5
81001	1	15	3	1200	8
81002	1	23	2	350	7
81006	1	23	7	2500	7
81007	1	1	0	 	1
81009	1	25	0	 	6
81010	1	30	14	520	9
81011	1	25	9	6000	6
81011	2	26	5	900	8
81012	1	23	2	70	7
81013	1	13	2	10	9
81014	1	25	1	5000	6
81014	2	17	20	1000	9
81015	1	13	15	2500	12
81017	1	25	1	10000	6
81018	1	15	6	100	7
81019	1	23	4	250	7
81019	2	25	0	 	6
81025	1	15	5	1500	7
81026	1	25	0	 	7
81027	1	41	3	4000	7
81027	2	30	6	2000	10
81027	3	23	3	800	7
81028	1	23	5	3000	7
81029	1	11	10	1500	7
81031	1	25	1	1500	6
81032	1	23	2	120	7
81034	1	13	2	35	9
81034	2	17	13	40	9
81036	1	23	4	250	7
81041	1	23	15	60000	7
81041	2	30	5	30000	8
81042	1	30	3	2000	8
81042	2	14	2	600	7
81042	3	23	9	400	7
81042	4	15	4	50	7
81044	1	23	6	200	7
81050	1	25	1	2500	6
81050	2	13	10	200	9
81051	1	23	11	1300	7
81057	1	23	2	300	7
81058	1	15	15	5000	7
81059	1	24	6	100	7
81062	1	1	0	 	1
81063	1	25	0	 	6
81064	1	14	12	2000	7
81066	1	25	0	 	6
81068	1	25	1	16800	6
81069	1	13	20	200	11
81070	1	25	1	3500	6
81070	2	26	1	1000	8
81070	3	23	2	500	7
81074	1	25	1	1000	6
81074	2	23	3	150	7
81075	1	23	5	50	7
81077	1	25	2	10000	6
81077	2	1	6	50	1
81079	1	24	4	200	7
81080	1	23	6	1500	7
81081	1	15	6	1100	7
81081	2	23	8	60	7
81082	1	25	1	30000	6
81083	1	25	1	10000	6
81084	1	22	6	50	8
81088	1	15	5	800	7
81089	1	23	2	600	7
81089	2	41	1	200	9
81092	1	15	7	300	7
81096	1	25	0	 	6
81098	1	25	1	8000	6
91001	1	1	5	100	1
91001	2	4	1	-77	1
91001	3	13	4	80	10
91002	1	1	5	100	1
91003	1	1	7	200	1
91004	1	1	5	50	1
91006	1	1	5	50	1
91006	2	4	1	25	1
91007	1	1	11	-77	1
91008	1	1	6	150	1
91009	1	1	15	500	1
91010	1	13	20	20000	8
91010	2	23	4	230	7
