CHILDCODE	DNFDIDR4	DONNMER4	DONTYPR4	DONRCVR4	DONAMTR4	DONMSRR4	DONPRCR4	PRCMSRR4
31028	1	AVENA CON LECHE	10	180	1	8	1	8
31028	2	GALLETAS	9	180	2	7	0,5	7
31028	3	LECHE	1	6	5	6	3,2	6
31028	4	ALMUERZO	10	180	1	9	4	9
31031	1	AVENA CON LECHE	10	200	1	8	1,5	8
31031	2	PAN CON MERMELADA	9	200	1	7	0,5	7
31032	1	DESYUNO ESCOLAR	10	8	2	8	2	8
31032	2	GALLETAS	10	8	2	7	6	7
31033	1	VASO DE LECHE	10	160	1	8	1	8
31033	2	GALLETAS  CON MERMELADA	8	160	1	7	0,3	7
31033	3	ALMUERZO ESCOLAR	10	160	1	9	3	9
31034	1	AVENA	3	12	1	2	3	2
31034	2	LECHE	1	12	2,5	6	3	6
31034	3	AVENA CON LECHE	10	180	1	8	1	8
31034	4	GALLETA CON MIEL	9	180	1	7	0,5	7
31034	5	ALMUERZO ESCOLAR	10	180	1	5	4	5
31035	1	DESAYUNO ESCOLAR	10	120	1	5	2	5
31035	2	ALMUERZO ESCOLAR	10	200	1	5	2,5	5
31036	1	GALLETAS	9	200	1	7	0,7	7
31036	2	QUAKER CON LECHE	10	200	1	8	1	8
31036	3	MENESTRAS CON ATUN	10	200	1	9	4	9
31037	1	DESAYUNO ESCOLAR	10	160	1	8	1	8
31037	2	GALLETAS	10	160	1	7	0,4	7
31038	1	VASO DE LECHE	10	140	1	8	1	8
31038	2	ALMUERZO  ESCOLAR	10	180	1	9	3	9
31039	1	ALMUERZO ESCOLAR	10	180	1	9	5	9
31040	1	LECHE	1	160	1	8	1	8
31040	2	GALLETAS CON MERMELADA	9	160	1	7	0,4	7
31040	3	ARROZ CON ATUN	10	160	1	9	3	9
31041	1	DESAYUNO ESCOLAR	10	100	1	5	1	5
31041	2	ALMUERZO ESCOLAR	10	100	1	5	3	5
31044	1	LECHE CON COCOA	10	100	1	8	1	8
31044	2	GALLETA	9	100	1	7	0,3	7
31044	3	ALIMENTOS PREPARADOS	10	100	1	5	3	5
31045	1	GALLETAS CON MERMELADA	9	180	1	5	0,3	5
31045	2	LECHE CON AVENA O COCOA O MAIZ	2	180	1	8	1	8
31045	3	FREJOL CON ARROZ Y ATUN	10	180	1	9	3	9
31046	1	LECHE	1	80	1	8	1	8
31046	2	GALLETAS	9	80	1	7	0,2	7
31046	3	MERMELADA	10	80	1	5	0,5	5
31046	4	ARROZ CON ATUN	10	90	1	9	3	9
31046	5	FIDEOS CON ATUN	10	90	1	9	3	9
31047	1	GALLETA	9	180	2	7	0,3	7
31047	2	LECHE	1	180	2	8	0,5	8
31047	3	ALMUERZO ESCOLAR	10	180	2	5	2,5	5
31048	1	LECHE	1	12	3	6	3	6
31048	2	AVENA	3	12	1	2	3	2
31048	3	GALLETA CON MERMELADA	10	200	2	7	1	7
31048	4	LECHE CON CHOCOLATE	10	200	2	8	1	8
31048	5	ARROZ CON MENESTRA Y ATUN	10	200	2	9	4	9
31048	6	QUESO	1	12	1	7	10	7
31048	7	CAFE	15	4	1	2	8	2
31049	1	LECHE	1	4	5	6	3	6
31049	2	AVENA	3	6	2	2	5	2
31049	3	AVENA	10	65	1	8	2	8
31049	4	GALLETAS	9	65	1	7	0,3	7
31049	5	SEGUNDO	10	160	1	9	3,5	9
31052	1	LECHE CON AVENA	3	180	1	8	2	8
31052	2	GALLETA CON MERMELADA	9	2	1	7	1	7
31052	3	ALMUERZO ESCOLAR	10	180	1	5	4	5
31053	1	QUACKER CON LECHE	3	150	1	8	0,5	8
31053	2	GALLETAS CON MERMELADA O MIEL	9	150	1	5	0,5	5
31053	3	FIDEOS CON ATUN O ARROZ CON MENESTRA Y ATUN	10	150	1	9	2	9
31053	4	CHICHA O BIOLACTEOS	10	150	1	8	0,3	8
31055	1	GALLETAS	9	180	1	7	0,5	7
31055	2	LECHE	10	180	1	8	2	8
31055	3	ALMUERZO	10	90	1	9	4	9
31055	4	SOPA	10	90	1	9	1,5	9
31056	1	GALLETA CON MERMELADA,MIEL	10	80	1	5	1	5
31056	2	QUAKER CON LECHE	10	80	1	8	1,2	8
31056	3	ARROZ CON MENESTRA Y ATUN	10	240	1	9	2,5	9
31057	1	GALLETA	9	45	12	7	0,5	7
31057	2	LECHE	1	180	1	8	1	8
31057	3	ARROZ CON MENESTRA Y ATUN	10	180	1	9	3	9
31058	1	DESAYUNO ESCOLAR	10	200	1	5	1,5	5
31058	2	ALMUERZO ESCOLAR	10	200	1	5	3	5
31059	1	AVENA	3	12	4	2	3	2
31059	2	LECHE	1	12	5	6	3	6
31059	3	AVENA CON  LECHE	10	180	1	8	1	8
31059	4	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31059	5	ALMUERZO ESCOLAR	10	180	1	5	4	5
31060	1	GALLETAS CON MIEL O MERMELADA	9	130	10	7	0,3	7
31060	2	AVENA CON LECHE	3	130	1	8	1	8
31060	3	ARROZ CON ATUN Y MENESTRAS	10	130	1	9	2	9
31060	4	CHICHA	10	130	1	8	0,5	8
31061	1	LECHE	1	6	15	6	3	6
31061	2	AVENA	3	6	6	2	3	2
31061	3	AVENA	10	100	1	8	0,5	8
31061	4	GALLETAS	9	100	1	7	0,5	7
31061	5	SENGUNDOS	10	180	1	9	2	9
31062	1	GALLETAS CON MERMELADA	10	360	3	5	1	5
31062	2	QUAKER CON LECHE	10	360	3	8	1,5	8
31062	3	MENESTRA CON ARROZ FIDEOS Y ATUN	10	600	3	9	3	9
31062	4	LECHE	1	30	2,5	6	3	6
31062	5	QUAKER	3	30	1	2	3	2
31063	1	LECHE	1	24	2	6	3	6
31063	2	AVENA	3	12	1	2	4	2
31063	3	ALIMENTOS PREPARADOS	10	200	2	5	10	5
31064	1	AVENA	3	180	1	8	1	8
31064	2	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31064	3	MENU ESCOLAR	10	180	1	5	4	5
31065	1	LECHE	1	6	5	6	3,2	6
31065	2	AVENA	3	6	2	2	4	2
31065	3	AVENA CON LECHE	10	180	1	8	1	8
31065	4	GALLETA MERMELADA	9	180	1	7	1	7
31065	5	SEGUNDOS	10	180	1	9	3	9
31066	1	GALLETAS CON MIEL	9	140	1	5	1,5	5
31066	2	LECHE CON COCOA	1	140	1	8	1,5	8
31066	3	TALLARINES CON ATUN O FREJOLES CON ARROZ	10	140	1	9	2,5	9
31066	4	QUACKER CON LECHE	3	140	1	8	1,5	8
31067	1	AVENA CON LECHE , QUINUA	10	260	1	8	1	8
31067	2	PAN CON QUESO, CON ACEITUNA, CON MERMELADA, CON JAMONADA	10	260	1	7	0,5	7
31068	1	GALLETAS CON MERMELADAS	10	12	1	7	0,7	7
31068	2	QUAKER CON LECHE	10	200	1	8	1	8
31068	3	ARROZ CON ATUN Y MENESTRAS	10	200	1	9	4	9
31069	1	LECHE CON AVENA	10	180	2	8	1	8
31069	2	GALLETA CON MERMELADA	9	180	2	7	0,5	7
31069	3	ALMUERZO ESCOLAR	10	180	2	5	3	9
31069	4	LECHE	1	36	3	6	2	6
31070	1	QUAKER CON KECHE	10	120	1	8	1	8
31070	2	GALLETA CON MERMELADA	10	120	1	5	1	5
31070	3	ARROZ MENESTRA CON ATUN  Y TALLARINES	10	200	1	9	1	9
31071	1	AVENA CON LECHE	10	180	1	8	1	8
31071	2	GALLETA CON MERMELADA	9	180	1	7	0,5	7
31071	3	ALMUERZO ESCOLAR	10	180	1	5	5	5
31072	1	ALMUERZO ESCOLAR	10	120	1	5	3	5
31073	1	LECHE	2	100	2	8	1	8
31073	2	GALLETA	9	100	2	5	0,3	5
31073	3	ALIMENTOS PREPARADOS	10	100	2	5	2,5	5
31073	4	LECHE	2	6	5	6	2,8	6
31073	5	AVENA	3	6	2	2	4	2
31074	1	LECHE	1	30	2,5	6	2	6
31074	2	QUAKER	3	12	1	2	3	2
31074	3	GALLETA CON MERMELADA	10	700	5	5	0,7	5
31074	4	QUAKER CON LECHE	10	700	5	8	1	8
