CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
21002	12	1	5	4	1	 
21002	13	1	6	4	1	 
21003	9	1	2	4	1	 
21003	10	1	3	4	1	 
21003	11	1	4	4	1	 
21003	12	1	5	4	1	 
21003	13	1	6	4	1	 
21004	9	1	2	4	1	 
21004	10	1	3	4	1	 
21004	11	1	4	4	1	 
21004	12	1	5	4	1	 
21004	13	1	6	4	1	 
21005	9	1	1	4	1	 
21005	10	1	2	3	1	 
21005	11	1	3	4	1	 
21005	12	1	4	4	1	 
21005	13	1	5	4	1	 
21006	9	1	3	4	1	 
21006	10	1	4	4	1	 
21006	11	1	5	4	0	20
21006	12	1	6	4	1	 
21006	13	1	7	4	1	 
21007	9	1	3	4	1	 
21007	10	1	4	4	1	 
21007	11	1	5	4	1	 
21007	12	1	6	4	1	 
21007	13	1	7	4	1	 
21008	9	1	2	4	1	 
21008	10	1	3	4	1	 
21008	11	1	4	4	1	 
21008	12	1	5	4	1	 
21008	13	1	6	4	1	 
21009	9	1	3	4	1	 
21009	10	1	3	4	1	 
21009	11	1	4	4	1	 
21009	12	1	5	4	1	 
21009	13	1	6	4	1	 
21010	9	1	1	4	1	 
21010	10	1	2	4	1	 
21010	11	1	3	4	1	 
21010	12	1	4	4	1	 
21010	13	1	5	4	1	 
21011	9	1	2	4	1	 
21011	10	1	3	4	1	 
21011	11	1	4	4	1	 
21011	12	1	5	4	1	 
21011	13	1	6	4	1	 
21012	9	1	2	4	1	 
21012	10	1	3	4	1	 
21012	11	1	4	4	1	 
21012	12	1	5	4	1	 
21012	13	1	6	4	1	 
21013	9	1	2	4	1	 
21013	10	1	3	4	1	 
21013	11	1	4	4	1	 
21013	12	1	4	4	1	 
21013	13	1	5	4	1	 
21014	9	1	2	4	1	 
21014	10	1	3	4	1	 
21014	11	1	4	4	1	 
21014	12	1	5	4	1	 
21014	13	1	6	4	1	 
21015	9	1	2	4	1	 
21015	10	1	3	4	1	 
21015	11	1	3	4	1	 
21015	12	1	3	4	1	 
21015	13	1	3	4	1	 
21016	9	1	2	4	1	 
21016	10	1	3	4	1	 
21016	11	1	4	4	1	 
21016	12	1	5	4	1	 
21016	13	1	6	4	1	 
21017	9	1	2	4	1	 
21017	10	1	3	4	1	 
21017	11	1	4	4	1	 
21017	12	1	5	4	1	 
21017	13	1	6	4	1	 
21018	9	1	2	4	1	 
21018	10	1	3	4	1	 
21018	11	1	4	4	1	 
21018	12	1	5	4	1	 
21018	13	1	6	4	1	 
21019	9	1	3	4	1	 
21019	10	1	4	4	1	 
21019	11	1	5	4	1	 
21019	12	1	6	4	1	 
21019	13	1	7	4	1	 
21020	9	1	2	4	1	 
21020	10	1	3	4	1	 
21020	11	1	3	4	1	 
21020	12	1	3	4	1	 
21020	13	1	4	4	1	 
21021	9	1	3	4	1	 
21021	10	1	4	4	1	 
21021	11	1	5	4	1	 
21021	12	1	6	4	1	 
21021	13	1	7	4	1	 
21022	9	1	2	4	1	 
21022	10	1	3	4	1	 
21022	11	1	4	4	1	 
21022	12	1	5	1	0	20
21022	13	1	6	1	1	 
21023	9	1	2	4	1	 
21023	10	1	3	4	1	 
21023	11	1	4	4	1	 
21023	12	1	5	4	1	 
21023	13	1	6	4	1	 
21024	9	1	2	4	1	 
21024	10	1	3	4	1	 
21024	11	1	4	4	1	 
21024	12	1	5	4	1	 
21024	13	1	6	4	1	 
21025	9	1	3	4	1	 
21025	10	1	4	4	1	 
21025	11	1	5	4	1	 
21025	12	1	6	4	1	 
21025	13	1	7	4	1	 
21026	9	1	3	4	1	 
21026	10	1	4	4	1	 
21026	11	1	5	4	1	 
21026	12	1	6	4	1	 
21026	13	1	7	4	1	 
21027	9	1	2	4	1	 
21027	10	1	3	4	1	 
21027	11	1	4	4	1	 
21027	12	1	5	4	1	 
21027	13	1	6	4	1	 
21028	9	1	2	4	1	 
21028	10	1	3	4	1	 
21028	11	1	4	4	1	 
21028	12	1	5	4	1	 
