CHILDCODE	CHMVIDR4	CNTRYR4	DPTMNTR4	TYPLOCR4	YRMOVER4	MTHSTYR4	MVEMEMR4	RSNMVR41	RSNMVR42
161075	1	51	5	1	2012	12	3	9	88
161075	2	51	5	1	2013	0	3	3	88
161077	1	51	5	2	2013	0	80	1	88
161082	1	51	5	2	2012	0	80	9	88
161090	1	51	5	2	2009	0	3	1	88
161105	1	51	5	2	2013	9	3	1	9
161107	1	51	5	1	2011	0	80	9	1
171002	1	51	5	1	2013	0	3	3	88
171003	1	51	11	4	2012	13	80	1	88
171003	2	51	5	4	2013	0	80	3	9
171005	1	51	15	5	2011	18	2	9	88
171005	2	51	5	5	2012	0	2	9	88
171023	1	51	15	5	2012	0	2	9	1
171025	1	51	15	5	2011	11	80	9	88
171025	2	51	4	5	2012	0	4	4	5
171036	1	51	11	4	2011	3	90	1	88
171036	2	51	5	4	2012	0	4	1	88
171037	1	51	15	1	2013	0	2	4	88
171044	1	51	5	1	2013	10	80	4	9
171045	1	51	11	4	2010	0	3	1	9
171051	1	51	5	2	2011	9	80	1	88
171051	2	51	5	1	2012	9	80	9	88
171051	3	51	5	1	2013	0	80	9	88
171053	1	51	5	1	2012	0	80	9	1
171066	1	51	11	2	2009	0	80	9	1
171067	1	51	11	2	2010	0	80	6	88
171071	1	51	5	1	2012	0	80	9	3
171073	1	51	5	1	2010	0	3	3	88
171074	1	51	5	2	2012	0	80	1	88
171082	1	51	5	1	2012	10	80	9	1
171085	1	51	5	1	2011	0	80	1	88
171087	1	51	15	5	2011	0	80	3	9
171088	1	51	5	1	2010	0	80	1	3
171090	1	51	5	1	2010	3	2	9	88
171090	2	51	5	1	2011	0	80	9	88
171094	1	51	5	1	2011	12	80	9	88
171094	2	51	5	1	2012	0	80	9	88
171095	1	51	5	1	2013	0	3	1	88
171096	1	51	11	4	2009	0	80	3	88
171100	1	51	5	1	2013	0	4	1	6
171102	1	51	5	2	2011	0	80	1	88
171105	1	51	5	1	2013	0	2	1	88
171106	1	51	15	5	2010	12	80	1	9
171106	2	51	15	2	2011	0	80	1	9
181003	1	51	19	5	2012	8	3	3	88
181003	2	51	11	5	2013	3	3	3	88
181003	3	51	3	5	2014	0	3	3	88
181010	1	51	11	5	2013	0	80	3	88
181016	1	51	15	5	2013	0	90	1	88
181021	1	51	11	5	2012	0	80	4	88
181049	1	51	3	2	2011	0	3	3	2
181062	1	51	3	1	2009	0	80	3	88
181066	1	51	15	5	2012	0	3	9	3
181070	1	51	3	4	2010	0	2	6	88
181080	1	51	3	1	2012	0	80	4	88
181081	1	51	3	2	2010	3	80	1	88
181081	2	51	3	1	2013	0	80	3	88
181092	1	51	3	3	2012	12	2	9	88
181092	2	51	3	2	2013	0	2	1	88
181096	1	51	3	2	2011	0	80	5	88
181103	1	51	8	4	2013	0	90	1	88
191001	1	51	4	2	2011	3	2	9	88
191006	1	51	4	1	2010	0	80	3	88
191024	1	51	4	2	2010	0	3	3	88
191030	1	51	4	2	2011	19	2	1	4
191030	2	51	4	2	2013	0	2	1	9
191044	1	51	4	1	2012	1	3	9	88
191050	1	51	4	3	2011	0	80	1	9
191056	1	51	4	2	2012	0	80	9	88
191059	1	51	5	1	2010	0	80	9	1
191062	1	51	4	3	2011	23	90	3	9
191062	2	51	4	3	2013	0	80	1	9
191064	1	51	15	5	2009	0	2	4	3
191067	1	51	4	2	2009	0	0	3	88
191071	1	51	4	2	2012	0	80	9	88
191077	1	51	4	1	2013	0	2	1	88
191081	1	51	21	1	2009	0	80	4	88
191085	1	51	18	4	2010	3	80	3	88
191085	2	51	4	4	2013	0	80	3	9
191086	1	51	4	5	2012	0	3	9	88
191087	1	51	4	2	2013	0	80	9	88
191090	1	51	8	5	2010	24	90	3	88
191090	2	51	15	5	2012	0	3	3	88
191091	1	51	23	1	2013	0	2	4	88
191096	1	51	4	2	2011	24	80	1	88
191096	2	51	4	2	2013	0	0	9	88
191099	1	51	4	2	2013	0	1	9	1
191102	1	51	89	88	2009	0	0	10	9
201003	1	51	21	1	2011	24	80	1	3
201003	2	51	21	1	2013	0	80	9	88
201006	1	51	21	1	2010	12	80	3	88
201006	2	51	21	1	2011	0	80	3	88
201008	1	51	21	1	2013	8	80	9	88
201013	1	51	21	3	2013	0	80	4	6
201016	1	51	4	1	2010	0	80	3	88
201016	2	51	4	1	2012	0	80	9	88
201025	1	51	21	1	2011	0	80	9	88
201029	1	51	21	1	2011	0	80	9	 
201037	1	51	21	1	2011	0	80	9	88
201041	1	51	21	2	2010	0	80	1	88
201042	1	51	21	3	2013	0	80	3	88
201043	1	51	21	3	2012	0	80	1	88
201044	1	51	21	1	2010	0	3	9	88
201049	1	51	15	5	2013	0	2	9	88
201051	1	51	21	1	2012	0	3	9	88
201053	1	80	 	7	2011	22	3	3	9
201053	2	51	21	5	2013	0	3	11	3
201055	1	51	21	1	2010	0	80	3	88
201058	1	51	21	1	2009	0	2	4	88
201059	1	51	21	1	2010	0	80	4	88
201061	1	51	4	5	2010	16	80	3	88
201061	2	51	4	4	2012	0	80	9	 
201062	1	51	7	1	2010	0	3	9	88
201063	1	51	21	1	2009	0	80	1	9
201066	1	51	21	1	2010	4	80	9	9
201067	1	51	21	1	2013	4	3	9	88
201073	1	51	21	3	2009	0	2	3	88
201077	1	51	21	1	2013	4	80	9	88
201080	1	51	21	1	2011	0	80	9	3
201085	1	51	21	1	2009	0	1	4	88
201086	1	51	21	1	2012	1	2	4	1
201087	1	51	21	3	2010	11	0	1	88
201094	1	51	21	1	2010	6	1	4	88
201097	1	51	21	1	2010	0	80	9	88
201098	1	51	17	4	2011	3	80	10	88
201100	1	51	8	3	2013	7	3	3	1
