CHILDCODE	CONTIDR4	SCHPYR4	HCNTRR4	EXGRNR4	RSEXPR4
10060	4	1	15	0	 
10060	5	1	70	0	 
10060	6	1	290	0	 
10060	7	1	10	0	 
10060	8	 	 	 	 
10061	1	0	 	 	 
10061	2	0	 	 	 
10061	3	0	 	 	 
10061	4	0	 	 	 
10061	5	0	 	 	 
10061	6	0	 	 	 
10061	7	0	 	 	 
10061	8	 	 	 	 
10062	1	0	 	 	 
10062	2	1	480	0	 
10062	3	0	 	 	 
10062	4	1	80	0	 
10062	5	1	210	0	 
10062	6	1	290	0	 
10062	7	1	40	0	 
10062	8	 	 	 	 
10063	1	1	210	0	 
10063	2	1	390	0	 
10063	3	1	-77	0	 
10063	4	1	60	0	 
10063	5	1	40	0	 
10063	6	1	580	0	 
10063	7	0	 	 	 
10063	8	 	1280	 	 
10064	1	1	70	0	 
10064	2	1	120	0	 
10064	3	0	 	 	 
10064	4	1	10	0	 
10064	5	1	70	0	 
10064	6	1	290	0	 
10064	7	0	 	 	 
10064	8	 	 	 	 
10065	1	0	 	 	 
10065	2	1	240	0	 
10065	3	0	 	 	 
10065	4	1	20	0	 
10065	5	1	140	0	 
10065	6	1	580	0	 
10065	7	0	 	 	 
10065	8	 	-77	 	 
10067	1	0	 	 	 
10067	2	1	240	0	 
10067	3	0	 	 	 
10067	4	1	40	0	 
10067	5	1	140	0	 
10067	6	2	580	0	 
10067	7	1	40	0	 
10067	8	 	-77	 	 
10068	1	0	 	 	 
10068	2	1	120	0	 
10068	3	0	 	 	 
10068	4	1	10	0	 
10068	5	0	 	 	 
10068	6	1	290	0	 
10068	7	0	 	 	 
10068	8	 	 	 	 
10069	1	0	 	 	 
10069	2	1	240	0	 
10069	3	0	 	 	 
10069	4	1	30	0	 
10069	5	0	 	 	 
10069	6	1	580	0	 
10069	7	0	 	 	 
10069	8	 	 	 	 
10070	1	0	 	 	 
10070	2	1	120	0	 
10070	3	0	 	 	 
10070	4	1	20	0	 
10070	5	0	 	 	 
10070	6	1	290	0	 
10070	7	0	 	 	 
10070	8	 	 	 	 
10071	1	0	 	 	 
10071	2	0	 	 	 
10071	3	0	 	 	 
10071	4	1	10	0	 
10071	5	1	80	0	 
10071	6	0	 	 	 
10071	7	1	10	0	 
10071	8	 	 	 	 
10072	1	0	 	 	 
10072	2	1	240	0	 
10072	3	0	 	 	 
10072	4	1	30	0	 
10072	5	1	140	0	 
10072	6	1	580	0	 
10072	7	0	 	 	 
10072	8	 	 	 	 
10073	1	0	 	 	 
10073	2	1	120	0	 
10073	3	0	 	 	 
10073	4	1	10	0	 
10073	5	0	 	 	 
10073	6	1	120	0	 
10073	7	0	 	 	 
10073	8	 	 	 	 
10074	1	0	 	 	 
10074	2	1	120	0	 
10074	3	0	 	 	 
10074	4	1	20	0	 
10074	5	0	 	 	 
10074	6	1	290	0	 
10074	7	0	 	 	 
10074	8	 	 	 	 
10075	1	0	 	 	 
10075	2	1	120	0	 
10075	3	0	 	 	 
10075	4	1	10	0	 
10075	5	1	70	0	 
10075	6	0	 	 	 
10075	7	1	15	0	 
10075	8	 	 	 	 
10076	1	0	 	 	 
10076	2	1	100	0	 
10076	3	0	 	 	 
10076	4	1	40	0	 
10076	5	1	70	0	 
10076	6	2	290	0	 
10076	7	1	-77	0	 
10076	8	 	-77	 	 
10077	1	1	730	0	 
10077	2	0	 	 	 
10077	3	0	 	 	 
10077	4	1	60	0	 
10077	5	1	60	0	 
10077	6	1	290	0	 
10077	7	1	50	0	 
10077	8	 	 	 	 
10078	1	0	 	 	 
10078	2	0	 	 	 
10078	3	0	 	 	 
10078	4	1	10	0	 
10078	5	1	70	0	 
10078	6	1	290	0	 
10078	7	1	15	0	 
10078	8	 	 	 	 
10079	1	1	-77	0	 
10079	2	1	-77	0	 
10079	3	1	-77	0	 
10079	4	1	-77	0	 
10079	5	1	-77	0	 
10079	6	1	-77	0	 
10079	7	1	-77	0	 
10079	8	 	-77	 	 
10080	1	1	500	0	 
10080	2	1	220	0	 
10080	3	0	 	 	 
10080	4	1	80	0	 
10080	5	1	190	0	 
10080	6	1	430	150	6
10080	7	0	 	 	 
10080	8	 	 	 	 
10081	1	1	-77	0	 
10081	2	1	100	0	 
10081	3	0	 	 	 
10081	4	1	50	0	 
10081	5	1	50	0	 
10081	6	2	295	0	 
10081	7	1	30	0	 
10081	8	 	-77	 	 
10082	1	0	 	 	 
10082	2	2	200	0	 
10082	3	2	20	0	 
10082	4	1	60	0	 
10082	5	1	170	0	 
10082	6	2	580	0	 
10082	7	1	-77	0	 
10082	8	 	-77	 	 
10083	1	0	 	 	 
10083	2	1	120	0	 
10083	3	0	 	 	 
10083	4	1	10	0	 
10083	5	1	70	0	 
10083	6	1	290	0	 
10083	7	1	15	0	 
10083	8	 	 	 	 
10084	1	0	 	 	 
10084	2	1	240	0	 
10084	3	0	 	 	 
10084	4	1	20	0	 
10084	5	1	-77	0	 
10084	6	1	580	0	 
10084	7	0	 	 	 
10084	8	 	-77	 	 
10086	1	0	 	 	 
10086	2	1	100	0	 
10086	3	0	 	 	 
10086	4	1	30	0	 
10086	5	1	70	0	 
10086	6	1	870	0	 
10086	7	0	 	 	 
10086	8	 	 	 	 
10087	1	0	 	 	 
10087	2	1	120	0	 
10087	3	0	 	 	 
10087	4	1	60	0	 
10087	5	1	135	0	 
10087	6	1	290	0	 
10087	7	0	 	 	 
10087	8	 	 	 	 
10088	1	0	 	 	 
10088	2	2	-77	0	 
10088	3	0	 	 	 
10088	4	1	100	0	 
10088	5	1	-77	0	 
10088	6	2	580	0	 
10088	7	1	-77	0	 
10088	8	 	-77	 	 
10089	1	0	 	 	 
10089	2	2	80	40	6
10089	3	0	 	 	 
10089	4	1	20	0	 
10089	5	1	70	0	 
10089	6	0	 	 	 
10089	7	0	 	 	 
10089	8	 	 	 	 
10091	1	0	 	 	 
10091	2	1	120	0	 
10091	3	0	 	 	 
10091	4	1	10	0	 
10091	5	1	70	0	 
10091	6	1	290	0	 
10091	7	1	15	0	 
10091	8	 	 	 	 
10092	1	0	 	 	 
10092	2	0	 	 	 
10092	3	0	 	 	 
10092	4	1	150	0	 
10092	5	1	240	0	 
10092	6	0	 	 	 
10092	7	0	 	 	 
10092	8	 	 	 	 
10093	1	1	50	0	 
10093	2	0	 	 	 
10093	3	0	 	 	 
10093	4	1	30	0	 
10093	5	0	 	 	 
10093	6	1	580	0	 
10093	7	0	 	 	 
10093	8	 	 	 	 
10094	1	0	 	 	 
10094	2	1	120	0	 
10094	3	0	 	 	 
10094	4	1	10	0	 
10094	5	1	70	0	 
10094	6	1	290	0	 
10094	7	1	15	0	 
10094	8	 	 	 	 
10095	1	0	 	 	 
10095	2	1	120	0	 
10095	3	0	 	 	 
10095	4	1	10	0	 
10095	5	1	70	0	 
10095	6	1	290	0	 
10095	7	1	15	0	 
10095	8	 	 	 	 
10096	1	0	 	 	 
10096	2	0	 	 	 
10096	3	0	 	 	 
10096	4	1	10	0	 
10096	5	0	 	 	 
10096	6	1	290	0	 
10096	7	0	 	 	 
10096	8	 	 	 	 
