CHILDCODE	CONTIDR4	SCHPYR4	HCNTRR4	EXGRNR4	RSEXPR4
110108	3	1	200	0	 
110108	4	1	200	0	 
110108	5	1	50	0	 
110108	6	1	600	0	 
110108	7	1	300	0	 
110108	8	 	 	 	 
110115	1	1	720	0	 
110115	2	0	 	 	 
110115	3	1	130	0	 
110115	4	1	120	0	 
110115	5	1	150	0	 
110115	6	1	870	435	6
110115	7	1	920	0	 
110115	8	 	 	 	 
110119	1	1	400	0	 
110119	2	0	 	 	 
110119	3	1	40	0	 
110119	4	1	70	0	 
110119	5	1	80	0	 
110119	6	0	 	 	 
110119	7	1	780	0	 
110119	8	 	 	 	 
110121	1	1	300	0	 
110121	2	0	 	 	 
110121	3	1	80	0	 
110121	4	1	90	0	 
110121	5	1	100	0	 
110121	6	0	 	 	 
110121	7	1	350	0	 
110121	8	 	 	 	 
110123	1	1	240	0	 
110123	2	0	 	 	 
110123	3	1	50	0	 
110123	4	1	50	0	 
110123	5	1	50	0	 
110123	6	0	 	 	 
110123	7	1	360	0	 
110123	8	 	 	 	 
110125	1	1	540	0	 
110125	2	1	200	0	 
110125	3	1	90	0	 
110125	4	1	120	0	 
110125	5	1	95	0	 
110125	6	1	580	0	 
110125	7	1	740	0	 
110125	8	 	 	 	 
110126	1	1	500	0	 
110126	2	0	 	 	 
110126	3	1	80	0	 
110126	4	1	200	0	 
110126	5	1	120	0	 
110126	6	1	290	290	6
110126	7	1	200	0	 
110126	8	 	 	 	 
120001	1	1	300	0	 
120001	2	0	 	 	 
120001	3	1	100	0	 
120001	4	1	200	0	 
120001	5	1	100	0	 
120001	6	1	290	0	 
120001	7	1	950	0	 
120001	8	 	 	 	 
120003	1	1	240	0	 
120003	2	0	 	 	 
120003	3	1	50	0	 
120003	4	1	50	0	 
120003	5	1	50	0	 
120003	6	2	0	0	 
120003	7	1	360	0	 
120003	8	 	 	 	 
120004	1	1	600	0	 
120004	2	0	 	 	 
120004	3	1	100	0	 
120004	4	1	200	0	 
120004	5	1	200	0	 
120004	6	1	580	0	 
120004	7	1	1200	0	 
120004	8	 	 	 	 
120006	1	1	200	0	 
120006	2	1	70	0	 
120006	3	1	15	0	 
120006	4	2	50	0	 
120006	5	2	50	0	 
120006	6	2	145	145	6
120006	7	1	325	0	 
120006	8	 	 	 	 
120007	1	 	 	 	 
120007	2	 	 	 	 
120007	3	 	 	 	 
120007	4	 	 	 	 
120007	5	 	 	 	 
120007	6	 	 	 	 
120007	7	 	 	 	 
120007	8	 	 	 	 
120009	1	1	500	0	 
120009	2	0	 	 	 
120009	3	1	50	0	 
120009	4	1	100	0	 
120009	5	1	120	0	 
120009	6	0	 	 	 
120009	7	1	850	0	 
120009	8	 	 	 	 
120010	1	1	360	0	 
120010	2	0	 	 	 
120010	3	1	40	0	 
120010	4	1	100	0	 
120010	5	1	60	0	 
120010	6	2	580	0	 
120010	7	1	850	0	 
120010	8	 	 	 	 
120011	1	1	450	0	 
120011	2	0	 	 	 
120011	3	1	80	0	 
120011	4	1	100	0	 
120011	5	1	100	0	 
120011	6	1	580	0	 
120011	7	1	1200	0	 
120011	8	 	 	 	 
120012	1	1	600	0	 
120012	2	0	 	 	 
120012	3	1	40	0	 
120012	4	1	100	0	 
120012	5	1	200	0	 
120012	6	0	 	 	 
120012	7	1	1200	0	 
120012	8	 	 	 	 
120013	1	1	500	0	 
120013	2	0	 	 	 
120013	3	1	80	0	 
120013	4	1	90	0	 
120013	5	1	60	0	 
120013	6	1	580	0	 
120013	7	1	680	0	 
120013	8	 	 	 	 
120014	1	1	320	0	 
120014	2	0	 	 	 
120014	3	1	80	0	 
120014	4	1	100	0	 
120014	5	1	100	0	 
120014	6	0	 	 	 
120014	7	1	1200	0	 
120014	8	 	 	 	 
120015	1	1	195	100	6
120015	2	0	 	 	 
120015	3	1	40	0	 
120015	4	1	50	0	 
120015	5	1	50	0	 
120015	6	1	0	290	 
120015	7	1	180	0	 
120015	8	 	 	 	 
120016	1	1	240	0	 
120016	2	0	 	 	 
120016	3	1	20	0	 
120016	4	1	50	0	 
120016	5	1	40	0	 
120016	6	0	 	 	 
120016	7	1	50	0	 
120016	8	 	 	 	 
120017	1	1	400	0	 
120017	2	0	 	 	 
120017	3	1	100	0	 
120017	4	1	100	0	 
120017	5	1	150	0	 
120017	6	0	 	 	 
120017	7	1	600	0	 
120017	8	 	 	 	 
120018	1	1	-77	0	 
120018	2	0	 	 	 
120018	3	0	 	 	 
120018	4	1	-77	0	 
120018	5	1	-77	0	 
120018	6	1	0	270	 
120018	7	0	 	 	 
120018	8	 	70	 	 
120020	1	1	400	0	 
120020	2	0	 	 	 
120020	3	1	40	0	 
120020	4	1	150	0	 
120020	5	1	150	0	 
120020	6	0	 	 	 
120020	7	1	1600	0	 
120020	8	 	 	 	 
120022	1	1	170	170	2
120022	2	0	 	 	 
120022	3	0	 	 	 
120022	4	1	50	0	 
120022	5	1	50	0	 
120022	6	0	 	 	 
120022	7	1	180	0	 
120022	8	 	 	 	 
120024	1	1	370	0	 
120024	2	0	 	 	 
120024	3	1	0	0	 
120024	4	1	150	0	 
120024	5	1	150	0	 
120024	6	0	 	 	 
120024	7	1	1450	0	 
120024	8	 	 	 	 
120026	1	1	500	0	 
120026	2	0	 	 	 
120026	3	0	 	 	 
120026	4	1	100	0	 
120026	5	1	50	0	 
120026	6	0	 	 	 
120026	7	1	700	0	 
120026	8	 	 	 	 
120027	1	1	200	0	 
120027	2	0	 	 	 
120027	3	1	70	0	 
120027	4	1	100	0	 
120027	5	1	80	0	 
120027	6	0	 	 	 
120027	7	1	580	0	 
120027	8	 	 	 	 
120028	1	0	 	 	 
120028	2	0	 	 	 
120028	3	0	 	 	 
120028	4	0	 	 	 
120028	5	0	 	 	 
120028	6	0	 	 	 
120028	7	0	 	 	 
120028	8	 	 	 	 
120029	1	1	500	0	 
120029	2	0	 	 	 
120029	3	1	80	0	 
120029	4	1	100	0	 
120029	5	1	200	0	 
120029	6	0	 	 	 
120029	7	1	1200	0	 
120029	8	 	 	 	 
120030	1	0	 	 	 
120030	2	0	 	 	 
120030	3	1	50	0	 
120030	4	1	50	0	 
120030	5	1	59	0	 
120030	6	0	 	 	 
120030	7	1	180	0	 
120030	8	 	 	 	 
120032	1	1	300	0	 
120032	2	0	 	 	 
120032	3	1	110	0	 
120032	4	1	100	0	 
120032	5	1	100	0	 
120032	6	0	 	 	 
120032	7	1	300	0	 
120032	8	 	 	 	 
120033	1	0	 	 	 
120033	2	0	 	 	 
120033	3	0	 	 	 
120033	4	0	 	 	 
120033	5	0	 	 	 
120033	6	0	 	 	 
120033	7	1	600	0	 
120033	8	 	 	 	 
120034	1	0	 	 	 
120034	2	0	 	 	 
120034	3	0	 	 	 
120034	4	0	 	 	 
120034	5	0	 	 	 
120034	6	0	 	 	 
120034	7	0	 	 	 
120034	8	 	 	 	 
120035	1	1	150	70	2
120035	2	2	100	0	 
120035	3	1	20	0	 
120035	4	1	40	0	 
120035	5	2	0	0	 
120035	6	1	290	0	 
120035	7	1	100	0	 
120035	8	 	 	 	 
120036	1	1	1000	0	 
120036	2	0	 	 	 
120036	3	1	200	0	 
120036	4	1	300	0	 
120036	5	1	500	0	 
120036	6	0	 	 	 
120036	7	1	3000	0	 
120036	8	 	 	 	 
120037	1	1	300	0	 
120037	2	0	 	 	 
120037	3	1	40	0	 
120037	4	1	100	0	 
120037	5	1	140	0	 
120037	6	0	 	 	 
120037	7	1	650	0	 
120037	8	 	 	 	 
120038	1	1	150	0	 
120038	2	0	 	 	 
120038	3	1	40	0	 
120038	4	1	90	0	 
120038	5	1	100	0	 
120038	6	1	290	0	 
120038	7	1	380	0	 
120038	8	 	 	 	 
120039	1	1	350	0	 
120039	2	0	 	 	 
120039	3	1	40	0	 
120039	4	1	120	0	 
120039	5	1	160	0	 
120039	6	0	 	 	 
120039	7	1	1300	0	 
120039	8	 	 	 	 
120040	1	1	200	0	 
120040	2	1	50	0	 
120040	3	1	40	0	 
120040	4	1	30	0	 
120040	5	1	30	0	 
120040	6	0	 	 	 
120040	7	1	810	0	 
120040	8	 	 	 	 
120041	1	1	-77	0	 
120041	2	2	-77	0	 
120041	3	1	-77	0	 
120041	4	1	-77	0	 
120041	5	1	-77	0	 
120041	6	2	-77	0	 
120041	7	1	-77	0	 
120041	8	 	2850	 	 
120042	1	1	200	0	 
120042	2	0	 	 	 
120042	3	1	20	0	 
120042	4	1	50	0	 
120042	5	1	100	0	 
120042	6	0	 	 	 
120042	7	1	500	0	 
120042	8	 	 	 	 
120043	1	1	150	0	 
120043	2	0	 	 	 
120043	3	1	40	0	 
120043	4	1	50	0	 
120043	5	1	80	0	 
120043	6	0	 	 	 
120043	7	1	400	0	 
120043	8	 	 	 	 
120045	1	1	500	0	 
120045	2	0	 	 	 
120045	3	1	90	0	 
120045	4	1	100	0	 
120045	5	1	100	0	 
120045	6	0	 	 	 
120045	7	1	400	0	 
120045	8	 	 	 	 
120046	1	1	200	0	 
120046	2	0	 	 	 
120046	3	1	50	0	 
120046	4	0	 	 	 
120046	5	0	 	 	 
120046	6	0	 	 	 
120046	7	0	 	 	 
120046	8	 	 	 	 
120048	1	1	170	0	 
120048	2	0	 	 	 
120048	3	1	30	0	 
120048	4	1	50	0	 
120048	5	0	 	 	 
120048	6	0	 	 	 
120048	7	1	120	0	 
120048	8	 	 	 	 
120049	1	1	150	0	 
120049	2	0	 	 	 
120049	3	0	 	 	 
120049	4	1	90	0	 
120049	5	0	 	 	 
120049	6	0	 	 	 
120049	7	1	586	0	 
120049	8	 	 	 	 
120050	1	1	700	0	 
120050	2	0	 	 	 
120050	3	1	80	0	 
120050	4	1	200	0	 
120050	5	1	120	0	 
120050	6	0	 	 	 
120050	7	1	950	0	 
120050	8	 	 	 	 
120053	1	1	220	0	 
120053	2	0	 	 	 
120053	3	1	60	0	 
120053	4	1	100	0	 
120053	5	1	120	0	 
120053	6	1	290	290	5
120053	7	1	750	0	 
120053	8	 	 	 	 
120054	1	1	420	0	 
120054	2	0	 	 	 
120054	3	1	90	0	 
120054	4	1	100	0	 
120054	5	1	120	0	 
120054	6	0	 	 	 
120054	7	1	450	0	 
120054	8	 	 	 	 
120055	1	1	1300	0	 
120055	2	1	200	0	 
120055	3	1	120	0	 
120055	4	1	200	0	 
120055	5	1	180	0	 
120055	6	1	580	0	 
120055	7	1	1350	0	 
120055	8	 	 	 	 
120058	1	1	250	0	 
120058	2	0	 	 	 
120058	3	1	40	0	 
120058	4	1	50	0	 
120058	5	1	50	0	 
120058	6	0	 	 	 
120058	7	1	300	0	 
120058	8	 	 	 	 
120059	1	1	450	0	 
120059	2	1	120	0	 
120059	3	1	100	0	 
120059	4	1	100	0	 
120059	5	1	200	0	 
120059	6	1	580	0	 
120059	7	1	1000	0	 
120059	8	 	 	 	 
120060	1	1	550	0	 
120060	2	2	128	0	 
120060	3	1	120	0	 
120060	4	1	120	0	 
120060	5	1	200	0	 
120060	6	1	580	0	 
120060	7	1	1890	0	 
120060	8	 	 	 	 
120061	1	1	340	0	 
120061	2	1	50	0	 
120061	3	1	110	0	 
120061	4	1	90	0	 
120061	5	1	80	0	 
120061	6	1	290	290	6
120061	7	1	760	0	 
120061	8	 	 	 	 
120062	1	1	350	0	 
120062	2	1	120	0	 
120062	3	1	40	0	 
120062	4	1	100	0	 
120062	5	1	180	0	 
120062	6	1	580	0	 
120062	7	1	800	0	 
120062	8	 	 	 	 
120063	1	1	520	0	 
120063	2	0	 	 	 
120063	3	1	85	0	 
120063	4	1	90	0	 
120063	5	1	80	0	 
120063	6	0	 	 	 
120063	7	1	560	0	 
120063	8	 	 	 	 
120064	1	1	200	0	 
120064	2	0	 	 	 
120064	3	1	50	0	 
120064	4	1	50	0	 
120064	5	1	100	0	 
120064	6	1	289	0	 
120064	7	1	620	0	 
120064	8	 	 	 	 
120065	1	1	170	0	 
120065	2	0	 	 	 
120065	3	1	20	0	 
120065	4	1	50	0	 
120065	5	1	100	0	 
120065	6	1	290	0	 
120065	7	1	180	0	 
120065	8	 	 	 	 
120066	1	1	300	0	 
120066	2	1	120	0	 
120066	3	1	60	0	 
120066	4	1	80	0	 
120066	5	1	150	0	 
120066	6	1	580	0	 
120066	7	1	800	0	 
120066	8	 	 	 	 
120067	1	1	250	0	 
120067	2	0	 	 	 
120067	3	1	50	0	 
120067	4	1	60	0	 
120067	5	1	50	0	 
120067	6	1	290	0	 
120067	7	1	200	0	 
120067	8	 	 	 	 
120068	1	1	250	0	 
120068	2	1	60	0	 
120068	3	1	40	0	 
120068	4	1	50	0	 
120068	5	1	100	0	 
120068	6	1	290	0	 
120068	7	1	800	0	 
120068	8	 	 	 	 
120069	1	1	530	0	 
120069	2	1	50	0	 
120069	3	1	90	0	 
120069	4	1	40	0	 
120069	5	1	30	0	 
120069	6	1	580	0	 
120069	7	1	920	0	 
120069	8	 	 	 	 
120070	1	1	100	0	 
120070	2	0	 	 	 
120070	3	1	10	0	 
120070	4	2	20	0	 
120070	5	0	 	 	 
120070	6	2	289	0	 
120070	7	1	70	0	 
120070	8	 	 	 	 
120071	1	1	350	0	 
120071	2	0	 	 	 
120071	3	1	50	0	 
120071	4	1	60	0	 
120071	5	1	50	0	 
120071	6	1	580	0	 
120071	7	1	400	0	 
120071	8	 	 	 	 
120072	1	1	500	0	 
120072	2	1	120	0	 
120072	3	1	80	0	 
120072	4	1	100	0	 
120072	5	1	200	0	 
120072	6	1	580	0	 
120072	7	1	700	0	 
120072	8	 	 	 	 
120076	1	1	400	0	 
120076	2	1	120	0	 
120076	3	1	140	0	 
120076	4	1	150	0	 
120076	5	1	200	0	 
120076	6	1	580	0	 
120076	7	1	1500	0	 
120076	8	 	 	 	 
120077	1	1	100	0	 
120077	2	0	 	 	 
120077	3	0	 	 	 
120077	4	2	60	0	 
120077	5	0	 	 	 
120077	6	2	289	0	 
120077	7	1	207	0	 
120077	8	 	 	 	 
120078	1	1	200	0	 
120078	2	0	 	 	 
120078	3	1	50	0	 
120078	4	1	30	0	 
120078	5	1	40	0	 
120078	6	0	 	 	 
120078	7	1	200	0	 
120078	8	 	 	 	 
120079	1	1	200	0	 
120079	2	1	60	0	 
120079	3	1	40	0	 
120079	4	1	50	0	 
120079	5	1	100	0	 
120079	6	1	290	0	 
120079	7	1	500	0	 
120079	8	 	 	 	 
120080	1	1	250	0	 
120080	2	0	 	 	 
120080	3	1	120	0	 
120080	4	1	60	0	 
120080	5	1	40	0	 
120080	6	0	 	 	 
120080	7	1	780	0	 
120080	8	 	 	 	 
120081	1	1	900	0	 
120081	2	0	 	 	 
120081	3	1	240	0	 
120081	4	1	200	0	 
120081	5	1	200	0	 
120081	6	1	1160	0	 
120081	7	1	1000	0	 
120081	8	 	 	 	 
120083	1	1	400	0	 
120083	2	1	120	0	 
120083	3	1	60	0	 
120083	4	1	100	0	 
120083	5	1	150	0	 
120083	6	1	580	0	 
120083	7	1	700	0	 
120083	8	 	 	 	 
120084	1	1	530	0	 
120084	2	0	 	 	 
120084	3	1	90	0	 
120084	4	1	100	0	 
120084	5	1	95	0	 
120084	6	0	 	 	 
120084	7	1	450	0	 
120084	8	 	 	 	 
120085	1	1	150	0	 
120085	2	2	160	0	 
120085	3	1	100	0	 
120085	4	2	15	0	 
120085	5	0	 	 	 
120085	6	2	580	0	 
120085	7	2	360	0	 
120085	8	 	 	 	 
120086	1	1	250	0	 
120086	2	0	 	 	 
120086	3	1	50	0	 
120086	4	1	50	0	 
120086	5	1	50	0	 
120086	6	2	290	0	 
120086	7	1	200	0	 
120086	8	 	 	 	 
120087	1	1	180	0	 
120087	2	0	 	 	 
120087	3	1	90	0	 
120087	4	1	80	0	 
120087	5	1	85	0	 
120087	6	1	580	0	 
120087	7	1	430	0	 
120087	8	 	 	 	 
120088	1	1	200	0	 
120088	2	0	 	 	 
120088	3	1	50	0	 
120088	4	1	50	0	 
120088	5	1	80	0	 
120088	6	0	 	 	 
120088	7	1	200	0	 
120088	8	 	 	 	 
120089	1	1	150	0	 
120089	2	0	 	 	 
120089	3	1	40	0	 
120089	4	1	50	0	 
120089	5	1	50	0	 
120089	6	0	 	 	 
120089	7	1	500	0	 
120089	8	 	 	 	 
120090	1	1	450	0	 
120090	2	0	 	 	 
120090	3	1	120	0	 
120090	4	1	80	0	 
120090	5	1	200	0	 
120090	6	1	580	0	 
120090	7	1	630	0	 
120090	8	 	 	 	 
120092	1	1	350	0	 
120092	2	0	 	 	 
120092	3	1	90	0	 
120092	4	1	120	0	 
120092	5	1	100	0	 
120092	6	0	 	 	 
120092	7	1	600	0	 
120092	8	 	 	 	 
120093	1	1	540	0	 
120093	2	0	 	 	 
120093	3	1	120	0	 
120093	4	1	130	0	 
120093	5	0	 	 	 
120093	6	0	 	 	 
120093	7	1	320	0	 
120093	8	 	 	 	 
120094	1	1	400	0	 
120094	2	0	 	 	 
120094	3	1	90	0	 
120094	4	1	80	0	 
120094	5	1	120	0	 
120094	6	0	 	 	 
120094	7	1	350	0	 
120094	8	 	 	 	 
120095	1	1	300	0	 
120095	2	0	 	 	 
120095	3	1	60	0	 
120095	4	1	100	0	 
120095	5	1	160	0	 
120095	6	0	 	 	 
120095	7	1	700	0	 
120095	8	 	 	 	 
120096	1	1	100	0	 
120096	2	0	 	 	 
120096	3	1	15	0	 
120096	4	2	50	0	 
120096	5	2	60	0	 
120096	6	0	 	 	 
120096	7	1	247	0	 
120096	8	 	 	 	 
120097	1	1	200	0	 
120097	2	0	 	 	 
120097	3	1	20	0	 
120097	4	1	50	0	 
120097	5	1	60	0	 
120097	6	0	 	 	 
120097	7	1	260	0	 
120097	8	 	 	 	 
120098	1	1	150	0	 
120098	2	0	 	 	 
120098	3	1	20	0	 
120098	4	1	40	0	 
120098	5	1	50	0	 
120098	6	0	 	 	 
120098	7	1	400	0	 
120098	8	 	 	 	 
120099	1	1	430	0	 
120099	2	0	 	 	 
120099	3	1	80	0	 
120099	4	1	90	0	 
120099	5	1	100	0	 
120099	6	0	 	 	 
120099	7	1	420	0	 
120099	8	 	 	 	 
120100	1	1	500	0	 
120100	2	0	 	 	 
120100	3	1	60	0	 
120100	4	1	120	0	 
120100	5	1	150	0	 
120100	6	0	 	 	 
120100	7	1	1100	0	 
120100	8	 	 	 	 
120114	1	1	-77	0	 
120114	2	1	360	0	 
120114	3	1	150	0	 
120114	4	1	-77	0	 
120114	5	1	-77	0	 
120114	6	1	1080	0	 
120114	7	1	-77	0	 
120114	8	 	2510	 	 
120115	1	1	420	 	 
120115	2	0	 	 	 
120115	3	1	50	0	 
120115	4	1	100	0	 
120115	5	1	100	0	 
120115	6	0	 	 	 
120115	7	1	650	0	 
120115	8	 	 	 	 
120121	1	1	600	0	 
120121	2	0	 	 	 
120121	3	1	100	0	 
120121	4	1	150	0	 
120121	5	1	130	0	 
120121	6	1	600	0	 
120121	7	1	500	0	 
120121	8	 	 	 	 
120124	1	1	850	0	 
120124	2	0	 	 	 
120124	3	1	130	0	 
120124	4	1	120	0	 
120124	5	1	100	0	 
120124	6	0	 	 	 
120124	7	1	400	0	 
120124	8	 	 	 	 
120125	1	1	750	0	 
120125	2	0	 	 	 
120125	3	1	125	0	 
120125	4	1	145	0	 
120125	5	1	155	0	 
120125	6	0	 	 	 
120125	7	1	700	0	 
120125	8	 	 	 	 
120126	1	1	170	170	2
120126	2	0	 	 	 
120126	3	0	 	 	 
120126	4	1	20	0	 
120126	5	1	20	0	 
120126	6	0	 	 	 
120126	7	1	180	0	 
120126	8	 	 	 	 
120133	1	1	350	0	 
120133	2	1	60	0	 
120133	3	1	50	0	 
120133	4	1	100	0	 
120133	5	1	150	0	 
120133	6	1	300	0	 
120133	7	1	800	0	 
120133	8	 	 	 	 
120134	1	1	500	0	 
120134	2	0	 	 	 
120134	3	1	120	0	 
120134	4	1	110	0	 
120134	5	1	120	0	 
120134	6	2	580	0	 
120134	7	1	500	0	 
120134	8	 	 	 	 
120135	1	1	600	0	 
120135	2	0	 	 	 
120135	3	1	90	0	 
120135	4	1	120	0	 
120135	5	1	60	0	 
120135	6	0	 	 	 
120135	7	1	650	0	 
120135	8	 	 	 	 
120136	1	0	 	 	 
120136	2	0	 	 	 
120136	3	0	 	 	 
120136	4	0	 	 	 
120136	5	0	 	 	 
120136	6	0	 	 	 
120136	7	0	 	 	 
120136	8	 	 	 	 
120139	1	1	450	0	 
120139	2	0	 	 	 
120139	3	1	100	0	 
120139	4	1	150	0	 
120139	5	1	200	0	 
120139	6	0	 	 	 
120139	7	1	900	0	 
120139	8	 	 	 	 
120140	1	1	250	0	 
120140	2	1	80	0	 
120140	3	1	40	0	 
120140	4	1	50	0	 
120140	5	1	50	0	 
120140	6	1	290	0	 
120140	7	1	230	0	 
120140	8	 	 	 	 
120141	1	1	1000	0	 
120141	2	0	 	 	 
120141	3	1	200	0	 
120141	4	1	300	0	 
120141	5	1	400	0	 
120141	6	1	580	0	 
120141	7	1	700	0	 
120141	8	 	 	 	 
120142	1	1	200	0	 
120142	2	0	 	 	 
120142	3	1	60	0	 
120142	4	1	50	0	 
120142	5	1	60	0	 
120142	6	1	290	0	 
120142	7	1	300	0	 
120142	8	 	 	 	 
120146	1	1	450	0	 
120146	2	0	 	 	 
120146	3	1	80	0	 
120146	4	1	90	0	 
120146	5	0	 	 	 
120146	6	0	 	 	 
120146	7	1	460	0	 
120146	8	 	 	 	 
120148	1	1	530	0	 
120148	2	1	100	0	 
120148	3	1	40	0	 
120148	4	1	60	0	 
120148	5	1	30	0	 
120148	6	1	580	290	6
120148	7	1	480	0	 
120148	8	 	 	 	 
120150	1	1	300	0	 
120150	2	0	 	 	 
120150	3	1	40	0	 
120150	4	1	120	0	 
120150	5	1	200	0	 
120150	6	1	290	0	 
120150	7	1	1300	0	 
120150	8	 	 	 	 
130001	1	1	600	0	 
130001	2	1	200	0	 
130001	3	1	120	0	 
130001	4	1	100	0	 
130001	5	1	100	0	 
130001	6	1	570	0	 
130001	7	0	 	 	 
130001	8	 	 	 	 
130002	1	1	600	0	 
130002	2	1	200	0	 
130002	3	1	120	0	 
130002	4	1	150	0	 
130002	5	1	100	0	 
130002	6	1	570	0	 
130002	7	0	 	 	 
130002	8	 	 	 	 
130003	1	1	575	0	 
130003	2	1	200	0	 
130003	3	1	100	0	 
130003	4	1	200	0	 
130003	5	1	100	0	 
130003	6	1	570	0	 
130003	7	1	100	0	 
130003	8	 	 	 	 
130004	1	1	350	0	 
130004	2	1	100	0	 
130004	3	1	60	0	 
130004	4	1	50	0	 
130004	5	1	50	0	 
130004	6	1	285	0	 
130004	7	0	 	 	 
130004	8	 	 	 	 
130005	1	1	300	0	 
130005	2	1	200	0	 
130005	3	1	100	0	 
130005	4	1	200	0	 
130005	5	1	100	0	 
130005	6	0	 	 	 
130005	7	0	 	 	 
130005	8	 	 	 	 
130006	1	1	350	0	 
130006	2	1	100	0	 
130006	3	1	50	0	 
130006	4	1	100	0	 
130006	5	1	50	0	 
130006	6	1	285	0	 
130006	7	1	100	0	 
130006	8	 	 	 	 
130007	1	1	570	0	 
130007	2	1	200	0	 
130007	3	1	100	0	 
130007	4	1	200	0	 
130007	5	1	100	0	 
130007	6	1	570	0	 
130007	7	1	200	0	 
130007	8	 	 	 	 
130008	1	1	350	0	 
130008	2	1	100	0	 
130008	3	1	50	0	 
130008	4	1	50	0	 
130008	5	1	50	0	 
130008	6	1	570	0	 
130008	7	1	100	0	 
130008	8	 	 	 	 
130009	1	1	500	0	 
130009	2	1	200	0	 
130009	3	1	50	0	 
130009	4	1	100	0	 
130009	5	1	50	0	 
130009	6	1	570	0	 
130009	7	1	100	0	 
130009	8	 	 	 	 
130010	1	1	350	0	 
130010	2	1	100	0	 
130010	3	1	50	0	 
130010	4	1	100	0	 
130010	5	1	50	0	 
130010	6	1	285	0	 
130010	7	1	100	0	 
130010	8	 	 	 	 
130011	1	1	350	0	 
130011	2	1	100	0	 
130011	3	1	60	0	 
130011	4	1	100	0	 
130011	5	1	50	0	 
130011	6	1	285	0	 
130011	7	1	30	0	 
130011	8	 	 	 	 
130012	1	1	350	0	 
130012	2	1	100	0	 
130012	3	1	50	0	 
130012	4	1	100	0	 
130012	5	1	50	0	 
130012	6	1	285	0	 
130012	7	1	100	0	 
130012	8	 	 	 	 
130013	1	1	350	0	 
130013	2	1	100	0	 
130013	3	1	50	0	 
130013	4	1	100	0	 
130013	5	1	50	0	 
130013	6	1	285	0	 
130013	7	1	4735	0	 
130013	8	 	 	 	 
130014	1	1	750	0	 
130014	2	1	200	0	 
130014	3	1	120	0	 
130014	4	1	200	0	 
130014	5	1	100	0	 
130014	6	1	570	0	 
130014	7	0	 	 	 
130014	8	 	 	 	 
130015	1	1	350	0	 
130015	2	1	100	0	 
130015	3	1	50	0	 
130015	4	1	100	0	 
130015	5	1	50	0	 
130015	6	1	285	0	 
130015	7	1	100	0	 
130015	8	 	 	 	 
130016	1	1	600	0	 
130016	2	1	200	0	 
130016	3	1	100	0	 
130016	4	1	200	0	 
130016	5	1	100	0	 
130016	6	1	855	0	 
130016	7	1	100	0	 
130016	8	 	 	 	 
130017	1	1	350	0	 
130017	2	1	100	0	 
130017	3	1	50	0	 
130017	4	1	100	0	 
130017	5	1	50	0	 
130017	6	1	285	0	 
130017	7	0	 	 	 
130017	8	 	 	 	 
130019	1	1	800	0	 
130019	2	1	200	0	 
130019	3	1	120	0	 
130019	4	1	200	0	 
130019	5	1	100	0	 
130019	6	1	570	0	 
130019	7	1	100	0	 
130019	8	 	 	 	 
130020	1	1	350	0	 
130020	2	1	100	0	 
130020	3	1	50	0	 
130020	4	1	100	0	 
130020	5	1	50	0	 
130020	6	1	285	0	 
130020	7	1	100	0	 
130020	8	 	 	 	 
130021	1	1	425	0	 
130021	2	1	100	0	 
130021	3	1	60	0	 
130021	4	1	100	0	 
130021	5	1	50	0	 
130021	6	1	285	0	 
130021	7	0	 	 	 
130021	8	 	 	 	 
130022	1	1	625	0	 
130022	2	1	200	0	 
130022	3	1	120	0	 
130022	4	1	200	0	 
130022	5	1	100	0	 
130022	6	1	570	0	 
130022	7	0	 	 	 
130022	8	 	 	 	 
130023	1	1	1000	0	 
130023	2	1	300	0	 
130023	3	1	150	0	 
130023	4	1	300	0	 
130023	5	1	150	0	 
130023	6	1	855	0	 
130023	7	1	250	0	 
130023	8	 	 	 	 
130024	1	1	350	0	 
130024	2	1	100	0	 
130024	3	1	50	0	 
130024	4	1	200	0	 
130024	5	1	50	0	 
130024	6	1	570	0	 
130024	7	1	50	0	 
130024	8	 	 	 	 
130025	1	1	535	0	 
130025	2	1	200	0	 
130025	3	1	100	0	 
130025	4	1	150	0	 
130025	5	1	200	0	 
130025	6	1	580	0	 
130025	7	0	 	 	 
130025	8	 	 	 	 
130026	1	1	750	0	 
130026	2	1	200	0	 
130026	3	1	120	0	 
130026	4	1	150	0	 
130026	5	1	100	0	 
130026	6	1	570	0	 
130026	7	0	 	 	 
130026	8	 	 	 	 
130027	1	1	350	0	 
130027	2	1	100	0	 
130027	3	1	50	0	 
130027	4	1	100	0	 
130027	5	1	50	0	 
130027	6	1	285	0	 
130027	7	1	100	0	 
130027	8	 	 	 	 
130028	1	1	350	0	 
130028	2	1	100	0	 
130028	3	1	50	0	 
130028	4	1	100	0	 
130028	5	1	50	0	 
130028	6	1	285	0	 
130028	7	0	 	 	 
130028	8	 	 	 	 
130029	1	1	350	0	 
130029	2	1	100	0	 
130029	3	1	50	0	 
130029	4	1	100	0	 
130029	5	1	50	0	 
130029	6	1	285	0	 
130029	7	0	 	 	 
130029	8	 	 	 	 
130030	1	1	600	0	 
130030	2	1	200	0	 
130030	3	1	100	0	 
130030	4	1	200	0	 
130030	5	1	100	0	 
130030	6	1	590	0	 
130030	7	0	 	 	 
130030	8	 	 	 	 
