CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SAMESCR4	TYSCR4	PROVR4	SITER4	SCHNMER4
10031	9	1	2	1	3	1	1	93
10031	10	1	3	1	3	1	1	93
10031	11	1	4	1	3	1	1	93
10031	12	1	5	1	3	1	1	93
10032	5	1	50	0	3	1	1	724
10032	6	1	50	1	3	1	1	724
10032	7	1	1	0	3	1	1	93
10032	8	1	2	1	3	1	1	93
10032	9	1	3	1	3	1	1	93
10032	10	1	4	1	3	1	1	93
10032	11	1	5	1	3	1	1	93
10032	12	1	6	0	3	1	1	141
10033	5	0	 	 	 	 	 	 
10033	6	0	 	 	 	 	 	 
10033	7	1	50	0	3	1	1	727
10033	8	1	1	0	3	1	1	93
10033	9	1	2	1	3	1	1	93
10033	10	1	3	1	3	1	1	93
10033	11	1	4	1	3	1	1	93
10033	12	1	5	1	3	1	1	93
10034	5	88	 	 	 	 	 	 
10034	6	88	 	 	 	 	 	 
10034	7	1	50	0	3	1	1	724
10034	8	1	1	0	3	1	1	93
10034	9	1	2	1	3	1	1	93
10034	10	1	3	1	3	1	1	93
10034	11	1	4	1	3	1	1	93
10034	12	1	5	1	3	1	1	93
10035	5	77	 	 	 	 	 	 
10035	6	1	50	0	3	1	1	724
10035	7	1	1	0	3	1	1	93
10035	8	1	2	1	3	1	1	93
10035	9	1	3	1	3	1	1	93
10035	10	1	4	1	3	1	1	93
10035	11	1	5	1	3	1	1	93
10035	12	1	6	0	3	1	1	141
10036	5	1	50	0	3	1	1	727
10036	6	1	50	1	3	1	1	727
10036	7	1	1	0	3	1	1	93
10036	8	1	2	1	3	1	1	93
10036	9	1	3	1	3	1	1	93
10036	10	1	4	1	3	1	1	93
10036	11	1	5	1	3	1	1	93
10036	12	1	6	0	3	1	1	141
10037	5	1	50	0	3	1	1	724
10037	6	1	50	1	3	1	1	724
10037	7	1	1	0	3	1	1	93
10037	8	1	2	1	3	1	1	93
10037	9	1	3	1	3	1	1	93
10037	10	1	4	1	3	1	1	93
10037	11	1	5	1	3	1	1	93
10037	12	1	6	0	3	1	1	139
10038	5	1	50	0	3	1	1	727
10038	6	1	50	1	3	1	1	727
10038	7	1	1	0	3	1	1	93
10038	8	1	2	1	3	1	1	93
10038	9	1	3	1	3	1	1	93
10038	10	1	4	1	3	1	1	93
10038	11	1	5	1	3	1	1	93
10038	12	1	6	0	3	1	1	141
10039	5	1	50	0	3	1	1	724
10039	6	1	50	1	3	1	1	724
10039	7	1	1	0	3	1	1	93
10039	8	1	2	1	3	1	1	93
10039	9	1	3	1	3	1	1	93
10039	10	1	4	1	3	1	1	93
10039	11	1	5	1	3	1	1	93
10039	12	1	6	0	3	1	1	141
10040	5	1	50	0	3	1	1	724
10040	6	1	50	1	3	1	1	724
10040	7	1	1	0	3	1	1	93
10040	8	1	2	1	3	1	1	93
10040	9	1	3	1	3	1	1	93
10040	10	1	4	1	3	1	1	93
10040	11	1	5	1	3	1	1	93
10040	12	1	6	0	3	1	1	141
10041	5	1	50	1	3	1	1	724
10041	6	1	50	1	3	1	1	724
10041	7	1	1	0	3	1	1	93
10041	8	1	2	1	3	1	1	93
10041	9	1	3	1	3	1	1	93
10041	10	1	4	1	3	1	1	93
10041	11	1	5	1	3	1	1	93
10041	12	1	6	0	3	1	1	141
10042	5	1	50	1	3	1	1	727
10042	6	1	50	1	3	1	1	727
10042	7	1	1	0	3	1	1	93
10042	8	1	2	1	3	1	1	93
10042	9	1	3	1	3	1	1	93
10042	10	1	4	1	3	1	1	93
10042	11	1	5	1	3	1	1	93
10042	12	1	6	0	3	1	1	141
10043	5	1	50	0	3	1	1	727
10043	6	1	50	1	3	1	1	727
10043	7	1	1	0	3	1	1	93
10043	8	1	2	1	3	1	1	93
10043	9	1	3	1	3	1	1	93
10043	10	1	4	1	3	1	1	93
10043	11	1	5	1	3	1	1	93
10043	12	1	6	0	3	1	1	141
10044	5	1	50	1	1	1	98	784
10044	6	1	50	1	1	1	98	784
10044	7	1	1	0	3	1	98	585
10044	8	1	2	1	3	1	98	585
10044	9	1	3	1	3	1	98	585
10044	10	1	4	1	3	1	98	585
10044	11	1	5	1	3	1	98	585
10044	12	1	6	0	3	1	98	422
10045	5	1	50	1	3	1	1	724
10045	6	1	50	1	3	1	1	724
10045	7	1	1	0	3	1	1	93
10045	8	1	2	1	3	1	1	93
10045	9	1	3	1	3	1	1	93
10045	10	1	4	0	3	1	1	92
10045	11	1	5	1	3	1	1	92
10045	12	1	6	0	3	1	1	141
10046	5	1	50	0	3	1	98	781
10046	6	1	50	1	3	1	98	781
10046	7	1	1	0	3	1	98	578
10046	8	1	2	1	3	1	98	578
10046	9	1	3	1	3	1	98	578
10046	10	1	4	1	3	1	98	578
10046	11	1	5	1	3	1	98	578
10046	12	1	6	0	3	1	98	421
10047	5	1	50	0	3	98	98	1037
10047	6	1	50	1	3	98	98	1037
10047	7	1	1	0	3	1	1	93
10047	8	1	2	1	3	1	1	93
10047	9	1	3	1	3	1	1	93
10047	10	1	4	1	3	1	1	93
10047	11	1	5	1	3	1	1	93
10047	12	1	6	0	3	1	1	141
10048	5	1	50	1	3	1	1	727
10048	6	1	50	1	3	1	1	727
10048	7	1	1	0	3	1	1	93
10048	8	1	2	1	3	1	1	93
10048	9	1	3	1	3	1	1	93
10048	10	1	4	1	3	1	1	93
10048	11	1	5	1	3	1	1	93
10048	12	1	6	0	3	1	1	141
10049	5	1	50	0	3	1	1	724
10049	6	1	50	1	3	1	1	724
10049	7	1	1	0	3	1	1	93
10049	8	1	2	1	3	1	1	93
10049	9	1	3	1	3	1	1	93
10049	10	1	4	1	3	1	1	93
10049	11	1	5	1	3	1	1	93
10049	12	1	6	0	3	1	1	141
10050	5	1	50	1	3	1	98	731
10050	6	1	50	1	3	1	98	731
10050	7	1	1	0	3	1	98	576
10050	8	1	2	1	3	1	98	576
10050	9	1	3	1	3	1	98	576
10050	10	1	4	1	3	1	98	576
10050	11	1	5	1	3	1	98	576
10050	12	1	6	0	3	1	98	140
10051	5	0	 	 	 	 	 	 
10051	6	1	50	0	3	1	1	724
10051	7	1	1	0	3	1	1	92
10051	8	1	2	1	3	1	1	92
10051	9	1	3	1	3	1	1	92
10051	10	1	4	1	3	1	1	92
10051	11	1	5	1	3	1	1	92
10051	12	1	6	0	3	1	1	141
10052	5	0	 	 	 	 	 	 
10052	6	1	50	0	3	1	1	724
10052	7	1	1	0	3	1	1	92
10052	8	1	2	1	3	1	1	92
10052	9	1	3	1	3	1	1	92
10052	10	1	4	1	3	1	1	92
10052	11	1	5	1	3	1	1	92
10052	12	1	6	0	3	1	1	141
10053	5	1	50	1	3	1	1	724
10053	6	1	1	0	3	1	1	91
10053	7	1	1	1	3	1	1	91
10053	8	1	2	1	3	1	1	91
10053	9	1	3	1	3	1	1	91
10053	10	1	4	1	3	1	1	91
10053	11	1	5	1	3	1	1	91
10053	12	1	6	0	3	1	1	141
10055	5	1	50	1	3	1	1	724
10055	6	1	50	1	3	1	1	724
10055	7	1	1	0	3	1	1	92
10055	8	1	2	1	3	1	1	92
10055	9	1	3	1	3	1	1	92
10055	10	1	4	1	3	1	1	92
10055	11	1	5	1	3	1	1	92
10055	12	1	6	0	3	1	1	141
10056	5	0	 	 	 	 	 	 
10056	6	1	50	0	3	1	1	724
10056	7	1	1	0	3	1	1	92
10056	8	1	2	1	3	1	1	92
10056	9	1	3	1	3	1	1	92
10056	10	1	4	1	3	1	1	92
10056	11	1	5	1	3	1	1	92
10056	12	1	6	0	3	1	1	141
10057	5	1	50	0	3	1	1	724
10057	6	1	50	1	3	1	1	724
10057	7	1	1	0	3	1	1	92
10057	8	1	2	1	3	1	1	92
10057	9	1	3	1	3	1	1	92
10057	10	1	4	1	3	1	1	92
10057	11	1	5	1	3	1	1	92
10057	12	1	6	0	3	1	1	141
10058	5	1	50	0	3	1	1	724
10058	6	1	50	1	3	1	1	724
10058	7	1	1	0	3	1	1	92
10058	8	1	2	1	3	1	1	92
10058	9	1	3	1	3	1	1	92
10058	10	1	4	1	3	1	1	92
10058	11	1	5	1	3	1	1	92
10058	12	1	6	0	3	1	1	141
10059	5	1	50	0	3	1	1	724
10059	6	1	50	1	3	1	1	724
10059	7	1	1	0	3	1	1	92
10059	8	1	2	1	3	1	1	92
10059	9	1	3	1	3	1	1	92
10059	10	1	4	1	3	1	1	92
10059	11	1	5	1	3	1	1	92
10059	12	1	6	0	3	1	1	141
10060	5	0	 	 	 	 	 	 
10060	6	1	50	0	3	1	1	724
10060	7	1	1	0	3	1	1	92
10060	8	1	2	1	3	1	1	92
10060	9	1	3	1	3	1	1	92
10060	10	1	4	1	3	1	1	92
10060	11	1	5	1	3	1	1	92
10060	12	1	6	0	3	1	1	141
10061	5	1	50	0	3	1	1	728
10061	6	1	50	1	3	1	1	728
10061	7	1	1	0	3	1	1	92
10061	8	0	 	 	 	 	 	 
10061	9	0	 	 	 	 	 	 
10061	10	0	 	 	 	 	 	 
10061	11	0	 	 	 	 	 	 
10061	12	0	 	 	 	 	 	 
10062	5	1	50	1	3	1	1	724
10062	6	1	1	0	3	1	1	92
10062	7	1	2	1	3	1	1	92
10062	8	1	3	1	3	1	1	92
10062	9	1	4	1	3	1	1	92
10062	10	1	5	1	3	1	1	92
10062	11	1	6	0	3	1	1	141
10062	12	1	7	1	3	1	1	141
10063	5	1	50	1	3	1	1	724
10063	6	1	1	0	3	1	1	92
10063	7	1	2	1	3	1	1	92
10063	8	1	3	1	3	1	1	92
10063	9	1	4	1	3	1	1	92
10063	10	1	5	1	3	1	1	92
10063	11	1	6	0	3	1	1	141
10063	12	1	7	1	3	1	1	141
10064	5	1	50	1	3	1	1	724
10064	6	1	50	1	3	1	1	724
10064	7	1	1	0	3	1	1	92
10064	8	1	2	1	3	1	1	92
10064	9	1	3	1	3	1	1	92
10064	10	1	4	1	3	1	1	92
10064	11	1	5	1	3	1	1	92
10064	12	1	6	0	3	1	1	141
10065	5	1	50	1	3	1	1	724
10065	6	1	50	1	3	1	1	724
10065	7	1	1	0	3	1	1	91
10065	8	1	2	1	3	1	1	91
10065	9	1	3	1	3	1	1	91
10065	10	1	4	1	3	1	1	91
10065	11	1	5	1	3	1	1	91
10065	12	1	6	0	3	1	1	141
10067	5	1	50	1	3	1	1	724
10067	6	1	50	1	3	1	1	724
10067	7	1	1	0	3	1	1	91
10067	8	1	2	1	3	1	1	91
10067	9	1	3	1	3	1	1	91
10067	10	1	4	1	3	1	1	91
10067	11	1	5	1	3	1	1	91
10067	12	1	6	0	3	1	1	141
10068	5	1	50	0	3	1	1	724
10068	6	1	50	1	3	1	1	724
10068	7	1	1	0	3	1	1	91
10068	8	1	2	1	3	1	1	91
10068	9	1	3	1	3	1	1	91
10068	10	1	4	1	3	1	1	91
10068	11	1	5	1	3	1	1	91
10068	12	1	6	0	3	1	1	141
10069	5	1	50	0	3	1	1	724
10069	6	1	50	1	3	1	1	724
10069	7	1	1	0	3	1	1	91
10069	8	1	2	1	3	1	1	91
10069	9	1	3	1	3	1	1	91
10069	10	1	4	1	3	1	1	91
10069	11	1	5	1	3	1	1	91
10069	12	1	6	0	3	1	1	141
10070	5	1	50	0	3	1	1	724
10070	6	1	50	1	3	1	1	724
10070	7	1	1	0	3	1	1	91
10070	8	1	2	1	3	1	1	91
10070	9	1	3	1	3	1	1	91
10070	10	1	4	1	3	1	1	91
10070	11	1	5	1	3	1	1	91
10070	12	1	6	0	3	1	1	141
10071	5	0	 	 	 	 	 	 
10071	6	1	50	0	3	1	98	783
10071	7	1	1	0	3	1	98	583
10071	8	1	2	1	3	1	98	583
10071	9	1	3	1	3	1	98	583
10071	10	1	4	1	3	1	98	583
10071	11	1	5	1	3	1	98	583
10071	12	1	6	0	3	1	98	423
10072	5	1	50	0	3	1	1	725
10072	6	1	50	1	3	1	1	725
10072	7	1	1	0	3	1	1	91
10072	8	1	2	1	3	1	1	91
10072	9	1	3	1	3	1	1	91
10072	10	1	4	1	3	1	1	91
10072	11	1	5	1	3	1	1	91
10072	12	1	6	0	3	1	1	141
10073	5	0	 	 	 	 	 	 
10073	6	1	50	0	3	1	1	724
10073	7	1	50	1	3	1	1	724
10073	8	1	1	0	3	1	1	91
10073	9	1	2	1	3	1	1	91
10073	10	1	3	1	3	1	1	91
10073	11	1	4	1	3	1	1	91
10073	12	1	5	1	3	1	1	91
10074	5	1	50	0	3	1	1	724
10074	6	1	50	1	3	1	1	724
10074	7	1	1	0	3	1	1	91
10074	8	1	2	1	3	1	1	91
10074	9	1	3	1	3	1	1	91
10074	10	1	4	1	3	1	1	91
10074	11	1	5	1	3	1	1	91
10074	12	1	6	0	3	1	1	421
10075	5	0	 	 	 	 	 	 
10075	6	1	50	0	3	1	1	725
10075	7	1	1	0	3	1	1	91
10075	8	1	2	1	3	1	1	91
10075	9	1	3	1	3	1	1	91
10075	10	1	4	1	3	1	1	91
10075	11	1	5	1	3	1	1	91
10075	12	1	6	0	3	1	1	141
10076	5	1	50	0	3	1	98	781
10076	6	1	50	1	3	1	98	781
10076	7	1	1	0	3	1	98	578
10076	8	1	2	1	3	1	98	578
10076	9	1	3	1	3	1	98	578
10076	10	1	4	1	3	1	98	578
10076	11	1	5	1	3	1	98	578
10076	12	1	6	0	3	1	98	421
10077	5	1	50	1	3	1	1	724
10077	6	1	50	1	3	1	1	724
10077	7	1	1	0	3	1	98	585
10077	8	1	2	1	3	1	98	585
10077	9	1	3	1	3	1	98	585
10077	10	1	4	1	3	1	98	585
10077	11	1	5	1	3	1	98	585
10077	12	1	6	0	3	1	98	422
10078	5	0	 	 	 	 	 	 
10078	6	1	50	0	3	1	1	725
10078	7	1	1	0	3	1	1	91
10078	8	1	2	1	3	1	1	91
10078	9	1	3	1	3	1	1	91
10078	10	1	4	1	3	1	1	91
10078	11	1	5	1	3	1	1	91
10078	12	1	6	0	3	1	1	141
10079	5	1	50	1	3	1	1	725
10079	6	1	50	1	3	1	1	725
10079	7	1	1	0	3	1	1	91
10079	8	1	2	1	3	1	1	91
10079	9	1	3	1	3	1	1	91
10079	10	1	4	1	3	1	1	91
10079	11	1	5	1	3	1	1	91
10079	12	1	6	0	1	1	98	417
10080	5	1	50	0	3	1	1	725
10080	6	1	50	1	3	1	1	725
10080	7	1	1	0	3	1	1	91
10080	8	1	2	1	3	1	1	91
10080	9	1	3	1	3	1	1	91
10080	10	1	4	1	3	1	1	91
10080	11	1	5	1	3	1	1	91
10080	12	1	6	0	3	1	1	141
10081	5	1	50	1	3	1	98	782
10081	6	1	50	1	3	1	98	782
10081	7	1	1	0	3	1	98	578
10081	8	1	2	1	3	1	98	578
10081	9	1	3	1	3	1	98	578
10081	10	1	4	1	3	1	98	578
10081	11	1	5	1	3	1	98	578
10081	12	1	6	0	3	1	98	421
10082	5	1	50	1	3	1	1	725
10082	6	1	50	1	3	1	1	725
10082	7	1	1	0	3	1	1	91
10082	8	1	2	1	3	1	1	91
10082	9	1	3	1	3	1	1	91
10082	10	1	4	1	3	1	1	91
10082	11	1	5	1	3	1	1	91
10082	12	1	6	0	3	1	1	141
10083	5	0	 	 	 	 	 	 
10083	6	1	50	0	3	1	1	725
10083	7	1	1	0	3	1	1	91
10083	8	1	2	1	3	1	1	91
10083	9	1	3	1	3	1	1	91
10083	10	1	4	1	3	1	1	91
10083	11	1	5	1	3	1	1	91
10083	12	1	6	0	3	1	1	141
10084	5	1	50	0	3	1	1	724
10084	6	1	50	1	3	1	1	724
10084	7	1	1	0	3	1	1	91
10084	8	1	2	1	3	1	1	91
10084	9	1	3	1	3	1	1	91
10084	10	1	4	1	3	1	1	91
10084	11	1	5	1	3	1	1	91
10084	12	1	6	0	3	1	1	141
10086	5	1	50	0	3	1	1	725
10086	6	1	50	1	3	1	1	725
10086	7	1	1	0	3	1	1	91
10086	8	1	2	1	3	1	1	91
10086	9	1	3	1	3	1	1	91
10086	10	1	4	1	3	1	1	91
10086	11	1	5	1	3	1	1	91
10086	12	1	6	0	3	1	1	141
10087	5	1	50	0	3	1	1	725
10087	6	1	50	1	3	1	1	725
10087	7	1	1	0	3	1	1	91
10087	8	1	2	1	3	1	1	91
10087	9	1	3	1	3	1	1	91
10087	10	1	4	1	3	1	1	91
10087	11	1	5	1	3	1	1	91
10087	12	1	6	0	3	1	1	141
10088	5	1	50	0	3	1	1	725
10088	6	1	50	1	3	1	1	725
10088	7	1	50	1	3	1	1	725
10088	8	1	1	0	3	1	98	579
10088	9	1	2	1	3	1	98	579
10088	10	1	3	1	3	1	98	579
10088	11	1	4	1	3	1	98	579
10088	12	1	5	1	3	1	98	579
10089	5	1	50	1	3	1	1	725
10089	6	1	50	1	3	1	1	725
10089	7	1	1	0	3	1	1	91
10089	8	1	2	1	3	1	1	91
10089	9	1	3	1	3	1	1	91
10089	10	1	4	1	3	1	1	91
10089	11	1	5	1	3	1	1	91
10089	12	1	6	0	3	1	1	141
10091	5	0	 	 	 	 	 	 
10091	6	1	50	0	3	1	1	725
10091	7	1	1	0	3	1	1	91
10091	8	1	2	1	3	1	1	91
10091	9	1	3	1	3	1	1	91
10091	10	1	4	1	3	1	1	91
10091	11	1	5	1	3	1	1	91
10091	12	1	6	0	3	1	1	141
10092	5	1	50	0	3	1	1	725
10092	6	1	50	1	3	1	1	725
10092	7	1	1	0	3	1	1	91
10092	8	1	2	1	3	1	1	91
10092	9	1	3	1	3	1	1	91
10092	10	1	4	1	3	1	1	91
10092	11	1	5	1	3	1	1	91
10092	12	1	6	0	3	1	1	141
10093	5	1	50	0	3	1	1	724
10093	6	1	50	1	3	1	1	724
10093	7	1	1	0	3	1	1	91
10093	8	1	2	1	3	1	1	91
10093	9	1	3	0	3	1	98	563
10093	10	1	4	1	3	1	98	563
10093	11	1	5	1	3	1	98	563
10093	12	1	6	0	3	1	98	414
10094	5	0	 	 	 	 	 	 
10094	6	1	50	0	3	1	1	725
10094	7	1	1	0	3	1	1	91
10094	8	1	2	1	3	1	1	91
10094	9	1	3	1	3	1	1	91
10094	10	1	4	1	3	1	1	91
10094	11	1	5	1	3	1	1	91
10094	12	1	6	0	3	1	1	141
10095	5	0	 	 	 	 	 	 
10095	6	1	50	0	3	1	1	725
10095	7	1	1	0	3	1	1	91
10095	8	1	2	1	3	1	1	91
10095	9	1	3	1	3	1	1	91
10095	10	1	4	1	3	1	1	91
10095	11	1	5	1	3	1	1	91
10095	12	1	6	0	3	1	1	141
10096	5	1	50	0	3	1	1	724
10096	6	1	50	1	3	1	1	724
10096	7	1	1	0	3	1	1	91
10096	8	1	2	1	3	1	1	91
10096	9	1	3	1	3	1	1	91
10096	10	1	4	1	3	1	1	91
10096	11	1	5	1	3	1	1	91
10096	12	1	6	0	3	1	1	141
10097	5	1	50	0	3	1	1	724
10097	6	1	50	1	3	1	1	724
10097	7	1	1	0	3	1	1	91
10097	8	1	2	1	3	1	1	91
10097	9	1	3	1	3	1	1	91
10097	10	1	4	1	3	1	1	91
10097	11	1	5	1	3	1	1	91
10097	12	1	6	0	3	1	1	141
10100	5	1	50	1	3	1	1	725
