CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4
90023	1	1	1	2010	99	4
90023	2	18	1	2011	2011	7
90023	3	12	1	2006	99	4
90024	1	1	1	2012	99	4
90025	1	1	2	2010	99	4
90025	2	14	1	2010	99	4
90026	1	1	1	-77	99	6
90026	2	16	1	-77	99	4
90026	3	19	1	2011	99	4
90027	1	1	1	2013	2013	4
90027	2	19	1	2012	99	5
90027	3	12	1	2007	99	4
90029	1	1	1	2013	2013	4
90029	2	12	1	2006	99	4
90036	1	14	1	2013	2013	4
90037	1	1	2	2010	99	4
90037	2	12	1	2005	99	4
90038	1	14	1	2012	2013	4
90038	2	12	1	2007	99	4
90039	1	12	1	2005	2012	4
90039	2	14	1	2013	2013	4
90039	3	6	1	2006	2010	4
90042	1	1	1	-77	99	5
90042	2	12	1	-77	99	4
90044	1	1	1	-77	99	6
90044	2	12	1	-77	99	4
90045	1	1	1	-77	99	4
90045	2	12	1	-77	99	4
90047	1	1	1	-77	99	5
90047	2	12	1	-77	99	4
90050	1	1	1	-77	99	5
90050	2	12	1	-77	99	4
90051	1	1	1	-77	99	5
90051	2	12	1	-77	99	4
90052	1	16	1	2008	99	4
90052	2	1	1	-77	99	4
90054	1	1	1	-77	99	5
90054	2	12	1	-77	99	4
90056	1	1	1	-77	99	4
90057	1	1	1	2011	99	5
90058	1	1	1	2013	99	4
90058	2	12	1	2006	99	4
90060	1	16	1	2004	99	4
90061	1	12	1	-77	99	4
90061	2	1	1	-77	99	5
90062	1	1	1	-77	99	4
90062	2	12	1	-77	99	4
90063	1	1	1	-77	99	5
90063	2	12	1	-77	99	4
90067	1	1	1	-77	99	5
90067	2	12	1	-77	99	4
90068	1	1	1	2000	99	4
90069	1	1	1	2012	2013	4
90069	2	12	1	2002	2013	4
90070	1	1	1	2000	99	4
90071	1	1	1	-77	99	5
90071	2	14	1	-77	99	5
90071	3	18	1	2010	99	4
90072	1	1	1	-77	99	4
90073	1	1	1	-77	99	5
90073	2	12	1	-77	99	4
90074	1	12	1	2000	99	4
90075	1	1	1	-77	99	5
90075	2	12	1	-77	99	4
90078	1	1	1	2012	99	4
90078	2	12	1	2002	99	4
90079	1	1	2	2009	99	4
90081	1	12	1	2009	99	4
90082	1	1	1	-77	99	4
90084	1	12	1	-77	99	4
90084	2	1	1	-77	99	4
90086	1	1	1	-77	99	4
90086	2	12	1	-77	99	4
90087	1	1	1	2012	99	4
90087	2	12	1	2001	99	4
90091	1	1	1	-77	99	5
90091	2	12	1	-77	99	4
90092	1	12	1	2007	2012	4
90093	1	1	1	-77	99	5
90093	2	12	1	-77	99	4
90093	3	19	1	-77	99	5
90094	1	12	1	-77	99	4
90098	1	1	1	2000	99	4
90099	1	1	1	-77	99	4
90099	2	12	1	-77	99	6
90100	1	1	1	2012	99	4
90100	2	12	1	2004	99	4
90101	1	1	1	2004	99	4
90105	1	12	1	2004	99	4
90106	1	1	1	1997	99	4
90120	1	1	1	-77	99	4
90120	2	12	1	-77	99	4
90121	1	1	1	2012	2013	4
90121	2	14	1	2013	2013	4
100002	1	12	1	2006	99	4
100002	2	1	1	2010	2011	4
100003	1	12	1	2006	99	4
100004	1	12	1	2012	99	4
100006	1	1	1	-77	99	4
100007	1	1	1	2000	2011	5
100009	1	1	1	2003	99	5
100011	1	19	1	2012	99	4
100011	2	1	1	2012	99	4
100011	3	12	1	2011	99	4
100012	1	12	1	2013	2014	4
100013	1	12	1	2006	99	4
100015	1	12	1	-77	99	4
100017	1	12	1	2002	99	4
100022	1	12	1	2001	99	4
100024	1	12	1	-77	99	4
100025	1	 	 	 	 	 
100027	1	12	1	2011	2012	4
100029	1	12	1	-77	99	4
100031	1	 	 	 	 	 
100033	1	12	1	-77	99	4
100035	1	12	1	-77	99	4
100036	1	12	1	2007	99	4
100038	1	1	1	-77	99	5
100038	2	12	1	-77	99	4
100040	1	1	1	2012	2013	4
100040	2	12	1	2006	99	4
100041	1	16	1	-77	99	4
100042	1	12	1	2012	2013	4
100045	1	12	1	2009	99	4
100045	2	1	1	2012	2013	4
100047	1	12	1	2012	2013	4
100050	1	12	1	2006	99	4
100050	2	14	1	2011	2012	4
100050	3	17	1	2011	2011	4
100052	1	14	1	2011	2013	4
100052	2	1	1	2011	2012	4
100054	1	12	1	2012	2013	4
100055	1	12	1	2006	99	4
100056	1	12	1	2012	99	4
100058	1	12	1	2012	99	4
100059	1	12	1	2011	99	4
100060	1	12	1	-77	99	4
100061	1	1	1	2009	99	4
100061	2	12	1	2007	99	4
100062	1	12	1	-77	99	4
100066	1	1	1	2012	2013	4
100066	2	12	1	2006	99	4
100067	1	12	1	-77	99	4
100069	1	19	1	2012	99	4
100069	2	12	1	2012	99	4
100071	1	12	1	-77	99	4
100072	1	12	1	2006	99	4
100073	1	12	1	2006	99	4
100076	1	12	1	2007	99	4
100079	1	1	1	2010	2013	4
100079	2	12	1	2006	99	4
100080	1	1	1	-77	99	4
100080	2	12	1	-77	99	4
100082	1	12	1	2007	99	4
100082	2	14	1	2012	2013	4
100083	1	1	1	-77	99	5
100083	2	12	1	-77	99	4
100083	3	14	1	2011	99	4
100084	1	1	1	-77	99	4
100084	2	12	1	-77	2012	4
100085	1	12	1	2007	2013	4
100086	1	1	1	-77	99	5
100086	2	12	1	-77	99	4
100087	1	1	1	-77	99	4
100087	2	19	1	-77	99	4
100088	1	1	1	-77	99	4
100088	2	12	1	-77	99	4
100089	1	14	1	2012	2013	4
100089	2	12	1	2006	99	4
100090	1	1	1	-77	99	4
100090	2	12	1	-77	99	4
100091	1	1	1	2009	2012	5
100092	1	1	1	2011	2013	4
100093	1	1	1	-77	99	4
100093	2	12	1	-77	99	4
100094	1	14	1	2013	2013	4
100094	2	12	1	2006	99	4
100096	1	12	1	2006	99	4
100096	2	1	1	2012	2013	4
100097	1	1	1	-77	99	5
100097	2	12	1	-77	99	4
100098	1	1	1	2008	99	4
100099	1	12	2	-77	99	7
100099	2	19	1	-77	99	7
100100	1	12	2	2011	99	4
100103	1	12	1	2006	99	4
100106	1	12	1	2012	99	4
100108	1	12	1	2006	99	4
100111	1	12	1	-77	99	4
100115	1	1	1	-77	99	5
100115	2	12	1	-77	99	4
110003	1	1	1	2011	99	4
110012	1	18	1	2010	99	5
110012	2	1	1	2010	99	4
110014	1	1	1	2010	99	4
110014	2	12	1	2008	99	4
110018	1	1	1	2010	99	4
110018	2	12	1	2002	99	4
110019	1	12	1	2009	99	4
110024	1	12	1	2008	99	4
110026	1	12	1	2008	99	4
110034	1	18	1	2010	99	4
110041	1	1	1	2012	99	4
110041	2	12	1	2012	99	4
110043	1	19	1	2010	99	7
110045	1	 	 	 	 	 
110048	1	14	1	2010	99	5
110051	1	12	1	2008	99	4
110057	1	1	1	2012	99	4
110057	2	3	1	2013	2013	4
110057	3	18	1	2012	99	4
110058	1	12	1	2011	99	4
110059	1	1	1	2010	99	5
110059	2	12	1	2010	99	4
110060	1	14	1	2010	2011	5
110062	1	14	1	2010	99	4
110064	1	14	1	2010	99	6
110066	1	12	1	2008	99	4
110067	1	12	1	2010	99	4
110067	2	1	1	2010	2013	5
110069	1	12	1	2008	99	4
110069	2	1	1	2009	99	3
110076	1	3	1	2012	2013	88
110077	1	1	1	2011	2012	4
110084	1	19	1	2010	99	8
110084	2	12	1	2010	99	4
110084	3	19	1	2009	99	8
110094	1	14	1	2010	2012	4
110096	1	18	1	2010	99	5
110096	2	12	1	2010	99	4
110097	1	12	1	2010	99	4
110097	2	1	1	2010	99	4
110099	1	1	1	2010	2011	4
110115	1	12	1	2008	99	4
110121	1	3	1	2012	99	6
110126	1	14	1	2010	2012	5
120007	1	1	1	2007	99	4
120007	2	12	1	2008	99	4
120009	1	12	1	2009	99	4
120009	2	1	1	2010	99	5
120010	1	19	1	2010	99	8
120011	1	1	1	2008	2012	5
120011	2	12	1	2010	99	4
120012	1	1	1	2008	99	5
120012	2	12	1	2009	99	4
120014	1	12	1	2009	99	4
120015	1	14	1	2012	99	4
120016	1	19	1	2006	2013	4
120017	1	12	1	2006	99	4
120020	1	1	1	2009	99	4
120020	2	12	1	2010	99	4
120020	3	18	1	2008	99	4
120022	1	12	1	2010	99	4
120024	1	19	1	2010	99	4
120026	1	12	1	2010	99	4
120026	2	14	1	2012	99	4
120027	1	12	1	2002	99	4
120028	1	18	1	2011	99	5
120028	2	1	1	2012	99	4
120029	1	1	1	2010	99	4
120029	2	12	1	2010	99	4
120036	1	12	1	2006	99	4
120037	1	19	1	2010	2013	4
120040	1	12	1	2009	99	4
120040	2	1	1	2010	99	4
120042	1	12	2	2008	99	4
120042	2	18	1	2002	99	4
120043	1	18	1	2002	99	4
120043	2	12	1	2013	99	4
120048	1	12	1	2009	99	4
120049	1	1	1	2011	99	5
120050	1	19	1	2001	99	4
120053	1	12	1	2008	99	4
120055	1	12	1	2008	99	4
120058	1	14	1	2011	2012	4
120059	1	1	1	2005	2012	4
120059	2	12	1	2003	99	4
120059	3	19	1	2008	99	4
120060	1	12	1	2008	99	4
120060	2	19	1	2013	99	8
120061	1	12	1	2008	99	4
120062	1	12	1	2009	99	4
120063	1	12	1	2008	99	4
120063	2	19	1	2010	99	8
120065	1	19	1	2012	99	5
120066	1	12	1	2003	99	4
120066	2	1	1	2009	2011	4
120068	1	12	1	2008	99	4
120069	1	12	1	2009	2013	4
120071	1	12	1	2008	99	4
120072	1	12	1	2003	99	4
120078	1	12	1	2008	99	4
120079	1	12	1	2003	99	4
120080	1	12	1	2009	99	4
120081	1	12	1	2008	99	4
120081	2	14	1	2009	2011	4
120083	1	12	1	2005	99	4
120084	1	12	1	2010	99	4
120087	1	12	1	2009	99	4
120088	1	14	1	2009	99	4
120089	1	1	1	2003	2012	4
120089	2	12	1	2002	99	4
120090	1	12	1	2009	99	4
120093	1	1	1	2009	99	4
120093	2	12	1	2008	99	4
120095	1	1	1	2005	99	4
120095	2	12	1	2004	99	4
120097	1	19	1	2010	2013	4
120097	2	19	1	2008	99	4
120098	1	12	1	2004	99	4
120098	2	1	1	2008	2010	4
120099	1	12	1	2008	99	4
120099	2	1	1	2011	99	4
120100	1	19	1	2001	99	4
120100	2	19	1	2010	99	4
120115	1	16	1	2010	99	4
120124	1	14	1	2010	99	5
120125	1	12	1	2008	99	4
120135	1	19	1	2011	99	4
120139	1	18	1	2003	99	4
120139	2	12	1	2003	99	4
120140	1	12	1	2010	2013	4
120141	1	16	1	2009	2011	4
120146	1	12	1	2008	99	4
120148	1	12	1	2009	99	4
120148	2	19	1	2010	99	8
130005	1	19	1	2012	99	8
130037	1	19	1	2013	99	8
130050	1	6	1	2000	99	7
130065	1	6	1	2000	99	7
130073	1	18	1	2010	99	8
130082	1	18	1	2011	99	7
130088	1	6	1	2011	99	7
140012	1	6	1	2012	2012	77
140032	1	19	1	2013	99	8
140034	1	6	1	2013	99	8
140043	1	6	1	2012	99	7
140060	1	19	1	2010	99	4
140065	1	6	1	2012	99	8
140071	1	16	1	2007	99	7
140072	1	6	1	2004	99	6
150016	1	18	1	2011	2011	1
150093	1	1	1	2013	99	4
150145	1	16	1	2010	99	3
160040	1	16	1	2010	99	5
160040	2	19	1	2013	99	7
160064	1	2	1	2010	99	7
160066	1	12	1	2010	99	88
160074	1	12	1	2010	99	4
160074	2	19	1	2010	99	8
170026	1	19	1	2011	99	6
170027	1	12	1	2009	2013	4
170027	2	19	1	2009	99	5
170033	1	12	2	2008	99	4
170041	1	19	1	2010	99	4
170044	1	12	2	2008	2012	4
170055	1	16	1	2008	99	4
170055	2	14	1	2010	2010	7
170058	1	19	1	2009	2013	4
170059	1	19	1	2002	2011	2
170061	1	19	1	2008	2011	4
170068	1	 	 	 	 	 
170068	2	 	 	 	 	 
170074	1	18	2	2000	99	4
170077	1	18	1	2010	99	8
170088	1	12	2	2009	99	4
170089	1	12	2	2011	99	4
170091	1	12	1	2011	99	4
170092	1	14	1	2013	99	4
170093	1	12	1	2006	99	5
170112	1	12	1	2010	99	4
170141	1	12	1	2012	2013	4
180002	1	 	 	 	 	 
180004	1	12	1	2011	99	5
180004	2	12	1	2007	2012	5
180005	1	19	1	2013	99	4
180005	2	19	2	2010	2010	4
180005	3	12	1	2007	2012	5
180008	1	19	1	2011	99	7
180017	1	12	1	2007	2011	5
180018	1	12	1	2007	2012	5
180019	1	12	1	2007	2012	5
180020	1	12	1	2007	2011	5
180025	1	12	1	2008	2013	5
180027	1	12	1	2008	2013	5
180032	1	12	1	2007	2011	5
180033	1	12	1	2007	2012	5
180034	1	12	1	2007	99	5
180035	1	19	2	2012	99	4
180036	1	12	1	2007	2012	5
180039	1	12	1	2007	2012	5
180040	1	12	1	2007	2012	5
180042	1	19	1	2006	99	7
180044	1	12	1	2007	2012	5
180045	1	12	1	2007	2012	5
180046	1	12	1	2007	99	5
180047	1	12	1	2007	2012	5
180050	1	12	1	2007	2012	5
180055	1	12	1	2007	2011	5
180056	1	18	1	2010	2011	4
180056	2	14	2	2001	99	4
180056	3	12	1	2007	2012	5
180057	1	12	1	2007	2011	5
180058	1	12	1	2007	2012	5
180060	1	 	 	 	 	 
180061	1	12	1	2007	2011	5
180064	1	12	1	2007	2012	5
180064	2	12	1	2009	99	5
180065	1	18	1	2010	99	4
180068	1	12	1	2007	2011	5
180069	1	6	1	2010	99	8
180072	1	12	1	2008	2012	5
180074	1	12	1	2007	2011	5
180077	1	12	1	2008	2012	5
180082	1	 	 	 	 	 
180083	1	12	1	2005	2011	5
180084	1	12	1	2004	2012	5
180087	1	12	1	2007	2012	5
180088	1	12	1	2007	2012	5
180094	1	6	1	2004	99	7
180094	2	12	1	2012	2013	4
180098	1	12	1	2003	2011	5
180099	1	19	1	2011	99	7
180100	1	14	1	2005	99	8
180100	2	12	1	2007	99	5
180104	1	12	1	2010	99	4
180105	1	12	1	2007	99	4
180105	2	12	1	2007	2012	5
180109	1	12	1	2010	99	8
180109	2	9	1	2010	2011	4
180112	1	 	 	 	 	 
180121	1	12	1	2008	2013	5
180128	1	19	1	2013	2013	4
190001	1	12	1	2007	2011	4
190002	1	12	1	2007	2011	4
190002	2	12	2	2007	99	4
190002	3	9	1	2007	99	4
190003	1	12	1	2008	2013	5
190004	1	12	1	2011	99	5
190004	2	19	2	2013	2013	4
190005	1	12	1	2007	99	5
190009	1	12	1	2007	2011	4
190009	2	12	1	2013	99	4
190010	1	12	1	2007	2011	4
190011	1	12	1	2007	99	6
190011	2	6	1	2013	99	8
190012	1	12	1	2008	2012	4
190013	1	16	1	2007	2011	3
190013	2	6	1	2007	99	5
190013	3	14	1	2010	2011	4
190014	1	12	1	2007	2011	4
190015	1	12	1	2007	2011	4
190016	1	12	1	2007	2011	4
190017	1	12	1	2008	99	4
190017	2	19	1	2010	99	4
190017	3	19	1	2013	2013	4
190019	1	 	 	 	 	 
190020	1	12	1	2011	99	5
190020	2	19	1	2012	99	4
190021	1	12	1	2003	2011	5
190022	1	6	1	2007	99	7
190022	2	19	1	2012	99	7
190023	1	12	1	2007	2011	4
190023	2	5	1	2013	99	5
190024	1	13	1	2011	99	5
190024	2	19	1	2013	2013	4
190024	3	19	1	2010	99	4
190024	4	19	2	2013	2013	4
190025	1	12	1	2011	99	5
190025	2	19	1	2012	99	4
190026	1	12	1	2007	2012	5
190028	1	12	1	2007	2012	5
190029	1	12	1	2007	2012	5
190030	1	12	1	2007	2012	5
190031	1	19	1	2013	2013	4
190031	2	12	1	2008	2013	5
190033	1	12	1	2006	2010	5
190033	2	19	1	2010	99	5
