CHILDCODE	SHCKIDR4	EVNTR4	EV2010R4	EV2011R4	EV2012R4	EV2013R4
10014	1	0	 	 	 	 
10014	10	0	 	 	 	 
10014	12	0	 	 	 	 
10014	13	0	 	 	 	 
10014	14	0	 	 	 	 
10014	16	0	 	 	 	 
10014	23	0	 	 	 	 
10014	24	0	 	 	 	 
10014	25	0	 	 	 	 
10014	26	0	 	 	 	 
10014	27	0	 	 	 	 
10014	28	0	 	 	 	 
10014	29	0	 	 	 	 
10014	30	0	 	 	 	 
10014	31	0	 	 	 	 
10014	32	0	 	 	 	 
10014	34	0	 	 	 	 
10014	35	0	 	 	 	 
10014	36	0	 	 	 	 
10014	37	0	 	 	 	 
10014	38	1	N	N	N	Y
10014	39	0	 	 	 	 
10014	40	0	 	 	 	 
10014	41	0	 	 	 	 
10014	42	0	 	 	 	 
10014	45	0	 	 	 	 
10014	47	0	 	 	 	 
10014	48	0	 	 	 	 
10014	61	0	 	 	 	 
10015	1	0	 	 	 	 
10015	10	0	 	 	 	 
10015	12	0	 	 	 	 
10015	13	0	 	 	 	 
10015	14	0	 	 	 	 
10015	16	1	N	N	Y	Y
10015	23	0	 	 	 	 
10015	24	0	 	 	 	 
10015	25	0	 	 	 	 
10015	26	0	 	 	 	 
10015	27	0	 	 	 	 
10015	28	0	 	 	 	 
10015	29	0	 	 	 	 
10015	30	0	 	 	 	 
10015	31	0	 	 	 	 
10015	32	0	 	 	 	 
10015	34	0	 	 	 	 
10015	35	0	 	 	 	 
10015	36	0	 	 	 	 
10015	37	0	 	 	 	 
10015	38	0	 	 	 	 
10015	39	0	 	 	 	 
10015	40	0	 	 	 	 
10015	41	0	 	 	 	 
10015	42	1	N	N	N	Y
10015	45	0	 	 	 	 
10015	47	0	 	 	 	 
10015	48	0	 	 	 	 
10015	61	0	 	 	 	 
10016	1	0	 	 	 	 
10016	10	0	 	 	 	 
10016	12	0	 	 	 	 
10016	13	0	 	 	 	 
10016	14	0	 	 	 	 
10016	16	0	 	 	 	 
10016	23	0	 	 	 	 
10016	24	0	 	 	 	 
10016	25	0	 	 	 	 
10016	26	0	 	 	 	 
10016	27	0	 	 	 	 
10016	28	0	 	 	 	 
10016	29	0	 	 	 	 
10016	30	0	 	 	 	 
10016	31	0	 	 	 	 
10016	32	0	 	 	 	 
10016	34	0	 	 	 	 
10016	35	0	 	 	 	 
10016	36	0	 	 	 	 
10016	37	0	 	 	 	 
10016	38	0	 	 	 	 
10016	39	0	 	 	 	 
10016	40	0	 	 	 	 
10016	41	0	 	 	 	 
10016	42	0	 	 	 	 
10016	45	0	 	 	 	 
10016	47	0	 	 	 	 
10016	48	0	 	 	 	 
10016	61	0	 	 	 	 
10017	1	0	 	 	 	 
10017	10	0	 	 	 	 
10017	12	0	 	 	 	 
10017	13	0	 	 	 	 
10017	14	0	 	 	 	 
10017	16	0	 	 	 	 
10017	23	0	 	 	 	 
10017	24	0	 	 	 	 
10017	25	0	 	 	 	 
10017	26	0	 	 	 	 
10017	27	0	 	 	 	 
10017	28	0	 	 	 	 
10017	29	0	 	 	 	 
10017	30	0	 	 	 	 
10017	31	0	 	 	 	 
10017	32	0	 	 	 	 
10017	34	0	 	 	 	 
10017	35	0	 	 	 	 
10017	36	0	 	 	 	 
10017	37	0	 	 	 	 
10017	38	0	 	 	 	 
10017	39	0	 	 	 	 
10017	40	0	 	 	 	 
10017	41	0	 	 	 	 
10017	42	0	 	 	 	 
10017	45	0	 	 	 	 
10017	47	0	 	 	 	 
10017	48	0	 	 	 	 
10017	61	0	 	 	 	 
10018	1	0	 	 	 	 
10018	10	0	 	 	 	 
10018	12	0	 	 	 	 
10018	13	0	 	 	 	 
10018	14	1	N	N	Y	N
10018	16	0	 	 	 	 
10018	23	0	 	 	 	 
10018	24	0	 	 	 	 
10018	25	0	 	 	 	 
10018	26	0	 	 	 	 
10018	27	0	 	 	 	 
10018	28	0	 	 	 	 
10018	29	1	N	Y	N	N
10018	30	0	 	 	 	 
10018	31	0	 	 	 	 
10018	32	0	 	 	 	 
10018	34	0	 	 	 	 
10018	35	0	 	 	 	 
10018	36	0	 	 	 	 
10018	37	0	 	 	 	 
10018	38	0	 	 	 	 
10018	39	0	 	 	 	 
10018	40	0	 	 	 	 
10018	41	0	 	 	 	 
10018	42	0	 	 	 	 
10018	45	0	 	 	 	 
10018	47	0	 	 	 	 
10018	48	0	 	 	 	 
10018	61	0	 	 	 	 
10019	1	0	 	 	 	 
10019	10	0	 	 	 	 
10019	12	0	 	 	 	 
10019	13	1	N	N	Y	Y
10019	14	0	 	 	 	 
10019	16	0	 	 	 	 
10019	23	0	 	 	 	 
10019	24	0	 	 	 	 
10019	25	0	 	 	 	 
10019	26	0	 	 	 	 
10019	27	0	 	 	 	 
10019	28	0	 	 	 	 
10019	29	1	N	Y	N	N
10019	30	0	 	 	 	 
10019	31	0	 	 	 	 
10019	32	0	 	 	 	 
10019	34	0	 	 	 	 
10019	35	0	 	 	 	 
10019	36	0	 	 	 	 
10019	37	0	 	 	 	 
10019	38	0	 	 	 	 
10019	39	0	 	 	 	 
10019	40	0	 	 	 	 
10019	41	0	 	 	 	 
10019	42	0	 	 	 	 
10019	45	0	 	 	 	 
10019	47	1	N	N	Y	Y
10019	48	0	 	 	 	 
10019	61	0	 	 	 	 
10020	1	0	 	 	 	 
10020	10	0	 	 	 	 
10020	12	0	 	 	 	 
10020	13	0	 	 	 	 
10020	14	0	 	 	 	 
10020	16	0	 	 	 	 
10020	23	0	 	 	 	 
10020	24	0	 	 	 	 
10020	25	0	 	 	 	 
10020	26	0	 	 	 	 
10020	27	0	 	 	 	 
10020	28	0	 	 	 	 
10020	29	0	 	 	 	 
10020	30	0	 	 	 	 
10020	31	0	 	 	 	 
10020	32	0	 	 	 	 
10020	34	0	 	 	 	 
10020	35	0	 	 	 	 
10020	36	0	 	 	 	 
10020	37	0	 	 	 	 
10020	38	0	 	 	 	 
10020	39	0	 	 	 	 
10020	40	0	 	 	 	 
10020	41	0	 	 	 	 
10020	42	0	 	 	 	 
10020	45	0	 	 	 	 
10020	47	0	 	 	 	 
10020	48	0	 	 	 	 
