formno	commid	monid	sufood	litwork	lotwrk	movwork
R1COMM	ET3091	6	1	0	0	0
R1COMM	ET3091	7	1	0	0	0
R1COMM	ET3091	8	1	0	0	0
R1COMM	ET3091	9	1	1	0	0
R1COMM	ET3091	10	1	1	0	0
R1COMM	ET3091	11	1	1	0	0
R1COMM	ET3091	12	1	1	0	0
R1COMM	ET3101	1	1	0	0	0
R1COMM	ET3101	3	0	1	0	1
R1COMM	ET3101	4	0	1	0	1
R1COMM	ET3101	10	1	0	0	0
R1COMM	ET3101	11	1	0	1	0
R1COMM	ET3101	12	1	0	1	0
R1COMM	ET3111	1	1	0	0	0
R1COMM	ET3111	2	0	1	1	0
R1COMM	ET3111	3	0	1	1	0
R1COMM	ET3111	4	0	1	1	1
R1COMM	ET3111	5	0	1	1	1
R1COMM	ET3111	6	0	0	0	1
R1COMM	ET3111	7	0	0	0	1
R1COMM	ET3111	8	0	0	0	1
R1COMM	ET3111	10	1	0	0	0
R1COMM	ET3111	11	1	0	0	0
R1COMM	ET3111	12	1	0	0	0
R1COMM	ET3112	1	1	0	0	0
R1COMM	ET3112	2	1	0	0	0
R1COMM	ET3112	3	1	0	0	0
R1COMM	ET3112	4	0	1	1	0
R1COMM	ET3112	5	0	1	1	0
R1COMM	ET3112	6	0	1	1	0
R1COMM	ET3112	7	0	0	0	1
R1COMM	ET3112	8	0	0	0	1
R1COMM	ET3112	9	0	0	0	1
R1COMM	ET3112	10	1	0	0	0
R1COMM	ET3112	11	1	0	0	0
R1COMM	ET3112	12	1	0	0	0
R1COMM	ET4121	1	1	0	0	0
R1COMM	ET4121	2	0	0	1	0
R1COMM	ET4121	3	0	1	1	0
R1COMM	ET4121	4	0	1	0	0
R1COMM	ET4121	5	0	0	0	1
R1COMM	ET4121	6	0	0	0	1
R1COMM	ET4121	7	0	1	1	1
R1COMM	ET4121	8	0	1	0	0
R1COMM	ET4121	9	0	1	0	0
R1COMM	ET4121	10	1	1	0	0
R1COMM	ET4121	11	1	1	0	0
R1COMM	ET4121	12	0	1	0	0
R1COMM	ET4131	1	0	0	1	0
R1COMM	ET4131	2	0	1	0	0
R1COMM	ET4131	3	0	1	0	1
R1COMM	ET4131	4	0	1	0	1
R1COMM	ET4131	5	0	1	0	1
R1COMM	ET4131	6	0	0	0	1
R1COMM	ET4131	7	1	0	1	0
R1COMM	ET4131	8	1	0	1	0
R1COMM	ET4131	9	1	0	1	0
R1COMM	ET4131	10	1	0	0	0
R1COMM	ET4131	11	0	0	1	0
R1COMM	ET4131	12	0	0	1	0
R1COMM	ET4151	1	0	1	0	0
R1COMM	ET4151	2	0	1	0	0
R1COMM	ET4151	3	0	1	0	0
R1COMM	ET4151	8	1	0	0	1
R1COMM	ET4151	9	1	0	0	1
R1COMM	ET4151	10	1	0	0	1
R1COMM	ET4151	11	1	0	0	1
R1COMM	ET4151	12	0	0	0	1
R1COMM	ET4161	2	0	1	1	0
R1COMM	ET4161	3	0	1	1	0
R1COMM	ET4161	4	0	1	1	0
R1COMM	ET4161	5	0	1	1	0
R1COMM	ET4161	7	0	0	0	1
R1COMM	ET4161	8	1	0	0	1
R1COMM	ET4161	9	1	0	0	1
R1COMM	ET4161	10	1	0	0	1
R1COMM	ET4161	11	1	1	0	1
R1COMM	ET4161	12	1	1	0	1
R1COMM	ET5171	1	1	0	0	0
R1COMM	ET5171	2	0	1	0	1
R1COMM	ET5171	3	0	1	1	0
R1COMM	ET5171	4	0	1	0	0
R1COMM	ET5171	5	0	0	0	0
R1COMM	ET5171	6	0	0	0	0
R1COMM	ET5171	7	0	0	0	0
R1COMM	ET5171	8	0	0	0	0
R1COMM	ET5171	9	1	0	0	0
R1COMM	ET5171	10	0	0	0	0
R1COMM	ET5171	11	0	0	0	1
R1COMM	ET5171	12	1	0	0	1
R1COMM	ET5181	1	1	0	0	1
R1COMM	ET5181	2	1	1	1	0
R1COMM	ET5181	3	0	1	1	0
R1COMM	ET5181	4	0	1	1	0
R1COMM	ET5181	5	1	0	0	0
R1COMM	ET5181	6	0	0	0	1
R1COMM	ET5181	7	1	1	1	1
R1COMM	ET5181	8	1	1	0	0
R1COMM	ET5181	9	1	1	1	0
R1COMM	ET5181	10	0	1	1	0
R1COMM	ET5181	11	0	1	0	1
R1COMM	ET5181	12	0	1	0	1
R1COMM	ET5191	1	1	1	0	1
R1COMM	ET5191	2	0	0	0	1
R1COMM	ET5191	3	0	0	0	1
R1COMM	ET5191	4	0	0	0	1
R1COMM	ET5191	5	0	0	1	1
R1COMM	ET5191	6	1	0	0	1
R1COMM	ET5191	7	1	0	0	1
R1COMM	ET5191	8	1	0	0	1
R1COMM	ET5191	9	1	0	0	1
R1COMM	ET5191	10	1	0	0	0
R1COMM	ET5191	11	1	1	0	0
R1COMM	ET5191	12	1	1	0	0
R1COMM	ET5201	1	1	1	0	0
R1COMM	ET5201	2	1	1	0	0
R1COMM	ET5201	3	0	1	0	0
R1COMM	ET5201	4	0	1	0	0
R1COMM	ET5201	5	0	1	0	0
R1COMM	ET5201	6	0	1	0	0
R1COMM	ET5201	7	0	1	0	0
R1COMM	ET5201	8	0	1	0	0
R1COMM	ET5201	9	1	1	0	0
R1COMM	ET5201	10	1	1	0	1
R1COMM	ET5201	11	1	1	0	1
R1COMM	ET5201	12	1	1	0	1
