formno	commid	services	seraval	serchng	serdis	sertme
R1COMM	ET2041	10	2	8	9	9
R1COMM	ET2041	11	1	1	9	9
R1COMM	ET2041	12	1	2	9	9
R1COMM	ET2051	1	1	3	1	1
R1COMM	ET2051	2	2	8	4	3
R1COMM	ET2051	3	2	8	4	4
R1COMM	ET2051	4	1	3	2	1
R1COMM	ET2051	5	2	8	4	3
R1COMM	ET2051	6	1	1	1	1
R1COMM	ET2051	7	2	8	4	3
R1COMM	ET2051	8	2	8	9	9
R1COMM	ET2051	9	2	8	9	9
R1COMM	ET2051	10	2	8	9	9
R1COMM	ET2051	11	2	8	9	9
R1COMM	ET2051	12	1	3	9	9
R1COMM	ET2061	1	2	8	2	2
R1COMM	ET2061	2	2	8	2	2
R1COMM	ET2061	3	2	8	4	4
R1COMM	ET2061	4	1	1	1	2
R1COMM	ET2061	5	2	8	2	2
R1COMM	ET2061	6	2	8	2	2
R1COMM	ET2061	7	2	8	2	2
R1COMM	ET2061	8	2	8	2	2
R1COMM	ET2061	9	2	8	2	2
R1COMM	ET2061	10	1	2	2	3
R1COMM	ET2061	11	2	8	2	2
R1COMM	ET2061	12	1	3	2	2
R1COMM	ET2071	1	2	8	2	2
R1COMM	ET2071	2	2	8	3	2
R1COMM	ET2071	3	2	8	9	2
R1COMM	ET2071	4	1	1	1	2
R1COMM	ET2071	5	2	8	2	2
R1COMM	ET2071	6	2	8	2	2
R1COMM	ET2071	7	2	8	2	2
R1COMM	ET2071	8	2	8	2	2
R1COMM	ET2071	9	2	8	2	2
R1COMM	ET2071	10	1	1	9	9
R1COMM	ET2071	11	2	8	9	9
R1COMM	ET2071	12	1	1	9	9
R1COMM	ET3081	1	2	8	9	9
R1COMM	ET3081	2	2	8	9	9
R1COMM	ET3081	3	2	8	9	9
R1COMM	ET3081	4	1	3	1	1
R1COMM	ET3081	5	2	8	9	9
R1COMM	ET3081	6	1	9	9	9
R1COMM	ET3081	7	2	8	9	9
R1COMM	ET3081	8	2	8	9	9
R1COMM	ET3081	9	2	8	9	9
R1COMM	ET3081	10	1	1	9	9
R1COMM	ET3081	11	2	8	9	9
R1COMM	ET3081	12	2	8	9	9
R1COMM	ET3091	1	2	8	9	9
R1COMM	ET3091	2	2	8	9	9
R1COMM	ET3091	3	2	8	9	9
R1COMM	ET3091	4	1	1	1	1
R1COMM	ET3091	5	1	3	3	3
R1COMM	ET3091	6	1	3	1	1
R1COMM	ET3091	7	2	8	9	9
R1COMM	ET3091	8	2	8	9	9
R1COMM	ET3091	9	2	8	9	9
R1COMM	ET3091	10	2	8	9	9
R1COMM	ET3091	11	9	9	9	9
R1COMM	ET3091	12	2	8	8	8
R1COMM	ET3101	1	1	3	1	1
R1COMM	ET3101	2	2	8	9	9
R1COMM	ET3101	3	2	8	9	9
R1COMM	ET3101	4	1	3	1	9
R1COMM	ET3101	5	1	3	1	1
R1COMM	ET3101	6	1	3	9	9
R1COMM	ET3101	7	2	8	9	9
R1COMM	ET3101	8	2	8	9	9
R1COMM	ET3101	9	1	1	9	9
R1COMM	ET3101	10	1	1	9	9
R1COMM	ET3101	11	1	1	9	9
R1COMM	ET3101	12	1	1	9	9
R1COMM	ET3111	1	1	1	4	2
R1COMM	ET3111	2	1	1	1	1
R1COMM	ET3111	3	2	8	9	9
R1COMM	ET3111	4	1	1	2	1
R1COMM	ET3111	5	2	8	9	9
R1COMM	ET3111	6	1	1	1	1
R1COMM	ET3111	7	2	8	9	9
R1COMM	ET3111	8	2	8	9	9
R1COMM	ET3111	9	2	8	9	9
R1COMM	ET3111	10	2	8	9	9
R1COMM	ET3111	11	1	2	8	8
R1COMM	ET3112	1	1	1	3	1
R1COMM	ET3112	2	1	1	1	1
R1COMM	ET3112	3	2	8	9	9
R1COMM	ET3112	4	1	1	2	1
R1COMM	ET3112	5	2	8	9	9
R1COMM	ET3112	6	1	1	1	1
R1COMM	ET3112	7	2	8	9	9
R1COMM	ET3112	8	2	8	9	9
R1COMM	ET3112	9	1	1	9	9
R1COMM	ET3112	10	2	8	9	9
R1COMM	ET3112	11	2	8	9	9
R1COMM	ET3112	12	9	9	8	8
R1COMM	ET4121	1	2	8	3	2
R1COMM	ET4121	2	2	8	9	9
R1COMM	ET4121	3	2	8	9	9
R1COMM	ET4121	4	1	1	1	1
R1COMM	ET4121	5	2	8	3	2
R1COMM	ET4121	6	1	1	1	1
R1COMM	ET4121	7	2	8	3	2
R1COMM	ET4121	8	2	8	3	2
R1COMM	ET4121	9	2	8	3	2
R1COMM	ET4121	10	1	1	1	1
R1COMM	ET4121	11	2	8	3	2
R1COMM	ET4121	12	2	8	3	2
R1COMM	ET4131	1	1	1	1	1
R1COMM	ET4131	2	1	1	1	1
R1COMM	ET4131	3	2	8	9	9
R1COMM	ET4131	4	1	2	1	1
R1COMM	ET4131	5	1	2	1	1
R1COMM	ET4131	6	1	1	1	1
R1COMM	ET4131	7	1	1	1	1
R1COMM	ET4131	8	1	1	1	1
R1COMM	ET4131	9	1	1	9	9
R1COMM	ET4131	10	2	8	9	9
R1COMM	ET4131	11	1	1	9	9
R1COMM	ET4131	12	1	2	9	9
R1COMM	ET4151	1	1	3	3	2
R1COMM	ET4151	2	2	8	9	9
R1COMM	ET4151	3	2	8	9	9
R1COMM	ET4151	4	1	1	1	1
R1COMM	ET4151	5	1	3	3	2
R1COMM	ET4151	6	1	1	1	1
R1COMM	ET4151	7	2	8	9	9
R1COMM	ET4151	8	1	3	3	2
R1COMM	ET4151	9	2	8	9	9
R1COMM	ET4151	10	2	8	9	9
R1COMM	ET4151	11	2	8	9	9
R1COMM	ET4151	12	1	9	8	8
R1COMM	ET4161	1	2	8	2	1
R1COMM	ET4161	2	2	8	4	4
R1COMM	ET4161	3	2	8	4	4
R1COMM	ET4161	4	1	1	1	1
R1COMM	ET4161	5	1	3	3	3
R1COMM	ET4161	6	1	3	1	1
R1COMM	ET4161	7	2	8	4	4
R1COMM	ET4161	8	2	8	4	4
R1COMM	ET4161	9	2	8	9	9
R1COMM	ET4161	10	2	8	9	9
R1COMM	ET4161	11	2	8	9	9
R1COMM	ET4161	12	1	2	9	9
R1COMM	ET5171	1	2	8	4	3
R1COMM	ET5171	2	2	8	9	9
R1COMM	ET5171	3	2	8	4	3
R1COMM	ET5171	4	1	1	1	1
R1COMM	ET5171	5	2	8	9	9
R1COMM	ET5171	6	1	1	1	1
R1COMM	ET5171	7	2	8	9	9
R1COMM	ET5171	8	2	8	9	9
R1COMM	ET5171	9	2	8	9	9
R1COMM	ET5171	10	1	3	8	8
R1COMM	ET5171	11	1	3	9	9
R1COMM	ET5171	12	2	8	9	9
R1COMM	ET5181	1	1	2	4	3
R1COMM	ET5181	2	2	8	9	9
R1COMM	ET5181	3	2	8	9	9
R1COMM	ET5181	4	2	8	9	9
R1COMM	ET5181	5	1	3	4	3
R1COMM	ET5181	6	1	1	2	2
R1COMM	ET5181	7	2	8	9	9
R1COMM	ET5181	8	2	8	9	9
R1COMM	ET5181	9	2	8	9	9
R1COMM	ET5181	10	1	1	9	9
R1COMM	ET5181	11	1	1	9	9
R1COMM	ET5181	12	2	8	9	9
R1COMM	ET5191	1	1	3	1	1
R1COMM	ET5191	2	2	8	9	9
R1COMM	ET5191	3	2	8	9	9
R1COMM	ET5191	4	1	1	1	1
R1COMM	ET5191	5	2	8	4	1
R1COMM	ET5191	6	1	1	1	1
R1COMM	ET5191	7	2	8	4	2
R1COMM	ET5191	8	2	8	4	2
R1COMM	ET5191	9	1	9	4	2
R1COMM	ET5191	10	2	8	9	9
R1COMM	ET5191	11	1	9	9	9
R1COMM	ET5191	12	1	9	9	9
R1COMM	ET5201	1	2	8	4	2
R1COMM	ET5201	2	2	8	9	9
R1COMM	ET5201	3	2	8	9	9
R1COMM	ET5201	4	1	1	9	9
R1COMM	ET5201	5	2	8	9	9
R1COMM	ET5201	6	1	3	9	9
R1COMM	ET5201	7	2	8	4	9
R1COMM	ET5201	8	2	8	4	9
R1COMM	ET5201	9	2	1	8	8
R1COMM	ET5201	10	1	1	9	9
R1COMM	ET5201	11	1	1	9	9
R1COMM	ET5201	12	1	1	9	9
