formno	commid	rsid	ageres	sexres	capac	livres	ethres
R1COMM	ET5171	8	44	1	7	18	8
R1COMM	ET5171	9	30	1	4	5	8
R1COMM	ET5181	1	39	1	2	39	6
R1COMM	ET5181	2	45	1	2	45	6
R1COMM	ET5181	3	65	1	5	65	6
R1COMM	ET5181	4	39	1	3	4	6
R1COMM	ET5181	5	39	1	3	38	6
R1COMM	ET5181	6	25	2	3	25	6
R1COMM	ET5181	7	30	1	4	2	6
R1COMM	ET5181	8	22	1	7	2	6
R1COMM	ET5181	9	27	2	7	2	6
R1COMM	ET5191	1	33	1	1	8	6
R1COMM	ET5191	2	40	1	3	5	6
R1COMM	ET5191	3	45	1	4	8	6
R1COMM	ET5191	4	33	1	1	11	6
R1COMM	ET5191	5	82	1	7	46	6
R1COMM	ET5191	6	27	2	2	6	6
R1COMM	ET5201	1	75	1	1	75	6
R1COMM	ET5201	2	42	1	2	42	6
R1COMM	ET5201	3	34	1	7	34	6
R1COMM	ET5201	4	39	2	6	39	6
R1COMM	ET5201	5	29	1	4	4	6
